	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15
direct_vc_estimate	0.0062	0.0161	0.0062	-0.0003	0.0086	0.0069	0.0005	0.0027	0.0099	-0.0003	0.0106	-0.0004	0.0127	0.0005	0.001
direct_vc_estimate_se	0.0072	0.0039	0.0024	0.0025	0.0023	0.0024	0.002	0.0023	0.0024	0.0022	0.0021	0.0024	0.0023	0.0021	0.0023
direct_vc_pvals	0.423	0.039	0.151	0.822	0.094	0.162	0.518	0.256	0.163	0.868	0.04	0.934	0.056	0.61	0.476
upper975_perm_direct	0.0559	0.0214	0.019	0.0168	0.0183	0.0237	0.0134	0.013	0.0259	0.0137	0.0158	0.0243	0.0195	0.0166	0.0162
lower025_perm_direct	-0.0016	-0.0008	-0.0005	-0.0006	-0.0005	-0.0005	-0.0004	-0.0005	-0.0005	-0.0005	-0.0005	-0.0005	-0.0005	-0.0004	-0.0005
sad_vc_estimate	-0.0014	-0.0008	-0.0003	-0.0004	-0.0001	-0.0002	-0.0	-0.0001	-0.0001	0.0001	0.0009	0.0026	-0.0002	0.0	-0.0002
sad_vc_estimate_se	0.0076	0.0041	0.0026	0.0027	0.0024	0.0025	0.0021	0.0024	0.0025	0.0023	0.0022	0.0025	0.0024	0.0022	0.0025
sad_vc_pvals	0.972	0.959	0.619	0.696	0.412	0.581	0.385	0.486	0.554	0.359	0.096	0.063	0.554	0.425	0.596
upper975_perm_sad	0.0108	0.004	0.0029	0.0035	0.0024	0.0049	0.0021	0.0032	0.0039	0.0028	0.0022	0.0048	0.0041	0.003	0.0054
lower025_perm_sad	-0.0017	-0.0009	-0.0006	-0.0006	-0.0005	-0.0006	-0.0005	-0.0005	-0.0006	-0.0005	-0.0005	-0.0006	-0.0005	-0.0005	-0.0006
covar_vc_estimate	0.003	0.002	0.003	0.0012	-0.0026	-0.0019	-0.0004	-0.0011	-0.0028	0.0012	-0.0069	0.0001	-0.0028	-0.0005	-0.0004
covar_vc_estimate_se	0.076	0.0556	0.0438	0.0447	0.042	0.0435	0.0393	0.0424	0.0433	0.0414	0.0407	0.0432	0.0422	0.0406	0.0428
covar_vc_pvals	0.234	0.212	0.044	0.241	0.162	0.272	0.312	0.221	0.25	0.228	0.022	0.429	0.165	0.374	0.389
upper975_perm_covar	0.0131	0.0061	0.0042	0.005	0.0032	0.0041	0.0028	0.0041	0.0045	0.0043	0.0036	0.0036	0.0048	0.0031	0.0044
lower025_perm_covar	-0.0352	-0.0136	-0.0095	-0.0108	-0.01	-0.0149	-0.0072	-0.0082	-0.0153	-0.0074	-0.0077	-0.0175	-0.0116	-0.0105	-0.0135
