	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15
direct_vc_estimate	0.4162	0.0127	-0.0001	-0.0016	-0.0005	0.0044	-0.0002	-0.0001	-0.0002	0.0033	0.0005	0.0002	-0.0001	-0.0001	0.0015
direct_vc_estimate_se	0.1001	0.046	0.0207	0.015	0.0032	0.0031	0.0021	0.0017	0.0016	0.0014	0.0015	0.0014	0.0013	0.0012	0.0012
direct_vc_pvals	0.007	0.43	0.673	0.779	0.997	0.151	0.715	0.739	0.939	0.049	0.381	0.531	0.698	0.791	0.128
upper975_perm_direct	0.3241	0.1842	0.0936	0.0508	0.017	0.016	0.0065	0.0091	0.0068	0.0058	0.0059	0.0087	0.0044	0.0049	0.0049
lower025_perm_direct	-0.0226	-0.0105	-0.0046	-0.0034	-0.0007	-0.0007	-0.0005	-0.0004	-0.0004	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003
sad_vc_estimate	0.0125	-0.0037	-0.0033	0.003	0.0007	0.0002	-0.0002	-0.0003	0.0002	0.0	-0.0002	-0.0001	-0.0001	0.0002	0.0
sad_vc_estimate_se	0.1053	0.0484	0.0217	0.0158	0.0034	0.0033	0.0022	0.0018	0.0017	0.0015	0.0015	0.0015	0.0013	0.0013	0.0013
sad_vc_pvals	0.207	0.527	0.837	0.179	0.279	0.362	0.593	0.976	0.294	0.353	0.775	0.512	0.459	0.205	0.351
upper975_perm_sad	0.0948	0.0547	0.0223	0.0166	0.0064	0.0048	0.0025	0.0024	0.0023	0.0017	0.0021	0.0021	0.0013	0.0015	0.0014
lower025_perm_sad	-0.0239	-0.011	-0.0049	-0.0036	-0.0008	-0.0007	-0.0005	-0.0004	-0.0004	-0.0003	-0.0004	-0.0003	-0.0003	-0.0003	-0.0003
covar_vc_estimate	-0.1924	0.032	0.0078	0.0088	0.001	0.0046	0.0009	0.0006	0.0006	-0.0014	0.0008	0.0009	0.0006	0.0001	-0.0008
covar_vc_estimate_se	0.3258	0.1971	0.1239	0.104	0.0464	0.0457	0.0375	0.0341	0.0326	0.0309	0.0313	0.0306	0.029	0.0285	0.0287
covar_vc_pvals	0.039	0.066	0.194	0.077	0.294	0.005	0.17	0.244	0.223	0.116	0.106	0.067	0.119	0.42	0.125
upper975_perm_covar	0.0969	0.0582	0.0234	0.0159	0.0045	0.0046	0.0026	0.002	0.0021	0.0015	0.002	0.0018	0.0016	0.0015	0.0018
lower025_perm_covar	-0.2979	-0.163	-0.0691	-0.0405	-0.0169	-0.0139	-0.0054	-0.0072	-0.0053	-0.0046	-0.0053	-0.0067	-0.0037	-0.004	-0.0035
