	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.593	0.1206	0.0104	-0.0303	-0.0056	-0.0052	-0.0002	0.0021	0.0225	0.0014	0.005	-0.0004	-0.002	0.0025	0.0013	-0.0025	0.0137	-0.0005	0.0079	-0.0012	-0.0024	-0.0025	-0.0027	0.006	-0.0023	-0.0024	0.0036	0.0015	-0.0003	-0.0011	-0.0024	-0.0021	0.0013	-0.0018	0.0151	-0.0017	-0.0022	0.001	0.0031	0.0013	-0.0024	-0.0018	-0.0009	0.0078	-0.001	0.0005	0.0005	-0.0002	0.0005	-0.0016	0.0002	0.0043	0.0087	-0.0002	-0.0012	-0.002	-0.0022	0.0012	0.0052	0.0005	-0.0008	0.0046	0.0043	0.0065	-0.0005	0.0052	0.0056	0.0006	0.0042	-0.0023	-0.0018	-0.0019	0.0135	0.0075	0.009	0.0031	-0.0014	-0.0013	0.0016	0.0032	-0.0005	-0.0021	-0.002	-0.0027	-0.0023	0.0006	-0.002	-0.0006	-0.0018	0.0001	-0.0003	-0.0019	0.0016	-0.0021	0.0014	0.0015	-0.0022	0.0037	-0.0015	-0.0022
direct_vc_estimate_se	0.024	0.0148	0.0059	0.0048	0.0011	0.0007	0.0006	0.0005	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0005	0.0004	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0004	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0002	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0004	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0004	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003
direct_vc_pvals	0.11	0.302	0.413	0.806	0.629	0.818	0.36	0.369	0.022	0.436	0.22	0.523	0.631	0.25	0.34	0.982	0.112	0.517	0.102	0.588	0.968	0.671	0.89	0.166	0.989	0.979	0.339	0.377	0.449	0.624	0.949	0.971	0.386	0.809	0.038	0.687	0.856	0.331	0.36	0.419	0.99	0.742	0.611	0.152	0.596	0.364	0.364	0.602	0.421	0.707	0.408	0.284	0.201	0.503	0.649	0.89	0.813	0.506	0.236	0.512	0.546	0.246	0.256	0.106	0.522	0.193	0.102	0.455	0.226	0.918	0.727	0.749	0.054	0.11	0.149	0.322	0.686	0.67	0.341	0.365	0.554	0.986	0.976	0.959	0.973	0.386	0.961	0.654	0.786	0.378	0.462	0.878	0.31	0.9	0.316	0.322	0.799	0.25	0.632	0.962
upper95_perm_direct	0.9555	0.6208	0.2227	0.3071	0.0301	0.0225	0.0131	0.0238	0.0146	0.0214	0.015	0.0186	0.0115	0.0121	0.0155	0.0098	0.0194	0.0148	0.0117	0.0112	0.0128	0.0155	0.0109	0.0139	0.0117	0.009	0.0244	0.0163	0.0123	0.0156	0.028	0.0159	0.0156	0.0169	0.0136	0.0129	0.017	0.0109	0.0214	0.0175	0.015	0.0155	0.0181	0.0142	0.0144	0.0098	0.0103	0.027	0.0139	0.0103	0.0105	0.019	0.0222	0.0158	0.0133	0.0112	0.0224	0.0187	0.0152	0.0205	0.0138	0.0148	0.016	0.0107	0.0148	0.0132	0.0093	0.0116	0.0141	0.0147	0.0159	0.0144	0.0129	0.0122	0.0166	0.0176	0.0186	0.0134	0.014	0.0178	0.0178	0.0153	0.0078	0.0137	0.0112	0.0119	0.0113	0.0237	0.0187	0.0089	0.0109	0.0146	0.0107	0.0141	0.0108	0.0101	0.013	0.0127	0.0082	0.0131
lower0_perm_direct	-0.1972	-0.1225	-0.0517	-0.0394	-0.0092	-0.0061	-0.0048	-0.0042	-0.0034	-0.0035	-0.0033	-0.0031	-0.0031	-0.0036	-0.0032	-0.0029	-0.0027	-0.0029	-0.0028	-0.0027	-0.0026	-0.0037	-0.003	-0.0022	-0.0027	-0.0025	-0.0026	-0.0028	-0.0027	-0.0023	-0.0026	-0.0023	-0.0024	-0.0026	-0.0022	-0.0026	-0.0027	-0.0026	-0.0025	-0.0026	-0.0027	-0.0026	-0.0027	-0.0027	-0.0023	-0.0025	-0.0024	-0.0031	-0.0025	-0.0023	-0.0025	-0.0026	-0.0026	-0.0029	-0.0025	-0.0022	-0.0028	-0.0023	-0.0025	-0.0025	-0.0028	-0.0027	-0.0025	-0.0024	-0.0026	-0.0024	-0.0023	-0.002	-0.0028	-0.0025	-0.0025	-0.0025	-0.0024	-0.0025	-0.0024	-0.0025	-0.0029	-0.0022	-0.0023	-0.0021	-0.0027	-0.0023	-0.0021	-0.0029	-0.0025	-0.0023	-0.0021	-0.0028	-0.0023	-0.0022	-0.0024	-0.0021	-0.0025	-0.0023	-0.0024	-0.0022	-0.0028	-0.0025	-0.0024	-0.0024
sad_vc_estimate	0.6655	0.1426	0.0022	-0.0244	0.0211	-0.0051	0.0064	0.0119	0.0574	0.0064	0.0077	0.0071	-0.0004	0.0051	0.0027	-0.0017	0.0175	-0.0004	0.0146	-0.0011	-0.0024	-0.0034	-0.0022	0.0197	-0.0022	-0.0014	0.0019	-0.0017	-0.0023	-0.002	0.0014	-0.0012	0.0019	-0.0002	0.0224	-0.0022	-0.0011	0.0097	0.0026	-0.0007	-0.001	-0.0002	-0.0011	0.0019	-0.0006	0.0019	-0.0015	0.0013	-0.0024	-0.0	0.0043	0.0036	0.0305	0.0057	0.0013	-0.0018	-0.0021	0.0029	-0.0	-0.002	0.0032	0.0012	-0.0018	0.0013	-0.0001	0.0155	0.0121	0.0021	0.0012	-0.0014	-0.0015	-0.0017	0.03	0.004	0.0108	0.0031	0.0012	-0.0005	0.0085	0.011	-0.0022	0.0021	-0.002	-0.0011	-0.0018	-0.0004	-0.0018	-0.0012	-0.002	-0.0019	-0.0	-0.0017	-0.0016	-0.0004	0.0014	-0.0005	-0.0022	0.0113	-0.0021	-0.0022
sad_vc_estimate_se	0.0241	0.0149	0.006	0.0048	0.0011	0.0007	0.0006	0.0005	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0005	0.0004	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0004	0.0003	0.0003	0.0003	0.0003	0.0003	0.0004	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0002	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0004	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0004	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003
sad_vc_pvals	0.097	0.335	0.461	0.694	0.177	0.823	0.186	0.212	0.0	0.27	0.179	0.339	0.481	0.229	0.37	0.69	0.082	0.597	0.098	0.661	0.931	0.927	0.734	0.064	0.824	0.648	0.522	0.742	0.84	0.874	0.582	0.693	0.433	0.648	0.037	0.868	0.648	0.129	0.395	0.663	0.585	0.636	0.651	0.347	0.589	0.358	0.675	0.496	0.962	0.547	0.282	0.298	0.033	0.27	0.384	0.848	0.846	0.344	0.548	0.81	0.395	0.487	0.79	0.419	0.593	0.129	0.079	0.375	0.439	0.736	0.718	0.785	0.012	0.281	0.179	0.332	0.448	0.62	0.192	0.151	0.846	0.426	0.947	0.63	0.764	0.545	0.82	0.703	0.859	0.817	0.518	0.836	0.69	0.593	0.378	0.571	0.835	0.115	0.869	0.914
upper95_perm_sad	0.9279	0.7979	0.2737	0.2847	0.0475	0.0269	0.0187	0.032	0.0209	0.0227	0.0201	0.0313	0.0127	0.0167	0.0199	0.0157	0.0221	0.0241	0.0192	0.0197	0.0201	0.0267	0.0185	0.0219	0.0131	0.014	0.0308	0.0241	0.016	0.0212	0.04	0.0215	0.0202	0.0292	0.0185	0.0147	0.0205	0.0162	0.0217	0.0252	0.0168	0.0297	0.0248	0.0179	0.0166	0.0149	0.0144	0.032	0.0194	0.0178	0.0185	0.0179	0.0255	0.0227	0.016	0.0192	0.0321	0.018	0.021	0.0227	0.0219	0.0248	0.0213	0.0188	0.0256	0.0286	0.0167	0.0178	0.0198	0.0243	0.0213	0.0264	0.0171	0.0148	0.0238	0.0174	0.0191	0.0191	0.0225	0.0199	0.0208	0.0216	0.0128	0.0225	0.0152	0.0152	0.0121	0.0333	0.0235	0.0108	0.0153	0.0216	0.0133	0.0213	0.0144	0.0126	0.0186	0.0192	0.0144	0.0172
lower0_perm_sad	-0.2041	-0.1231	-0.0485	-0.0398	-0.0089	-0.0061	-0.0048	-0.0042	-0.0035	-0.0035	-0.0034	-0.0031	-0.0032	-0.0037	-0.0032	-0.0027	-0.0027	-0.003	-0.003	-0.0027	-0.0026	-0.0038	-0.003	-0.0022	-0.0026	-0.0026	-0.0026	-0.0027	-0.0027	-0.0023	-0.0026	-0.0023	-0.0026	-0.0025	-0.0022	-0.0026	-0.0026	-0.0026	-0.0025	-0.0027	-0.0027	-0.0026	-0.0028	-0.0027	-0.0023	-0.0025	-0.0026	-0.0031	-0.0026	-0.0023	-0.0026	-0.0026	-0.0025	-0.0029	-0.0026	-0.0023	-0.0029	-0.0023	-0.0024	-0.0026	-0.0028	-0.0027	-0.0025	-0.0024	-0.0026	-0.0024	-0.0023	-0.002	-0.0028	-0.0025	-0.0025	-0.0026	-0.0023	-0.0025	-0.0024	-0.0025	-0.0029	-0.0023	-0.0023	-0.0021	-0.0028	-0.0023	-0.0022	-0.0029	-0.0025	-0.0022	-0.0022	-0.0028	-0.0024	-0.0022	-0.0024	-0.0021	-0.0025	-0.0023	-0.0025	-0.0022	-0.0027	-0.0025	-0.0025	-0.0025
