	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.0394	0.1761	-0.0086	0.0021	0.0102	0.0006	-0.0025	0.0014	0.0014	-0.0006	-0.0016	-0.0019	0.0026	0.0024	0.0009	-0.0012	-0.0015	0.0039	-0.0013	0.0117	-0.0015	0.0109	-0.001	0.0024	-0.0014	0.0025	-0.0012	0.0132	0.0053	0.0201	-0.0015	0.0058	0.0033	0.0004	0.0003	-0.0002	-0.0015	0.0002	-0.0006	0.0002	0.0209	-0.001	-0.0016	-0.0007	0.0044	0.0066	-0.0008	0.0007	0.0116	-0.001	0.0029	0.0098	0.0012	0.0044	0.0152	-0.0014	-0.0001	0.0137	0.0054	-0.0009	-0.0007	-0.0011	0.0046	0.0003	-0.0011	0.007	-0.0007	-0.0014	-0.0008	0.0024	-0.0013	-0.0004	-0.0014	-0.0015	-0.0014	-0.0014	0.0009	0.0001	-0.0012	0.0006	-0.0	0.0065	0.0019	-0.0006	-0.0009	0.0049	-0.0005	-0.0013	0.0003	0.0001	0.0108	-0.0014	-0.0014	0.0009	0.0049	-0.0011	-0.0008	-0.0014	-0.0002	-0.0001
direct_vc_estimate_se	0.5715	0.2747	0.1175	0.0877	0.0214	0.0165	0.0134	0.0097	0.0092	0.0084	0.0084	0.0086	0.008	0.0074	0.0072	0.007	0.0065	0.0067	0.0067	0.0074	0.0068	0.0063	0.0061	0.0067	0.0065	0.007	0.0065	0.0066	0.0068	0.0067	0.0064	0.0068	0.0067	0.0065	0.0068	0.0062	0.0068	0.0065	0.0064	0.0064	0.0064	0.0072	0.0067	0.0065	0.0064	0.0066	0.0063	0.0064	0.0064	0.0064	0.007	0.0064	0.0063	0.0062	0.0062	0.0062	0.0076	0.0062	0.0061	0.0063	0.0062	0.0063	0.0064	0.0061	0.0061	0.0063	0.0064	0.0063	0.0062	0.0064	0.0069	0.0059	0.0064	0.0064	0.0063	0.0061	0.0061	0.0061	0.0064	0.0062	0.0062	0.0065	0.0059	0.006	0.0063	0.0059	0.0064	0.006	0.0059	0.0068	0.0067	0.0061	0.006	0.006	0.0059	0.006	0.0059	0.0063	0.0061	0.0062
direct_vc_pvals	0.328	0.156	0.552	0.411	0.213	0.388	0.704	0.396	0.364	0.561	0.758	0.871	0.347	0.295	0.346	0.687	0.909	0.216	0.802	0.067	0.843	0.082	0.693	0.302	0.877	0.224	0.717	0.03	0.152	0.012	0.984	0.145	0.201	0.479	0.447	0.554	0.873	0.434	0.58	0.494	0.004	0.645	0.995	0.667	0.155	0.107	0.611	0.447	0.034	0.691	0.213	0.059	0.374	0.19	0.008	0.997	0.485	0.017	0.108	0.69	0.655	0.744	0.138	0.405	0.739	0.101	0.613	0.944	0.675	0.284	0.726	0.576	0.827	0.981	0.927	0.904	0.367	0.442	0.762	0.398	0.503	0.097	0.272	0.578	0.672	0.147	0.535	0.9	0.43	0.444	0.035	0.906	0.999	0.398	0.147	0.731	0.666	0.898	0.493	0.502
upper95_perm_direct	0.5933	0.4494	0.1772	0.1376	0.0357	0.0215	0.0155	0.0192	0.0166	0.014	0.0165	0.015	0.0179	0.0143	0.0116	0.0089	0.0115	0.0143	0.0136	0.0164	0.01	0.0169	0.0104	0.0132	0.0103	0.0116	0.0118	0.0125	0.0137	0.014	0.0132	0.0143	0.0117	0.0155	0.014	0.0122	0.0153	0.0107	0.0113	0.014	0.011	0.011	0.0153	0.0153	0.012	0.0121	0.01	0.0137	0.0123	0.0132	0.0107	0.0126	0.0145	0.0149	0.0097	0.0104	0.0128	0.0118	0.0109	0.0152	0.0133	0.0107	0.0116	0.0086	0.0104	0.014	0.0128	0.0114	0.0126	0.013	0.0095	0.0092	0.0095	0.0107	0.0177	0.0097	0.0115	0.0113	0.0108	0.0101	0.0116	0.0116	0.0106	0.0108	0.0109	0.0115	0.0104	0.0098	0.0112	0.0127	0.0106	0.0124	0.0107	0.0129	0.0124	0.0099	0.0112	0.0102	0.0097	0.011
lower0_perm_direct	-0.1802	-0.085	-0.037	-0.0278	-0.0068	-0.0052	-0.0042	-0.0031	-0.0029	-0.0026	-0.0027	-0.0027	-0.0025	-0.0023	-0.0022	-0.0022	-0.0021	-0.0021	-0.0021	-0.0023	-0.0021	-0.002	-0.0019	-0.0021	-0.002	-0.0022	-0.002	-0.0021	-0.0021	-0.0021	-0.002	-0.0021	-0.0021	-0.002	-0.0021	-0.0019	-0.0022	-0.002	-0.002	-0.002	-0.0021	-0.0023	-0.0021	-0.002	-0.002	-0.0021	-0.002	-0.0019	-0.002	-0.002	-0.0022	-0.002	-0.002	-0.0019	-0.002	-0.002	-0.0024	-0.002	-0.0019	-0.002	-0.0019	-0.0019	-0.002	-0.002	-0.0019	-0.002	-0.002	-0.0019	-0.002	-0.002	-0.0021	-0.0019	-0.002	-0.002	-0.002	-0.0019	-0.002	-0.0019	-0.002	-0.0019	-0.002	-0.002	-0.0018	-0.0019	-0.002	-0.0019	-0.002	-0.0019	-0.0019	-0.0022	-0.0021	-0.0019	-0.0019	-0.0019	-0.0019	-0.0019	-0.0018	-0.002	-0.0019	-0.002
sad_vc_estimate	0.0951	0.2062	0.0225	0.0669	0.0272	0.0145	-0.0021	0.0418	-0.0021	-0.0015	0.0147	-0.0019	0.0013	0.0116	0.0032	0.0011	-0.0006	0.0086	0.0017	0.0063	-0.0004	0.0204	-0.0004	0.0037	-0.0005	0.0127	-0.0013	0.0362	0.0004	0.0334	0.0014	-0.0015	0.007	0.0037	-0.0013	-0.0014	0.0031	0.0006	-0.001	-0.0005	0.018	-0.0017	0.0052	-0.0015	0.0085	0.0099	0.0016	-0.0001	0.0164	0.0002	0.0161	0.0123	-0.0013	0.0046	0.0278	-0.0009	0.0025	0.0211	0.0051	-0.0012	-0.0009	-0.0011	0.0154	-0.0011	0.0019	0.0173	-0.0002	-0.0015	0.0016	0.0181	0.0081	0.0059	-0.0012	0.0011	-0.0013	-0.0013	0.0036	0.003	0.0003	-0.0012	0.0057	0.011	-0.0002	-0.0011	-0.0015	0.0095	-0.0013	-0.0013	0.0044	0.0087	0.0194	-0.0013	-0.0012	0.0014	0.0123	-0.0011	-0.0009	0.0026	-0.0014	-0.0008
sad_vc_estimate_se	0.5765	0.2775	0.1188	0.0886	0.0216	0.0167	0.0135	0.0098	0.0093	0.0085	0.0085	0.0087	0.0081	0.0075	0.0073	0.007	0.0066	0.0068	0.0067	0.0074	0.0069	0.0064	0.0062	0.0067	0.0066	0.0071	0.0066	0.0067	0.0068	0.0067	0.0064	0.0069	0.0068	0.0066	0.0069	0.0062	0.0069	0.0065	0.0064	0.0064	0.0065	0.0073	0.0068	0.0065	0.0064	0.0067	0.0064	0.0065	0.0065	0.0064	0.0071	0.0065	0.0064	0.0063	0.0063	0.0062	0.0076	0.0063	0.0062	0.0064	0.0062	0.0063	0.0064	0.0062	0.0061	0.0064	0.0064	0.0064	0.0063	0.0065	0.007	0.0059	0.0064	0.0065	0.0064	0.0061	0.0062	0.0062	0.0064	0.0062	0.0063	0.0066	0.0059	0.006	0.0063	0.006	0.0065	0.006	0.0059	0.0069	0.0068	0.0062	0.006	0.0061	0.006	0.006	0.0059	0.0063	0.0062	0.0063
sad_vc_pvals	0.309	0.17	0.416	0.209	0.14	0.197	0.7	0.024	0.971	0.777	0.088	0.872	0.561	0.111	0.285	0.404	0.64	0.151	0.442	0.258	0.602	0.064	0.637	0.356	0.617	0.074	0.846	0.02	0.559	0.021	0.5	0.899	0.199	0.354	0.83	0.933	0.399	0.506	0.756	0.675	0.041	0.998	0.32	0.934	0.122	0.158	0.409	0.64	0.064	0.584	0.04	0.123	0.848	0.321	0.012	0.752	0.38	0.023	0.222	0.838	0.745	0.793	0.058	0.777	0.38	0.071	0.624	0.963	0.469	0.059	0.135	0.207	0.764	0.459	0.858	0.886	0.308	0.37	0.564	0.798	0.252	0.1	0.591	0.825	0.973	0.133	0.848	0.862	0.24	0.144	0.035	0.868	0.874	0.451	0.069	0.796	0.716	0.343	0.963	0.694
upper95_perm_sad	0.9502	0.6407	0.3216	0.2127	0.0692	0.046	0.0239	0.0349	0.0231	0.0214	0.0226	0.0286	0.0295	0.0211	0.0167	0.0147	0.018	0.0201	0.0215	0.0265	0.0208	0.0292	0.0197	0.024	0.0184	0.0182	0.0224	0.0288	0.0228	0.0293	0.0247	0.0288	0.0234	0.0231	0.0256	0.0176	0.0268	0.0193	0.0214	0.025	0.0187	0.0233	0.0253	0.0267	0.0178	0.0255	0.0202	0.027	0.0217	0.0229	0.0174	0.0259	0.026	0.025	0.0207	0.0215	0.0222	0.0184	0.0178	0.0249	0.0209	0.0202	0.02	0.0192	0.0176	0.026	0.0216	0.0221	0.0261	0.0229	0.0183	0.0192	0.0159	0.021	0.03	0.0206	0.0185	0.0192	0.021	0.0155	0.0227	0.0199	0.0184	0.0177	0.021	0.0202	0.0165	0.0176	0.0197	0.0195	0.0194	0.0229	0.019	0.0226	0.017	0.0165	0.0184	0.0211	0.0158	0.0164
lower0_perm_sad	-0.1812	-0.0854	-0.037	-0.0281	-0.0069	-0.0052	-0.0042	-0.0031	-0.0029	-0.0026	-0.0027	-0.0027	-0.0025	-0.0023	-0.0023	-0.0022	-0.0021	-0.0021	-0.0021	-0.0023	-0.0021	-0.002	-0.0019	-0.0021	-0.0021	-0.0022	-0.0021	-0.0021	-0.0022	-0.0021	-0.002	-0.0022	-0.0022	-0.0021	-0.0021	-0.002	-0.0021	-0.0021	-0.002	-0.002	-0.002	-0.0023	-0.0021	-0.002	-0.002	-0.0021	-0.002	-0.002	-0.002	-0.002	-0.0022	-0.002	-0.002	-0.0019	-0.0019	-0.002	-0.0023	-0.0019	-0.002	-0.002	-0.0019	-0.002	-0.002	-0.0019	-0.0019	-0.002	-0.002	-0.0019	-0.0019	-0.0021	-0.0022	-0.0019	-0.002	-0.002	-0.0019	-0.0019	-0.002	-0.0019	-0.002	-0.0019	-0.002	-0.0021	-0.0018	-0.0019	-0.002	-0.0019	-0.002	-0.0019	-0.0018	-0.0022	-0.0021	-0.0019	-0.0019	-0.0019	-0.0019	-0.0019	-0.0019	-0.002	-0.0019	-0.002
