	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.0831	0.0026	0.0067	0.0078	-0.0003	0.0007	0.0092	0.0005	0.0016	0.0063	0.0005	0.002	0.0028	0.0085	-0.0	-0.0001	0.036	0.218	0.0827	0.053	0.0004	0.0011	0.0013	0.011	0.0043	0.0011	0.0081	0.0212	0.0014	0.0003	-0.0003	0.0028	0.0111	0.0052	0.0069	-0.0002	0.0002	-0.0002	0.0021	0.0003	0.0031	0.0001	0.0006	0.0013	0.0035	0.0012	-0.0001	0.0003	0.0077	0.0008	0.0026	0.0014	0.0004	0.0022	0.0001	-0.0001	0.0027	0.0001	-0.0001	-0.0001	0.0011	-0.0001	-0.0001	0.0002	0.0023	0.0005	-0.0001	0.0005	-0.0001	0.0018	0.001	0.0003	-0.0	0.0068	-0.0001	0.0013	0.0019	0.0006	0.0009	-0.0	0.0007	0.0003	-0.0002	-0.0002	0.001	0.0	-0.0001	0.0001	0.0006	0.0003	0.0023	0.0003	0.0042	-0.0002	-0.0002	0.0001	0.0003	0.0024	-0.0001	-0.0002
direct_vc_estimate_se	0.0989	0.054	0.0182	0.0145	0.0047	0.0026	0.0025	0.0014	0.0015	0.0019	0.0017	0.0016	0.0021	0.0022	0.0015	0.0013	0.0059	0.0307	0.0096	0.0056	0.001	0.0013	0.0016	0.0019	0.0017	0.0017	0.0013	0.002	0.0045	0.0009	0.002	0.002	0.0015	0.002	0.0015	0.0013	0.0022	0.0013	0.001	0.0011	0.0013	0.0011	0.0011	0.0012	0.0015	0.0012	0.001	0.0015	0.0012	0.001	0.0012	0.001	0.0012	0.0011	0.0012	0.0011	0.0012	0.001	0.0012	0.0012	0.001	0.001	0.001	0.0011	0.001	0.0015	0.001	0.0012	0.0011	0.001	0.0011	0.001	0.0009	0.0013	0.0011	0.001	0.0012	0.0012	0.001	0.0011	0.0011	0.0009	0.001	0.0011	0.0008	0.0012	0.001	0.0009	0.001	0.0011	0.0012	0.0008	0.001	0.0011	0.0009	0.001	0.0011	0.001	0.0009	0.0011
direct_vc_pvals	0.21	0.649	0.364	0.253	0.851	0.309	0.171	0.403	0.12	0.133	0.682	0.3	0.565	0.281	0.651	0.796	0.382	0.501	0.152	0.051	0.287	0.345	0.666	0.14	0.199	0.715	0.012	0.015	0.49	0.488	0.897	0.425	0.026	0.118	0.077	0.963	0.725	0.823	0.084	0.42	0.046	0.521	0.317	0.491	0.414	0.297	0.808	0.488	0.018	0.236	0.192	0.123	0.519	0.11	0.599	0.789	0.113	0.499	0.785	0.738	0.171	0.696	0.79	0.313	0.131	0.498	0.93	0.406	0.84	0.07	0.349	0.402	0.633	0.03	0.659	0.098	0.118	0.491	0.358	0.579	0.389	0.385	0.996	0.856	0.135	0.659	0.764	0.538	0.24	0.477	0.162	0.343	0.03	0.928	0.98	0.631	0.393	0.076	0.863	0.911
upper95_perm_direct	0.404	0.2434	0.0679	0.0452	0.0552	0.0071	0.0251	0.0072	0.0052	0.0178	0.0179	0.0115	0.031	0.0325	0.0064	0.0096	0.117	0.6325	0.2056	0.1087	0.0032	0.0089	0.0215	0.0282	0.0164	0.0196	0.0117	0.0337	0.0248	0.0056	0.0093	0.0215	0.0185	0.0142	0.0155	0.0041	0.0205	0.0078	0.005	0.0041	0.0057	0.0041	0.0051	0.0122	0.0204	0.0072	0.0046	0.0073	0.0106	0.0045	0.0108	0.0044	0.008	0.0068	0.0054	0.0061	0.0078	0.0034	0.0073	0.0047	0.0051	0.0038	0.005	0.003	0.0071	0.0119	0.0082	0.0053	0.006	0.004	0.0079	0.0045	0.0031	0.0107	0.004	0.0039	0.0052	0.0074	0.0059	0.0038	0.0069	0.004	0.004	0.0034	0.0032	0.0056	0.0052	0.0043	0.0033	0.0066	0.0079	0.0028	0.0064	0.0058	0.0033	0.0077	0.0039	0.0058	0.0061	0.0031
lower0_perm_direct	-0.0429	-0.0224	-0.0078	-0.0062	-0.002	-0.0012	-0.0011	-0.0006	-0.0006	-0.0008	-0.0007	-0.0007	-0.0009	-0.0008	-0.0007	-0.0006	-0.0002	0.0321	0.0037	-0.0017	-0.0004	-0.0006	-0.0007	-0.0008	-0.0007	-0.0007	-0.0006	-0.0008	-0.002	-0.0004	-0.0009	-0.0009	-0.0006	-0.0009	-0.0006	-0.0005	-0.001	-0.0005	-0.0004	-0.0005	-0.0006	-0.0005	-0.0005	-0.0005	-0.0007	-0.0005	-0.0004	-0.0007	-0.0005	-0.0004	-0.0005	-0.0005	-0.0005	-0.0005	-0.0005	-0.0005	-0.0005	-0.0005	-0.0005	-0.0005	-0.0004	-0.0004	-0.0004	-0.0005	-0.0005	-0.0006	-0.0004	-0.0005	-0.0005	-0.0004	-0.0005	-0.0004	-0.0004	-0.0005	-0.0005	-0.0004	-0.0005	-0.0005	-0.0005	-0.0005	-0.0005	-0.0004	-0.0004	-0.0005	-0.0004	-0.0005	-0.0004	-0.0004	-0.0004	-0.0005	-0.0005	-0.0003	-0.0005	-0.0005	-0.0004	-0.0005	-0.0005	-0.0004	-0.0004	-0.0005
sad_vc_estimate	0.7903	-0.0023	0.0241	0.0384	-0.0001	0.0023	0.0301	0.0015	0.0069	0.0162	0.0074	0.013	0.0101	0.0176	0.001	0.0001	0.0857	0.5924	0.1981	0.1107	0.0011	0.0003	0.0034	0.0197	0.0077	0.0024	0.0083	0.0459	0.0226	0.0017	0.0019	0.0008	0.0322	0.0226	0.0221	-0.0002	0.0009	-0.0	0.0044	0.0026	0.0077	0.0001	0.0032	0.0033	0.013	0.0041	-0.0	0.002	0.0233	0.0032	0.0049	0.0045	0.0027	0.0052	-0.0002	-0.0001	0.0049	0.0003	-0.0002	0.0003	0.0024	0.0005	0.0004	0.0015	0.0025	0.0046	0.0001	0.003	-0.0	0.0032	0.0038	0.0034	0.0003	0.0208	-0.0	0.0013	0.0048	-0.0001	0.0027	0.0009	0.0035	0.0007	-0.0	-0.0002	0.0046	-0.0002	0.0011	0.0004	0.0024	0.0025	0.0032	0.0008	0.0055	-0.0001	0.0006	-0.0002	0.0009	0.0022	-0.0001	0.0003
sad_vc_estimate_se	0.1007	0.055	0.0185	0.0148	0.0047	0.0027	0.0025	0.0015	0.0015	0.002	0.0017	0.0016	0.0021	0.0022	0.0016	0.0013	0.006	0.0313	0.0097	0.0057	0.001	0.0013	0.0016	0.0019	0.0017	0.0017	0.0013	0.0021	0.0046	0.0009	0.002	0.0021	0.0015	0.0021	0.0015	0.0013	0.0022	0.0013	0.001	0.0011	0.0013	0.0011	0.0012	0.0012	0.0016	0.0012	0.001	0.0015	0.0012	0.001	0.0012	0.001	0.0012	0.0011	0.0012	0.0011	0.0012	0.001	0.0012	0.0012	0.001	0.001	0.001	0.0012	0.0011	0.0015	0.001	0.0012	0.0012	0.0011	0.0011	0.001	0.0009	0.0013	0.0011	0.001	0.0012	0.0012	0.0011	0.0011	0.0011	0.0009	0.001	0.0011	0.0008	0.0012	0.0011	0.001	0.001	0.0012	0.0012	0.0008	0.0011	0.0011	0.0009	0.0011	0.0011	0.0011	0.0009	0.0011
sad_vc_pvals	0.017	0.824	0.276	0.105	0.891	0.267	0.037	0.414	0.054	0.109	0.343	0.054	0.41	0.33	0.453	0.808	0.423	0.387	0.184	0.136	0.339	0.702	0.689	0.272	0.239	0.761	0.17	0.035	0.1	0.329	0.415	0.77	0.002	0.019	0.044	0.865	0.725	0.785	0.115	0.197	0.044	0.603	0.177	0.445	0.237	0.18	0.766	0.395	0.006	0.131	0.223	0.055	0.342	0.141	0.92	0.869	0.147	0.621	0.847	0.586	0.182	0.461	0.697	0.153	0.321	0.247	0.791	0.253	0.78	0.169	0.246	0.11	0.478	0.01	0.732	0.311	0.122	0.892	0.332	0.455	0.263	0.379	0.719	0.997	0.029	0.894	0.393	0.423	0.147	0.221	0.331	0.255	0.067	0.852	0.418	0.954	0.442	0.233	0.915	0.459
upper95_perm_sad	0.9948	0.6237	0.1495	0.1125	0.1346	0.0141	0.0538	0.0175	0.0132	0.041	0.0408	0.0276	0.0737	0.0715	0.0136	0.024	0.2838	1.5633	0.482	0.2647	0.0104	0.0223	0.0496	0.0683	0.033	0.047	0.0276	0.0822	0.0565	0.013	0.0248	0.0478	0.0416	0.035	0.042	0.0116	0.0501	0.0215	0.0129	0.0101	0.014	0.0097	0.0123	0.0263	0.0504	0.0146	0.011	0.0211	0.0254	0.0107	0.023	0.0091	0.0206	0.016	0.0165	0.013	0.0166	0.0088	0.0133	0.0121	0.011	0.0086	0.0114	0.0061	0.0212	0.0213	0.0139	0.0133	0.0139	0.0115	0.02	0.0094	0.0069	0.0276	0.009	0.0091	0.0137	0.021	0.0162	0.0119	0.0183	0.0089	0.0093	0.0087	0.0072	0.0154	0.0107	0.0075	0.0075	0.013	0.021	0.0056	0.0118	0.0131	0.0074	0.0179	0.0103	0.0119	0.0143	0.0055
lower0_perm_sad	-0.0444	-0.0245	-0.0083	-0.0065	-0.002	-0.0011	-0.0007	-0.0006	-0.0006	-0.0009	-0.0007	-0.0007	-0.0009	-0.0009	-0.0007	-0.0005	0.0005	0.0691	0.0131	0.0015	-0.0004	-0.0006	-0.0007	-0.0008	-0.0008	-0.0007	-0.0005	-0.0009	-0.0019	-0.0004	-0.0009	-0.0009	-0.0007	-0.0009	-0.0006	-0.0005	-0.0009	-0.0005	-0.0004	-0.0005	-0.0006	-0.0005	-0.0005	-0.0005	-0.0006	-0.0005	-0.0004	-0.0006	-0.0005	-0.0004	-0.0005	-0.0005	-0.0005	-0.0005	-0.0005	-0.0005	-0.0005	-0.0005	-0.0005	-0.0005	-0.0004	-0.0004	-0.0004	-0.0005	-0.0005	-0.0006	-0.0004	-0.0005	-0.0005	-0.0005	-0.0005	-0.0004	-0.0004	-0.0006	-0.0005	-0.0004	-0.0005	-0.0005	-0.0005	-0.0005	-0.0005	-0.0004	-0.0004	-0.0005	-0.0004	-0.0005	-0.0005	-0.0004	-0.0004	-0.0005	-0.0005	-0.0004	-0.0005	-0.0005	-0.0004	-0.0004	-0.0005	-0.0005	-0.0004	-0.0005
