	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	2.2096	0.7625	2.3857	4.4894	3.6885	-0.012	-0.0074	0.4637	0.0141	0.0048	-0.0031	-0.0085	0.0904	0.2199	0.0011	0.0556	-0.0005	0.1873	-0.0008	0.1697	0.1897	2.0394	1.9145	0.1093	0.6013	0.0884	0.0276	0.1563	-0.0026	0.0062	0.0821	0.2184	-0.0146	0.2101	-0.0046	0.0102	-0.0009	0.0185	-0.0026	0.0421	-0.0083	0.0332	-0.0017	0.1383	0.1831	0.0095	0.0575	0.0111	-0.0023	0.0298	0.1446	0.0262	0.0412	0.1194	0.0952	-0.0011	-0.0025	-0.0043	-0.003	0.0062	0.0027	0.0965	0.0131	0.0214	0.0358	-0.001	0.0266	0.0144	0.0127	0.0108	0.038	-0.003	0.0909	-0.0008	0.0195	0.0334	0.0132	0.0019	0.0109	-0.0021	0.057	0.0927	-0.0072	0.039	0.0005	0.0733	-0.0001	0.0032	0.0955	0.0103	0.1112	0.0246	0.0259	0.132	0.1607	0.0082	-0.005	0.032	0.0677	0.0909
direct_vc_estimate_se	0.086	0.0538	0.0403	0.0175	0.0044	0.0046	0.0035	0.0016	0.0014	0.0015	0.0013	0.0026	0.0012	0.002	0.0011	0.0019	0.0025	0.0014	0.0013	0.0016	0.0017	0.0042	0.0061	0.0015	0.0011	0.0012	0.0013	0.0034	0.0011	0.001	0.0012	0.002	0.0048	0.0032	0.0015	0.0013	0.001	0.0009	0.001	0.0021	0.0026	0.0011	0.001	0.0021	0.0012	0.0012	0.0011	0.0009	0.0009	0.0009	0.0023	0.0009	0.0011	0.0009	0.0009	0.0011	0.0012	0.0014	0.001	0.0009	0.0011	0.0015	0.0013	0.0013	0.0009	0.0009	0.0012	0.0015	0.0008	0.0012	0.001	0.0012	0.0015	0.0014	0.002	0.0009	0.001	0.0009	0.0011	0.0009	0.0016	0.0009	0.0025	0.0045	0.0011	0.0011	0.0016	0.0014	0.001	0.0041	0.0009	0.0012	0.0013	0.0015	0.0015	0.0013	0.0017	0.0012	0.0009	0.0008
direct_vc_pvals	0.221	0.461	0.039	0.0	0.028	0.857	0.795	0.025	0.432	0.561	0.908	0.979	0.084	0.14	0.55	0.17	0.524	0.024	0.794	0.186	0.012	0.0	0.019	0.097	0.0	0.069	0.367	0.055	0.879	0.552	0.241	0.062	0.851	0.168	0.934	0.5	0.827	0.335	0.889	0.209	0.972	0.196	0.837	0.238	0.1	0.527	0.107	0.471	0.809	0.22	0.087	0.433	0.159	0.004	0.095	0.754	0.867	0.933	0.95	0.373	0.705	0.109	0.683	0.259	0.374	0.858	0.187	0.462	0.305	0.259	0.126	0.888	0.179	0.746	0.364	0.261	0.292	0.705	0.524	0.863	0.372	0.127	0.845	0.325	0.617	0.082	0.763	0.375	0.096	0.45	0.081	0.354	0.667	0.038	0.067	0.486	0.917	0.175	0.205	0.022
upper95_perm_direct	9.2104	8.0436	3.7143	2.8312	5.6459	0.4879	0.1857	0.669	0.1596	0.2279	0.4956	0.2405	0.1913	0.5526	0.0796	0.2026	0.0966	0.2543	0.2115	0.5417	0.2019	2.1347	2.9964	0.2367	0.4579	0.1811	0.2216	0.2771	0.2041	0.1471	0.3133	0.4052	0.1568	0.6112	0.2985	0.1943	0.2127	0.1397	0.1924	0.1948	0.1568	0.1276	0.1761	0.6201	0.4057	0.1875	0.1311	0.1558	0.0712	0.116	0.303	0.2382	0.142	0.1	0.2114	0.1336	0.2634	0.1697	0.1616	0.0753	0.2552	0.2565	0.6365	0.1205	0.2617	0.3789	0.0933	0.1664	0.0921	0.0688	0.1116	0.2152	0.2943	0.2286	0.1746	0.1788	0.0932	0.2075	0.1953	0.1402	0.4036	0.2443	0.1105	0.2927	0.0998	0.1458	0.3331	0.0537	0.2157	0.2167	0.2343	0.1736	0.3907	0.2019	0.3124	0.1497	0.2957	0.1108	0.2555	0.1197
lower0_perm_direct	-0.5976	-0.3946	-0.2868	-0.1311	-0.0303	-0.032	-0.0252	-0.0112	-0.0101	-0.0108	-0.0083	-0.0188	-0.008	-0.0144	-0.0078	-0.0136	-0.0184	-0.0097	-0.0089	-0.0114	-0.0121	-0.0298	-0.0407	-0.0103	-0.0077	-0.0084	-0.0093	-0.0241	-0.0075	-0.0073	-0.0089	-0.0148	-0.0331	-0.0225	-0.0105	-0.0094	-0.0067	-0.0067	-0.0069	-0.0154	-0.0183	-0.0076	-0.0067	-0.0145	-0.0084	-0.0081	-0.0079	-0.0065	-0.0068	-0.0059	-0.0161	-0.0068	-0.0078	-0.0067	-0.0065	-0.008	-0.0082	-0.0099	-0.0068	-0.006	-0.0077	-0.0103	-0.0092	-0.0092	-0.0065	-0.0064	-0.0083	-0.0105	-0.0059	-0.0086	-0.0073	-0.0079	-0.0101	-0.0103	-0.0144	-0.0066	-0.0073	-0.0059	-0.008	-0.0063	-0.0115	-0.0064	-0.0178	-0.032	-0.0077	-0.0067	-0.0112	-0.0106	-0.0071	-0.0294	-0.0059	-0.0083	-0.0084	-0.0105	-0.0099	-0.0098	-0.0125	-0.0085	-0.0067	-0.0063
sad_vc_estimate	3.203	1.2426	3.1208	5.6562	5.1378	0.0038	-0.0091	0.6639	0.0292	0.0079	-0.003	-0.0085	0.1022	0.2652	0.0016	0.0477	-0.0026	0.191	0.004	0.2396	0.2349	2.0685	1.6978	0.1369	0.6492	0.099	0.0145	0.1562	-0.0013	0.0081	0.0891	0.264	-0.015	0.2967	-0.0045	0.0171	-0.0003	0.0201	-0.0031	0.0329	-0.0083	0.0471	-0.0016	0.1897	0.2064	0.0103	0.0667	0.0254	-0.0016	0.0328	0.1972	0.0379	0.0464	0.1217	0.1352	-0.0032	-0.0021	-0.0044	-0.0017	0.0094	0.0023	0.1262	0.0236	0.0268	0.0339	0.0085	0.0376	0.0144	0.0148	0.025	0.0339	-0.0038	0.1234	0.0045	0.024	0.0188	0.0088	0.0085	0.0148	-0.0027	0.0838	0.1204	-0.0074	0.0388	-0.0	0.0732	-0.0017	0.0006	0.1525	0.026	0.1441	0.0251	0.0367	0.1648	0.2333	-0.0016	-0.0033	0.0342	0.0829	0.1026
sad_vc_estimate_se	0.086	0.0538	0.0403	0.0176	0.0044	0.0046	0.0035	0.0016	0.0014	0.0015	0.0013	0.0026	0.0012	0.002	0.0011	0.0019	0.0025	0.0014	0.0013	0.0016	0.0017	0.0042	0.0061	0.0015	0.0011	0.0012	0.0013	0.0034	0.0011	0.001	0.0012	0.002	0.0048	0.0032	0.0015	0.0013	0.001	0.0009	0.001	0.0021	0.0026	0.0011	0.001	0.0021	0.0012	0.0012	0.0011	0.0009	0.0009	0.0009	0.0023	0.0009	0.0011	0.0009	0.0009	0.0011	0.0012	0.0014	0.001	0.0009	0.0011	0.0015	0.0013	0.0013	0.0009	0.0009	0.0012	0.0015	0.0008	0.0012	0.001	0.0012	0.0015	0.0014	0.002	0.0009	0.001	0.0009	0.0011	0.0009	0.0016	0.0009	0.0025	0.0045	0.0011	0.0011	0.0016	0.0014	0.001	0.0041	0.0009	0.0012	0.0013	0.0015	0.0015	0.0013	0.0017	0.0012	0.0009	0.0008
sad_vc_pvals	0.178	0.382	0.021	0.0	0.019	0.678	0.852	0.022	0.329	0.564	0.928	0.977	0.061	0.116	0.547	0.226	0.61	0.022	0.676	0.139	0.012	0.0	0.015	0.109	0.0	0.06	0.496	0.05	0.806	0.517	0.295	0.04	0.905	0.154	0.938	0.449	0.843	0.352	0.949	0.288	0.97	0.161	0.84	0.255	0.123	0.577	0.119	0.315	0.759	0.232	0.057	0.338	0.16	0.005	0.094	0.935	0.868	0.976	0.824	0.358	0.761	0.124	0.664	0.276	0.403	0.738	0.117	0.547	0.35	0.188	0.139	0.962	0.152	0.662	0.362	0.416	0.436	0.592	0.5	0.96	0.349	0.155	0.856	0.337	0.703	0.11	0.8	0.528	0.073	0.389	0.078	0.366	0.662	0.043	0.044	0.767	0.879	0.194	0.196	0.025
upper95_perm_sad	10.2906	9.3736	3.9477	2.824	6.9576	0.5673	0.2222	0.8711	0.1552	0.2243	0.5589	0.2767	0.2014	0.6341	0.0873	0.216	0.1318	0.2443	0.2182	0.6561	0.262	1.8412	2.5653	0.3212	0.4735	0.1785	0.2724	0.2605	0.2327	0.1599	0.3701	0.4321	0.1844	0.8091	0.471	0.2256	0.2637	0.1453	0.1991	0.2087	0.2014	0.1518	0.1812	0.8334	0.5357	0.2221	0.167	0.1925	0.0811	0.1393	0.3478	0.2657	0.1605	0.1197	0.309	0.192	0.3511	0.2276	0.1781	0.082	0.3223	0.3172	0.7481	0.1575	0.3047	0.5061	0.1075	0.1958	0.111	0.0983	0.1076	0.318	0.3305	0.2301	0.2078	0.2036	0.1222	0.2145	0.2537	0.1856	0.4939	0.3486	0.1263	0.3445	0.1367	0.1843	0.3881	0.0705	0.2985	0.2527	0.2907	0.1754	0.4918	0.2652	0.3882	0.21	0.3432	0.1331	0.3054	0.148
lower0_perm_sad	-0.6321	-0.3961	-0.2949	-0.1235	-0.0286	-0.0319	-0.0255	-0.0111	-0.0101	-0.0104	-0.0086	-0.0184	-0.0081	-0.0136	-0.0074	-0.0133	-0.0181	-0.0099	-0.0093	-0.0114	-0.0116	-0.0262	-0.043	-0.0102	-0.008	-0.0078	-0.0089	-0.025	-0.0079	-0.0069	-0.009	-0.0131	-0.0336	-0.0236	-0.0113	-0.009	-0.0069	-0.0067	-0.007	-0.0147	-0.0195	-0.0076	-0.0068	-0.0146	-0.0089	-0.008	-0.0072	-0.006	-0.0063	-0.0061	-0.0165	-0.0067	-0.0076	-0.0066	-0.0066	-0.0075	-0.0078	-0.0096	-0.0066	-0.0065	-0.0074	-0.0104	-0.0091	-0.0087	-0.0062	-0.0062	-0.0085	-0.0111	-0.0056	-0.0083	-0.0072	-0.0087	-0.0109	-0.0095	-0.014	-0.0067	-0.0069	-0.0065	-0.0074	-0.0064	-0.0107	-0.0063	-0.0181	-0.0316	-0.0073	-0.008	-0.0115	-0.0102	-0.0073	-0.0288	-0.006	-0.0085	-0.0088	-0.0098	-0.0104	-0.0092	-0.012	-0.0081	-0.0067	-0.0058
covar_vc_estimate	-5.3294	-1.9556	-5.4595	-10.0791	-8.7069	0.0149	0.0167	-1.1098	-0.0411	-0.0124	0.0104	0.017	-0.1923	-0.4831	-0.0028	-0.1031	0.0033	-0.3783	-0.0022	-0.4034	-0.4223	-4.1078	-3.606	-0.2447	-1.2496	-0.1871	-0.0404	-0.3125	0.0042	-0.0142	-0.171	-0.4804	0.0297	-0.4996	0.0092	-0.0266	0.0012	-0.0386	0.0058	-0.0744	0.0166	-0.0792	0.0033	-0.3241	-0.3888	-0.0197	-0.1239	-0.034	0.004	-0.0625	-0.3378	-0.0631	-0.0875	-0.241	-0.227	0.0053	0.0046	0.0091	0.0054	-0.0154	-0.005	-0.2208	-0.0355	-0.0479	-0.0696	-0.0036	-0.0634	-0.0288	-0.0275	-0.0335	-0.0718	0.0087	-0.2119	-0.0025	-0.0433	-0.0503	-0.0216	-0.009	-0.0255	0.0062	-0.1384	-0.2113	0.0146	-0.0778	-0.0005	-0.1465	0.002	-0.0035	-0.2415	-0.0344	-0.2533	-0.0498	-0.0618	-0.295	-0.3874	-0.003	0.0088	-0.0662	-0.1499	-0.1932
