	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.8378	-0.3657	-0.2087	-0.1404	-0.0322	-0.0331	-0.0182	0.0335	-0.0006	-0.0135	0.0348	0.0046	0.0267	0.0744	0.054	0.0088	-0.0119	-0.0121	-0.0101	-0.0034	0.1113	-0.0106	-0.0106	-0.003	0.0397	0.0164	-0.0065	-0.001	0.0342	-0.0036	-0.0012	0.0012	0.0015	-0.0106	0.0851	0.0064	-0.0134	0.0485	-0.0061	-0.0146	-0.0094	0.0162	0.0069	-0.0115	-0.0086	0.0102	-0.0067	0.0093	-0.0063	-0.0102	-0.0093	-0.0077	-0.0096	0.0306	-0.0103	-0.0106	0.037	-0.0051	0.0682	0.0257	-0.0054	0.0439	-0.0022	0.0709	-0.0012	0.0454	0.0032	0.0207	-0.0094	-0.0068	0.0246	-0.0095	0.0311	-0.0094	-0.0007	-0.008	-0.0026	0.107	-0.0106	0.0016	-0.0104	0.0166	-0.0071	-0.004	0.0153	-0.0055	-0.0022	-0.01	-0.0099	0.0119	-0.0104	0.0013	-0.0024	-0.0086	0.1228	-0.0069	-0.011	-0.0004	-0.001	0.0493
direct_vc_estimate_se	0.7313	0.3529	0.1625	0.1116	0.0274	0.0259	0.0141	0.0122	0.0109	0.011	0.0106	0.0101	0.0096	0.0104	0.0094	0.01	0.0092	0.0095	0.0081	0.009	0.0093	0.0083	0.0083	0.0084	0.0081	0.0083	0.008	0.0112	0.0096	0.0097	0.0094	0.0087	0.0094	0.0085	0.0083	0.0089	0.0109	0.0105	0.0109	0.0114	0.0085	0.008	0.0089	0.009	0.0101	0.0078	0.0078	0.0099	0.0077	0.0081	0.0076	0.0097	0.009	0.0082	0.0082	0.0082	0.009	0.0082	0.0091	0.0086	0.0081	0.0082	0.0082	0.0093	0.0078	0.0091	0.0087	0.0082	0.0088	0.0086	0.008	0.0079	0.0078	0.0077	0.0088	0.0078	0.0077	0.0081	0.0083	0.0082	0.0081	0.008	0.0079	0.0079	0.0082	0.0086	0.0077	0.0078	0.0079	0.0087	0.0081	0.0084	0.008	0.0073	0.0087	0.0075	0.0085	0.0068	0.0075	0.0077
direct_vc_pvals	0.794	0.767	0.952	0.911	0.866	0.931	0.986	0.208	0.457	0.835	0.234	0.399	0.178	0.078	0.133	0.318	0.972	0.932	0.9	0.565	0.025	0.926	0.985	0.494	0.073	0.235	0.684	0.513	0.134	0.599	0.471	0.476	0.409	0.887	0.086	0.54	0.861	0.244	0.64	0.953	0.8	0.32	0.283	0.925	0.695	0.319	0.747	0.334	0.655	0.933	0.864	0.671	0.736	0.207	0.902	0.975	0.222	0.584	0.052	0.178	0.626	0.102	0.45	0.055	0.436	0.162	0.436	0.193	0.702	0.711	0.196	0.88	0.169	0.89	0.564	0.736	0.517	0.018	0.937	0.52	0.932	0.293	0.741	0.605	0.258	0.65	0.545	0.997	0.922	0.413	0.98	0.398	0.603	0.841	0.015	0.698	0.997	0.436	0.497	0.157
upper95_perm_direct	4.3405	3.5836	1.2852	0.9975	0.4189	0.1353	0.0592	0.1033	0.0683	0.0523	0.1039	0.0864	0.0727	0.1043	0.0965	0.0634	0.0552	0.0954	0.0579	0.0764	0.0864	0.0428	0.0469	0.0423	0.0515	0.0582	0.0747	0.1247	0.0681	0.0961	0.0742	0.0844	0.0643	0.0966	0.1247	0.1415	0.0741	0.1291	0.0989	0.0729	0.0658	0.0774	0.052	0.0587	0.0785	0.0738	0.1031	0.0702	0.0708	0.0693	0.0722	0.0825	0.0632	0.0754	0.0682	0.0616	0.1038	0.0748	0.0704	0.0622	0.0701	0.065	0.0529	0.0764	0.0483	0.1003	0.0864	0.0602	0.0443	0.1007	0.0678	0.0727	0.0756	0.0847	0.0944	0.0558	0.0587	0.0769	0.0761	0.0874	0.079	0.0865	0.087	0.0638	0.0704	0.0792	0.0738	0.0813	0.0681	0.1125	0.0665	0.0605	0.0898	0.0588	0.086	0.055	0.0663	0.0464	0.0621	0.1074
lower0_perm_direct	-1.1323	-0.5457	-0.25	-0.1759	-0.0421	-0.0403	-0.0215	-0.0192	-0.0165	-0.0172	-0.0161	-0.0159	-0.0148	-0.016	-0.0147	-0.0148	-0.0142	-0.0142	-0.0125	-0.0136	-0.0145	-0.0129	-0.0126	-0.0129	-0.0125	-0.0124	-0.012	-0.0171	-0.0146	-0.0151	-0.0148	-0.0132	-0.0144	-0.0131	-0.0129	-0.0139	-0.0165	-0.0157	-0.0168	-0.0177	-0.0126	-0.0122	-0.0136	-0.0136	-0.0153	-0.0115	-0.0121	-0.0147	-0.0118	-0.0125	-0.0119	-0.0146	-0.0137	-0.0123	-0.0127	-0.0126	-0.0139	-0.0126	-0.014	-0.0131	-0.0124	-0.0122	-0.0126	-0.0143	-0.012	-0.0139	-0.0131	-0.0128	-0.0135	-0.0129	-0.0126	-0.0121	-0.012	-0.0119	-0.0134	-0.0119	-0.0117	-0.0126	-0.0127	-0.0123	-0.0125	-0.012	-0.0122	-0.0124	-0.0126	-0.0131	-0.0116	-0.0118	-0.0118	-0.0132	-0.012	-0.0127	-0.012	-0.0112	-0.0131	-0.0112	-0.0129	-0.0105	-0.0115	-0.0118
sad_vc_estimate	-0.7008	-0.2575	-0.2049	-0.1314	0.0014	-0.0276	-0.0161	0.0362	-0.001	-0.0125	0.0597	0.0349	0.0465	0.1093	0.052	0.0108	-0.0119	-0.0118	-0.0103	-0.0086	0.178	-0.0106	-0.0105	-0.0052	0.0543	0.0092	-0.0049	0.0052	0.0417	-0.0106	-0.0089	0.0015	0.0022	-0.0107	0.1065	0.0199	-0.0089	0.0575	-0.0091	-0.0123	-0.011	0.0222	0.0209	-0.0098	-0.005	0.008	-0.0049	0.0356	-0.0084	-0.0101	-0.006	-0.0074	-0.0075	0.0469	-0.0103	-0.0053	0.0426	-0.0017	0.0816	0.0534	-0.0014	0.0444	0.0038	0.0597	0.0019	0.0626	0.0066	0.0197	-0.0087	-0.008	0.0334	-0.0074	0.0586	-0.0083	-0.0089	-0.0081	0.0041	0.1296	-0.0107	0.0027	-0.0077	0.0113	-0.0075	-0.0044	0.0193	0.0007	-0.0007	-0.009	-0.0099	0.0251	-0.0105	-0.0036	0.0028	-0.0094	0.18	-0.0043	-0.0087	0.0017	0.012	0.0452
sad_vc_estimate_se	0.7321	0.3533	0.1627	0.1117	0.0275	0.026	0.0141	0.0122	0.0109	0.0111	0.0106	0.0102	0.0096	0.0104	0.0094	0.01	0.0092	0.0095	0.0081	0.009	0.0093	0.0083	0.0083	0.0084	0.0081	0.0083	0.008	0.0112	0.0096	0.0097	0.0094	0.0087	0.0094	0.0085	0.0084	0.009	0.0109	0.0106	0.011	0.0114	0.0085	0.008	0.0089	0.0091	0.0101	0.0078	0.0078	0.0099	0.0077	0.0081	0.0076	0.0097	0.009	0.0082	0.0082	0.0082	0.009	0.0082	0.0091	0.0086	0.0081	0.0082	0.0082	0.0093	0.0078	0.0091	0.0087	0.0083	0.0088	0.0086	0.008	0.0079	0.0078	0.0077	0.0088	0.0078	0.0077	0.0081	0.0083	0.0082	0.0081	0.008	0.008	0.0079	0.0083	0.0086	0.0077	0.0078	0.0079	0.0088	0.0081	0.0084	0.008	0.0073	0.0087	0.0076	0.0085	0.0068	0.0075	0.0077
sad_vc_pvals	0.708	0.725	0.908	0.867	0.638	0.732	0.772	0.251	0.461	0.772	0.168	0.213	0.126	0.035	0.155	0.333	0.996	0.904	0.952	0.769	0.012	0.928	0.937	0.6	0.069	0.347	0.656	0.522	0.128	0.807	0.723	0.504	0.447	0.935	0.085	0.452	0.674	0.31	0.731	0.77	0.987	0.325	0.22	0.766	0.613	0.389	0.696	0.154	0.825	0.91	0.677	0.674	0.724	0.135	0.915	0.681	0.229	0.527	0.063	0.105	0.562	0.128	0.414	0.106	0.393	0.142	0.449	0.227	0.672	0.782	0.205	0.735	0.096	0.807	0.788	0.745	0.389	0.018	0.97	0.517	0.748	0.377	0.79	0.629	0.275	0.505	0.556	0.861	0.915	0.332	0.998	0.583	0.531	0.956	0.007	0.601	0.742	0.438	0.341	0.177
upper95_perm_sad	5.8798	4.5401	1.3793	1.1506	0.4992	0.2008	0.0663	0.1413	0.0801	0.0719	0.1295	0.1006	0.0815	0.0948	0.1085	0.0753	0.0609	0.1161	0.065	0.0957	0.0977	0.0465	0.0564	0.0678	0.0642	0.0842	0.0914	0.1676	0.0846	0.1136	0.0761	0.0967	0.0828	0.1065	0.1381	0.1855	0.0909	0.179	0.1181	0.0923	0.0956	0.103	0.0635	0.0645	0.1021	0.0885	0.1093	0.0785	0.0878	0.0944	0.0678	0.0978	0.0875	0.0885	0.0915	0.0878	0.1173	0.0791	0.0952	0.0845	0.0846	0.0787	0.0739	0.0942	0.0559	0.1245	0.1021	0.0731	0.0547	0.1269	0.0896	0.0913	0.0886	0.0956	0.0971	0.0806	0.0716	0.0929	0.0989	0.1143	0.082	0.1027	0.1077	0.0796	0.0847	0.0904	0.0879	0.1036	0.0841	0.1354	0.0826	0.0745	0.1226	0.0824	0.1046	0.0596	0.0788	0.0642	0.0696	0.1084
lower0_perm_sad	-1.0936	-0.5395	-0.2509	-0.1728	-0.0422	-0.0396	-0.0221	-0.0185	-0.0171	-0.0169	-0.0164	-0.0153	-0.0147	-0.0157	-0.0149	-0.0153	-0.0144	-0.0141	-0.0121	-0.0132	-0.0143	-0.0129	-0.0127	-0.013	-0.0124	-0.0127	-0.0123	-0.0169	-0.0145	-0.0149	-0.0141	-0.0133	-0.0144	-0.013	-0.0126	-0.0135	-0.0168	-0.0161	-0.0163	-0.0175	-0.013	-0.0117	-0.0137	-0.0134	-0.0159	-0.0121	-0.0123	-0.015	-0.0117	-0.012	-0.0115	-0.0151	-0.0139	-0.0126	-0.0128	-0.0127	-0.0138	-0.0123	-0.0136	-0.0133	-0.0121	-0.0126	-0.0126	-0.014	-0.012	-0.0139	-0.0132	-0.0126	-0.0133	-0.0127	-0.0126	-0.0122	-0.012	-0.0119	-0.0133	-0.0116	-0.0119	-0.0124	-0.0128	-0.0125	-0.0128	-0.0124	-0.0124	-0.012	-0.0126	-0.013	-0.0115	-0.0116	-0.0124	-0.0133	-0.0121	-0.0133	-0.0122	-0.0112	-0.0133	-0.0117	-0.0132	-0.0104	-0.0113	-0.0117
