	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.0823	-0.0609	-0.004	0.1944	0.0861	-0.003	-0.0026	0.0384	0.0179	0.0011	0.0015	0.0626	0.0024	-0.001	0.0035	0.0052	-0.0016	-0.0023	-0.0014	-0.0027	0.0003	0.0024	0.015	0.0351	0.0026	-0.0013	0.0246	0.0029	0.0055	0.0552	-0.0013	0.0035	-0.0009	0.002	-0.0005	0.0049	-0.0012	-0.0019	0.0048	0.0069	0.0077	0.0375	-0.002	0.0069	0.0183	0.0017	-0.001	0.0137	0.021	-0.0018	-0.0008	-0.002	0.0211	-0.0015	-0.0019	0.0104	0.0053	-0.002	0.0015	-0.0016	0.0098	-0.0016	0.0001	-0.0016	-0.001	0.0026	0.0214	-0.0018	-0.001	0.0094	0.002	0.0067	0.0065	-0.0001	0.0038	0.0025	-0.0008	-0.0018	-0.0007	-0.0	0.0007	-0.0008	0.0004	-0.0011	-0.0018	0.0067	0.0077	0.0108	-0.0017	0.0078	0.0017	-0.0002	-0.0013	0.0078	-0.0011	0.0008	0.0002	0.0047	0.0033	0.0037
direct_vc_estimate_se	0.9134	0.5588	0.2053	0.2013	0.0477	0.0312	0.019	0.0222	0.019	0.0198	0.0195	0.0182	0.0165	0.014	0.0183	0.0171	0.0137	0.0165	0.0133	0.0216	0.0136	0.0198	0.0184	0.0163	0.0153	0.0146	0.0182	0.0174	0.0134	0.0149	0.013	0.0128	0.0143	0.0136	0.0119	0.0146	0.0127	0.0159	0.013	0.0142	0.0147	0.0138	0.0158	0.0152	0.0139	0.0161	0.0152	0.0169	0.0145	0.0154	0.0157	0.0144	0.0136	0.0142	0.0144	0.013	0.0133	0.0149	0.0137	0.0131	0.0127	0.0131	0.015	0.0154	0.0151	0.0161	0.012	0.0132	0.016	0.0119	0.0135	0.0134	0.0149	0.0121	0.0148	0.0121	0.0138	0.0182	0.0112	0.0147	0.0127	0.0119	0.0123	0.0161	0.0139	0.0126	0.0166	0.0135	0.0127	0.0133	0.0134	0.0142	0.017	0.0127	0.0125	0.012	0.0155	0.0154	0.0123	0.0125
direct_vc_pvals	0.65	0.744	0.544	0.035	0.015	0.662	0.897	0.019	0.043	0.342	0.393	0.003	0.297	0.632	0.223	0.177	0.786	0.995	0.735	0.806	0.485	0.361	0.11	0.012	0.292	0.725	0.029	0.313	0.219	0.001	0.727	0.315	0.643	0.387	0.615	0.213	0.754	0.797	0.254	0.176	0.201	0.001	0.825	0.17	0.075	0.351	0.615	0.093	0.056	0.8	0.625	0.91	0.03	0.725	0.873	0.117	0.235	0.924	0.401	0.794	0.153	0.79	0.495	0.743	0.643	0.352	0.031	0.989	0.609	0.144	0.387	0.205	0.161	0.563	0.24	0.305	0.621	0.726	0.672	0.479	0.497	0.648	0.544	0.603	0.86	0.21	0.2	0.096	0.875	0.14	0.355	0.51	0.634	0.139	0.696	0.462	0.436	0.261	0.276	0.302
upper95_perm_direct	1.2543	0.7573	0.3217	0.2547	0.0859	0.0466	0.0213	0.0448	0.0259	0.0239	0.0323	0.0326	0.0256	0.0256	0.0214	0.021	0.0189	0.0246	0.0278	0.0236	0.0295	0.0381	0.0377	0.0341	0.0232	0.0365	0.0314	0.0245	0.0278	0.0425	0.0281	0.0282	0.0251	0.0316	0.0311	0.024	0.0273	0.0288	0.0282	0.0266	0.0355	0.0244	0.025	0.0293	0.0384	0.0244	0.0302	0.0328	0.0365	0.0274	0.0287	0.0233	0.0263	0.0275	0.0293	0.0276	0.0321	0.0277	0.0274	0.026	0.0315	0.0249	0.0233	0.0269	0.0307	0.0291	0.027	0.0407	0.0311	0.0289	0.0304	0.0294	0.0256	0.0278	0.0252	0.0218	0.0235	0.0289	0.0243	0.0227	0.0327	0.0204	0.0331	0.0249	0.0266	0.0297	0.0333	0.0258	0.0261	0.0253	0.0236	0.0227	0.025	0.0241	0.0217	0.0288	0.0233	0.0278	0.0243	0.0278
lower0_perm_direct	-0.2328	-0.1481	-0.0541	-0.0532	-0.0123	-0.0082	-0.005	-0.0058	-0.0051	-0.0052	-0.0051	-0.0048	-0.0044	-0.0037	-0.0049	-0.0044	-0.0036	-0.0045	-0.0035	-0.0057	-0.0037	-0.0053	-0.0047	-0.0044	-0.0041	-0.0038	-0.0048	-0.0045	-0.0035	-0.0038	-0.0034	-0.0033	-0.0039	-0.0035	-0.0031	-0.0039	-0.0033	-0.0042	-0.0034	-0.0037	-0.0039	-0.0036	-0.0041	-0.0041	-0.0037	-0.0042	-0.0039	-0.0043	-0.0037	-0.0041	-0.0041	-0.0038	-0.0036	-0.0037	-0.0038	-0.0033	-0.0035	-0.0038	-0.0036	-0.0036	-0.0033	-0.0035	-0.0039	-0.0041	-0.0039	-0.0041	-0.0031	-0.0035	-0.0042	-0.0031	-0.0035	-0.0035	-0.0039	-0.0032	-0.0039	-0.003	-0.0036	-0.0049	-0.0029	-0.0038	-0.0033	-0.0031	-0.0033	-0.0042	-0.0036	-0.0032	-0.0045	-0.0035	-0.0033	-0.0035	-0.0035	-0.0037	-0.0044	-0.0033	-0.0033	-0.0031	-0.0041	-0.0041	-0.0032	-0.0033
sad_vc_estimate	0.0422	0.075	0.0299	0.464	0.2779	-0.0029	-0.0026	0.0125	0.0159	0.0134	-0.0025	0.1888	0.0029	-0.0017	0.0003	0.0142	-0.0003	-0.0016	0.0001	-0.0005	0.0055	0.0011	0.0695	0.057	0.0099	-0.0019	0.0588	0.0043	0.0031	0.0961	0.0001	0.0114	-0.0009	0.004	-0.0016	0.0252	-0.0003	-0.0008	0.0128	0.0067	0.0156	0.0635	-0.0021	0.0151	0.0206	0.001	-0.0021	0.0157	0.0232	-0.0016	0.012	-0.0012	0.0415	-0.0014	-0.0008	0.0153	0.0111	-0.0015	0.0127	-0.0014	0.0153	0.001	0.0014	-0.0021	0.0043	0.0063	0.0453	-0.0019	-0.0	0.0193	0.0026	0.0103	0.0222	-0.0012	0.0067	0.0104	0.0001	-0.0019	-0.001	0.0005	-0.0017	0.0008	0.0045	-0.0022	-0.0012	0.0056	0.0052	0.0095	-0.0007	0.0098	0.0033	0.0038	-0.0024	0.0153	-0.0017	0.002	0.0013	0.0081	0.009	0.0094
sad_vc_estimate_se	0.9166	0.5607	0.2061	0.2019	0.0479	0.0313	0.019	0.0223	0.019	0.0198	0.0195	0.0183	0.0165	0.014	0.0183	0.0171	0.0138	0.0166	0.0134	0.0216	0.0137	0.0198	0.0185	0.0163	0.0154	0.0147	0.0182	0.0174	0.0134	0.015	0.0131	0.0128	0.0144	0.0136	0.012	0.0147	0.0127	0.0159	0.0131	0.0142	0.0147	0.0138	0.0159	0.0152	0.0139	0.0162	0.0153	0.017	0.0145	0.0155	0.0157	0.0145	0.0136	0.0143	0.0145	0.013	0.0133	0.0149	0.0138	0.0132	0.0127	0.0132	0.015	0.0155	0.0152	0.0161	0.0121	0.0132	0.016	0.012	0.0135	0.0135	0.0149	0.0121	0.0149	0.0121	0.0138	0.0182	0.0113	0.0148	0.0127	0.012	0.0124	0.0162	0.0139	0.0127	0.0166	0.0136	0.0127	0.0133	0.0134	0.0142	0.0171	0.0128	0.0125	0.0121	0.0156	0.0154	0.0124	0.0125
sad_vc_pvals	0.463	0.364	0.425	0.009	0.0	0.742	0.953	0.261	0.106	0.104	0.879	0.0	0.403	0.833	0.484	0.077	0.574	0.775	0.578	0.558	0.327	0.601	0.025	0.003	0.137	0.907	0.002	0.348	0.42	0.003	0.588	0.232	0.703	0.387	0.932	0.045	0.662	0.641	0.17	0.26	0.157	0.0	0.904	0.138	0.129	0.462	0.983	0.141	0.123	0.794	0.215	0.719	0.013	0.769	0.715	0.137	0.189	0.781	0.154	0.807	0.123	0.46	0.471	0.924	0.361	0.315	0.012	0.992	0.622	0.085	0.427	0.197	0.057	0.818	0.236	0.146	0.56	0.784	0.765	0.524	0.905	0.507	0.405	0.961	0.723	0.32	0.351	0.192	0.692	0.189	0.368	0.326	0.942	0.108	0.903	0.43	0.469	0.236	0.225	0.235
upper95_perm_sad	1.8235	1.099	0.5474	0.3863	0.1634	0.0611	0.0281	0.0722	0.0411	0.031	0.0485	0.052	0.0377	0.0394	0.0381	0.0316	0.0279	0.0432	0.0361	0.0344	0.044	0.0781	0.0867	0.0489	0.0343	0.0621	0.0436	0.0438	0.0438	0.0695	0.0454	0.0564	0.0425	0.0442	0.0422	0.0393	0.0419	0.047	0.0459	0.0383	0.0508	0.0392	0.0489	0.045	0.0596	0.038	0.0447	0.0486	0.0665	0.0443	0.0492	0.0358	0.0427	0.0409	0.0531	0.0437	0.0458	0.0426	0.0409	0.0461	0.0436	0.0345	0.0396	0.0425	0.0444	0.0506	0.0467	0.0639	0.0511	0.0451	0.0453	0.0445	0.0398	0.0447	0.0342	0.0326	0.0411	0.0473	0.039	0.0321	0.0462	0.033	0.0488	0.0422	0.0358	0.0467	0.0505	0.0371	0.048	0.0364	0.0397	0.0332	0.0459	0.037	0.032	0.0383	0.0382	0.0458	0.0428	0.0463
lower0_perm_sad	-0.2394	-0.1459	-0.0553	-0.0519	-0.0126	-0.0082	-0.0049	-0.0058	-0.0048	-0.0052	-0.005	-0.0048	-0.0043	-0.0037	-0.0047	-0.0045	-0.0036	-0.0043	-0.0034	-0.0057	-0.0036	-0.0054	-0.0048	-0.0044	-0.004	-0.0039	-0.0048	-0.0045	-0.0035	-0.004	-0.0034	-0.0034	-0.0038	-0.0036	-0.0031	-0.0039	-0.0033	-0.004	-0.0034	-0.0037	-0.0037	-0.0036	-0.0041	-0.0039	-0.0037	-0.0043	-0.004	-0.0043	-0.0036	-0.004	-0.004	-0.0037	-0.0036	-0.0037	-0.0038	-0.0033	-0.0035	-0.0038	-0.0036	-0.0035	-0.0033	-0.0035	-0.0038	-0.0041	-0.004	-0.0042	-0.0032	-0.0034	-0.0042	-0.0031	-0.0035	-0.0036	-0.0039	-0.0032	-0.004	-0.0031	-0.0036	-0.0046	-0.0029	-0.0037	-0.0032	-0.0031	-0.0032	-0.0042	-0.0037	-0.0032	-0.0043	-0.0036	-0.0034	-0.0034	-0.0036	-0.0037	-0.0044	-0.0033	-0.0032	-0.0031	-0.0042	-0.004	-0.0034	-0.0032
