	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.0133	0.0	-0.002	0.0018	0.002	0.0003	0.0013	0.0016	0.0014	0.0029	0.0001	0.0089	0.0007	-0.0002	-0.0	-0.0003	-0.0002	-0.0002	0.0006	-0.0006	0.0001	0.0008	0.0043	0.0062	0.0001	-0.0002	-0.0	0.0021	0.0	0.0125	0.0026	0.0001	-0.0002	0.0004	-0.0002	0.0011	0.0	0.0007	-0.0002	-0.0002	0.0009	0.0041	0.0005	-0.0	0.0022	0.0031	0.0006	0.0122	0.0	-0.0003	0.001	0.0003	0.0034	-0.0001	-0.0	0.0009	0.0044	-0.0001	0.0033	0.0004	0.0044	-0.0002	0.0002	-0.0	0.0007	0.0028	0.0043	0.0001	0.0021	-0.0	0.0002	0.0001	0.0002	0.0022	0.0039	-0.0002	-0.0001	-0.0004	-0.0002	0.003	0.0	-0.0001	-0.0002	-0.0001	-0.0	-0.0003	-0.0	0.0026	0.0021	0.0011	0.0012	-0.0002	-0.0001	0.0019	0.0002	-0.0002	0.0014	0.0001	0.0007	0.0003
direct_vc_estimate_se	0.169	0.0706	0.0326	0.0293	0.0055	0.0041	0.0031	0.0028	0.0023	0.0034	0.0018	0.0021	0.002	0.0021	0.0016	0.002	0.0015	0.0018	0.0016	0.006	0.0018	0.0067	0.0048	0.0015	0.0017	0.0019	0.0022	0.0025	0.0021	0.0017	0.0016	0.002	0.0015	0.0016	0.0018	0.0015	0.0024	0.0015	0.0019	0.0016	0.002	0.0022	0.0016	0.0015	0.0023	0.0017	0.0016	0.0028	0.0016	0.002	0.0026	0.0017	0.0018	0.0018	0.0017	0.0022	0.0016	0.0016	0.0015	0.0018	0.0015	0.0016	0.0015	0.0018	0.0014	0.0024	0.0017	0.0015	0.003	0.0014	0.0017	0.0016	0.0019	0.0015	0.002	0.0015	0.0017	0.0045	0.0014	0.0017	0.0017	0.0013	0.0016	0.0016	0.0021	0.0022	0.0025	0.0015	0.002	0.0015	0.0021	0.0017	0.0014	0.0015	0.0015	0.002	0.0016	0.003	0.0017	0.0019
direct_vc_pvals	0.733	0.642	0.737	0.526	0.41	0.616	0.204	0.394	0.214	0.12	0.663	0.017	0.379	0.89	0.634	0.988	0.848	0.892	0.407	0.773	0.672	0.4	0.157	0.048	0.562	0.883	0.673	0.179	0.661	0.017	0.172	0.659	0.914	0.495	0.849	0.313	0.629	0.374	0.955	0.872	0.472	0.058	0.437	0.727	0.32	0.103	0.475	0.004	0.703	0.989	0.314	0.473	0.088	0.796	0.74	0.402	0.074	0.842	0.089	0.431	0.113	0.855	0.621	0.675	0.363	0.19	0.062	0.736	0.247	0.753	0.54	0.676	0.525	0.238	0.067	0.954	0.779	0.737	0.923	0.106	0.757	0.842	0.978	0.792	0.673	0.953	0.728	0.145	0.241	0.26	0.246	0.994	0.863	0.203	0.558	0.904	0.216	0.589	0.46	0.539
upper95_perm_direct	0.3574	0.1868	0.078	0.0603	0.0177	0.0125	0.0046	0.0118	0.005	0.0062	0.009	0.0074	0.0063	0.0069	0.0037	0.0044	0.0041	0.0064	0.0057	0.0062	0.0079	0.0106	0.0113	0.0082	0.0047	0.0099	0.0074	0.0058	0.0061	0.0109	0.0068	0.0072	0.0095	0.0069	0.0071	0.0057	0.0065	0.0054	0.0056	0.0056	0.008	0.0056	0.0054	0.0053	0.0116	0.0066	0.0074	0.0083	0.0093	0.0059	0.0063	0.0045	0.0057	0.0065	0.0073	0.0072	0.0069	0.006	0.0056	0.0048	0.0078	0.0047	0.0059	0.0055	0.0046	0.0081	0.0061	0.0117	0.0082	0.0082	0.006	0.0058	0.0049	0.0075	0.0054	0.0053	0.0058	0.0093	0.007	0.0059	0.0091	0.0048	0.0079	0.0058	0.0064	0.0077	0.0085	0.006	0.0074	0.0043	0.0049	0.0052	0.0064	0.0057	0.0049	0.0042	0.0053	0.0063	0.0073	0.0075
lower0_perm_direct	-0.0321	-0.0133	-0.0062	-0.0056	-0.001	-0.0008	-0.0006	-0.0005	-0.0004	-0.0007	-0.0003	-0.0004	-0.0004	-0.0004	-0.0003	-0.0004	-0.0003	-0.0003	-0.0003	-0.0012	-0.0003	-0.0013	-0.0009	-0.0003	-0.0003	-0.0004	-0.0004	-0.0005	-0.0004	-0.0003	-0.0003	-0.0004	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004	-0.0003	-0.0003	-0.0003	-0.0004	-0.0004	-0.0003	-0.0003	-0.0004	-0.0003	-0.0003	-0.0005	-0.0003	-0.0004	-0.0005	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0005	-0.0003	-0.0003	-0.0006	-0.0003	-0.0003	-0.0003	-0.0004	-0.0003	-0.0004	-0.0003	-0.0003	-0.0009	-0.0003	-0.0003	-0.0003	-0.0002	-0.0003	-0.0003	-0.0004	-0.0004	-0.0005	-0.0003	-0.0004	-0.0003	-0.0004	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004	-0.0003	-0.0005	-0.0003	-0.0004
sad_vc_estimate	0.0229	0.0442	-0.0003	0.0219	0.0323	0.0006	0.0047	0.0047	0.0013	0.0117	0.0017	0.0418	0.0063	0.0008	0.0012	0.0022	0.0007	-0.0002	0.0036	-0.0008	0.001	0.014	0.0396	0.0073	-0.0001	0.0005	0.0019	0.0037	0.0	0.035	0.0075	0.0045	0.0	-0.0002	-0.0001	0.0133	0.0022	0.0047	-0.0001	-0.0001	0.0019	0.0158	0.0021	0.0006	0.0098	0.005	0.0001	0.0326	-0.0001	0.0019	0.0117	0.0002	0.0132	0.0	0.0001	0.0026	0.015	0.0002	0.0093	-0.0002	0.0065	0.0009	0.002	-0.0002	0.0056	0.0128	0.024	0.0006	0.0015	-0.0	0.0003	0.0008	0.0068	0.0009	0.0059	-0.0001	-0.0002	-0.0002	-0.0	0.0054	0.0025	0.0001	0.0005	-0.0001	0.0033	-0.0003	0.0039	0.0028	0.0082	0.0027	0.0049	0.0006	-0.0002	0.0058	0.0027	-0.0	0.0019	0.0033	0.0039	0.0022
sad_vc_estimate_se	0.1707	0.0715	0.033	0.0295	0.0055	0.0042	0.0031	0.0028	0.0024	0.0035	0.0018	0.0021	0.0021	0.0021	0.0016	0.002	0.0015	0.0018	0.0016	0.006	0.0018	0.0068	0.0048	0.0015	0.0017	0.0019	0.0022	0.0026	0.0022	0.0017	0.0016	0.002	0.0015	0.0017	0.0018	0.0015	0.0025	0.0016	0.0019	0.0016	0.002	0.0022	0.0016	0.0015	0.0023	0.0018	0.0016	0.0028	0.0016	0.002	0.0026	0.0017	0.0018	0.0018	0.0017	0.0023	0.0016	0.0016	0.0015	0.0018	0.0016	0.0017	0.0016	0.0018	0.0014	0.0024	0.0017	0.0015	0.003	0.0014	0.0017	0.0016	0.0019	0.0015	0.002	0.0015	0.0017	0.0045	0.0014	0.0017	0.0018	0.0013	0.0016	0.0016	0.0021	0.0022	0.0025	0.0015	0.002	0.0016	0.0021	0.0018	0.0014	0.0015	0.0015	0.002	0.0016	0.003	0.0017	0.0019
sad_vc_pvals	0.598	0.403	0.807	0.323	0.056	0.691	0.119	0.448	0.512	0.041	0.536	0.003	0.178	0.591	0.38	0.285	0.501	0.96	0.253	0.948	0.638	0.235	0.056	0.17	0.865	0.732	0.459	0.298	0.777	0.018	0.15	0.312	0.836	0.944	0.863	0.036	0.399	0.245	0.892	0.85	0.54	0.023	0.431	0.576	0.212	0.149	0.782	0.003	0.896	0.456	0.087	0.693	0.036	0.802	0.784	0.456	0.064	0.689	0.079	0.873	0.181	0.528	0.412	0.907	0.144	0.09	0.006	0.787	0.503	0.832	0.659	0.607	0.099	0.626	0.135	0.849	0.925	0.777	0.847	0.148	0.419	0.765	0.698	0.837	0.315	0.981	0.376	0.331	0.17	0.283	0.157	0.601	0.97	0.15	0.323	0.78	0.371	0.316	0.31	0.439
upper95_perm_sad	0.7939	0.378	0.2469	0.1433	0.0444	0.0345	0.0094	0.0396	0.0164	0.0142	0.0223	0.0202	0.0178	0.018	0.0098	0.0101	0.0088	0.0174	0.0136	0.014	0.0211	0.0439	0.0534	0.0215	0.0108	0.0291	0.0174	0.0165	0.0177	0.0363	0.0178	0.0226	0.0206	0.0169	0.017	0.0145	0.0157	0.0188	0.0209	0.0124	0.0213	0.0148	0.0172	0.0142	0.0328	0.0114	0.0206	0.022	0.028	0.0206	0.0194	0.0123	0.0148	0.0216	0.0197	0.0209	0.0209	0.0145	0.0144	0.0139	0.0181	0.0138	0.0159	0.0147	0.013	0.0223	0.0163	0.0355	0.0213	0.0197	0.015	0.0165	0.0123	0.0202	0.0137	0.0124	0.0139	0.021	0.0134	0.0136	0.0225	0.0126	0.0209	0.0145	0.0176	0.0213	0.0248	0.0149	0.0231	0.011	0.0116	0.0136	0.0179	0.0145	0.0148	0.0112	0.0139	0.0166	0.019	0.0218
lower0_perm_sad	-0.0319	-0.013	-0.0063	-0.0056	-0.001	-0.0008	-0.0006	-0.0005	-0.0004	-0.0006	-0.0003	-0.0004	-0.0004	-0.0004	-0.0003	-0.0004	-0.0003	-0.0003	-0.0003	-0.0012	-0.0003	-0.0012	-0.0009	-0.0003	-0.0003	-0.0004	-0.0004	-0.0005	-0.0004	-0.0003	-0.0003	-0.0004	-0.0003	-0.0003	-0.0003	-0.0003	-0.0005	-0.0003	-0.0004	-0.0003	-0.0004	-0.0004	-0.0003	-0.0003	-0.0004	-0.0003	-0.0003	-0.0005	-0.0003	-0.0004	-0.0005	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004	-0.0003	-0.0003	-0.0006	-0.0003	-0.0003	-0.0003	-0.0004	-0.0003	-0.0004	-0.0003	-0.0003	-0.0009	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004	-0.0004	-0.0005	-0.0003	-0.0004	-0.0003	-0.0004	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004	-0.0003	-0.0006	-0.0003	-0.0003
