	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.5386	-0.0394	-0.0082	-0.0026	-0.0035	-0.002	-0.0013	0.0098	0.0026	-0.001	-0.0002	0.0024	-0.0001	-0.0007	0.0033	0.0059	0.0006	-0.0005	0.0001	-0.0006	0.0002	0.0039	0.0006	0.0042	0.0031	0.0032	0.0009	-0.0003	0.0031	-0.0002	0.0136	0.0558	0.0027	-0.0009	0.0004	0.0035	-0.0001	0.0074	0.0039	-0.0001	0.0029	0.0015	-0.0007	0.0181	0.0037	0.0075	-0.0007	0.0015	-0.0001	0.0025	0.0152	0.0027	0.0024	-0.0004	-0.0003	0.0	0.004	0.0068	-0.0006	-0.0006	-0.0007	-0.0005	0.0073	0.0021	0.0005	0.0039	0.0008	0.0064	-0.0006	0.0028	-0.0007	-0.0007	-0.0007	-0.0002	0.0057	0.0093	0.0018	-0.0006	0.0002	0.0002	0.0007	0.0006	-0.0006	-0.0011	0.0054	-0.0002	-0.0004	-0.0006	0.0121	0.0003	0.0001	0.0016	-0.0012	-0.0006	0.0007	0.0013	-0.0006	-0.0004	0.0032	0.0017
direct_vc_estimate_se	0.3587	0.2138	0.08	0.0709	0.0235	0.0118	0.0069	0.006	0.0082	0.0054	0.0053	0.0053	0.0048	0.0045	0.0041	0.0047	0.0041	0.0038	0.0049	0.0035	0.005	0.0047	0.0037	0.0038	0.0045	0.0037	0.0046	0.0048	0.0042	0.004	0.0042	0.0046	0.0045	0.0052	0.0055	0.0062	0.0044	0.004	0.0042	0.0044	0.0045	0.0038	0.004	0.0046	0.0049	0.0041	0.0038	0.0037	0.0046	0.0037	0.0041	0.0043	0.0036	0.0057	0.0072	0.0036	0.0043	0.0054	0.0034	0.0041	0.0041	0.0043	0.0044	0.0039	0.004	0.0054	0.0035	0.0043	0.0037	0.004	0.0041	0.0039	0.0045	0.0043	0.0038	0.0051	0.0053	0.0034	0.0041	0.0052	0.0037	0.0041	0.0032	0.0059	0.0047	0.0038	0.0034	0.0034	0.0031	0.0035	0.0041	0.0039	0.0063	0.0047	0.0031	0.0044	0.0034	0.0035	0.0036	0.0041
direct_vc_pvals	0.027	0.974	0.691	0.48	0.771	0.848	0.958	0.112	0.287	0.924	0.615	0.336	0.477	0.808	0.113	0.058	0.338	0.785	0.478	0.953	0.507	0.076	0.339	0.112	0.227	0.233	0.457	0.639	0.21	0.643	0.028	0.0	0.25	0.88	0.514	0.315	0.568	0.166	0.082	0.591	0.257	0.327	0.926	0.004	0.206	0.074	0.975	0.445	0.55	0.243	0.021	0.201	0.176	0.631	0.571	0.592	0.155	0.069	0.943	0.775	0.933	0.705	0.07	0.249	0.512	0.249	0.339	0.11	0.758	0.234	0.949	0.921	0.83	0.675	0.079	0.058	0.348	0.891	0.491	0.601	0.463	0.42	0.916	0.978	0.147	0.716	0.699	0.878	0.01	0.457	0.496	0.26	0.944	0.75	0.442	0.342	0.898	0.694	0.117	0.301
upper95_perm_direct	0.6171	0.3905	0.1834	0.0934	0.0419	0.024	0.0131	0.0201	0.0179	0.014	0.0196	0.0167	0.0072	0.0088	0.0071	0.0087	0.0079	0.0095	0.0106	0.008	0.0124	0.0066	0.0069	0.0088	0.0129	0.0124	0.0149	0.0142	0.0123	0.013	0.0148	0.0181	0.0128	0.0151	0.0164	0.022	0.0128	0.0197	0.0077	0.0098	0.0137	0.0108	0.0111	0.0123	0.0132	0.0128	0.0086	0.0176	0.0093	0.0105	0.0155	0.0106	0.0086	0.0116	0.014	0.0117	0.0126	0.0113	0.0103	0.0099	0.0145	0.0123	0.0117	0.0097	0.0156	0.0198	0.0072	0.0147	0.0061	0.0123	0.0134	0.0101	0.0099	0.0141	0.0098	0.0137	0.0154	0.008	0.0087	0.0203	0.0106	0.0105	0.0087	0.0137	0.0155	0.0196	0.0089	0.0093	0.0086	0.0083	0.0097	0.0094	0.0189	0.0122	0.0111	0.0119	0.0129	0.0072	0.0076	0.0108
lower0_perm_direct	-0.1081	-0.0651	-0.0243	-0.0221	-0.0071	-0.0035	-0.0021	-0.0018	-0.0025	-0.0017	-0.0016	-0.0016	-0.0015	-0.0014	-0.0012	-0.0014	-0.0012	-0.0011	-0.0015	-0.001	-0.0015	-0.0014	-0.0011	-0.0011	-0.0014	-0.0011	-0.0014	-0.0014	-0.0013	-0.0012	-0.0013	-0.0014	-0.0014	-0.0016	-0.0017	-0.0019	-0.0013	-0.0012	-0.0013	-0.0013	-0.0014	-0.0012	-0.0012	-0.0014	-0.0014	-0.0012	-0.0011	-0.0011	-0.0014	-0.0011	-0.0012	-0.0013	-0.0011	-0.0017	-0.0022	-0.0011	-0.0013	-0.0016	-0.001	-0.0012	-0.0012	-0.0013	-0.0013	-0.0012	-0.0012	-0.0016	-0.001	-0.0013	-0.0011	-0.0012	-0.0012	-0.0012	-0.0014	-0.0013	-0.0012	-0.0015	-0.0016	-0.001	-0.0012	-0.0015	-0.0011	-0.0012	-0.0009	-0.0018	-0.0014	-0.0011	-0.0011	-0.001	-0.0009	-0.0011	-0.0013	-0.0012	-0.0019	-0.0014	-0.0009	-0.0013	-0.001	-0.001	-0.0011	-0.0012
sad_vc_estimate	1.4023	-0.0054	0.0042	-0.0109	0.0042	-0.0005	-0.0	0.016	0.0047	-0.001	-0.0006	0.0056	0.0037	0.001	0.0081	0.0048	0.0017	-0.0007	0.0018	-0.0003	0.0065	0.0064	0.0025	0.0028	0.0153	0.0027	0.0008	0.0064	0.0073	-0.0006	0.0431	0.0928	0.0045	0.0026	-0.001	0.0125	-0.0008	0.0173	0.0137	-0.0005	0.0023	0.0036	0.0	0.0339	0.0039	0.0528	-0.0007	0.0094	0.0011	0.011	0.0234	0.002	0.004	-0.0009	-0.0006	0.0006	0.0067	0.0089	-0.0006	0.0005	0.0033	-0.0008	0.0233	0.0137	0.0028	0.0043	0.0042	0.0018	-0.0006	0.0052	-0.0001	-0.0005	-0.0008	0.0022	0.0173	0.0127	0.0043	-0.0006	0.0011	0.0006	0.0028	0.0013	-0.0006	0.0018	0.0315	0.0018	-0.0006	0.0004	0.0083	-0.0001	0.0047	0.001	-0.0003	0.0035	0.0006	0.0024	-0.0003	-0.0001	0.0067	0.0004
sad_vc_estimate_se	0.3623	0.2155	0.0807	0.0715	0.0236	0.0119	0.0069	0.0061	0.0082	0.0054	0.0054	0.0054	0.0049	0.0046	0.0042	0.0048	0.0041	0.0038	0.005	0.0035	0.0051	0.0047	0.0037	0.0038	0.0045	0.0037	0.0046	0.0049	0.0042	0.0041	0.0043	0.0047	0.0046	0.0053	0.0056	0.0063	0.0045	0.004	0.0043	0.0045	0.0045	0.0039	0.0041	0.0047	0.005	0.0041	0.0038	0.0037	0.0046	0.0037	0.0041	0.0044	0.0036	0.0057	0.0073	0.0036	0.0044	0.0054	0.0035	0.0041	0.0042	0.0044	0.0044	0.004	0.0041	0.0054	0.0035	0.0043	0.0037	0.0041	0.0041	0.004	0.0046	0.0043	0.0038	0.0051	0.0053	0.0035	0.0042	0.0053	0.0037	0.0041	0.0032	0.0059	0.0047	0.0039	0.0035	0.0034	0.0032	0.0036	0.0042	0.004	0.0064	0.0047	0.0031	0.0044	0.0035	0.0035	0.0036	0.0041
sad_vc_pvals	0.014	0.597	0.648	0.786	0.509	0.663	0.591	0.186	0.335	0.974	0.804	0.336	0.216	0.416	0.075	0.167	0.338	0.977	0.409	0.709	0.261	0.109	0.307	0.314	0.059	0.367	0.605	0.3	0.21	0.881	0.001	0.0	0.304	0.464	0.925	0.249	0.971	0.12	0.037	0.764	0.429	0.386	0.695	0.005	0.343	0.002	0.983	0.224	0.5	0.148	0.058	0.448	0.235	0.838	0.717	0.629	0.233	0.149	0.987	0.592	0.416	0.986	0.02	0.047	0.441	0.376	0.241	0.5	0.873	0.266	0.734	0.826	0.941	0.508	0.017	0.09	0.341	0.903	0.481	0.656	0.405	0.461	0.949	0.468	0.033	0.551	0.956	0.61	0.12	0.652	0.242	0.525	0.736	0.391	0.627	0.391	0.806	0.684	0.122	0.602
upper95_perm_sad	1.1974	0.6834	0.3802	0.1788	0.0799	0.0473	0.0215	0.0463	0.0341	0.0266	0.0338	0.0344	0.0137	0.0135	0.0138	0.0159	0.0136	0.0246	0.019	0.0136	0.027	0.0149	0.0147	0.0185	0.0229	0.0227	0.0306	0.0328	0.0286	0.0259	0.0276	0.0459	0.0243	0.028	0.0245	0.0502	0.0248	0.0362	0.0172	0.0179	0.0243	0.0263	0.0216	0.0237	0.0274	0.0299	0.0171	0.0315	0.0238	0.0278	0.0348	0.0234	0.0169	0.0219	0.0229	0.0252	0.0267	0.0212	0.0212	0.0172	0.031	0.019	0.0244	0.0189	0.0328	0.0354	0.017	0.0324	0.0133	0.0215	0.0296	0.0209	0.0196	0.0312	0.0161	0.0222	0.0292	0.0153	0.0217	0.0372	0.0237	0.0208	0.0137	0.0271	0.0362	0.0385	0.0155	0.0203	0.0181	0.0135	0.0192	0.0185	0.0334	0.03	0.0212	0.0193	0.0273	0.0155	0.0162	0.0189
lower0_perm_sad	-0.1086	-0.0648	-0.0239	-0.0222	-0.0071	-0.0036	-0.0021	-0.0018	-0.0025	-0.0016	-0.0017	-0.0016	-0.0014	-0.0014	-0.0013	-0.0014	-0.0013	-0.0011	-0.0016	-0.0011	-0.0015	-0.0014	-0.0011	-0.0012	-0.0013	-0.0011	-0.0014	-0.0014	-0.0013	-0.0012	-0.0013	-0.0014	-0.0014	-0.0016	-0.0016	-0.0018	-0.0014	-0.0012	-0.0013	-0.0013	-0.0014	-0.0012	-0.0012	-0.0014	-0.0015	-0.0012	-0.0011	-0.0011	-0.0014	-0.0012	-0.0012	-0.0013	-0.001	-0.0017	-0.0022	-0.0011	-0.0013	-0.0016	-0.001	-0.0012	-0.0012	-0.0013	-0.0013	-0.0012	-0.0012	-0.0016	-0.001	-0.0013	-0.0011	-0.0012	-0.0012	-0.0012	-0.0013	-0.0013	-0.0012	-0.0015	-0.0016	-0.0011	-0.0012	-0.0016	-0.0011	-0.0012	-0.001	-0.0018	-0.0014	-0.0011	-0.0011	-0.001	-0.001	-0.0011	-0.0012	-0.0012	-0.0019	-0.0014	-0.0009	-0.0013	-0.001	-0.001	-0.0011	-0.0012
