	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	7.3488	3.6926	5.0012	7.8395	0.0565	0.0439	-0.0674	0.0774	0.0516	-0.059	-0.0128	-0.0318	-0.0362	-0.0312	0.0296	0.0132	-0.0353	0.2439	0.0994	-0.064	-0.0199	-0.0554	-0.0555	0.0619	-0.0456	0.0586	-0.0381	0.1216	0.3202	1.0367	0.1246	-0.0177	-0.0444	-0.0894	-0.0429	-0.0019	-0.0508	-0.0194	-0.0579	0.7149	0.0567	0.109	-0.0227	-0.0957	0.2699	0.1354	-0.0434	0.1522	0.0096	-0.0317	-0.0326	-0.0366	0.2445	-0.0453	0.0351	-0.087	0.0275	-0.0346	-0.0144	0.1685	0.1064	0.2094	-0.0467	0.1484	-0.0737	0.4814	0.219	-0.0217	0.1195	0.3015	-0.0379	-0.0055	0.0871	0.0193	0.1929	0.2832	0.3545	-0.0394	-0.0477	-0.0394	0.0534	-0.0722	1.1379	-0.0119	-0.0362	0.1972	-0.041	0.0201	0.0784	0.1686	0.0122	0.1109	0.3015	-0.0554	0.0064	0.128	0.0267	-0.0137	0.0753	0.2396
direct_vc_estimate_se	0.1006	0.0462	0.0173	0.024	0.0041	0.002	0.0013	0.0013	0.0008	0.0013	0.0009	0.0009	0.0009	0.0008	0.0007	0.0013	0.0006	0.001	0.0009	0.0013	0.0006	0.0008	0.0008	0.0015	0.0012	0.0009	0.0006	0.0009	0.0012	0.0012	0.0009	0.0008	0.0007	0.0015	0.0007	0.0012	0.0008	0.0008	0.0009	0.0011	0.0012	0.0008	0.0009	0.0015	0.0009	0.0012	0.0007	0.0013	0.0008	0.0005	0.0008	0.0006	0.0007	0.0008	0.0013	0.0014	0.0008	0.0008	0.0007	0.0013	0.0013	0.001	0.0007	0.0005	0.0012	0.0015	0.0009	0.0005	0.0011	0.001	0.0008	0.0012	0.001	0.0008	0.0009	0.0007	0.0008	0.0009	0.001	0.0008	0.001	0.0012	0.0013	0.001	0.0006	0.0009	0.0007	0.0009	0.001	0.0006	0.0008	0.0008	0.001	0.0008	0.0006	0.0009	0.0009	0.0008	0.0009	0.0012
direct_vc_pvals	0.151	0.301	0.001	0.027	0.532	0.467	0.727	0.434	0.275	0.636	0.42	0.505	0.633	0.468	0.304	0.428	0.658	0.219	0.319	0.756	0.581	0.945	0.992	0.669	0.781	0.092	0.889	0.144	0.034	0.004	0.104	0.531	0.876	0.86	0.883	0.629	0.928	0.548	0.992	0.03	0.455	0.317	0.554	0.874	0.193	0.423	0.855	0.18	0.375	0.78	0.648	0.863	0.079	0.726	0.316	0.865	0.184	0.673	0.562	0.173	0.295	0.383	0.89	0.195	0.849	0.046	0.099	0.677	0.23	0.073	0.753	0.569	0.35	0.418	0.215	0.006	0.034	0.633	0.654	0.732	0.474	0.902	0.015	0.522	0.841	0.159	0.704	0.42	0.211	0.179	0.283	0.149	0.1	0.979	0.425	0.338	0.411	0.538	0.41	0.265
upper95_perm_direct	20.6744	21.1753	2.151	7.3491	1.6347	1.1998	0.4219	0.7496	0.3385	0.3605	0.1926	0.2175	0.3502	0.123	0.2776	0.5516	0.0311	0.5586	0.6342	0.8734	0.2316	0.1947	0.2598	0.9683	1.0327	0.1055	0.1982	0.2915	0.3209	0.7959	0.2496	0.2812	0.1542	1.069	0.3092	0.3452	0.2266	0.3349	0.4021	0.7206	0.7122	0.6	0.4058	0.4265	0.6691	0.8262	0.7671	0.4436	0.3327	0.0909	0.3461	0.1473	0.3215	0.2663	0.4211	0.7362	0.1465	0.2913	0.3743	0.5356	0.6051	0.7592	0.2924	0.2865	0.6498	0.5408	0.3411	0.2297	0.4589	0.3991	0.5324	0.7963	0.46	0.3799	0.5163	0.1592	0.3645	0.2615	0.3083	0.3874	0.6852	0.9426	0.9145	0.4943	0.3513	0.4057	0.1238	0.2529	0.2974	0.3618	0.1704	0.2688	0.4609	0.213	0.2845	0.6062	0.3949	0.3189	0.7868	0.6832
lower0_perm_direct	-9.0625	-4.2406	-1.5507	-2.2008	-0.369	-0.1767	-0.116	-0.1224	-0.0712	-0.1116	-0.0801	-0.0821	-0.0823	-0.0738	-0.0645	-0.1145	-0.0537	-0.0916	-0.0819	-0.1173	-0.051	-0.0746	-0.0742	-0.1314	-0.1031	-0.0766	-0.0548	-0.0856	-0.1096	-0.1135	-0.0853	-0.0709	-0.0593	-0.1378	-0.0597	-0.1091	-0.0708	-0.0748	-0.0788	-0.0938	-0.1093	-0.0756	-0.081	-0.1328	-0.0867	-0.1113	-0.0662	-0.111	-0.0753	-0.0462	-0.0717	-0.05	-0.0566	-0.0764	-0.1192	-0.1237	-0.0741	-0.0687	-0.0654	-0.1165	-0.1131	-0.0933	-0.0659	-0.0406	-0.1087	-0.1336	-0.0785	-0.0484	-0.0981	-0.0903	-0.0735	-0.112	-0.0916	-0.068	-0.083	-0.0642	-0.0713	-0.0823	-0.0917	-0.0694	-0.0881	-0.1049	-0.1159	-0.0902	-0.0531	-0.0834	-0.0649	-0.0772	-0.0883	-0.0532	-0.0748	-0.0733	-0.0911	-0.0759	-0.0565	-0.0819	-0.0817	-0.0727	-0.0857	-0.1074
sad_vc_estimate	8.396	2.1764	5.0311	6.0996	0.1507	0.0487	-0.0653	0.0891	0.0482	-0.0542	-0.0115	-0.0313	-0.0356	-0.0265	0.0394	-0.0096	-0.0337	0.2775	0.135	-0.0369	-0.017	-0.0559	-0.055	0.0817	-0.0302	0.0654	-0.0383	0.1142	0.397	1.0604	0.1493	-0.018	-0.0446	-0.0912	-0.0407	0.035	-0.0515	-0.0161	-0.0573	0.7483	0.0339	0.15	-0.0071	-0.0984	0.3059	0.2014	-0.049	0.2064	-0.0153	-0.0279	-0.0346	-0.0366	0.2874	-0.0479	0.0577	-0.0731	0.031	-0.045	-0.0226	0.2568	0.0978	0.2618	-0.0471	0.1562	-0.0693	0.4632	0.2452	-0.0251	0.0907	0.3006	-0.0351	0.002	0.117	0.0289	0.1955	0.2983	0.3783	-0.0476	-0.0434	-0.0429	0.0667	-0.0679	1.1569	-0.0073	-0.0365	0.2458	-0.0416	0.0416	0.0679	0.1301	-0.0137	0.0947	0.3312	-0.0495	0.0014	0.1195	0.0312	-0.0065	0.0603	0.2894
sad_vc_estimate_se	0.1006	0.0462	0.0173	0.024	0.0041	0.002	0.0013	0.0013	0.0008	0.0013	0.0009	0.0009	0.0009	0.0008	0.0007	0.0013	0.0006	0.001	0.0009	0.0013	0.0006	0.0008	0.0008	0.0015	0.0012	0.0009	0.0006	0.0009	0.0012	0.0012	0.0009	0.0008	0.0007	0.0015	0.0007	0.0012	0.0008	0.0008	0.0009	0.0011	0.0012	0.0008	0.0009	0.0015	0.0009	0.0012	0.0007	0.0013	0.0008	0.0005	0.0008	0.0006	0.0007	0.0008	0.0013	0.0014	0.0008	0.0008	0.0007	0.0013	0.0013	0.001	0.0007	0.0005	0.0012	0.0015	0.0009	0.0005	0.0011	0.001	0.0008	0.0012	0.001	0.0008	0.0009	0.0007	0.0008	0.0009	0.001	0.0008	0.001	0.0012	0.0013	0.001	0.0006	0.0009	0.0007	0.0009	0.001	0.0006	0.0008	0.0008	0.001	0.0008	0.0006	0.0009	0.0009	0.0008	0.0009	0.0012
sad_vc_pvals	0.145	0.356	0.002	0.048	0.581	0.472	0.694	0.404	0.283	0.601	0.479	0.528	0.605	0.422	0.314	0.47	0.569	0.186	0.278	0.688	0.56	0.999	0.975	0.66	0.761	0.113	0.874	0.127	0.024	0.004	0.093	0.55	0.881	0.846	0.847	0.599	0.991	0.587	0.965	0.047	0.488	0.261	0.505	0.93	0.191	0.413	0.93	0.16	0.492	0.627	0.653	0.872	0.048	0.759	0.367	0.799	0.195	0.79	0.635	0.146	0.319	0.309	0.901	0.178	0.822	0.05	0.091	0.705	0.305	0.082	0.761	0.513	0.385	0.416	0.246	0.004	0.035	0.71	0.651	0.759	0.453	0.842	0.011	0.534	0.871	0.149	0.733	0.34	0.183	0.187	0.417	0.187	0.063	0.804	0.435	0.291	0.409	0.541	0.463	0.252
upper95_perm_sad	22.553	23.1851	1.9601	6.9332	1.9467	1.1916	0.4199	0.7624	0.3213	0.3554	0.189	0.1896	0.3825	0.1398	0.2719	0.485	0.0251	0.5793	0.6011	1.0678	0.184	0.2494	0.2449	1.0085	1.0705	0.1381	0.173	0.2413	0.3495	0.8857	0.257	0.3261	0.1408	1.1609	0.3269	0.3901	0.1867	0.3918	0.4897	0.8558	0.7292	0.6327	0.4435	0.4165	0.7085	0.98	0.7216	0.5021	0.2944	0.0891	0.361	0.1719	0.3401	0.3337	0.4787	0.8566	0.1477	0.2986	0.38	0.557	0.5916	0.7966	0.3251	0.2854	0.7123	0.5333	0.3665	0.2582	0.4775	0.4379	0.582	0.7858	0.5043	0.3446	0.554	0.1694	0.3627	0.2623	0.3601	0.4319	0.6457	0.8601	0.8887	0.5547	0.374	0.4742	0.1163	0.285	0.2227	0.3039	0.1854	0.295	0.4173	0.2463	0.2598	0.6204	0.3729	0.3406	0.7007	0.8002
lower0_perm_sad	-9.3149	-4.1976	-1.6174	-2.1465	-0.3672	-0.1813	-0.1132	-0.1168	-0.0709	-0.1143	-0.0781	-0.081	-0.084	-0.0744	-0.0648	-0.1149	-0.0545	-0.0906	-0.0822	-0.1141	-0.051	-0.0755	-0.0733	-0.1289	-0.1043	-0.0803	-0.054	-0.082	-0.1059	-0.1112	-0.0849	-0.0707	-0.0613	-0.1358	-0.0627	-0.1077	-0.0694	-0.0757	-0.077	-0.0917	-0.1129	-0.0761	-0.0852	-0.1329	-0.0843	-0.1124	-0.0664	-0.1116	-0.0769	-0.0457	-0.0721	-0.0515	-0.0553	-0.0782	-0.1135	-0.126	-0.0765	-0.0693	-0.0661	-0.1191	-0.1179	-0.0933	-0.0639	-0.0395	-0.1114	-0.1346	-0.0783	-0.0497	-0.0982	-0.092	-0.0775	-0.1096	-0.0871	-0.0673	-0.0815	-0.0606	-0.0729	-0.0789	-0.0943	-0.0714	-0.0877	-0.1061	-0.114	-0.0907	-0.0538	-0.0794	-0.0648	-0.0769	-0.0851	-0.0561	-0.0746	-0.0738	-0.0938	-0.0748	-0.055	-0.083	-0.0801	-0.0723	-0.0829	-0.1066
