	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.0032	0.0604	0.0074	0.0021	-0.001	0.002	-0.0002	0.0003	0.0005	0.0	0.0025	-0.0003	0.0012	0.0001	0.0064	0.0009	-0.0003	0.0003	0.0013	0.0	0.0074	0.0	-0.0001	0.0007	0.0103	-0.0004	0.002	-0.0001	0.0004	0.0021	0.0013	-0.0004	-0.0001	0.0097	0.0005	0.0003	0.0026	-0.0001	-0.0001	-0.0003	0.0009	-0.0004	-0.0	0.0006	0.0013	0.0007	0.001	0.0043	0.0014	0.0015	0.0012	0.001	-0.0003	0.0089	0.0006	0.0021	-0.0002	0.0028	0.0041	-0.0002	0.0017	0.0017	0.0006	-0.0001	0.0	-0.0003	0.0001	0.0005	-0.0002	-0.0002	-0.0001	0.0079	0.0005	-0.0002	0.0014	0.001	0.004	0.0003	0.0001	-0.0002	-0.0	0.0016	-0.0003	-0.0004	0.0009	0.0021	-0.0002	0.0038	-0.0003	-0.0002	-0.0001	-0.0001	0.0015	0.0	-0.0002	0.0001	0.0011	0.0003	0.0019	-0.0001
direct_vc_estimate_se	0.1299	0.0674	0.024	0.0205	0.0044	0.0044	0.0028	0.0025	0.002	0.0014	0.0017	0.0015	0.0015	0.0016	0.0016	0.0017	0.0016	0.0016	0.0016	0.0021	0.0017	0.0012	0.0018	0.0019	0.0157	0.0022	0.0055	0.0023	0.0027	0.0048	0.0015	0.0018	0.0012	0.0019	0.0014	0.0027	0.0015	0.0013	0.0014	0.0018	0.0017	0.0019	0.0011	0.0011	0.0018	0.0014	0.0015	0.0015	0.0013	0.0014	0.0023	0.0014	0.0012	0.0017	0.0014	0.0014	0.0013	0.0018	0.0012	0.0011	0.0018	0.0015	0.0018	0.0018	0.0013	0.0012	0.0012	0.0015	0.0011	0.0012	0.0014	0.0013	0.0014	0.0015	0.0012	0.0012	0.0013	0.0009	0.0012	0.0013	0.001	0.0014	0.0012	0.0019	0.0012	0.001	0.0013	0.0013	0.0015	0.0011	0.0012	0.0015	0.0014	0.0012	0.0016	0.0013	0.0013	0.0013	0.0011	0.0013
direct_vc_pvals	0.567	0.243	0.342	0.496	0.984	0.253	0.552	0.503	0.515	0.55	0.11	0.767	0.301	0.677	0.006	0.315	0.796	0.279	0.297	0.472	0.068	0.494	0.605	0.338	0.1	0.823	0.376	0.671	0.505	0.356	0.293	0.881	0.754	0.002	0.446	0.439	0.094	0.634	0.694	0.799	0.252	0.832	0.472	0.456	0.193	0.485	0.317	0.294	0.247	0.201	0.189	0.334	0.887	0.003	0.426	0.109	0.667	0.362	0.039	0.905	0.272	0.102	0.402	0.654	0.672	0.906	0.715	0.346	0.899	0.837	0.647	0.056	0.402	0.69	0.251	0.211	0.057	0.315	0.535	0.826	0.631	0.246	0.923	0.927	0.239	0.097	0.729	0.061	0.979	0.768	0.711	0.706	0.296	0.549	0.77	0.571	0.31	0.309	0.134	0.706
upper95_perm_direct	0.251	0.2255	0.0519	0.0656	0.0086	0.0086	0.0054	0.0075	0.009	0.0034	0.0046	0.0043	0.0048	0.006	0.0036	0.0047	0.0065	0.0022	0.0055	0.0035	0.0099	0.0026	0.0046	0.0053	0.0149	0.0055	0.0148	0.0087	0.0079	0.0116	0.0056	0.007	0.005	0.0044	0.0054	0.0057	0.0042	0.0031	0.0057	0.0055	0.0038	0.0052	0.0015	0.0054	0.0036	0.0062	0.0055	0.0129	0.0045	0.0044	0.0039	0.0058	0.0039	0.0049	0.0056	0.0038	0.0027	0.011	0.0044	0.0044	0.0074	0.003	0.0054	0.0062	0.0071	0.0034	0.0086	0.0041	0.0029	0.0059	0.0039	0.0099	0.0041	0.0039	0.0047	0.0035	0.0047	0.0021	0.0038	0.0051	0.0037	0.0056	0.0028	0.0081	0.0034	0.0034	0.0034	0.0052	0.0064	0.003	0.0059	0.0055	0.0056	0.0034	0.007	0.0043	0.0054	0.0021	0.004	0.0043
lower0_perm_direct	-0.0475	-0.0232	-0.0086	-0.0074	-0.0016	-0.0016	-0.001	-0.0009	-0.0007	-0.0005	-0.0006	-0.0006	-0.0005	-0.0006	-0.0006	-0.0006	-0.0006	-0.0006	-0.0006	-0.0008	-0.0006	-0.0005	-0.0006	-0.0007	-0.005	-0.0008	-0.002	-0.0008	-0.001	-0.0017	-0.0005	-0.0007	-0.0004	-0.0007	-0.0005	-0.001	-0.0005	-0.0005	-0.0005	-0.0007	-0.0006	-0.0007	-0.0004	-0.0004	-0.0007	-0.0005	-0.0005	-0.0005	-0.0005	-0.0005	-0.0008	-0.0005	-0.0004	-0.0006	-0.0005	-0.0005	-0.0005	-0.0006	-0.0004	-0.0004	-0.0007	-0.0005	-0.0007	-0.0006	-0.0005	-0.0004	-0.0004	-0.0005	-0.0004	-0.0004	-0.0005	-0.0005	-0.0005	-0.0005	-0.0004	-0.0004	-0.0005	-0.0003	-0.0004	-0.0004	-0.0004	-0.0005	-0.0004	-0.0007	-0.0004	-0.0004	-0.0005	-0.0005	-0.0005	-0.0004	-0.0004	-0.0006	-0.0005	-0.0004	-0.0006	-0.0005	-0.0005	-0.0005	-0.0004	-0.0005
sad_vc_estimate	0.0647	0.2375	0.0097	0.0344	-0.001	0.0131	0.0012	-0.0006	0.0005	-0.0	0.0065	0.0019	0.0077	-0.0003	0.0054	0.0026	-0.0004	-0.0002	0.0044	0.003	0.0142	0.0005	0.0026	0.0069	0.0747	0.0029	0.0218	-0.0001	0.0045	0.0235	0.0017	0.002	0.0009	0.0346	0.0025	0.0007	0.0007	0.002	0.0014	0.0042	0.0039	0.0016	0.0002	0.0009	0.0053	0.0111	0.0001	0.0132	0.0112	0.0079	0.005	0.0074	0.0008	0.0226	0.0006	0.0088	0.0014	0.0076	0.0054	-0.0003	-0.0002	0.0098	0.0073	0.0001	0.0002	-0.0002	-0.0001	0.0111	0.0014	-0.0002	0.0011	0.0239	0.0007	0.0001	0.0017	0.0005	0.0097	0.0012	0.0002	-0.0003	0.0006	0.0077	0.0005	0.0002	0.005	0.0019	0.0	0.0036	-0.0003	0.0004	-0.0001	0.0001	0.0051	0.0013	-0.0004	0.0067	0.0001	0.0019	0.0016	0.0002
sad_vc_estimate_se	0.1318	0.0683	0.0243	0.0208	0.0045	0.0045	0.0028	0.0026	0.002	0.0014	0.0018	0.0015	0.0015	0.0017	0.0017	0.0017	0.0016	0.0016	0.0016	0.0021	0.0018	0.0012	0.0018	0.0019	0.0159	0.0022	0.0056	0.0023	0.0028	0.0049	0.0016	0.0019	0.0012	0.002	0.0014	0.0027	0.0015	0.0013	0.0014	0.0018	0.0017	0.0019	0.0011	0.0011	0.0018	0.0014	0.0015	0.0015	0.0013	0.0014	0.0023	0.0014	0.0012	0.0017	0.0015	0.0014	0.0013	0.0018	0.0012	0.0011	0.0018	0.0015	0.0018	0.0019	0.0013	0.0012	0.0012	0.0016	0.0011	0.0012	0.0014	0.0013	0.0014	0.0015	0.0012	0.0012	0.0013	0.0009	0.0012	0.0013	0.0011	0.0014	0.0013	0.0019	0.0012	0.001	0.0014	0.0013	0.0015	0.0011	0.0012	0.0015	0.0015	0.0012	0.0016	0.0013	0.0013	0.0013	0.0011	0.0014
sad_vc_pvals	0.535	0.181	0.523	0.352	0.928	0.183	0.43	0.948	0.654	0.711	0.086	0.326	0.123	0.906	0.093	0.278	0.937	0.773	0.278	0.35	0.139	0.476	0.316	0.197	0.102	0.507	0.254	0.816	0.41	0.184	0.452	0.474	0.53	0.0	0.37	0.616	0.547	0.307	0.487	0.327	0.226	0.422	0.489	0.565	0.09	0.068	0.701	0.261	0.05	0.093	0.138	0.155	0.522	0.007	0.6	0.069	0.355	0.379	0.195	0.958	0.846	0.029	0.138	0.724	0.752	0.878	0.861	0.043	0.351	0.902	0.41	0.028	0.579	0.703	0.411	0.544	0.07	0.262	0.606	0.954	0.533	0.123	0.497	0.715	0.105	0.319	0.707	0.284	0.926	0.506	0.803	0.679	0.231	0.416	0.985	0.106	0.737	0.247	0.403	0.665
upper95_perm_sad	0.9621	0.576	0.1667	0.199	0.0256	0.0312	0.0131	0.0226	0.0218	0.0069	0.0094	0.0102	0.0145	0.0123	0.008	0.0122	0.0168	0.0074	0.0162	0.0143	0.0289	0.0061	0.0117	0.0179	0.101	0.0194	0.0605	0.0262	0.0255	0.0475	0.0159	0.0169	0.0121	0.0154	0.0151	0.0175	0.0103	0.0092	0.0149	0.0183	0.0127	0.0132	0.0037	0.0132	0.0088	0.0147	0.0132	0.0347	0.0136	0.013	0.0113	0.0154	0.01	0.0133	0.0152	0.0115	0.0085	0.0326	0.0132	0.0105	0.0168	0.0097	0.0153	0.0199	0.018	0.0085	0.0231	0.0125	0.0073	0.0132	0.0087	0.0226	0.0118	0.0133	0.0128	0.0074	0.0131	0.0048	0.0088	0.0123	0.0096	0.0139	0.0066	0.0195	0.0081	0.0085	0.0106	0.0131	0.0171	0.0061	0.0126	0.0125	0.0145	0.0104	0.0182	0.0106	0.0126	0.0067	0.0102	0.0106
lower0_perm_sad	-0.0471	-0.0265	-0.0081	-0.0071	-0.0017	-0.0016	-0.001	-0.0009	-0.0007	-0.0005	-0.0006	-0.0006	-0.0005	-0.0006	-0.0006	-0.0006	-0.0006	-0.0006	-0.0006	-0.0008	-0.0006	-0.0004	-0.0006	-0.0007	-0.0054	-0.0008	-0.002	-0.0008	-0.001	-0.0016	-0.0006	-0.0007	-0.0004	-0.0008	-0.0005	-0.001	-0.0006	-0.0005	-0.0005	-0.0007	-0.0007	-0.0007	-0.0004	-0.0004	-0.0006	-0.0005	-0.0005	-0.0005	-0.0005	-0.0005	-0.0008	-0.0005	-0.0004	-0.0007	-0.0005	-0.0005	-0.0005	-0.0006	-0.0004	-0.0004	-0.0006	-0.0005	-0.0006	-0.0007	-0.0004	-0.0004	-0.0004	-0.0006	-0.0004	-0.0004	-0.0005	-0.0005	-0.0005	-0.0005	-0.0004	-0.0004	-0.0005	-0.0003	-0.0004	-0.0005	-0.0004	-0.0005	-0.0005	-0.0007	-0.0004	-0.0004	-0.0005	-0.0004	-0.0005	-0.0004	-0.0004	-0.0005	-0.0006	-0.0005	-0.0006	-0.0005	-0.0005	-0.0005	-0.0004	-0.0005
