	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	1.2817	0.4032	0.0005	0.013	0.0136	0.0005	-0.0005	-0.0007	-0.0007	-0.0	0.0088	0.0001	0.0001	0.0072	-0.0006	-0.0006	0.0	-0.0001	-0.0006	-0.0006	0.0001	0.001	-0.0005	0.0003	0.0013	-0.0005	-0.0006	0.0115	-0.0007	0.0073	-0.0005	0.0073	-0.0008	0.0002	0.0014	0.0039	0.0002	0.0031	0.0041	-0.0005	-0.0001	0.0039	0.0033	0.001	-0.0004	-0.0006	-0.0005	-0.0006	0.0	0.0002	0.0	0.004	0.0004	0.0003	0.0024	-0.0006	-0.0007	0.0008	-0.0004	0.0024	0.0013	0.0016	-0.0006	0.0019	-0.0006	0.0001	0.0	0.0009	-0.0003	0.0002	0.0043	0.001	0.0007	-0.0002	0.0118	0.0009	0.0	0.0003	0.0012	0.0011	0.0016	-0.0001	0.0008	0.0008	0.0	0.0005	0.0006	-0.0004	0.0047	0.0031	-0.0003	-0.0006	0.0017	0.0088	0.0046	0.005	0.0	0.0017	0.002	-0.0004
direct_vc_estimate_se	0.211	0.0912	0.042	0.0274	0.0056	0.0054	0.0034	0.0026	0.0029	0.0028	0.0028	0.0023	0.0022	0.0029	0.0023	0.0023	0.0021	0.0022	0.0023	0.0021	0.0022	0.002	0.0019	0.0016	0.0017	0.0017	0.0022	0.0021	0.0025	0.0033	0.0018	0.0028	0.0032	0.0019	0.0021	0.0036	0.0017	0.0018	0.0018	0.0017	0.0019	0.0021	0.0022	0.0022	0.0017	0.0021	0.0019	0.0022	0.0018	0.0019	0.0017	0.0021	0.0028	0.0022	0.002	0.002	0.0024	0.002	0.0015	0.0022	0.0017	0.002	0.0022	0.0019	0.0023	0.0016	0.0016	0.0017	0.0017	0.002	0.0019	0.0021	0.0021	0.002	0.002	0.0016	0.0021	0.002	0.0016	0.0019	0.0019	0.0016	0.0019	0.0019	0.0016	0.0017	0.0026	0.0017	0.0017	0.0017	0.002	0.0019	0.0019	0.0021	0.0018	0.0021	0.0016	0.0019	0.0024	0.0018
direct_vc_pvals	0.002	0.035	0.583	0.392	0.069	0.561	0.56	0.957	0.867	0.618	0.086	0.652	0.536	0.053	0.885	0.882	0.607	0.643	0.838	0.954	0.576	0.372	0.997	0.427	0.232	0.998	0.964	0.033	0.892	0.095	0.968	0.156	0.824	0.472	0.253	0.25	0.717	0.173	0.075	0.96	0.559	0.192	0.261	0.339	0.889	0.989	0.948	0.923	0.625	0.531	0.583	0.137	0.545	0.422	0.26	0.939	0.963	0.418	0.94	0.299	0.323	0.282	0.922	0.336	0.952	0.622	0.524	0.35	0.74	0.506	0.148	0.413	0.465	0.628	0.003	0.382	0.636	0.504	0.236	0.267	0.267	0.565	0.513	0.465	0.614	0.516	0.374	0.825	0.126	0.235	0.705	0.991	0.244	0.051	0.036	0.082	0.601	0.258	0.244	0.835
upper95_perm_direct	0.5894	0.3391	0.1305	0.0861	0.016	0.0234	0.0056	0.01	0.0188	0.0109	0.011	0.0115	0.0063	0.0074	0.0053	0.0044	0.0073	0.0084	0.0089	0.0057	0.0065	0.0065	0.0053	0.0042	0.0041	0.0054	0.006	0.0101	0.0107	0.0104	0.005	0.0151	0.0118	0.0047	0.0052	0.0135	0.0118	0.0067	0.0054	0.0102	0.0049	0.0093	0.0102	0.0062	0.0062	0.0077	0.0056	0.0044	0.0074	0.0056	0.0053	0.0074	0.0117	0.0047	0.009	0.0079	0.0068	0.0068	0.0032	0.0086	0.0061	0.0063	0.0083	0.0087	0.0058	0.0064	0.0036	0.0061	0.0065	0.0047	0.0075	0.0075	0.0089	0.0062	0.0059	0.0059	0.0082	0.0063	0.0035	0.0046	0.0053	0.0041	0.0104	0.0068	0.0062	0.0073	0.0055	0.0061	0.0071	0.0092	0.007	0.0033	0.0055	0.0088	0.0041	0.0066	0.0066	0.006	0.007	0.0086
lower0_perm_direct	-0.0747	-0.0319	-0.0149	-0.0094	-0.0019	-0.0018	-0.0011	-0.0009	-0.001	-0.001	-0.0009	-0.0008	-0.0008	-0.001	-0.0008	-0.0008	-0.0007	-0.0007	-0.0008	-0.0007	-0.0007	-0.0007	-0.0006	-0.0006	-0.0006	-0.0006	-0.0007	-0.0007	-0.0009	-0.0011	-0.0006	-0.001	-0.0011	-0.0007	-0.0007	-0.0012	-0.0006	-0.0006	-0.0006	-0.0006	-0.0006	-0.0007	-0.0008	-0.0007	-0.0006	-0.0007	-0.0007	-0.0007	-0.0006	-0.0007	-0.0006	-0.0007	-0.001	-0.0007	-0.0007	-0.0007	-0.0008	-0.0007	-0.0005	-0.0007	-0.0006	-0.0007	-0.0008	-0.0006	-0.0008	-0.0005	-0.0006	-0.0006	-0.0006	-0.0007	-0.0007	-0.0007	-0.0007	-0.0007	-0.0007	-0.0006	-0.0007	-0.0007	-0.0006	-0.0007	-0.0006	-0.0006	-0.0007	-0.0006	-0.0005	-0.0006	-0.0009	-0.0006	-0.0006	-0.0006	-0.0007	-0.0006	-0.0007	-0.0007	-0.0006	-0.0007	-0.0005	-0.0007	-0.0008	-0.0006
sad_vc_estimate	1.6976	0.3008	0.0843	0.0411	0.0282	0.0062	0.0044	0.0012	-0.0008	0.0004	0.0206	-0.0004	0.0074	0.0044	-0.0001	0.0024	0.0006	0.001	-0.0006	-0.0004	0.0001	-0.0004	-0.0005	0.0017	0.0015	0.0007	0.0011	0.017	-0.0007	0.0019	0.0025	0.0043	-0.0001	0.0056	0.0021	-0.001	-0.0005	0.008	0.0071	-0.0005	0.0001	0.0014	0.0157	0.0007	0.0	0.0019	-0.0001	-0.0006	-0.0005	-0.0004	-0.0001	0.0039	-0.0008	-0.0002	-0.0002	0.0005	0.0014	-0.0004	-0.0003	0.0013	0.0022	0.0052	-0.0	0.0049	-0.0	0.0006	0.0005	0.0028	-0.0003	0.002	0.0067	0.0022	-0.0005	0.0016	0.022	0.0	0.0032	-0.0005	0.0031	-0.0002	0.0074	-0.0005	0.0014	0.0066	0.0045	0.0038	0.0004	-0.0003	0.0088	0.0116	-0.0004	-0.0001	0.0031	0.0231	0.0055	0.005	-0.0	0.0045	0.004	-0.0004
sad_vc_estimate_se	0.2134	0.0922	0.0425	0.0277	0.0056	0.0054	0.0034	0.0026	0.0029	0.0029	0.0028	0.0023	0.0023	0.0029	0.0023	0.0023	0.0021	0.0022	0.0023	0.0021	0.0022	0.002	0.0019	0.0016	0.0017	0.0017	0.0022	0.0021	0.0025	0.0033	0.0019	0.0029	0.0033	0.002	0.0021	0.0036	0.0017	0.0019	0.0018	0.0018	0.0019	0.0021	0.0023	0.0022	0.0017	0.0021	0.0019	0.0022	0.0018	0.0019	0.0017	0.0022	0.0029	0.0022	0.002	0.0021	0.0024	0.002	0.0015	0.0022	0.0018	0.002	0.0022	0.0019	0.0023	0.0016	0.0017	0.0018	0.0018	0.002	0.0019	0.0022	0.0021	0.0021	0.002	0.0017	0.0021	0.0021	0.0016	0.0019	0.002	0.0017	0.002	0.0019	0.0016	0.0017	0.0027	0.0018	0.0017	0.0017	0.002	0.0019	0.0019	0.0021	0.0019	0.0022	0.0017	0.0019	0.0024	0.0019
sad_vc_pvals	0.016	0.173	0.304	0.411	0.077	0.492	0.196	0.556	0.929	0.62	0.082	0.85	0.157	0.228	0.656	0.291	0.587	0.603	0.934	0.834	0.714	0.83	0.882	0.414	0.37	0.577	0.419	0.087	0.979	0.387	0.391	0.451	0.711	0.162	0.392	0.954	0.994	0.147	0.133	0.946	0.627	0.578	0.121	0.517	0.736	0.431	0.764	0.886	0.907	0.824	0.737	0.292	0.917	0.723	0.811	0.644	0.453	0.857	0.791	0.568	0.427	0.271	0.756	0.316	0.681	0.646	0.504	0.37	0.838	0.353	0.218	0.351	0.857	0.485	0.002	0.736	0.428	0.864	0.224	0.73	0.178	0.947	0.622	0.268	0.25	0.358	0.508	0.861	0.155	0.148	0.845	0.693	0.254	0.033	0.127	0.22	0.686	0.25	0.353	0.862
upper95_perm_sad	1.1704	0.574	0.3042	0.2064	0.035	0.0471	0.0126	0.0211	0.0385	0.0173	0.0257	0.0253	0.0135	0.0125	0.0135	0.0097	0.0138	0.0213	0.0222	0.0146	0.0164	0.0156	0.0129	0.011	0.0095	0.0117	0.0084	0.0221	0.0249	0.0127	0.0126	0.0312	0.0199	0.0108	0.0134	0.0186	0.0245	0.0137	0.0113	0.0201	0.0114	0.0211	0.0229	0.0118	0.0154	0.0163	0.0132	0.0094	0.0165	0.013	0.0111	0.0131	0.0219	0.01	0.0211	0.0178	0.0122	0.015	0.0083	0.0251	0.0158	0.0162	0.0164	0.0179	0.0105	0.0159	0.0076	0.0134	0.0158	0.0105	0.0181	0.011	0.0155	0.0163	0.0125	0.0121	0.0199	0.0144	0.0085	0.0111	0.0148	0.0086	0.0245	0.0184	0.0133	0.0167	0.009	0.0138	0.0165	0.0206	0.0152	0.0106	0.0111	0.0189	0.0092	0.0127	0.0131	0.0139	0.0189	0.0207
lower0_perm_sad	-0.0718	-0.0319	-0.0149	-0.0095	-0.0019	-0.0019	-0.0012	-0.0009	-0.001	-0.001	-0.0009	-0.0008	-0.0008	-0.001	-0.0008	-0.0008	-0.0007	-0.0007	-0.0008	-0.0007	-0.0007	-0.0007	-0.0007	-0.0006	-0.0006	-0.0006	-0.0008	-0.0007	-0.0009	-0.0011	-0.0006	-0.0009	-0.0011	-0.0007	-0.0007	-0.0012	-0.0006	-0.0006	-0.0006	-0.0006	-0.0007	-0.0007	-0.0008	-0.0007	-0.0006	-0.0008	-0.0006	-0.0007	-0.0006	-0.0006	-0.0006	-0.0007	-0.001	-0.0007	-0.0007	-0.0007	-0.0008	-0.0007	-0.0005	-0.0008	-0.0006	-0.0007	-0.0008	-0.0006	-0.0008	-0.0005	-0.0005	-0.0006	-0.0006	-0.0007	-0.0007	-0.0007	-0.0007	-0.0007	-0.0007	-0.0006	-0.0007	-0.0007	-0.0006	-0.0007	-0.0007	-0.0006	-0.0007	-0.0007	-0.0005	-0.0006	-0.0009	-0.0006	-0.0006	-0.0006	-0.0007	-0.0006	-0.0007	-0.0007	-0.0006	-0.0008	-0.0006	-0.0007	-0.0009	-0.0006
