	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.1121	0.1434	-0.0008	0.0456	-0.01	-0.0049	-0.0024	0.0176	0.0058	0.0072	-0.0004	-0.0032	-0.0004	-0.0026	-0.0025	-0.0024	0.0071	-0.0022	0.0048	0.0057	0.0007	0.0005	0.0014	-0.0024	-0.0022	-0.0014	0.0001	-0.0024	0.0003	-0.0024	0.0262	-0.0009	0.0303	0.0123	-0.0022	0.0063	-0.0021	-0.0024	-0.0003	-0.0022	-0.0019	-0.0003	0.0003	0.0036	-0.0025	0.0021	-0.0	0.0154	0.0086	0.0015	0.0122	-0.0025	0.0183	-0.0023	0.0062	0.002	0.0023	0.0038	0.021	-0.0022	-0.0005	0.0085	0.0006	0.0018	0.0051	-0.0026	0.0015	0.0001	0.0074	-0.0017	0.0005	-0.002	-0.0021	0.0076	-0.0023	0.0018	-0.0011	0.0038	0.0008	-0.0024	0.0009	-0.0007	0.0077	-0.0015	0.0107	0.0007	-0.0024	0.0068	-0.0022	-0.0012	-0.0024	0.0137	0.0081	0.0144	0.0008	-0.001	-0.0024	-0.0013	-0.0001	-0.0004
direct_vc_estimate_se	3.1358	2.3182	0.9233	0.7557	0.2722	0.1239	0.0797	0.109	0.0933	0.0734	0.0846	0.0887	0.0757	0.0691	0.0659	0.0738	0.065	0.0638	0.0706	0.0636	0.0698	0.0603	0.0678	0.0628	0.0616	0.0632	0.0659	0.0627	0.0631	0.0653	0.065	0.0636	0.0624	0.0652	0.0606	0.0647	0.0598	0.0612	0.0621	0.0615	0.0618	0.0614	0.0641	0.0619	0.063	0.064	0.0607	0.0644	0.06	0.0629	0.0633	0.0657	0.0637	0.0623	0.0652	0.0615	0.061	0.063	0.0613	0.0618	0.0619	0.0635	0.0637	0.0624	0.0638	0.0669	0.0633	0.0604	0.0626	0.0619	0.0618	0.0642	0.0618	0.0636	0.061	0.0602	0.0616	0.0597	0.0597	0.0626	0.0617	0.061	0.0591	0.0663	0.0596	0.0616	0.0622	0.0624	0.0599	0.0598	0.06	0.0624	0.0642	0.0613	0.061	0.0628	0.0605	0.0628	0.0657	0.0608
direct_vc_pvals	0.754	0.141	0.428	0.16	0.839	0.947	0.634	0.09	0.183	0.115	0.423	0.798	0.434	0.831	0.879	0.695	0.077	0.758	0.184	0.142	0.388	0.383	0.34	0.873	0.793	0.628	0.437	0.873	0.421	0.828	0.008	0.538	0.004	0.056	0.818	0.134	0.8	0.92	0.471	0.842	0.733	0.469	0.446	0.231	0.97	0.282	0.48	0.033	0.1	0.342	0.07	0.929	0.029	0.833	0.125	0.289	0.258	0.217	0.023	0.814	0.487	0.111	0.389	0.312	0.2	0.965	0.327	0.405	0.118	0.682	0.392	0.719	0.762	0.093	0.862	0.312	0.565	0.207	0.342	0.896	0.383	0.513	0.14	0.592	0.08	0.37	0.874	0.141	0.843	0.579	0.997	0.045	0.092	0.047	0.388	0.552	0.988	0.593	0.441	0.496
upper95_perm_direct	0.5463	0.456	0.215	0.16	0.0824	0.0214	0.0127	0.029	0.0215	0.0145	0.0192	0.0231	0.0184	0.0146	0.0125	0.0151	0.0113	0.0149	0.0182	0.015	0.0176	0.0169	0.0197	0.018	0.0155	0.0139	0.0186	0.0169	0.0163	0.0155	0.0161	0.0165	0.0181	0.0159	0.017	0.0154	0.0166	0.019	0.0147	0.0194	0.0175	0.0186	0.0186	0.017	0.0163	0.0159	0.0213	0.0168	0.0156	0.0171	0.0197	0.0197	0.0186	0.0167	0.0167	0.0164	0.016	0.0157	0.0176	0.0166	0.0158	0.0177	0.0181	0.0186	0.0183	0.0159	0.0179	0.0142	0.0152	0.0183	0.0143	0.0158	0.0154	0.0154	0.0145	0.0151	0.0158	0.0154	0.0137	0.015	0.0165	0.017	0.0203	0.0177	0.0171	0.0175	0.0192	0.017	0.0159	0.0198	0.0156	0.0158	0.0144	0.0182	0.0154	0.016	0.0157	0.0174	0.0181	0.0165
lower0_perm_direct	-0.175	-0.1281	-0.0522	-0.0426	-0.0153	-0.0069	-0.0045	-0.0062	-0.0051	-0.0041	-0.0048	-0.005	-0.0042	-0.0039	-0.0038	-0.0042	-0.0036	-0.0036	-0.0039	-0.0036	-0.0039	-0.0033	-0.0038	-0.0035	-0.0034	-0.0035	-0.0037	-0.0035	-0.0036	-0.0037	-0.0037	-0.0036	-0.0035	-0.0037	-0.0033	-0.0036	-0.0033	-0.0034	-0.0034	-0.0034	-0.0035	-0.0034	-0.0036	-0.0034	-0.0035	-0.0037	-0.0035	-0.0036	-0.0034	-0.0035	-0.0035	-0.0037	-0.0036	-0.0035	-0.0037	-0.0034	-0.0034	-0.0035	-0.0034	-0.0035	-0.0035	-0.0036	-0.0036	-0.0035	-0.0035	-0.0038	-0.0035	-0.0035	-0.0035	-0.0034	-0.0035	-0.0036	-0.0035	-0.0036	-0.0035	-0.0033	-0.0035	-0.0033	-0.0033	-0.0036	-0.0035	-0.0035	-0.0033	-0.0037	-0.0033	-0.0035	-0.0035	-0.0035	-0.0033	-0.0033	-0.0034	-0.0034	-0.0036	-0.0035	-0.0034	-0.0035	-0.0034	-0.0035	-0.0036	-0.0034
sad_vc_estimate	-0.0195	0.2383	0.0712	0.093	-0.0045	-0.005	-0.003	0.0331	0.0149	0.0103	-0.0027	-0.001	0.0007	-0.0027	-0.0025	-0.0024	0.0143	-0.0003	0.0022	0.0146	0.0213	-0.0021	-0.0015	-0.0009	0.003	0.011	-0.0025	-0.0021	0.005	-0.0023	0.0206	0.0075	0.0457	0.0125	-0.0025	0.0	-0.0022	-0.0025	0.0067	-0.0025	-0.0018	-0.0023	0.01	0.0034	-0.0011	0.0018	0.0008	0.0032	0.0051	0.0021	0.0243	-0.0025	0.0109	-0.0025	0.0098	0.0003	0.0009	0.0079	0.0142	-0.0025	-0.0014	0.0049	-0.0011	-0.0024	0.0085	-0.0003	0.0043	0.0034	-0.0011	-0.0015	-0.0024	-0.0	-0.0004	0.0002	-0.0025	-0.0008	-0.0019	-0.0019	-0.0022	-0.0006	-0.0025	0.0015	0.0012	-0.002	0.0171	0.009	-0.0024	0.0028	0.0004	-0.0019	-0.0024	0.0073	0.0099	0.0054	0.0085	-0.0022	-0.002	0.0065	-0.0014	-0.0024
sad_vc_estimate_se	3.3281	2.462	0.9738	0.7935	0.286	0.1301	0.084	0.1145	0.0981	0.077	0.0892	0.0931	0.0796	0.0725	0.0693	0.077	0.0683	0.0672	0.0741	0.067	0.0733	0.0635	0.0713	0.066	0.0648	0.0665	0.0693	0.0661	0.0665	0.0687	0.0683	0.067	0.0657	0.0686	0.0638	0.068	0.0631	0.0646	0.0654	0.0648	0.0651	0.0647	0.0675	0.0653	0.0663	0.0673	0.0639	0.0677	0.0634	0.0661	0.0666	0.069	0.0671	0.0656	0.0685	0.0648	0.0642	0.0663	0.0646	0.0651	0.0651	0.0668	0.0669	0.0657	0.0671	0.0702	0.0666	0.0637	0.0659	0.0652	0.065	0.0675	0.0651	0.0669	0.0642	0.0635	0.0649	0.0629	0.0629	0.0659	0.0649	0.0642	0.0623	0.0695	0.0629	0.0649	0.0654	0.0657	0.0631	0.063	0.0632	0.0657	0.0674	0.0646	0.0642	0.066	0.0637	0.0661	0.0689	0.064
sad_vc_pvals	0.442	0.1	0.193	0.085	0.613	0.891	0.768	0.029	0.083	0.071	0.704	0.501	0.382	0.845	0.824	0.726	0.023	0.432	0.352	0.049	0.041	0.765	0.641	0.56	0.239	0.1	0.821	0.787	0.245	0.787	0.047	0.156	0.002	0.084	0.996	0.464	0.825	0.952	0.186	0.916	0.731	0.821	0.132	0.255	0.6	0.339	0.409	0.276	0.192	0.357	0.029	0.843	0.1	0.856	0.112	0.451	0.421	0.17	0.068	0.944	0.626	0.234	0.625	0.834	0.151	0.483	0.226	0.265	0.578	0.654	0.862	0.454	0.517	0.454	0.981	0.563	0.71	0.724	0.809	0.483	0.893	0.351	0.381	0.717	0.043	0.101	0.849	0.281	0.426	0.75	0.887	0.153	0.085	0.211	0.125	0.801	0.728	0.175	0.576	0.866
upper95_perm_sad	0.7414	0.5261	0.2493	0.169	0.1015	0.024	0.0132	0.0329	0.0261	0.0163	0.0247	0.0283	0.0206	0.0172	0.0163	0.0161	0.0143	0.0165	0.0207	0.0183	0.0243	0.0176	0.0266	0.0222	0.0172	0.0228	0.0241	0.0218	0.0231	0.0244	0.0251	0.0208	0.0235	0.0227	0.026	0.0179	0.0203	0.023	0.0214	0.0189	0.0235	0.0217	0.0236	0.0218	0.0239	0.0227	0.0223	0.0205	0.0203	0.0215	0.0222	0.0188	0.0193	0.021	0.0216	0.0185	0.0207	0.0228	0.0212	0.0211	0.0211	0.0251	0.0209	0.0191	0.0217	0.0198	0.0221	0.0197	0.0189	0.021	0.0211	0.0199	0.0195	0.0191	0.0187	0.0194	0.0203	0.0185	0.0189	0.0177	0.0201	0.0202	0.0177	0.022	0.0191	0.0183	0.0194	0.0182	0.017	0.0197	0.0203	0.0198	0.0168	0.0206	0.0201	0.0245	0.0182	0.0196	0.0183	0.0198
lower0_perm_sad	-0.1858	-0.1397	-0.0537	-0.0451	-0.0161	-0.0072	-0.0047	-0.0064	-0.0055	-0.0043	-0.005	-0.0053	-0.0044	-0.004	-0.0038	-0.0043	-0.0039	-0.0038	-0.0042	-0.0038	-0.004	-0.0036	-0.0039	-0.0038	-0.0037	-0.0037	-0.004	-0.0037	-0.0037	-0.0039	-0.0038	-0.0037	-0.0038	-0.0038	-0.0036	-0.0038	-0.0035	-0.0035	-0.0037	-0.0037	-0.0037	-0.0036	-0.0037	-0.0037	-0.0038	-0.0038	-0.0035	-0.0037	-0.0036	-0.0037	-0.0037	-0.0038	-0.0037	-0.0038	-0.0038	-0.0036	-0.0037	-0.0037	-0.0037	-0.0036	-0.0037	-0.0038	-0.0037	-0.0037	-0.0038	-0.004	-0.0038	-0.0035	-0.0037	-0.0037	-0.0036	-0.0037	-0.0036	-0.0038	-0.0035	-0.0036	-0.0037	-0.0035	-0.0036	-0.0036	-0.0037	-0.0036	-0.0036	-0.0039	-0.0035	-0.0036	-0.0037	-0.0037	-0.0035	-0.0034	-0.0035	-0.0037	-0.0038	-0.0036	-0.0036	-0.0036	-0.0036	-0.0037	-0.0039	-0.0035
