	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.0288	-0.0082	-0.0071	-0.0083	0.002	0.0028	-0.008	-0.0004	-0.0026	-0.0075	-0.0074	0.0028	-0.0035	-0.0076	0.0205	-0.0079	0.0419	0.0098	-0.004	-0.007	0.0812	0.0026	0.0022	-0.0063	0.044	-0.0061	0.0084	-0.0067	0.0307	-0.0071	-0.007	0.0237	-0.0022	-0.0074	0.0025	-0.0004	0.0204	0.0061	-0.0071	-0.0067	-0.0063	0.0014	0.0123	0.0067	0.0248	0.0269	-0.0012	0.0266	-0.0047	-0.0072	0.0137	0.0066	0.0029	-0.002	-0.0069	0.0016	-0.007	-0.0043	-0.0069	0.003	0.0126	0.0018	0.0391	-0.0065	-0.007	-0.008	-0.0065	-0.0032	-0.0035	0.0226	-0.0068	-0.0028	-0.0073	-0.0075	0.0045	-0.0071	0.0179	0.0178	0.0092	0.0043	-0.0065	-0.0057	-0.0037	-0.0028	-0.0063	-0.005	0.0049	-0.0065	-0.0075	-0.0079	0.0248	0.0828	0.0199	-0.0072	-0.0066	-0.0065	-0.0009	0.006	-0.0075	-0.0073
direct_vc_estimate_se	0.3073	0.1233	0.0869	0.082	0.0759	0.0808	0.0809	0.0723	0.0737	0.0749	0.0714	0.0727	0.0787	0.0726	0.0819	0.0772	0.0692	0.0733	0.0729	0.0751	0.094	0.0736	0.0742	0.0735	0.0765	0.0782	0.0773	0.0741	0.0733	0.0735	0.0742	0.0715	0.0731	0.0731	0.0742	0.0884	0.0782	0.0807	0.0721	0.0798	0.0812	0.0746	0.0701	0.0761	0.0729	0.0799	0.0766	0.0746	0.068	0.0712	0.0758	0.0724	0.0769	0.0728	0.0751	0.0739	0.0737	0.075	0.0743	0.0749	0.0719	0.0721	0.0724	0.0765	0.0685	0.0771	0.0752	0.0816	0.0716	0.0678	0.0703	0.0702	0.0757	0.0742	0.0743	0.0713	0.0748	0.0694	0.0878	0.0677	0.0699	0.0732	0.0729	0.0735	0.0733	0.0846	0.0727	0.0717	0.0727	0.077	0.0717	0.0668	0.0716	0.0743	0.0758	0.0712	0.0716	0.0782	0.0723	0.0704
direct_vc_pvals	0.814	0.657	0.718	0.89	0.415	0.37	0.876	0.436	0.523	0.899	0.989	0.391	0.579	0.99	0.154	0.898	0.041	0.222	0.598	0.79	0.012	0.38	0.393	0.757	0.044	0.68	0.31	0.759	0.076	0.838	0.802	0.129	0.525	0.878	0.392	0.434	0.118	0.319	0.854	0.725	0.707	0.403	0.209	0.301	0.112	0.078	0.462	0.101	0.635	0.9	0.196	0.292	0.364	0.5	0.798	0.43	0.821	0.603	0.78	0.359	0.208	0.387	0.056	0.72	0.92	0.956	0.725	0.531	0.562	0.113	0.822	0.549	0.843	0.897	0.333	0.879	0.138	0.164	0.272	0.332	0.805	0.668	0.581	0.536	0.768	0.593	0.331	0.772	0.946	0.942	0.125	0.007	0.154	0.838	0.751	0.788	0.44	0.338	0.965	0.959
upper95_perm_direct	0.2926	0.0835	0.0594	0.0726	0.0609	0.0519	0.0602	0.05	0.054	0.0506	0.059	0.0674	0.0636	0.0507	0.0632	0.0566	0.0527	0.0556	0.0564	0.0556	0.0707	0.0573	0.0553	0.0569	0.053	0.0567	0.0588	0.0634	0.0515	0.0568	0.0568	0.0559	0.0587	0.049	0.0609	0.0594	0.0586	0.0599	0.0549	0.0596	0.0664	0.0554	0.0557	0.0578	0.0644	0.0445	0.0596	0.0552	0.045	0.0577	0.05	0.0509	0.0628	0.0534	0.0552	0.0608	0.0701	0.0484	0.0624	0.0575	0.0598	0.0554	0.0555	0.0549	0.0526	0.0562	0.0564	0.0548	0.0565	0.0541	0.0515	0.0605	0.0555	0.0554	0.0681	0.0554	0.0521	0.0548	0.0586	0.0469	0.0558	0.0581	0.058	0.0613	0.0582	0.0634	0.0561	0.0609	0.0509	0.0507	0.0575	0.0496	0.0587	0.0585	0.0609	0.0622	0.0507	0.0596	0.0559	0.0554
lower0_perm_direct	-0.0479	-0.0195	-0.0142	-0.0134	-0.0123	-0.0134	-0.0138	-0.0115	-0.0121	-0.0127	-0.0115	-0.0123	-0.0126	-0.012	-0.0134	-0.0125	-0.0113	-0.0117	-0.0119	-0.0122	-0.0156	-0.0114	-0.0125	-0.0123	-0.013	-0.0124	-0.0123	-0.0125	-0.0121	-0.0125	-0.0121	-0.0116	-0.0116	-0.012	-0.0122	-0.0143	-0.0126	-0.0129	-0.0116	-0.013	-0.0136	-0.0123	-0.0118	-0.0121	-0.0116	-0.013	-0.0126	-0.0121	-0.0114	-0.0117	-0.0126	-0.0117	-0.0123	-0.0118	-0.0123	-0.0126	-0.0124	-0.0119	-0.0121	-0.0122	-0.0122	-0.012	-0.0119	-0.0125	-0.0116	-0.0122	-0.0119	-0.0129	-0.0118	-0.0108	-0.0119	-0.0118	-0.0123	-0.0126	-0.0122	-0.0116	-0.0126	-0.0118	-0.0149	-0.0112	-0.0111	-0.0122	-0.0115	-0.0123	-0.0121	-0.0138	-0.0118	-0.0119	-0.0118	-0.0125	-0.0122	-0.0106	-0.0113	-0.0121	-0.0123	-0.0115	-0.0117	-0.0129	-0.0114	-0.0118
sad_vc_estimate	0.0284	0.0056	-0.007	-0.008	0.0064	0.0028	0.0044	0.0114	0.0348	-0.0076	0.0011	0.0006	-0.0004	-0.0067	0.0149	-0.0021	0.0373	0.001	-0.0036	-0.0079	0.1052	0.0127	0.0002	0.0015	0.054	-0.0041	0.0167	-0.0075	0.0154	-0.0001	-0.0081	0.0266	0.0028	-0.0071	-0.0031	0.0044	0.0124	0.0115	-0.0046	0.0	0.0208	0.0237	0.017	0.0195	0.0416	0.0454	0.0243	0.0272	-0.0009	-0.0077	0.057	0.0395	0.0039	-0.004	-0.0055	0.015	-0.0002	-0.0034	-0.0078	-0.0056	0.0141	-0.001	0.0705	-0.0071	-0.0054	-0.0083	-0.0063	0.0027	-0.0052	0.0193	-0.0019	-0.0068	-0.0081	-0.008	0.0194	-0.0001	0.063	0.0439	0.0455	-0.0011	-0.0071	-0.0079	-0.0064	-0.0035	-0.0034	0.0026	-0.0044	0.0007	-0.0041	-0.0077	0.0135	0.0616	0.0703	-0.0058	-0.0066	-0.0046	-0.0033	-0.0003	-0.0021	-0.0076
sad_vc_estimate_se	0.3199	0.1287	0.0908	0.0857	0.0793	0.0842	0.0842	0.0756	0.077	0.0782	0.0747	0.076	0.0821	0.0758	0.0851	0.0804	0.0724	0.0766	0.076	0.0783	0.0973	0.0769	0.0774	0.0768	0.0797	0.0814	0.0805	0.0773	0.0765	0.0767	0.0774	0.0747	0.0762	0.0764	0.0775	0.0916	0.0814	0.0839	0.0753	0.083	0.0845	0.0778	0.0733	0.0793	0.0761	0.0831	0.0798	0.0778	0.0711	0.0744	0.079	0.0757	0.0801	0.076	0.0782	0.0771	0.0769	0.0781	0.0774	0.0781	0.0751	0.0754	0.0756	0.0796	0.0716	0.0803	0.0783	0.0849	0.0748	0.071	0.0736	0.0734	0.0789	0.0774	0.0775	0.0745	0.078	0.0725	0.0909	0.0708	0.0731	0.0763	0.076	0.0767	0.0765	0.0878	0.0758	0.0749	0.0758	0.0801	0.0748	0.0698	0.0749	0.0774	0.0789	0.0743	0.0747	0.0814	0.0755	0.0735
sad_vc_pvals	0.346	0.422	0.697	0.807	0.367	0.405	0.358	0.268	0.093	0.848	0.45	0.462	0.463	0.79	0.232	0.539	0.08	0.434	0.596	0.899	0.013	0.262	0.48	0.453	0.046	0.599	0.221	0.866	0.198	0.465	0.971	0.116	0.437	0.81	0.547	0.377	0.242	0.266	0.659	0.44	0.184	0.141	0.183	0.179	0.066	0.059	0.152	0.121	0.519	0.956	0.035	0.08	0.383	0.593	0.671	0.237	0.474	0.592	0.882	0.689	0.226	0.476	0.02	0.79	0.715	0.964	0.736	0.377	0.69	0.154	0.509	0.833	0.941	0.958	0.198	0.478	0.03	0.067	0.07	0.497	0.846	0.937	0.731	0.584	0.561	0.383	0.626	0.432	0.584	0.842	0.241	0.029	0.022	0.705	0.742	0.658	0.577	0.462	0.512	0.966
upper95_perm_sad	0.3484	0.1499	0.0666	0.0804	0.0748	0.073	0.0649	0.0759	0.0663	0.0725	0.0663	0.0772	0.0826	0.0645	0.0717	0.0722	0.0632	0.0704	0.0606	0.0695	0.0748	0.0759	0.0759	0.0731	0.0701	0.0693	0.0737	0.0719	0.056	0.0652	0.0666	0.0612	0.0722	0.0673	0.0622	0.0784	0.0659	0.0838	0.0676	0.0647	0.0778	0.0712	0.0614	0.0608	0.069	0.0669	0.0739	0.0659	0.0631	0.057	0.0606	0.0715	0.0709	0.0703	0.0673	0.0684	0.0627	0.0747	0.0632	0.0665	0.0655	0.0601	0.065	0.0684	0.0577	0.0613	0.08	0.0615	0.0729	0.0599	0.0596	0.0775	0.0736	0.065	0.0698	0.0658	0.0673	0.0677	0.0698	0.0583	0.0619	0.0619	0.0666	0.0599	0.068	0.0614	0.0607	0.0713	0.0642	0.0611	0.0675	0.0654	0.0668	0.0669	0.0677	0.072	0.0724	0.0656	0.0703	0.065
lower0_perm_sad	-0.051	-0.0206	-0.0147	-0.0139	-0.0129	-0.0133	-0.0139	-0.0122	-0.0129	-0.0128	-0.0121	-0.0121	-0.0127	-0.0125	-0.0144	-0.0134	-0.0121	-0.0123	-0.0124	-0.0127	-0.0164	-0.0123	-0.0125	-0.0127	-0.0135	-0.0129	-0.0127	-0.0127	-0.0123	-0.0127	-0.0121	-0.012	-0.012	-0.0124	-0.0131	-0.0144	-0.0131	-0.0137	-0.0117	-0.0131	-0.0134	-0.0126	-0.0121	-0.0131	-0.0127	-0.0135	-0.0134	-0.0129	-0.0116	-0.0118	-0.0129	-0.0123	-0.0126	-0.0119	-0.0127	-0.0126	-0.0126	-0.0131	-0.0121	-0.0124	-0.0124	-0.0121	-0.0123	-0.0129	-0.0115	-0.013	-0.0128	-0.014	-0.0127	-0.0121	-0.0119	-0.0118	-0.0134	-0.0126	-0.0121	-0.0118	-0.0123	-0.0117	-0.0143	-0.0115	-0.0116	-0.0123	-0.0125	-0.0121	-0.0122	-0.0143	-0.0129	-0.0118	-0.0122	-0.0128	-0.012	-0.0117	-0.0128	-0.0127	-0.0132	-0.0117	-0.0119	-0.0132	-0.0122	-0.0116
