	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.0447	0.1286	-0.0006	-0.0098	0.0566	0.037	0.0809	-0.0067	-0.0175	0.0577	0.0115	0.0532	-0.0137	0.1004	0.0448	-0.0083	-0.0123	0.0164	0.0249	-0.0156	0.0178	0.0319	0.0563	0.23	-0.014	-0.0128	0.0404	0.3127	0.0003	0.0522	0.0472	-0.0022	0.0015	-0.0084	-0.0152	0.2192	0.0088	-0.0125	-0.0121	0.0113	0.0049	0.1534	0.2468	0.0185	0.0551	-0.0053	-0.0064	0.014	-0.0133	0.0032	0.036	0.0814	-0.0101	-0.0092	-0.0092	0.0192	0.0014	0.0249	0.2142	0.0042	-0.0034	-0.0117	-0.0081	0.0309	-0.014	-0.0136	-0.0116	0.0395	0.1045	0.0084	-0.0111	0.0375	0.0258	0.0624	-0.0139	0.1559	0.1476	0.188	-0.0133	0.0074	-0.0139	0.0178	-0.0103	-0.0114	0.0245	-0.0124	0.0512	0.0445	0.0169	0.013	0.0638	0.0665	-0.0125	0.2557	0.0665	-0.0054	-0.0014	0.0254	0.0853	0.0178
direct_vc_estimate_se	0.0656	0.032	0.0246	0.0224	0.0211	0.0209	0.0204	0.0247	0.0243	0.0204	0.0222	0.0213	0.0192	0.0223	0.0218	0.0217	0.0227	0.0209	0.0218	0.0217	0.0204	0.0192	0.0217	0.0224	0.0196	0.0208	0.021	0.0186	0.0192	0.0208	0.022	0.0181	0.0206	0.0186	0.0212	0.0197	0.0204	0.0201	0.0196	0.0193	0.0211	0.0208	0.0191	0.0191	0.0203	0.0194	0.0203	0.0205	0.0195	0.019	0.0192	0.019	0.0193	0.0193	0.0206	0.0186	0.0205	0.019	0.0188	0.0197	0.0184	0.0183	0.0178	0.0184	0.0195	0.0192	0.0202	0.0178	0.0189	0.0182	0.0198	0.0183	0.0189	0.0181	0.0193	0.0191	0.0192	0.0187	0.019	0.0193	0.0193	0.0188	0.019	0.0185	0.0197	0.0177	0.0197	0.0189	0.0185	0.0187	0.0187	0.0173	0.0174	0.019	0.0187	0.0191	0.017	0.0187	0.0176	0.0185
direct_vc_pvals	0.878	0.194	0.613	0.682	0.187	0.232	0.122	0.687	0.996	0.16	0.44	0.163	0.953	0.073	0.281	0.676	0.739	0.496	0.315	0.993	0.364	0.293	0.215	0.017	0.958	0.815	0.342	0.001	0.522	0.189	0.229	0.548	0.529	0.704	0.99	0.008	0.466	0.851	0.797	0.406	0.478	0.035	0.015	0.312	0.299	0.59	0.676	0.376	0.89	0.5	0.211	0.184	0.778	0.71	0.716	0.332	0.537	0.356	0.032	0.497	0.643	0.88	0.728	0.26	1.0	0.943	0.812	0.173	0.077	0.418	0.745	0.221	0.32	0.154	0.996	0.045	0.079	0.035	0.93	0.511	0.975	0.35	0.748	0.814	0.282	0.935	0.219	0.18	0.342	0.338	0.22	0.088	0.946	0.009	0.131	0.66	0.53	0.277	0.06	0.28
upper95_perm_direct	0.4557	0.41	0.3172	0.1503	0.1977	0.1683	0.168	0.3114	0.2752	0.1666	0.1933	0.1474	0.1117	0.155	0.2603	0.1779	0.1824	0.2845	0.1659	0.1459	0.1826	0.1797	0.1812	0.1998	0.1715	0.1936	0.2584	0.1858	0.1512	0.1832	0.17	0.1542	0.1803	0.166	0.1738	0.1397	0.1841	0.3101	0.1704	0.1667	0.1694	0.1709	0.2146	0.1293	0.2674	0.1188	0.1631	0.172	0.1664	0.1739	0.1418	0.2497	0.2251	0.1311	0.1535	0.1463	0.2188	0.2041	0.2248	0.1742	0.2175	0.2339	0.1705	0.1618	0.2091	0.1766	0.2203	0.118	0.1702	0.1296	0.1282	0.1359	0.1856	0.1655	0.1619	0.1887	0.2182	0.2143	0.2176	0.2177	0.1774	0.1351	0.1268	0.1246	0.1382	0.1721	0.2056	0.1499	0.1335	0.1252	0.2128	0.1191	0.1243	0.143	0.1658	0.1438	0.1092	0.174	0.1215	0.1209
lower0_perm_direct	-0.0721	-0.0361	-0.0271	-0.0247	-0.0233	-0.0236	-0.023	-0.028	-0.0261	-0.023	-0.0252	-0.0241	-0.0223	-0.0248	-0.0244	-0.0247	-0.0253	-0.0228	-0.0253	-0.0236	-0.0223	-0.021	-0.0245	-0.0255	-0.0222	-0.0232	-0.0241	-0.0209	-0.0217	-0.0231	-0.0249	-0.0201	-0.0233	-0.0214	-0.023	-0.0225	-0.0229	-0.0224	-0.0215	-0.0211	-0.0252	-0.0235	-0.0214	-0.0219	-0.024	-0.022	-0.0229	-0.0238	-0.0219	-0.0216	-0.0217	-0.0226	-0.0217	-0.0222	-0.023	-0.0223	-0.0225	-0.0204	-0.021	-0.0221	-0.0207	-0.0209	-0.0206	-0.0209	-0.0227	-0.0209	-0.0226	-0.0213	-0.0212	-0.021	-0.022	-0.0219	-0.0225	-0.0192	-0.0217	-0.021	-0.0217	-0.0217	-0.0213	-0.0215	-0.0206	-0.0204	-0.022	-0.0206	-0.0224	-0.0194	-0.0228	-0.0207	-0.0207	-0.021	-0.0225	-0.0192	-0.0191	-0.021	-0.0215	-0.0214	-0.0189	-0.0207	-0.0196	-0.0203
sad_vc_estimate	-0.0403	0.3191	-0.0038	-0.0018	0.0231	0.0348	0.192	0.0188	-0.0151	0.0227	0.0122	0.0371	-0.0137	0.0947	0.0311	-0.0055	-0.0077	0.0231	0.006	-0.0134	0.0823	0.0511	0.1166	0.3908	-0.0083	-0.0101	0.0554	0.2255	-0.0118	0.0558	0.0839	-0.0066	-0.0091	0.0001	-0.0152	0.2396	-0.0034	-0.0145	-0.0139	0.0344	0.0293	0.1711	0.2596	0.0244	0.0609	0.0395	0.0024	-0.0011	-0.0096	0.0036	0.0141	0.1822	0.0126	-0.0031	-0.0148	0.002	0.0332	0.0534	0.26	0.0465	0.0033	-0.0105	-0.0128	0.0145	-0.0136	-0.013	-0.0126	0.011	0.2009	0.0054	-0.0017	0.0563	0.0465	0.0929	-0.0133	0.2064	0.1278	0.2474	-0.0117	0.0144	-0.0132	0.0041	-0.0086	-0.0102	0.0907	-0.0128	0.1097	0.0827	0.0017	-0.0065	0.1174	0.0815	-0.0119	0.3856	0.0488	-0.004	0.0012	0.0441	0.0392	0.0312
sad_vc_estimate_se	0.0657	0.0321	0.0246	0.0224	0.0211	0.0209	0.0205	0.0247	0.0244	0.0204	0.0223	0.0214	0.0192	0.0223	0.0218	0.0217	0.0228	0.021	0.0219	0.0217	0.0204	0.0193	0.0217	0.0224	0.0196	0.0209	0.0211	0.0186	0.0193	0.0209	0.0221	0.0181	0.0206	0.0186	0.0212	0.0198	0.0204	0.0201	0.0196	0.0193	0.0211	0.0208	0.0191	0.0191	0.0203	0.0195	0.0203	0.0205	0.0196	0.019	0.0192	0.019	0.0193	0.0193	0.0206	0.0186	0.0205	0.0191	0.0188	0.0197	0.0184	0.0183	0.0178	0.0184	0.0195	0.0192	0.0202	0.0178	0.0189	0.0182	0.0198	0.0183	0.0189	0.0181	0.0193	0.0192	0.0193	0.0188	0.019	0.0194	0.0193	0.0188	0.019	0.0186	0.0197	0.0177	0.0197	0.0189	0.0185	0.0187	0.0187	0.0173	0.0174	0.019	0.0187	0.0191	0.017	0.0187	0.0176	0.0185
sad_vc_pvals	0.813	0.088	0.711	0.594	0.416	0.292	0.059	0.528	0.843	0.354	0.474	0.296	0.938	0.13	0.451	0.67	0.658	0.501	0.52	0.83	0.146	0.263	0.131	0.009	0.708	0.787	0.323	0.021	0.84	0.239	0.155	0.691	0.731	0.572	0.98	0.018	0.625	0.992	0.931	0.299	0.333	0.035	0.021	0.331	0.334	0.218	0.538	0.574	0.766	0.578	0.433	0.081	0.521	0.616	0.98	0.567	0.401	0.268	0.027	0.287	0.607	0.832	0.997	0.422	0.925	0.89	0.856	0.398	0.033	0.506	0.57	0.201	0.237	0.13	0.914	0.035	0.132	0.029	0.86	0.518	0.904	0.524	0.716	0.766	0.116	0.992	0.134	0.102	0.571	0.638	0.139	0.114	0.883	0.005	0.247	0.62	0.502	0.274	0.173	0.244
upper95_perm_sad	0.5983	0.5587	0.4092	0.1737	0.2445	0.2247	0.2845	0.4168	0.3009	0.1936	0.2887	0.2037	0.1633	0.2431	0.3217	0.2014	0.2214	0.3832	0.2423	0.2246	0.2085	0.2294	0.2776	0.2546	0.1987	0.2967	0.3731	0.2079	0.2269	0.2386	0.2171	0.1736	0.2584	0.1828	0.2329	0.1696	0.2507	0.3816	0.1822	0.2095	0.2397	0.1879	0.2528	0.177	0.3453	0.1621	0.1979	0.2215	0.1927	0.2327	0.216	0.2837	0.2974	0.1694	0.2222	0.1978	0.284	0.2644	0.2659	0.248	0.2706	0.299	0.2068	0.1894	0.2734	0.2376	0.3322	0.1539	0.2204	0.1744	0.1875	0.2024	0.1918	0.2208	0.2187	0.2334	0.2535	0.2512	0.2709	0.3002	0.1942	0.1902	0.1701	0.1632	0.1845	0.2194	0.2575	0.1574	0.2116	0.1587	0.2802	0.174	0.1568	0.2046	0.2077	0.2071	0.1377	0.2114	0.1325	0.1601
lower0_perm_sad	-0.0734	-0.0359	-0.0281	-0.0252	-0.0224	-0.0229	-0.0223	-0.0281	-0.0278	-0.0228	-0.0253	-0.0247	-0.0219	-0.0252	-0.0254	-0.0248	-0.0253	-0.025	-0.024	-0.0242	-0.023	-0.0218	-0.0246	-0.0252	-0.0223	-0.0228	-0.0238	-0.0223	-0.022	-0.0235	-0.0252	-0.0203	-0.0222	-0.0212	-0.0233	-0.0215	-0.0229	-0.0228	-0.0217	-0.0221	-0.0237	-0.0236	-0.0217	-0.0207	-0.0222	-0.0229	-0.0231	-0.0233	-0.0216	-0.0208	-0.0217	-0.0227	-0.0219	-0.0212	-0.0227	-0.0203	-0.0224	-0.0217	-0.0212	-0.0215	-0.0203	-0.0213	-0.0201	-0.0206	-0.0224	-0.0219	-0.0229	-0.0202	-0.0227	-0.0205	-0.0224	-0.022	-0.0209	-0.0203	-0.021	-0.021	-0.021	-0.021	-0.0214	-0.0222	-0.0218	-0.021	-0.022	-0.0209	-0.0225	-0.02	-0.0228	-0.0213	-0.0222	-0.0211	-0.0206	-0.0192	-0.0196	-0.021	-0.0212	-0.0213	-0.0192	-0.0209	-0.0186	-0.0203
