	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.0005	-0.0026	0.0195	0.0	0.0294	0.059	0.1285	0.0553	0.0156	0.0896	0.0093	0.0102	-0.0026	-0.0001	0.0032	0.0074	-0.0024	0.0081	-0.0011	-0.0004	0.0436	-0.0025	0.0196	0.018	0.0077	0.0041	0.0002	-0.0021	0.0011	-0.0026	0.012	-0.0024	-0.002	0.0007	-0.0019	-0.0024	-0.0023	0.0156	0.0046	-0.002	-0.0005	0.0136	0.0236	-0.0014	-0.0024	-0.0019	-0.0015	0.0091	-0.0021	0.0014	-0.0014	0.012	-0.0004	0.0022	0.0067	0.0115	-0.0022	0.0097	-0.0015	-0.0001	-0.0022	0.003	0.0182	-0.0008	0.0286	-0.0024	-0.0023	-0.0024	0.0071	0.0005	0.0003	0.0074	0.0009	0.011	-0.0016	-0.0015	0.0056	-0.0022	0.0043	-0.0022	-0.0023	0.012	-0.0005	0.0106	-0.0003	-0.0021	0.0042	0.0061	-0.0019	0.0201	-0.0017	0.0023	-0.0005	0.0066	0.0085	0.0005	0.0112	0.0004	0.0192	0.02
direct_vc_estimate_se	0.1324	0.0559	0.0406	0.0394	0.0423	0.0401	0.047	0.0437	0.0364	0.0405	0.0366	0.0382	0.038	0.0381	0.0395	0.0369	0.0373	0.0363	0.0368	0.0363	0.0367	0.037	0.0374	0.036	0.0342	0.0353	0.0356	0.0368	0.0354	0.0365	0.0364	0.0349	0.0349	0.034	0.0348	0.0341	0.0359	0.0347	0.0345	0.0354	0.0344	0.0349	0.0351	0.0357	0.0354	0.0351	0.0347	0.0373	0.0347	0.035	0.0334	0.0362	0.0363	0.0343	0.0335	0.0376	0.0345	0.0356	0.0348	0.0337	0.0333	0.0341	0.0341	0.0345	0.0341	0.0361	0.0347	0.0343	0.0336	0.0342	0.0323	0.035	0.0332	0.0361	0.0339	0.0342	0.0338	0.0333	0.0339	0.0334	0.0338	0.0329	0.0326	0.0329	0.034	0.0343	0.0348	0.033	0.0341	0.0333	0.0322	0.0335	0.0339	0.034	0.0324	0.0329	0.0337	0.0347	0.0335	0.0331
direct_vc_pvals	0.593	0.687	0.021	0.472	0.022	0.036	0.034	0.127	0.14	0.017	0.104	0.272	0.893	0.551	0.392	0.337	0.855	0.121	0.578	0.592	0.016	0.925	0.034	0.082	0.187	0.277	0.448	0.765	0.422	0.969	0.072	0.946	0.788	0.397	0.751	0.918	0.836	0.158	0.213	0.748	0.53	0.073	0.029	0.588	0.877	0.748	0.656	0.164	0.746	0.417	0.624	0.064	0.523	0.33	0.172	0.094	0.831	0.06	0.617	0.458	0.877	0.241	0.033	0.55	0.013	0.876	0.821	0.929	0.239	0.387	0.371	0.134	0.403	0.059	0.657	0.647	0.17	0.868	0.211	0.827	0.903	0.069	0.52	0.067	0.517	0.806	0.224	0.188	0.753	0.017	0.7	0.313	0.53	0.118	0.098	0.439	0.088	0.406	0.017	0.015
upper95_perm_direct	0.1702	0.0362	0.0212	0.0262	0.0331	0.0766	0.1833	0.1291	0.0416	0.0905	0.0223	0.0549	0.0227	0.0308	0.038	0.0466	0.0233	0.0214	0.0246	0.0324	0.0395	0.0338	0.0234	0.034	0.0274	0.0279	0.0216	0.0286	0.028	0.0262	0.0223	0.0256	0.0332	0.0196	0.0218	0.022	0.0214	0.0456	0.0207	0.0251	0.0242	0.025	0.0252	0.0211	0.0251	0.024	0.0204	0.0264	0.0158	0.0283	0.0184	0.0202	0.0257	0.0225	0.0234	0.0255	0.0205	0.0165	0.0206	0.0188	0.0252	0.0173	0.0224	0.0269	0.0271	0.0216	0.0217	0.023	0.0317	0.0178	0.0159	0.0198	0.0233	0.0176	0.0241	0.0202	0.0196	0.0313	0.0211	0.0208	0.0167	0.0214	0.0193	0.019	0.0226	0.02	0.0241	0.0236	0.0243	0.0186	0.0181	0.0205	0.0242	0.0179	0.0202	0.0221	0.0238	0.0215	0.019	0.0158
lower0_perm_direct	-0.0158	-0.0078	-0.0056	-0.005	-0.0053	-0.0053	-0.0059	-0.006	-0.0047	-0.0051	-0.0047	-0.0048	-0.0047	-0.0051	-0.005	-0.0047	-0.0052	-0.0048	-0.0048	-0.0047	-0.0049	-0.0051	-0.0049	-0.0046	-0.0047	-0.0047	-0.0048	-0.0047	-0.0041	-0.0047	-0.0049	-0.0044	-0.0046	-0.0044	-0.0046	-0.0043	-0.005	-0.0044	-0.0044	-0.0049	-0.0048	-0.0047	-0.0048	-0.0046	-0.0048	-0.0046	-0.0045	-0.0048	-0.0048	-0.0043	-0.0043	-0.005	-0.0048	-0.0048	-0.0044	-0.0049	-0.0042	-0.0048	-0.0048	-0.0043	-0.0045	-0.0046	-0.0043	-0.0044	-0.0047	-0.0048	-0.0045	-0.0042	-0.0044	-0.0046	-0.0041	-0.0043	-0.0042	-0.005	-0.0043	-0.0047	-0.0047	-0.0044	-0.0047	-0.0043	-0.0046	-0.0043	-0.0045	-0.0044	-0.0047	-0.0045	-0.0045	-0.0044	-0.0044	-0.0043	-0.0042	-0.0042	-0.0042	-0.0047	-0.0043	-0.0043	-0.0046	-0.0043	-0.0046	-0.0042
sad_vc_estimate	0.0447	0.004	0.0374	-0.0009	0.0479	0.1002	0.3433	0.1321	0.0369	0.1572	0.0276	0.0941	-0.0015	0.0124	-0.0017	0.0445	-0.0027	0.0296	-0.0026	0.0076	0.1284	-0.002	0.0432	0.0343	0.015	-0.0014	0.0297	0.0016	-0.0025	-0.001	0.0241	-0.0021	-0.0018	0.0044	-0.0019	0.0044	0.0009	0.0792	0.0115	-0.0018	0.0164	0.0046	0.0344	-0.0006	-0.0015	-0.0024	0.0041	0.0528	0.001	0.0052	-0.0023	0.0146	0.0244	0.0001	0.0044	0.0258	-0.0008	0.005	-0.0009	-0.0024	-0.0003	0.0023	0.0369	-0.0013	0.0414	-0.0003	-0.0012	-0.0023	0.039	0.0026	0.0059	0.0016	-0.0013	0.019	-0.0023	-0.001	0.0316	0.0	0.0056	0.0069	-0.0022	0.049	-0.0018	0.0217	0.004	0.0013	0.008	0.0165	0.0008	0.0536	0.0029	-0.0003	0.0068	0.0234	0.0093	0.0004	0.0145	-0.0019	0.0373	0.0569
sad_vc_estimate_se	0.1343	0.0567	0.0412	0.04	0.043	0.0407	0.0477	0.0444	0.0369	0.0412	0.0371	0.0388	0.0386	0.0386	0.0401	0.0374	0.0378	0.0369	0.0373	0.0368	0.0372	0.0376	0.0379	0.0365	0.0347	0.0358	0.0361	0.0374	0.036	0.0371	0.0369	0.0354	0.0354	0.0345	0.0353	0.0346	0.0364	0.0352	0.035	0.036	0.0349	0.0354	0.0357	0.0362	0.0359	0.0357	0.0352	0.0378	0.0352	0.0355	0.0339	0.0368	0.0368	0.0349	0.034	0.0381	0.035	0.0361	0.0353	0.0342	0.0338	0.0346	0.0346	0.035	0.0346	0.0366	0.0352	0.0348	0.0341	0.0347	0.0328	0.0355	0.0337	0.0366	0.0344	0.0347	0.0343	0.0338	0.0344	0.0339	0.0343	0.0333	0.0331	0.0334	0.0345	0.0348	0.0353	0.0335	0.0346	0.0338	0.0327	0.034	0.0344	0.0345	0.0329	0.0333	0.0342	0.0352	0.034	0.0336
sad_vc_pvals	0.372	0.461	0.05	0.641	0.065	0.079	0.01	0.1	0.114	0.023	0.088	0.035	0.716	0.309	0.781	0.128	0.999	0.072	0.919	0.407	0.008	0.825	0.034	0.108	0.248	0.758	0.056	0.534	0.981	0.71	0.08	0.851	0.784	0.352	0.794	0.343	0.52	0.028	0.215	0.771	0.183	0.347	0.054	0.652	0.78	0.902	0.368	0.014	0.524	0.401	0.919	0.164	0.118	0.562	0.373	0.105	0.655	0.32	0.639	0.984	0.626	0.443	0.061	0.756	0.034	0.573	0.705	0.906	0.052	0.37	0.294	0.488	0.722	0.083	0.906	0.651	0.037	0.631	0.32	0.276	0.857	0.011	0.774	0.089	0.376	0.489	0.281	0.142	0.542	0.007	0.34	0.591	0.318	0.054	0.216	0.523	0.155	0.778	0.022	0.005
upper95_perm_sad	0.3463	0.0658	0.057	0.0409	0.0772	0.1744	0.3606	0.2657	0.0747	0.1699	0.0535	0.1178	0.0521	0.0879	0.085	0.093	0.0616	0.0531	0.047	0.0726	0.1012	0.0687	0.054	0.0705	0.0592	0.0564	0.0457	0.0526	0.0542	0.0549	0.0453	0.0487	0.0488	0.0445	0.0539	0.0403	0.0442	0.0965	0.045	0.0472	0.0547	0.0415	0.0509	0.0476	0.0593	0.0528	0.0473	0.0481	0.0413	0.0435	0.0452	0.0437	0.0545	0.043	0.0529	0.0571	0.0404	0.0374	0.041	0.0374	0.0493	0.0378	0.0584	0.0542	0.051	0.0333	0.0448	0.041	0.0592	0.0349	0.0354	0.0485	0.0432	0.0371	0.0382	0.0376	0.0376	0.0467	0.0447	0.0408	0.035	0.0396	0.0357	0.0442	0.0417	0.0388	0.0512	0.0448	0.0462	0.0375	0.0301	0.0443	0.0469	0.0351	0.04	0.0368	0.041	0.0414	0.0411	0.0346
lower0_perm_sad	-0.0167	-0.0071	-0.0054	-0.0053	-0.0055	-0.0051	-0.006	-0.0053	-0.0047	-0.005	-0.0048	-0.005	-0.0053	-0.005	-0.0049	-0.0046	-0.0053	-0.0046	-0.0051	-0.0046	-0.0048	-0.0052	-0.0051	-0.0048	-0.0041	-0.0046	-0.0043	-0.0047	-0.0046	-0.0049	-0.0045	-0.0044	-0.0046	-0.0045	-0.0046	-0.0043	-0.0046	-0.0045	-0.0049	-0.0049	-0.0045	-0.0047	-0.0045	-0.0047	-0.0048	-0.0049	-0.0045	-0.0049	-0.0046	-0.0046	-0.0044	-0.0048	-0.0047	-0.0043	-0.0046	-0.0046	-0.0048	-0.0048	-0.0047	-0.0045	-0.0047	-0.0043	-0.0041	-0.0045	-0.0045	-0.0046	-0.0049	-0.0044	-0.0045	-0.0044	-0.0043	-0.0048	-0.0042	-0.0047	-0.0047	-0.0044	-0.0045	-0.0043	-0.0043	-0.0042	-0.0046	-0.0046	-0.0046	-0.0044	-0.0045	-0.0043	-0.0044	-0.0044	-0.0045	-0.0045	-0.0045	-0.0046	-0.0045	-0.0047	-0.004	-0.0041	-0.0048	-0.0045	-0.0044	-0.0047
