	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.0357	0.0271	-0.0005	-0.0019	0.0048	-0.0014	-0.0093	-0.0022	0.0104	0.0059	0.0671	-0.0031	-0.0028	-0.0015	-0.0019	0.0002	-0.0074	-0.0001	0.0097	0.0021	0.0056	-0.0005	0.0041	0.0035	0.0074	0.006	0.002	0.0119	-0.0022	0.0034	0.0018	-0.0013	0.0011	-0.0012	0.0038	-0.001	0.0051	-0.0001	0.0009	-0.0007	-0.0004	0.0493	0.0172	0.0004	0.0037	0.0042	0.0211	-0.0	0.0005	-0.0027	-0.0038	-0.0019	0.0027	0.0309	0.0028	0.0018	-0.0027	-0.0023	0.0058	0.0028	-0.0058	-0.0015	0.0088	0.0024	0.0243	0.0024	-0.0009	-0.0015	0.03	0.0373	-0.0005	-0.0062	0.0041	0.0014	-0.0032	-0.0014	-0.0024	-0.0014	-0.0035	-0.0017	-0.0021	-0.0009	-0.0021	0.0036	-0.0032	0.0	-0.0057	0.0072	-0.0013	-0.0033	-0.002	-0.0031	0.0128	0.0058	0.0344	0.0167	-0.0023	0.0077	0.0005	-0.0029
direct_vc_estimate_se	0.0084	0.0035	0.0052	0.0017	0.0012	0.0034	0.0078	0.0017	0.0025	0.0036	0.0076	0.0023	0.0025	0.0022	0.0022	0.0013	0.0059	0.0016	0.0019	0.0026	0.0016	0.0034	0.004	0.0025	0.0041	0.0015	0.0014	0.0039	0.0021	0.0028	0.0014	0.0034	0.0017	0.0014	0.0015	0.0019	0.0014	0.0027	0.002	0.0062	0.0015	0.0091	0.0032	0.0021	0.0067	0.0012	0.0013	0.0012	0.0033	0.0021	0.0036	0.0015	0.0014	0.0019	0.0043	0.002	0.0023	0.0086	0.0051	0.0013	0.005	0.0012	0.0019	0.0032	0.0016	0.0014	0.001	0.0011	0.0053	0.0053	0.0039	0.0074	0.0025	0.0019	0.0038	0.001	0.0073	0.0011	0.003	0.0014	0.0018	0.0013	0.006	0.0017	0.0026	0.001	0.0092	0.002	0.0023	0.0026	0.002	0.0026	0.003	0.002	0.0012	0.002	0.0019	0.0015	0.0013	0.0022
direct_vc_pvals	0.138	0.067	0.415	0.82	0.191	0.512	0.828	0.996	0.147	0.278	0.009	0.982	0.828	0.532	0.661	0.528	0.871	0.539	0.164	0.394	0.235	0.517	0.288	0.241	0.132	0.19	0.336	0.168	0.752	0.303	0.274	0.479	0.31	0.723	0.289	0.551	0.215	0.48	0.408	0.455	0.605	0.032	0.065	0.478	0.34	0.195	0.036	0.531	0.389	0.955	0.741	0.866	0.298	0.019	0.306	0.349	0.776	0.482	0.214	0.25	0.783	0.883	0.118	0.324	0.017	0.292	0.742	0.952	0.011	0.02	0.472	0.678	0.263	0.353	0.635	0.998	0.484	0.908	0.79	0.841	0.837	0.647	0.486	0.214	0.874	0.523	0.612	0.146	0.59	0.908	0.639	0.809	0.076	0.182	0.003	0.036	0.825	0.155	0.41	0.988
upper95_perm_direct	0.1088	0.0479	0.0321	0.0231	0.0172	0.0271	0.0424	0.055	0.0311	0.0381	0.054	0.0261	0.032	0.0184	0.0254	0.0284	0.0471	0.0271	0.0301	0.0336	0.0265	0.0441	0.033	0.0203	0.0201	0.0236	0.0205	0.0389	0.0219	0.0303	0.0146	0.0228	0.0158	0.027	0.0224	0.0219	0.0207	0.0291	0.0234	0.0365	0.0254	0.0589	0.029	0.0289	0.0484	0.0166	0.0271	0.0229	0.0297	0.0335	0.0272	0.0165	0.0187	0.0341	0.032	0.0257	0.0226	0.0371	0.0218	0.0162	0.028	0.025	0.0235	0.0256	0.0239	0.0198	0.0202	0.0148	0.0232	0.0394	0.0277	0.0368	0.0271	0.0194	0.0266	0.0154	0.0334	0.0128	0.0266	0.0146	0.0182	0.0177	0.0383	0.0186	0.0259	0.014	0.0437	0.0234	0.023	0.0196	0.0132	0.0218	0.0231	0.0213	0.0231	0.0209	0.0248	0.0256	0.0173	0.0289
lower0_perm_direct	-0.0189	-0.0081	-0.0116	-0.0038	-0.0027	-0.0075	-0.0183	-0.0038	-0.0055	-0.0081	-0.0164	-0.0055	-0.0054	-0.005	-0.0051	-0.003	-0.0132	-0.0035	-0.0045	-0.006	-0.0037	-0.008	-0.0091	-0.0056	-0.0093	-0.0033	-0.0032	-0.0088	-0.0047	-0.0062	-0.003	-0.0076	-0.0039	-0.0033	-0.0032	-0.0046	-0.0031	-0.0062	-0.0045	-0.0136	-0.0033	-0.0201	-0.007	-0.0047	-0.0156	-0.0026	-0.0028	-0.0026	-0.0074	-0.0047	-0.008	-0.0034	-0.0031	-0.0043	-0.0098	-0.0046	-0.0051	-0.0202	-0.0112	-0.0032	-0.0114	-0.0028	-0.0042	-0.0072	-0.0033	-0.0031	-0.0023	-0.0024	-0.0119	-0.0124	-0.0091	-0.0165	-0.0059	-0.0042	-0.0085	-0.0023	-0.0168	-0.0026	-0.0067	-0.003	-0.004	-0.0027	-0.014	-0.0038	-0.0057	-0.0023	-0.0206	-0.0044	-0.0051	-0.006	-0.0046	-0.0062	-0.0068	-0.0045	-0.0028	-0.0045	-0.0044	-0.0032	-0.003	-0.005
sad_vc_estimate	0.2658	0.1021	0.0387	-0.0018	0.0101	0.0022	-0.0069	-0.0005	0.0276	0.0371	0.1267	-0.0027	-0.0025	-0.0006	-0.0022	0.0094	-0.0019	0.01	0.0157	0.0113	0.0098	0.0086	0.034	0.0204	-0.0029	0.0193	0.0143	0.0752	-0.0027	0.0121	0.0153	-0.0003	0.009	0.0014	0.0001	-0.0008	0.0056	0.0001	0.0032	0.0046	0.0035	0.1317	0.0331	0.0023	0.0587	0.0107	0.0391	0.0001	0.0048	-0.0017	0.0008	-0.0015	0.0126	0.0548	0.0102	0.0085	-0.003	0.0076	0.0006	0.0081	-0.0043	-0.0014	0.0089	0.0049	0.0218	0.0086	0.0008	-0.0012	0.0233	0.1051	-0.0043	-0.0097	0.0061	0.0041	-0.0048	0.0011	-0.0086	0.0057	0.0003	-0.0008	-0.0017	-0.0009	-0.0042	0.0279	0.0081	-0.0011	0.009	0.0048	-0.0001	-0.0034	-0.0027	-0.0028	0.002	0.0073	0.0798	0.0582	0.0013	0.0244	-0.0009	-0.0028
sad_vc_estimate_se	0.0084	0.0036	0.0052	0.0017	0.0012	0.0034	0.0078	0.0017	0.0025	0.0036	0.0076	0.0024	0.0025	0.0022	0.0022	0.0014	0.0059	0.0016	0.002	0.0026	0.0016	0.0035	0.004	0.0026	0.0041	0.0015	0.0014	0.0039	0.0021	0.0028	0.0014	0.0034	0.0017	0.0015	0.0015	0.002	0.0014	0.0027	0.002	0.0062	0.0015	0.0091	0.0032	0.0021	0.0067	0.0012	0.0013	0.0012	0.0033	0.0021	0.0036	0.0015	0.0014	0.0019	0.0043	0.0021	0.0024	0.0086	0.0051	0.0014	0.005	0.0013	0.0019	0.0032	0.0016	0.0014	0.001	0.0011	0.0053	0.0053	0.0039	0.0074	0.0025	0.0019	0.0038	0.0011	0.0073	0.0011	0.003	0.0014	0.0018	0.0013	0.006	0.0017	0.0026	0.001	0.0092	0.002	0.0023	0.0026	0.0021	0.0026	0.003	0.002	0.0013	0.002	0.002	0.0015	0.0014	0.0022
sad_vc_pvals	0.011	0.032	0.068	0.823	0.232	0.454	0.674	0.753	0.151	0.119	0.021	0.868	0.834	0.607	0.815	0.3	0.586	0.28	0.263	0.272	0.321	0.4	0.068	0.091	0.632	0.14	0.169	0.016	0.913	0.229	0.119	0.543	0.183	0.604	0.603	0.658	0.366	0.596	0.392	0.35	0.475	0.008	0.055	0.525	0.049	0.201	0.068	0.667	0.374	0.796	0.489	0.806	0.169	0.035	0.257	0.302	0.899	0.33	0.436	0.273	0.647	0.874	0.216	0.331	0.113	0.252	0.706	0.852	0.095	0.007	0.8	0.999	0.363	0.385	0.921	0.585	0.837	0.272	0.529	0.659	0.8	0.747	0.679	0.056	0.268	0.812	0.328	0.356	0.627	0.993	0.947	0.805	0.487	0.304	0.001	0.006	0.613	0.118	0.77	0.931
upper95_perm_sad	0.2333	0.1282	0.0657	0.0444	0.0415	0.0606	0.0837	0.0953	0.0841	0.0888	0.1439	0.0612	0.0719	0.0374	0.0445	0.0558	0.0869	0.0532	0.0791	0.0617	0.064	0.1018	0.0564	0.0423	0.0415	0.0492	0.0387	0.0731	0.0365	0.0571	0.0381	0.0463	0.0338	0.0622	0.0517	0.0444	0.0426	0.0608	0.0457	0.0635	0.0523	0.0913	0.0505	0.0619	0.0867	0.0429	0.0671	0.0445	0.0499	0.0732	0.0609	0.0387	0.0414	0.0698	0.0595	0.0484	0.0465	0.0752	0.0416	0.041	0.0591	0.0442	0.0392	0.0468	0.0493	0.0394	0.0508	0.0428	0.0445	0.077	0.0581	0.0678	0.0549	0.0413	0.0431	0.0433	0.0713	0.0302	0.0619	0.027	0.0449	0.0375	0.0796	0.0425	0.0493	0.0286	0.0703	0.0421	0.0499	0.0393	0.0281	0.0439	0.0533	0.0455	0.0463	0.0383	0.0605	0.053	0.0337	0.0614
lower0_perm_sad	-0.0182	-0.0078	-0.0116	-0.0037	-0.0027	-0.0073	-0.0171	-0.0039	-0.0056	-0.0082	-0.0167	-0.0054	-0.0055	-0.005	-0.0049	-0.0031	-0.0126	-0.0035	-0.0043	-0.0058	-0.0034	-0.0078	-0.0095	-0.0058	-0.0092	-0.0032	-0.0034	-0.0088	-0.0048	-0.0061	-0.0031	-0.0077	-0.0039	-0.0033	-0.0035	-0.0044	-0.0032	-0.006	-0.0043	-0.0148	-0.0031	-0.0202	-0.007	-0.0044	-0.0153	-0.0025	-0.0029	-0.0027	-0.0075	-0.0047	-0.0078	-0.0036	-0.0031	-0.0043	-0.0096	-0.0044	-0.0053	-0.0194	-0.0113	-0.003	-0.0113	-0.0027	-0.0044	-0.0075	-0.0036	-0.0031	-0.0022	-0.0026	-0.0118	-0.0118	-0.0087	-0.0173	-0.0057	-0.0045	-0.0085	-0.0024	-0.0163	-0.0024	-0.0069	-0.0032	-0.004	-0.0029	-0.0135	-0.0037	-0.0061	-0.0023	-0.0198	-0.0045	-0.0054	-0.0059	-0.0049	-0.0059	-0.0068	-0.0047	-0.0028	-0.0047	-0.0043	-0.0032	-0.003	-0.005
