	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.1969	0.0381	0.0249	0.0147	-0.0001	0.0201	0.0283	0.0063	0.0015	0.0054	0.0186	0.0149	0.0099	0.0091	0.0002	-0.0006	-0.0006	0.0022	0.025	0.0001	0.0021	0.0009	0.0006	-0.0004	0.0004	0.0156	0.0007	0.003	0.0058	0.0018	-0.0006	0.0013	-0.0005	0.008	0.0032	0.0005	-0.0	0.0076	-0.0006	0.0229	-0.0001	0.0002	0.0004	0.0001	0.0061	0.0003	-0.0005	0.0009	-0.0005	-0.0007	0.0007	0.0015	0.0033	-0.0006	0.0099	0.0117	0.0009	0.0079	0.0001	0.001	0.0014	-0.0001	0.0007	0.0034	0.0021	-0.0004	-0.0004	0.006	0.0024	-0.0008	0.0098	-0.0006	0.0074	0.0027	0.0005	-0.0006	-0.0005	0.0023	0.0009	-0.0005	-0.0005	0.0027	0.0001	0.003	0.0006	0.0014	0.0067	0.0011	0.0103	-0.0	0.0	-0.0002	0.0038	0.0008	0.008	0.0001	0.0053	0.0118	0.0004	0.0023
direct_vc_estimate_se	0.0071	0.0028	0.0021	0.0021	0.0017	0.0019	0.0021	0.0019	0.0018	0.0024	0.0029	0.0021	0.0021	0.0017	0.0017	0.0022	0.0019	0.0017	0.0024	0.0018	0.0016	0.0017	0.002	0.0017	0.0019	0.0024	0.0017	0.0018	0.0016	0.0021	0.0017	0.0017	0.0017	0.0016	0.0017	0.002	0.0019	0.0016	0.0017	0.0019	0.0016	0.0016	0.0018	0.0016	0.0019	0.0017	0.0026	0.0016	0.0018	0.0023	0.0015	0.0016	0.0017	0.0017	0.0017	0.0016	0.0019	0.0023	0.002	0.0015	0.0018	0.0016	0.0015	0.0017	0.0018	0.0016	0.0016	0.0017	0.0018	0.0026	0.0016	0.0022	0.0017	0.0022	0.0018	0.0016	0.0019	0.0017	0.002	0.0014	0.0017	0.0015	0.0018	0.0016	0.0018	0.0015	0.0017	0.0016	0.0016	0.0026	0.0016	0.0016	0.0016	0.0017	0.0029	0.0016	0.0015	0.0017	0.0017	0.0021
direct_vc_pvals	0.037	0.102	0.016	0.037	0.672	0.021	0.023	0.058	0.309	0.161	0.019	0.067	0.055	0.211	0.548	0.751	0.93	0.262	0.007	0.543	0.176	0.324	0.707	0.825	0.448	0.026	0.441	0.19	0.122	0.676	0.928	0.312	0.855	0.177	0.271	0.636	0.654	0.038	0.996	0.007	0.778	0.635	0.515	0.516	0.041	0.457	0.681	0.472	0.823	0.767	0.57	0.188	0.275	0.954	0.057	0.052	0.444	0.168	0.576	0.344	0.302	0.715	0.533	0.196	0.142	0.734	0.808	0.144	0.27	0.836	0.02	0.828	0.119	0.134	0.553	0.974	0.807	0.215	0.387	0.889	0.874	0.206	0.742	0.103	0.49	0.304	0.046	0.404	0.008	0.475	0.555	0.816	0.104	0.524	0.062	0.509	0.169	0.033	0.605	0.274
upper95_perm_direct	0.3691	0.0923	0.0358	0.0249	0.022	0.0307	0.0474	0.0129	0.0136	0.0222	0.0262	0.032	0.0196	0.0343	0.0176	0.0104	0.0179	0.0159	0.0282	0.0138	0.0086	0.0094	0.0231	0.0231	0.0117	0.0256	0.0132	0.0135	0.0171	0.0379	0.0116	0.0131	0.0163	0.0261	0.0201	0.0297	0.0169	0.0126	0.0271	0.029	0.0229	0.0203	0.0142	0.0093	0.0108	0.0108	0.0128	0.0122	0.0093	0.0068	0.0211	0.0084	0.0201	0.0119	0.0196	0.0233	0.0143	0.0283	0.016	0.0126	0.012	0.0181	0.0159	0.0153	0.0076	0.0081	0.0106	0.0224	0.0145	0.0129	0.0135	0.0166	0.0202	0.0104	0.0182	0.0137	0.0154	0.0126	0.0132	0.0078	0.008	0.0157	0.0311	0.0087	0.0128	0.0106	0.0123	0.0155	0.0121	0.0094	0.0097	0.0146	0.0105	0.0191	0.0176	0.0085	0.0178	0.0206	0.0201	0.016
lower0_perm_direct	-0.0057	-0.0023	-0.0016	-0.0018	-0.0015	-0.0017	-0.0018	-0.0019	-0.0016	-0.002	-0.0024	-0.0019	-0.0021	-0.0013	-0.0015	-0.0022	-0.0016	-0.0015	-0.0021	-0.0017	-0.0015	-0.0015	-0.0017	-0.0015	-0.0017	-0.0021	-0.0017	-0.0016	-0.0014	-0.0018	-0.0017	-0.0015	-0.0015	-0.0013	-0.0014	-0.0017	-0.0015	-0.0016	-0.0014	-0.0016	-0.0014	-0.0014	-0.0017	-0.0015	-0.0018	-0.0016	-0.0024	-0.0013	-0.0015	-0.0021	-0.0013	-0.0017	-0.0015	-0.0017	-0.0015	-0.0013	-0.0016	-0.002	-0.0017	-0.0015	-0.0015	-0.0015	-0.0014	-0.0017	-0.0017	-0.0015	-0.0013	-0.0014	-0.0017	-0.0023	-0.0013	-0.0019	-0.0016	-0.0022	-0.0014	-0.0014	-0.0016	-0.0015	-0.002	-0.0012	-0.0015	-0.0014	-0.0015	-0.0014	-0.0017	-0.0015	-0.0015	-0.0014	-0.0014	-0.0026	-0.0014	-0.0013	-0.0014	-0.0015	-0.0025	-0.0015	-0.0013	-0.0015	-0.0016	-0.002
sad_vc_estimate	0.971	0.1387	0.1147	0.0547	0.0041	0.0422	0.0694	0.0104	0.0042	0.0018	0.05	0.0146	0.0058	0.027	0.0033	0.0035	-0.0004	0.0014	0.0517	-0.0001	0.0014	0.0024	-0.0001	-0.0002	-0.0006	0.0578	0.0022	0.0052	0.0196	0.0209	-0.0006	0.0058	-0.0003	0.0249	0.0134	0.0091	0.0006	0.0181	-0.0006	0.0372	0.0053	0.0034	0.0032	0.0009	0.0254	0.0018	0.0024	0.0068	-0.0006	0.0003	0.0059	0.0013	0.0076	-0.0006	0.0212	0.029	0.0091	0.0295	-0.0003	-0.0001	0.015	-0.0	0.0042	0.0209	0.0119	-0.0003	-0.0005	0.0206	0.0082	-0.0007	0.0204	0.0019	0.0176	-0.0008	0.0154	0.0005	-0.0002	0.0004	0.0006	-0.0005	-0.0004	0.0021	0.0001	0.0029	0.0009	0.0045	0.0136	0.0092	0.013	0.0011	0.0043	0.0033	0.0098	0.0029	0.0214	-0.0005	0.0107	0.0374	-0.0001	0.0162
sad_vc_estimate_se	0.0072	0.0028	0.0021	0.0021	0.0017	0.0019	0.0022	0.002	0.0018	0.0024	0.0029	0.0022	0.0021	0.0017	0.0018	0.0023	0.0019	0.0017	0.0024	0.0018	0.0017	0.0017	0.002	0.0017	0.0019	0.0025	0.0017	0.0018	0.0017	0.0021	0.0017	0.0017	0.0017	0.0016	0.0017	0.002	0.0019	0.0016	0.0017	0.0019	0.0016	0.0016	0.0018	0.0017	0.0019	0.0018	0.0026	0.0016	0.0018	0.0023	0.0015	0.0016	0.0017	0.0017	0.0017	0.0016	0.0019	0.0024	0.002	0.0016	0.0018	0.0016	0.0015	0.0017	0.0018	0.0016	0.0016	0.0017	0.0018	0.0026	0.0016	0.0022	0.0017	0.0022	0.0018	0.0016	0.0019	0.0017	0.0021	0.0015	0.0017	0.0015	0.0018	0.0016	0.0018	0.0015	0.0017	0.0016	0.0016	0.0026	0.0016	0.0016	0.0016	0.0017	0.0029	0.0016	0.0016	0.0017	0.0017	0.0021
sad_vc_pvals	0.0	0.053	0.002	0.027	0.444	0.024	0.017	0.045	0.382	0.554	0.029	0.089	0.309	0.16	0.356	0.253	0.853	0.517	0.006	0.745	0.446	0.344	0.884	0.849	0.968	0.008	0.438	0.282	0.074	0.382	0.977	0.223	0.82	0.182	0.208	0.441	0.704	0.102	0.995	0.028	0.549	0.434	0.39	0.468	0.007	0.485	0.435	0.271	0.938	0.516	0.412	0.469	0.357	0.966	0.086	0.048	0.131	0.062	0.797	0.804	0.052	0.786	0.5	0.036	0.046	0.764	0.877	0.104	0.244	0.866	0.009	0.543	0.173	0.997	0.201	0.645	0.835	0.618	0.659	0.937	0.819	0.456	0.857	0.248	0.613	0.225	0.107	0.24	0.045	0.476	0.169	0.674	0.171	0.578	0.094	0.948	0.262	0.03	0.823	0.115
upper95_perm_sad	0.9223	0.2783	0.1181	0.0884	0.0537	0.0629	0.0988	0.0202	0.0402	0.046	0.0727	0.0349	0.0374	0.0819	0.029	0.0251	0.0379	0.0393	0.0643	0.0341	0.0242	0.0196	0.0652	0.0593	0.0348	0.0701	0.0338	0.0356	0.0467	0.0979	0.0315	0.0302	0.0287	0.0782	0.0592	0.0741	0.0462	0.0526	0.0756	0.0581	0.0618	0.0366	0.0357	0.0191	0.0303	0.0282	0.0345	0.036	0.0289	0.0172	0.0583	0.0235	0.0548	0.0291	0.054	0.0553	0.0287	0.0638	0.0349	0.0358	0.0288	0.0452	0.0471	0.0348	0.0218	0.0138	0.0249	0.0554	0.0414	0.0348	0.0261	0.0463	0.0654	0.0308	0.0549	0.0265	0.0537	0.027	0.0348	0.031	0.021	0.0325	0.0757	0.0174	0.0304	0.0221	0.0385	0.0544	0.0245	0.0291	0.0173	0.041	0.0369	0.056	0.0539	0.0279	0.0677	0.062	0.056	0.0447
lower0_perm_sad	-0.0054	-0.0024	-0.0017	-0.0016	-0.0014	-0.0019	-0.0019	-0.0017	-0.0015	-0.0022	-0.0026	-0.0018	-0.0018	-0.0013	-0.0015	-0.002	-0.0016	-0.0016	-0.0019	-0.0014	-0.0015	-0.0015	-0.0016	-0.0014	-0.0017	-0.0025	-0.0015	-0.0016	-0.0014	-0.0017	-0.0017	-0.0017	-0.0014	-0.0014	-0.0014	-0.0018	-0.0016	-0.0015	-0.0014	-0.0018	-0.0012	-0.0016	-0.0019	-0.0014	-0.0016	-0.0014	-0.0023	-0.0015	-0.0016	-0.0019	-0.0013	-0.0015	-0.0014	-0.0014	-0.0016	-0.0016	-0.0017	-0.0023	-0.0018	-0.0014	-0.0016	-0.0014	-0.0013	-0.0015	-0.0016	-0.0016	-0.0013	-0.0015	-0.0017	-0.0024	-0.0013	-0.0019	-0.0018	-0.0019	-0.0018	-0.0014	-0.0016	-0.0016	-0.0019	-0.0013	-0.0015	-0.0013	-0.0014	-0.0016	-0.0015	-0.0014	-0.0015	-0.0014	-0.0014	-0.0024	-0.0014	-0.0015	-0.0015	-0.0015	-0.0025	-0.0013	-0.0013	-0.0015	-0.0014	-0.0021
