	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.0167	0.0128	0.0387	-0.0012	0.0068	0.0116	0.0099	-0.0013	0.0019	-0.0012	0.0031	0.0017	0.0002	-0.0014	0.0038	0.0037	0.0037	-0.0006	-0.0008	0.0101	0.0002	-0.0014	-0.0005	0.0009	-0.0004	0.0163	-0.0014	-0.0011	-0.0001	0.0016	-0.0007	0.016	0.0103	0.003	0.0115	0.0122	-0.0014	0.0096	0.0134	-0.0013	0.0092	-0.0001	-0.0009	0.0028	0.0006	-0.0001	-0.0004	-0.0015	0.0006	0.0002	0.0009	0.0041	-0.0014	0.0024	0.0011	-0.0015	0.0016	-0.0012	-0.0014	0.001	-0.0009	0.0053	0.0059	0.0084	0.0023	0.0019	0.0029	0.0014	-0.0013	-0.0011	0.0026	-0.0013	-0.0008	0.0029	0.003	-0.0009	0.0066	0.0017	-0.0012	0.0063	0.0016	0.0015	-0.0003	-0.0014	0.0021	0.0132	0.0027	-0.0014	0.002	0.0023	-0.0006	0.01	-0.0	-0.0011	-0.0003	-0.0011	-0.001	0.0097	0.0144	0.0124
direct_vc_estimate_se	0.0945	0.0373	0.0331	0.0323	0.033	0.0409	0.0305	0.029	0.0266	0.0322	0.0266	0.0292	0.0237	0.0263	0.0283	0.0264	0.0243	0.027	0.0283	0.0279	0.028	0.0275	0.0275	0.0252	0.0232	0.0347	0.0284	0.0274	0.0286	0.0261	0.023	0.0266	0.0244	0.0246	0.0276	0.0287	0.0265	0.0262	0.0273	0.0259	0.0273	0.0256	0.0256	0.0262	0.0314	0.0275	0.0282	0.0273	0.0277	0.0247	0.0304	0.0265	0.0266	0.026	0.0265	0.0276	0.0249	0.0283	0.0259	0.027	0.026	0.027	0.025	0.0291	0.0306	0.0345	0.0289	0.0253	0.0253	0.0239	0.0272	0.0273	0.0315	0.0228	0.0344	0.0251	0.0277	0.0254	0.0275	0.0237	0.0272	0.0287	0.0224	0.028	0.0238	0.0269	0.0228	0.0326	0.0224	0.0298	0.032	0.0241	0.0234	0.024	0.0234	0.0229	0.0315	0.0259	0.0266	0.024
direct_vc_pvals	0.192	0.103	0.004	0.691	0.153	0.094	0.113	0.81	0.328	0.724	0.305	0.372	0.518	0.972	0.243	0.294	0.261	0.678	0.682	0.063	0.504	0.866	0.608	0.438	0.62	0.046	0.85	0.736	0.533	0.344	0.636	0.027	0.045	0.252	0.041	0.057	0.949	0.078	0.038	0.862	0.135	0.534	0.682	0.244	0.415	0.577	0.53	0.997	0.436	0.471	0.399	0.17	0.948	0.333	0.43	0.917	0.385	0.775	0.906	0.434	0.702	0.144	0.187	0.166	0.346	0.327	0.261	0.344	0.904	0.784	0.323	0.817	0.636	0.293	0.262	0.717	0.128	0.299	0.786	0.127	0.338	0.383	0.572	0.8	0.313	0.028	0.292	0.735	0.299	0.302	0.607	0.087	0.538	0.812	0.548	0.854	0.649	0.074	0.03	0.072
upper95_perm_direct	0.0779	0.0359	0.0292	0.0236	0.0268	0.0301	0.0297	0.0296	0.0215	0.0326	0.0288	0.0245	0.0222	0.0299	0.0233	0.0293	0.0241	0.032	0.0269	0.0225	0.0245	0.0248	0.0267	0.0226	0.021	0.029	0.0286	0.0216	0.0254	0.021	0.018	0.0228	0.0193	0.0239	0.0186	0.0241	0.0209	0.0232	0.0226	0.0267	0.0315	0.0225	0.0262	0.0206	0.0274	0.0238	0.0207	0.0214	0.0255	0.0166	0.025	0.0194	0.0249	0.0266	0.0228	0.0247	0.0238	0.0237	0.0187	0.025	0.0223	0.0207	0.0251	0.0332	0.0279	0.0226	0.0213	0.0198	0.0259	0.0221	0.0239	0.0284	0.0261	0.0249	0.0221	0.0216	0.0248	0.0162	0.0219	0.0216	0.0206	0.0255	0.0199	0.0175	0.0214	0.0189	0.0257	0.0233	0.017	0.0248	0.0228	0.0247	0.0216	0.022	0.0182	0.0307	0.0203	0.0236	0.0231	0.0292
lower0_perm_direct	-0.0112	-0.0045	-0.0041	-0.004	-0.0039	-0.0048	-0.0036	-0.0034	-0.0034	-0.0038	-0.0032	-0.0035	-0.0029	-0.003	-0.0034	-0.0033	-0.0028	-0.0033	-0.0035	-0.0034	-0.0034	-0.0033	-0.0034	-0.003	-0.0028	-0.0041	-0.0033	-0.0032	-0.0036	-0.0034	-0.0026	-0.0034	-0.0029	-0.0028	-0.0033	-0.0034	-0.0031	-0.003	-0.0034	-0.0031	-0.0035	-0.0032	-0.0031	-0.0031	-0.0038	-0.0033	-0.0035	-0.0032	-0.0033	-0.003	-0.0038	-0.0032	-0.0033	-0.0031	-0.0033	-0.0033	-0.003	-0.0033	-0.003	-0.0033	-0.0032	-0.0032	-0.0029	-0.0035	-0.0036	-0.004	-0.0037	-0.0031	-0.0031	-0.0028	-0.0031	-0.0032	-0.0038	-0.0027	-0.0041	-0.0029	-0.0033	-0.003	-0.0032	-0.0029	-0.0032	-0.0034	-0.0026	-0.0033	-0.0028	-0.0032	-0.0029	-0.0042	-0.0027	-0.0034	-0.0039	-0.003	-0.0027	-0.003	-0.0028	-0.0027	-0.0036	-0.003	-0.0032	-0.0028
sad_vc_estimate	0.1829	0.0154	0.2381	0.0089	0.0223	0.0378	0.0189	0.0078	-0.0011	0.0031	0.0014	0.004	0.0193	0.0015	0.0258	0.0106	0.0056	-0.001	-0.0015	0.0106	0.0146	-0.0011	0.0068	-0.0013	-0.0011	0.0375	-0.0015	0.0017	0.0106	0.0021	-0.0005	0.0551	0.0216	0.0023	0.0325	0.0457	-0.001	0.0399	0.0247	0.0139	0.0248	0.0077	0.001	0.0031	-0.0017	0.0001	0.0088	-0.0015	0.0014	-0.0013	-0.0016	0.0001	-0.001	0.0103	-0.0002	-0.0009	0.0036	0.0032	-0.0003	0.0078	-0.0004	0.0025	0.0068	0.0086	0.0048	0.0163	0.0055	0.0045	0.0027	-0.0013	0.0085	0.0067	-0.0017	0.0044	0.0146	0.0051	0.0177	0.0105	-0.0007	0.007	-0.0001	-0.0008	0.0034	0.0004	0.0037	0.0343	0.0134	-0.0009	0.0049	0.0055	-0.0017	0.0097	0.0087	0.0013	0.0001	-0.0006	0.0028	0.0175	0.0265	0.0282
sad_vc_estimate_se	0.0953	0.0378	0.0334	0.0326	0.0333	0.0412	0.0308	0.0293	0.0269	0.0324	0.0268	0.0295	0.024	0.0266	0.0286	0.0267	0.0246	0.0273	0.0286	0.0282	0.0283	0.0278	0.0278	0.0255	0.0234	0.0349	0.0286	0.0277	0.0289	0.0264	0.0233	0.0269	0.0247	0.0249	0.0278	0.0289	0.0268	0.0265	0.0276	0.0261	0.0276	0.0259	0.0259	0.0264	0.0317	0.0278	0.0284	0.0276	0.028	0.0249	0.0307	0.0268	0.0269	0.0262	0.0268	0.0278	0.0252	0.0286	0.0261	0.0272	0.0263	0.0272	0.0252	0.0294	0.0309	0.0348	0.0292	0.0256	0.0256	0.0241	0.0274	0.0276	0.0318	0.023	0.0346	0.0253	0.028	0.0256	0.0278	0.024	0.0274	0.0289	0.0226	0.0283	0.0241	0.0271	0.023	0.0329	0.0227	0.0301	0.0322	0.0244	0.0236	0.0242	0.0237	0.0232	0.0317	0.0261	0.0268	0.0243
sad_vc_pvals	0.006	0.266	0.0	0.245	0.101	0.031	0.166	0.345	0.835	0.49	0.585	0.392	0.102	0.563	0.098	0.275	0.361	0.82	0.94	0.183	0.125	0.798	0.364	0.923	0.843	0.044	0.939	0.527	0.305	0.486	0.703	0.005	0.048	0.462	0.027	0.017	0.813	0.023	0.063	0.168	0.107	0.301	0.625	0.404	0.923	0.654	0.23	0.947	0.497	0.921	0.912	0.585	0.81	0.244	0.704	0.786	0.419	0.431	0.644	0.283	0.735	0.429	0.29	0.324	0.373	0.099	0.316	0.401	0.492	0.957	0.261	0.34	0.943	0.402	0.116	0.369	0.099	0.143	0.764	0.252	0.629	0.754	0.39	0.571	0.383	0.013	0.157	0.706	0.282	0.34	0.893	0.226	0.205	0.553	0.618	0.777	0.406	0.103	0.053	0.044
upper95_perm_sad	0.1702	0.0909	0.0695	0.0528	0.0611	0.0555	0.0755	0.07	0.047	0.0714	0.068	0.047	0.0518	0.064	0.0645	0.06	0.0513	0.0563	0.0602	0.0464	0.0471	0.0492	0.0619	0.0575	0.0513	0.0631	0.0522	0.0539	0.0734	0.0489	0.0408	0.0454	0.0396	0.0485	0.0516	0.0568	0.0594	0.0492	0.0517	0.0529	0.0644	0.0495	0.0555	0.0388	0.0465	0.0511	0.0447	0.0544	0.0489	0.0345	0.0487	0.0418	0.0529	0.0552	0.0527	0.0551	0.0491	0.0579	0.0377	0.057	0.0508	0.0376	0.0471	0.0712	0.0545	0.0441	0.0507	0.0505	0.0583	0.0478	0.0469	0.0612	0.051	0.0521	0.0471	0.051	0.0481	0.0424	0.05	0.0411	0.0387	0.054	0.0438	0.0407	0.0402	0.0453	0.0551	0.0481	0.0336	0.0595	0.0519	0.0524	0.0445	0.0469	0.0411	0.0567	0.0455	0.0498	0.0521	0.0501
lower0_perm_sad	-0.011	-0.0042	-0.004	-0.0039	-0.0039	-0.0046	-0.0036	-0.0034	-0.0032	-0.0038	-0.0031	-0.0034	-0.0028	-0.0031	-0.0034	-0.003	-0.0029	-0.0033	-0.0034	-0.0035	-0.0032	-0.0034	-0.0032	-0.0029	-0.0028	-0.0042	-0.0034	-0.0033	-0.0035	-0.0031	-0.0028	-0.0032	-0.0029	-0.0032	-0.0032	-0.0033	-0.0032	-0.0031	-0.0032	-0.0032	-0.0031	-0.003	-0.0032	-0.0031	-0.0038	-0.0033	-0.0035	-0.0032	-0.0032	-0.0029	-0.0037	-0.0032	-0.0032	-0.0031	-0.0031	-0.0032	-0.003	-0.0035	-0.0032	-0.0031	-0.003	-0.0032	-0.003	-0.0033	-0.0037	-0.0042	-0.0034	-0.0033	-0.003	-0.0029	-0.0032	-0.0033	-0.0037	-0.0027	-0.0042	-0.003	-0.0034	-0.0031	-0.0031	-0.0028	-0.0035	-0.0034	-0.0027	-0.0033	-0.0029	-0.0032	-0.0028	-0.0042	-0.0027	-0.0035	-0.0036	-0.0027	-0.0028	-0.0028	-0.0028	-0.0027	-0.0039	-0.0034	-0.0031	-0.0028
