	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.0008	0.0031	0.036	0.0022	0.01	0.0018	0.0059	-0.0008	-0.0003	0.0034	-0.0008	0.0008	-0.0007	-0.0003	-0.0002	0.0052	0.0014	-0.0004	0.0	0.0093	0.0014	0.0015	-0.0	-0.0005	0.0003	0.0136	0.0012	-0.0006	0.0003	0.0012	-0.0006	-0.0003	0.0099	-0.0	0.0032	0.0092	0.0005	0.0011	0.0116	0.0005	0.0164	0.0063	0.0007	0.0004	-0.0005	-0.0001	0.0013	0.0009	-0.0003	-0.0006	0.0021	0.0051	0.0003	-0.0005	0.0022	0.0003	0.0007	0.0004	-0.0002	-0.0007	-0.0004	-0.0003	0.0003	0.0074	0.0103	0.0025	0.001	0.0046	-0.0005	-0.0001	0.001	0.0059	-0.001	0.0023	0.0006	-0.0003	0.0032	0.0021	-0.0003	-0.0007	0.0013	-0.0004	-0.0004	-0.0006	0.0056	0.001	0.0053	-0.0007	0.0013	0.0054	0.0083	0.0031	-0.0005	-0.0004	-0.0008	0.001	0.0021	0.0086	0.0088	0.0123
direct_vc_estimate_se	0.0347	0.016	0.0148	0.0161	0.0113	0.0143	0.0166	0.0143	0.0114	0.0108	0.0112	0.011	0.0107	0.0099	0.0132	0.0108	0.0104	0.0101	0.0143	0.0138	0.0131	0.0109	0.0112	0.0112	0.0096	0.0183	0.0113	0.0123	0.0127	0.0102	0.0096	0.0101	0.01	0.0098	0.0102	0.0115	0.0096	0.0105	0.0112	0.013	0.0107	0.012	0.0107	0.0119	0.0115	0.0107	0.013	0.0115	0.0121	0.0093	0.0131	0.0101	0.0109	0.0104	0.0095	0.0094	0.0102	0.0107	0.0138	0.0103	0.0111	0.0111	0.0112	0.0102	0.0126	0.0113	0.0123	0.0095	0.0097	0.011	0.0129	0.0096	0.0176	0.0092	0.01	0.0103	0.0158	0.0097	0.0102	0.0108	0.0114	0.0097	0.0098	0.0132	0.0089	0.0108	0.0092	0.0097	0.0094	0.0122	0.0112	0.0102	0.0105	0.0108	0.012	0.0094	0.0137	0.0116	0.0124	0.0116
direct_vc_pvals	0.693	0.397	0.0	0.293	0.081	0.363	0.193	0.856	0.679	0.319	1.0	0.49	0.935	0.777	0.675	0.248	0.399	0.811	0.625	0.049	0.369	0.375	0.655	0.789	0.534	0.063	0.466	0.779	0.529	0.426	0.843	0.677	0.018	0.637	0.218	0.088	0.525	0.402	0.027	0.531	0.046	0.125	0.509	0.497	0.762	0.67	0.387	0.453	0.696	0.953	0.333	0.113	0.604	0.813	0.304	0.563	0.517	0.538	0.571	0.965	0.738	0.649	0.591	0.143	0.079	0.227	0.425	0.172	0.863	0.638	0.464	0.159	0.8	0.297	0.43	0.755	0.219	0.253	0.739	0.981	0.319	0.759	0.731	0.711	0.1	0.366	0.138	0.985	0.34	0.127	0.08	0.28	0.801	0.771	0.887	0.553	0.286	0.082	0.054	0.059
upper95_perm_direct	0.0443	0.0264	0.0199	0.0143	0.0184	0.0177	0.0219	0.0225	0.0149	0.0229	0.0205	0.0153	0.0159	0.0197	0.0199	0.0259	0.0164	0.0172	0.0165	0.0135	0.0126	0.0154	0.0194	0.0158	0.0143	0.022	0.018	0.0133	0.014	0.014	0.0109	0.0126	0.0099	0.0141	0.0126	0.0175	0.0159	0.0127	0.0132	0.0179	0.0226	0.015	0.0174	0.0154	0.0147	0.0177	0.013	0.0136	0.0133	0.0108	0.0166	0.0118	0.0169	0.0156	0.015	0.0132	0.014	0.0157	0.0112	0.0198	0.0142	0.011	0.0159	0.0195	0.0176	0.0107	0.0131	0.0145	0.0165	0.0148	0.0201	0.0184	0.0182	0.0143	0.0104	0.0171	0.0149	0.0108	0.0138	0.0144	0.0092	0.0141	0.0129	0.0117	0.0118	0.0115	0.0152	0.0119	0.0109	0.0141	0.0148	0.0161	0.012	0.0147	0.0117	0.0204	0.0126	0.0156	0.013	0.0193
lower0_perm_direct	-0.0039	-0.0018	-0.0018	-0.0018	-0.0013	-0.0016	-0.0019	-0.0016	-0.0013	-0.0012	-0.0012	-0.0013	-0.0012	-0.0011	-0.0015	-0.0013	-0.0012	-0.0011	-0.0017	-0.0016	-0.0015	-0.0014	-0.0013	-0.0012	-0.0012	-0.0022	-0.0014	-0.0015	-0.0014	-0.0011	-0.0011	-0.0011	-0.0011	-0.0011	-0.0011	-0.0013	-0.0011	-0.0012	-0.0014	-0.0015	-0.0012	-0.0013	-0.0012	-0.0013	-0.0013	-0.0012	-0.0015	-0.0013	-0.0015	-0.0011	-0.0015	-0.0011	-0.0012	-0.0012	-0.0011	-0.0011	-0.0011	-0.0012	-0.0016	-0.0013	-0.0012	-0.0012	-0.0012	-0.0011	-0.0014	-0.0013	-0.0014	-0.0011	-0.0011	-0.0012	-0.0014	-0.0011	-0.002	-0.001	-0.0011	-0.0012	-0.0017	-0.0011	-0.0011	-0.0012	-0.0014	-0.0011	-0.0012	-0.0015	-0.0011	-0.0013	-0.001	-0.0012	-0.001	-0.0013	-0.0012	-0.0012	-0.0012	-0.0012	-0.0015	-0.001	-0.0016	-0.0013	-0.0014	-0.0014
sad_vc_estimate	0.0596	0.003	0.1996	0.0004	0.0239	0.0058	0.0163	0.0013	0.0011	0.0119	-0.0007	0.0016	0.0054	0.0036	0.0072	0.0168	0.0051	-0.0003	0.001	0.0134	0.0089	0.0008	0.001	0.0009	-0.0006	0.0353	0.0009	0.0048	0.0141	0.0019	0.0005	0.0149	0.0164	-0.0003	0.021	0.0501	0.001	0.0107	0.0234	0.0178	0.0481	0.0221	0.0039	0.001	0.0004	0.0007	0.0181	0.0003	-0.0002	0.0005	-0.0009	0.0015	0.0026	0.002	0.0002	0.0061	0.0008	0.008	-0.0004	-0.0007	0.0009	-0.0008	0.001	0.0075	0.0125	0.0229	0.0009	0.011	0.0048	0.0011	0.0049	0.0282	-0.0007	0.004	0.0079	0.0002	0.0126	0.0106	0.0002	-0.0004	0.0002	0.0041	-0.0002	-0.0004	0.0111	0.0069	0.0202	-0.0004	0.0019	0.0084	0.0043	0.008	0.0004	-0.0007	0.0029	0.0052	0.0092	0.0177	0.0133	0.0351
sad_vc_estimate_se	0.0352	0.0162	0.0149	0.0163	0.0115	0.0145	0.0168	0.0145	0.0116	0.011	0.0114	0.0112	0.0108	0.0101	0.0133	0.0109	0.0106	0.0102	0.0144	0.0139	0.0132	0.0111	0.0114	0.0113	0.0098	0.0185	0.0114	0.0125	0.0129	0.0104	0.0097	0.0102	0.0102	0.01	0.0103	0.0116	0.0097	0.0107	0.0113	0.0131	0.0109	0.0121	0.0108	0.0121	0.0117	0.0109	0.0131	0.0116	0.0122	0.0094	0.0132	0.0102	0.011	0.0105	0.0096	0.0096	0.0104	0.0109	0.0139	0.0105	0.0112	0.0113	0.0113	0.0104	0.0128	0.0115	0.0124	0.0097	0.0098	0.0111	0.013	0.0097	0.0177	0.0094	0.0101	0.0104	0.016	0.0099	0.0103	0.0109	0.0116	0.0099	0.01	0.0133	0.009	0.011	0.0093	0.0099	0.0095	0.0124	0.0113	0.0103	0.0107	0.011	0.0122	0.0095	0.0138	0.0118	0.0126	0.0117
sad_vc_pvals	0.138	0.638	0.0	0.698	0.084	0.39	0.237	0.696	0.655	0.291	0.954	0.601	0.401	0.458	0.499	0.228	0.408	0.838	0.7	0.114	0.237	0.655	0.662	0.653	0.921	0.066	0.676	0.451	0.254	0.572	0.642	0.117	0.091	0.844	0.095	0.018	0.658	0.217	0.059	0.135	0.028	0.084	0.514	0.606	0.704	0.705	0.11	0.742	0.767	0.647	0.967	0.554	0.56	0.606	0.728	0.383	0.689	0.297	0.773	0.976	0.64	0.992	0.651	0.399	0.261	0.045	0.606	0.23	0.428	0.618	0.422	0.087	0.808	0.427	0.237	0.746	0.179	0.159	0.736	0.828	0.662	0.471	0.791	0.78	0.199	0.249	0.097	0.868	0.494	0.289	0.437	0.345	0.698	0.973	0.448	0.448	0.208	0.124	0.167	0.038
upper95_perm_sad	0.143	0.0935	0.0592	0.0484	0.0444	0.0503	0.0615	0.0651	0.0452	0.0576	0.0481	0.0437	0.0439	0.0518	0.0674	0.0665	0.044	0.0536	0.057	0.0287	0.0366	0.0372	0.0558	0.0425	0.0464	0.0565	0.0495	0.0492	0.0611	0.0415	0.0316	0.0343	0.0318	0.0417	0.0399	0.0493	0.0447	0.0368	0.0377	0.0461	0.0557	0.0412	0.0465	0.0384	0.0421	0.0439	0.0373	0.0465	0.0388	0.0318	0.0463	0.0324	0.0468	0.0486	0.0471	0.045	0.0483	0.0417	0.0297	0.047	0.0411	0.0352	0.047	0.0556	0.0587	0.0305	0.0351	0.0423	0.0421	0.039	0.0471	0.0548	0.0452	0.0388	0.0335	0.0458	0.0378	0.0309	0.0394	0.0421	0.0285	0.0421	0.0324	0.0292	0.0355	0.0299	0.0406	0.0385	0.0317	0.0404	0.0421	0.0452	0.0418	0.0436	0.0334	0.0507	0.0344	0.0437	0.0401	0.0468
lower0_perm_sad	-0.0039	-0.0017	-0.0016	-0.0018	-0.0012	-0.0017	-0.0018	-0.0016	-0.0012	-0.0012	-0.0012	-0.0013	-0.0012	-0.0011	-0.0015	-0.0012	-0.0013	-0.0011	-0.0016	-0.0016	-0.0015	-0.0013	-0.0012	-0.0014	-0.0011	-0.0021	-0.0013	-0.0014	-0.0014	-0.0013	-0.0011	-0.0011	-0.0013	-0.0011	-0.0013	-0.0013	-0.0011	-0.0012	-0.0013	-0.0015	-0.0012	-0.0013	-0.0014	-0.0013	-0.0013	-0.0012	-0.0015	-0.0013	-0.0013	-0.0011	-0.0015	-0.0011	-0.0012	-0.0012	-0.0011	-0.0011	-0.0011	-0.0014	-0.0016	-0.0011	-0.0012	-0.0012	-0.0013	-0.0011	-0.0014	-0.0013	-0.0014	-0.0011	-0.0011	-0.0014	-0.0016	-0.001	-0.0019	-0.001	-0.0012	-0.0011	-0.0018	-0.0011	-0.0011	-0.0014	-0.0013	-0.0011	-0.0011	-0.0015	-0.001	-0.0014	-0.0011	-0.0012	-0.0011	-0.0014	-0.0013	-0.0012	-0.0012	-0.0012	-0.0015	-0.0011	-0.0015	-0.0013	-0.0015	-0.0013
