	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.0305	-0.0211	0.0085	-0.0133	0.0223	-0.0096	0.0199	-0.0055	0.0113	-0.0107	-0.003	0.0427	-0.0085	-0.0022	0.0177	0.0341	-0.0067	-0.0093	-0.0061	0.0061	-0.0131	-0.0108	-0.0072	0.0517	0.0267	0.1156	0.0474	-0.0028	-0.0113	-0.0099	-0.0116	-0.0091	-0.0091	-0.0082	0.0271	0.0037	0.0041	-0.0085	-0.0092	0.0126	-0.0083	-0.0094	0.0012	-0.0027	-0.011	-0.0103	0.0058	-0.0036	0.0466	0.012	-0.0068	-0.0031	-0.0099	-0.0048	-0.001	0.0117	-0.0071	0.01	-0.0087	0.0172	-0.0024	-0.009	0.0391	-0.0089	0.002	0.0183	-0.0041	-0.003	-0.0099	0.0004	-0.007	-0.0076	-0.0113	0.0316	0.0038	-0.009	0.0038	0.0092	0.0055	0.0004	-0.0046	-0.0001	-0.0092	0.0438	0.0019	-0.0048	-0.0089	0.0277	-0.0091	-0.0149	0.0088	0.0027	-0.0066	-0.0048	-0.0062	0.0124	0.0422	-0.0084	0.0785	0.0164
direct_vc_estimate_se	0.0826	0.0528	0.0277	0.0473	0.0301	0.0237	0.024	0.024	0.0252	0.0269	0.025	0.0276	0.0264	0.0272	0.033	0.0266	0.0309	0.029	0.0234	0.0223	0.0318	0.0269	0.0294	0.0261	0.0256	0.0435	0.0225	0.0279	0.0276	0.0245	0.0284	0.024	0.0239	0.0267	0.0215	0.0248	0.0236	0.0227	0.0254	0.0314	0.0228	0.0243	0.03	0.0231	0.0267	0.0256	0.0216	0.0218	0.0239	0.0231	0.0234	0.0243	0.0245	0.0218	0.0229	0.0343	0.0232	0.0375	0.0226	0.0218	0.022	0.0233	0.0213	0.0218	0.0311	0.0256	0.021	0.0263	0.0254	0.021	0.025	0.021	0.0273	0.0222	0.0266	0.0229	0.0231	0.0207	0.0305	0.0222	0.0214	0.0258	0.0227	0.0213	0.0227	0.0221	0.0306	0.0396	0.0228	0.0366	0.0217	0.023	0.0223	0.0328	0.0325	0.0279	0.0269	0.021	0.0221	0.021
direct_vc_pvals	0.802	0.856	0.264	0.594	0.151	0.899	0.209	0.6	0.276	0.866	0.538	0.078	0.701	0.433	0.135	0.106	0.511	0.718	0.62	0.291	0.969	0.911	0.57	0.049	0.106	0.007	0.043	0.41	0.92	0.885	0.907	0.81	0.824	0.667	0.093	0.348	0.305	0.813	0.769	0.187	0.75	0.83	0.342	0.517	0.963	0.88	0.283	0.524	0.041	0.229	0.653	0.527	0.894	0.543	0.473	0.181	0.702	0.161	0.825	0.171	0.496	0.822	0.074	0.931	0.326	0.131	0.523	0.458	0.804	0.43	0.672	0.749	0.977	0.076	0.3	0.847	0.359	0.173	0.271	0.393	0.548	0.354	0.905	0.057	0.356	0.546	0.622	0.077	0.866	0.92	0.248	0.347	0.713	0.444	0.404	0.175	0.054	0.879	0.012	0.216
upper95_perm_direct	0.2068	0.1021	0.0776	0.0956	0.0697	0.0664	0.0859	0.0716	0.0811	0.0614	0.0865	0.0741	0.0749	0.07	0.0576	0.0714	0.0599	0.0827	0.0661	0.0594	0.0796	0.0672	0.0645	0.0705	0.0619	0.0632	0.0578	0.0498	0.0501	0.0455	0.0576	0.0656	0.0554	0.0759	0.0528	0.065	0.0497	0.0514	0.0623	0.0572	0.0599	0.0511	0.0611	0.0808	0.0613	0.0524	0.0507	0.0588	0.0562	0.0633	0.0555	0.0709	0.0588	0.0502	0.0721	0.0526	0.067	0.0486	0.0604	0.0632	0.0601	0.053	0.0624	0.0526	0.0706	0.0524	0.0448	0.0524	0.0506	0.0548	0.0682	0.0466	0.0515	0.0506	0.0575	0.0655	0.0644	0.0355	0.0585	0.0541	0.0481	0.0571	0.0558	0.0619	0.066	0.0485	0.057	0.0566	0.0494	0.0703	0.0537	0.0578	0.0713	0.0593	0.0421	0.0559	0.0597	0.06	0.0563	0.0675
lower0_perm_direct	-0.0568	-0.037	-0.0194	-0.0322	-0.0201	-0.0167	-0.0163	-0.0164	-0.0172	-0.0183	-0.0181	-0.0186	-0.0193	-0.0187	-0.0226	-0.0182	-0.021	-0.0203	-0.0155	-0.015	-0.0221	-0.0181	-0.0206	-0.0177	-0.018	-0.0295	-0.0159	-0.0189	-0.0202	-0.0166	-0.0193	-0.0164	-0.0161	-0.0181	-0.0146	-0.017	-0.0157	-0.0156	-0.0178	-0.0217	-0.0158	-0.0167	-0.0208	-0.0159	-0.0178	-0.0174	-0.0148	-0.0149	-0.0175	-0.0163	-0.0159	-0.0168	-0.0169	-0.015	-0.0157	-0.0235	-0.0153	-0.0261	-0.0155	-0.0149	-0.0153	-0.0156	-0.0149	-0.0148	-0.022	-0.0176	-0.0147	-0.018	-0.0182	-0.0143	-0.0165	-0.0153	-0.0186	-0.0156	-0.0175	-0.0161	-0.0163	-0.0142	-0.021	-0.0142	-0.0146	-0.0181	-0.0156	-0.0147	-0.0158	-0.0152	-0.021	-0.0273	-0.0157	-0.0256	-0.0151	-0.0157	-0.0147	-0.0227	-0.0222	-0.0185	-0.0175	-0.0142	-0.0149	-0.0143
sad_vc_estimate	-0.0243	-0.0069	0.0074	-0.0192	0.0092	-0.0096	0.0452	-0.0093	0.0303	-0.0081	0.0168	0.0151	-0.0035	-0.011	-0.0009	0.0208	-0.0046	0.0245	0.0357	0.0245	-0.0122	-0.0039	-0.0107	0.0176	0.0271	0.0857	0.0961	0.0073	-0.0068	-0.0101	-0.0108	-0.0085	-0.0098	-0.0103	0.0571	0.0021	0.0073	-0.0051	-0.0074	-0.0026	-0.0086	-0.0101	-0.0032	-0.0025	-0.0066	-0.0087	-0.0003	-0.008	0.106	0.0346	0.0031	-0.0029	-0.0022	0.0132	0.0059	0.0079	-0.0096	-0.0067	-0.0002	0.0449	-0.0091	-0.0094	0.0416	-0.0087	0.0678	0.0453	-0.0044	-0.0022	-0.0105	0.0158	0.0144	-0.0057	-0.0109	0.0404	0.0084	-0.0089	0.0242	0.0071	0.0239	0.0118	-0.0077	0.0163	-0.0093	0.0295	0.0051	-0.0068	0.0025	0.0161	-0.0095	-0.0112	-0.0013	-0.0091	-0.007	0.0017	-0.0059	-0.0087	0.0743	-0.0087	0.0914	0.0054
sad_vc_estimate_se	0.083	0.053	0.0278	0.0474	0.0302	0.0239	0.0241	0.0242	0.0254	0.027	0.0251	0.0277	0.0265	0.0273	0.0331	0.0267	0.031	0.0292	0.0235	0.0224	0.032	0.027	0.0295	0.0262	0.0257	0.0436	0.0226	0.028	0.0278	0.0246	0.0285	0.0241	0.024	0.0268	0.0216	0.0249	0.0237	0.0228	0.0255	0.0315	0.0229	0.0244	0.0301	0.0232	0.0269	0.0257	0.0218	0.0219	0.024	0.0232	0.0235	0.0245	0.0246	0.0219	0.023	0.0344	0.0233	0.0377	0.0227	0.0219	0.0221	0.0234	0.0214	0.0219	0.0312	0.0257	0.0211	0.0264	0.0255	0.0211	0.0251	0.0211	0.0274	0.0224	0.0267	0.023	0.0232	0.0208	0.0306	0.0223	0.0215	0.0259	0.0228	0.0214	0.0228	0.0222	0.0307	0.0397	0.0229	0.0367	0.0218	0.0231	0.0224	0.0329	0.0326	0.028	0.027	0.0211	0.0223	0.0211
sad_vc_pvals	0.723	0.49	0.314	0.895	0.331	0.907	0.118	0.839	0.203	0.677	0.335	0.311	0.542	0.902	0.422	0.255	0.482	0.219	0.112	0.178	0.844	0.568	0.782	0.229	0.173	0.018	0.014	0.287	0.595	0.946	0.814	0.765	0.929	0.836	0.041	0.423	0.295	0.568	0.635	0.411	0.827	0.983	0.527	0.599	0.657	0.74	0.459	0.788	0.009	0.097	0.352	0.543	0.521	0.211	0.395	0.273	0.991	0.48	0.477	0.096	0.953	0.888	0.099	0.892	0.031	0.064	0.565	0.475	0.968	0.209	0.258	0.662	0.887	0.064	0.293	0.855	0.197	0.275	0.166	0.251	0.795	0.176	0.927	0.142	0.35	0.704	0.355	0.176	0.989	0.652	0.463	0.869	0.758	0.334	0.471	0.658	0.019	1.0	0.012	0.37
upper95_perm_sad	0.3356	0.1242	0.0905	0.0961	0.1086	0.0764	0.098	0.0923	0.1176	0.0692	0.1378	0.1105	0.0907	0.078	0.09	0.1227	0.0667	0.1167	0.0814	0.0948	0.1039	0.1087	0.0854	0.0909	0.0834	0.0791	0.0725	0.0735	0.0659	0.0537	0.077	0.0995	0.0647	0.0902	0.0733	0.0678	0.0712	0.0797	0.0724	0.0633	0.075	0.0651	0.0927	0.1047	0.0914	0.0734	0.0624	0.0763	0.078	0.0752	0.0629	0.0801	0.0916	0.061	0.1034	0.074	0.0847	0.0728	0.0759	0.0862	0.0783	0.0797	0.077	0.081	0.0708	0.072	0.0656	0.0746	0.0719	0.0801	0.0862	0.0749	0.0674	0.0628	0.0831	0.0726	0.0941	0.064	0.0821	0.0815	0.0628	0.065	0.0747	0.0801	0.077	0.0592	0.0738	0.0729	0.0739	0.0881	0.0739	0.0775	0.0964	0.0681	0.0506	0.0685	0.0679	0.0804	0.073	0.0684
lower0_perm_sad	-0.0554	-0.0367	-0.0189	-0.0328	-0.02	-0.0159	-0.0166	-0.0168	-0.0178	-0.0196	-0.0165	-0.0189	-0.0184	-0.0185	-0.0225	-0.0189	-0.0214	-0.0198	-0.0165	-0.0154	-0.0219	-0.0186	-0.0201	-0.0184	-0.0176	-0.0298	-0.0156	-0.0187	-0.0195	-0.017	-0.0194	-0.0167	-0.0171	-0.0184	-0.015	-0.017	-0.0163	-0.016	-0.0169	-0.0221	-0.0168	-0.0167	-0.0208	-0.0161	-0.0189	-0.018	-0.0149	-0.0146	-0.017	-0.0162	-0.0154	-0.0171	-0.0167	-0.0152	-0.0167	-0.0239	-0.0169	-0.0253	-0.0161	-0.0146	-0.0152	-0.0157	-0.0143	-0.0155	-0.0203	-0.0167	-0.0142	-0.0183	-0.0177	-0.0149	-0.0174	-0.0145	-0.0192	-0.0162	-0.0183	-0.0152	-0.0153	-0.0144	-0.0209	-0.0151	-0.0141	-0.0178	-0.0161	-0.0145	-0.0156	-0.0154	-0.021	-0.0277	-0.0153	-0.0251	-0.0153	-0.0156	-0.0155	-0.0224	-0.0219	-0.0186	-0.0191	-0.0144	-0.0154	-0.0138
