	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.0866	-0.0357	0.043	-0.011	-0.0007	-0.032	-0.0049	0.0157	-0.0173	-0.3139	0.0271	-0.0219	-0.0163	0.0111	-0.0048	-0.0389	0.0348	-0.01	-0.0345	0.008	0.0324	-0.0075	-0.0101	-0.0165	0.0431	-0.0311	-0.0036	-0.0237	-0.0024	0.0016	0.1536	-0.0079	-0.0159	0.0386	0.0027	-0.0076	0.0126	-0.0375	0.0225	0.0074	0.0443	-0.0389	-0.019	-0.0153	-0.014	-0.0145	-0.0031	0.0324	-0.0151	-0.0044	-0.0195	-0.0051	-0.0174	-0.0258	-0.0192	0.0078	-0.0202	0.0136	-0.0062	-0.0297	-0.0127	-0.0132	0.0004	-0.0185	0.0404	-0.0111	-0.0235	-0.0057	0.0277	-0.025	0.0265	-0.0088	0.0026	0.0122	-0.003	-0.02	0.066	-0.0144	-0.0109	-0.003	-0.0007	0.0541	0.001	0.012	0.011	0.0145	0.008	0.0322	-0.0394	-0.0122	-0.0188	0.0095	-0.0111	-0.0106	-0.0132	0.0038	-0.0197	-0.0244	-0.014	-0.0093
direct_vc_estimate_se	0.0335	0.0144	0.0051	0.0058	0.0053	0.0142	0.0062	0.0119	0.0078	0.1264	0.0043	0.009	0.0091	0.0057	0.0081	0.0152	0.0086	0.0083	0.0133	0.0144	0.0068	0.0099	0.0052	0.0068	0.0123	0.0155	0.0052	0.0109	0.01	0.0073	0.0197	0.0057	0.0066	0.013	0.0092	0.007	0.0106	0.0148	0.006	0.0149	0.0061	0.0154	0.0087	0.0064	0.0081	0.0057	0.007	0.0064	0.0064	0.0046	0.0089	0.0041	0.0079	0.0109	0.0075	0.0061	0.0099	0.0048	0.0052	0.0118	0.0124	0.0053	0.0114	0.0101	0.0049	0.0046	0.0096	0.0075	0.0051	0.0133	0.0045	0.004	0.006	0.0061	0.0071	0.0078	0.0065	0.0057	0.0055	0.0056	0.0049	0.0095	0.0056	0.005	0.0063	0.0109	0.0116	0.0052	0.0156	0.0061	0.0084	0.0074	0.0044	0.0062	0.006	0.0091	0.0114	0.0097	0.0077	0.0077
direct_vc_pvals	0.982	0.794	0.086	0.635	0.435	0.819	0.432	0.11	0.725	0.348	0.114	0.829	0.536	0.224	0.414	0.856	0.175	0.446	0.972	0.172	0.094	0.392	0.691	0.789	0.137	0.625	0.4	0.689	0.255	0.314	0.003	0.526	0.804	0.05	0.327	0.411	0.257	0.848	0.174	0.208	0.055	0.792	0.678	0.808	0.614	0.899	0.351	0.125	0.783	0.49	0.716	0.521	0.66	0.74	0.932	0.182	0.672	0.195	0.529	0.885	0.406	0.877	0.327	0.636	0.052	0.848	0.821	0.404	0.106	0.559	0.073	0.738	0.364	0.14	0.368	0.912	0.053	0.856	0.668	0.428	0.356	0.105	0.306	0.185	0.181	0.233	0.227	0.121	0.85	0.66	0.769	0.15	0.904	0.61	0.677	0.248	0.458	0.885	0.549	0.41
upper95_perm_direct	0.3138	0.094	0.0791	0.0721	0.0843	0.1111	0.0578	0.0491	0.081	-0.3412	0.0656	0.0824	0.0605	0.0735	0.0873	0.0342	0.1208	0.067	0.0678	0.0635	0.0612	0.0857	0.0763	0.0583	0.1105	0.1037	0.0518	0.0939	0.0476	0.0662	0.0676	0.0692	0.0771	0.0491	0.0958	0.0633	0.0961	0.0438	0.0818	0.0769	0.0598	0.0217	0.0609	0.0899	0.085	0.0765	0.0671	0.0706	0.0775	0.0663	0.0727	0.0601	0.0612	0.0746	0.0636	0.0438	0.1106	0.0625	0.0621	0.0973	0.0794	0.0484	0.0992	0.0941	0.0546	0.0738	0.1041	0.0716	0.0543	0.0634	0.0485	0.0636	0.087	0.0496	0.0647	0.0578	0.0856	0.0536	0.0751	0.0652	0.0543	0.1069	0.0548	0.0526	0.0508	0.0914	0.0717	0.0788	0.0699	0.0723	0.0899	0.0495	0.0539	0.0689	0.055	0.0712	0.0432	0.0716	0.0557	0.0523
lower0_perm_direct	-0.1394	-0.0568	-0.0202	-0.0229	-0.0217	-0.0543	-0.0249	-0.0485	-0.0296	-0.5309	-0.0175	-0.0364	-0.0368	-0.0233	-0.0336	-0.0614	-0.0338	-0.033	-0.0546	-0.0589	-0.0262	-0.0392	-0.0209	-0.027	-0.0493	-0.0634	-0.0213	-0.0443	-0.0393	-0.0278	-0.079	-0.0231	-0.0276	-0.0512	-0.0388	-0.0285	-0.0444	-0.0595	-0.0244	-0.0612	-0.0249	-0.0623	-0.0361	-0.027	-0.0327	-0.024	-0.0288	-0.0254	-0.026	-0.0184	-0.0368	-0.0161	-0.0317	-0.0451	-0.03	-0.0232	-0.0399	-0.0193	-0.0212	-0.0495	-0.0507	-0.0206	-0.0438	-0.041	-0.0194	-0.0178	-0.0375	-0.0305	-0.0209	-0.0529	-0.0174	-0.0161	-0.0231	-0.0244	-0.0301	-0.0318	-0.025	-0.0229	-0.0221	-0.0224	-0.0189	-0.0378	-0.0221	-0.0191	-0.0251	-0.0458	-0.0481	-0.0207	-0.0655	-0.0243	-0.0347	-0.0312	-0.0167	-0.0243	-0.0236	-0.0367	-0.0459	-0.0373	-0.0308	-0.0306
sad_vc_estimate	-0.077	0.0088	0.0372	-0.015	0.0019	-0.0365	0.0272	0.0064	-0.0176	-0.327	0.0303	-0.0187	-0.0193	0.0392	-0.002	-0.0394	0.0612	-0.0153	-0.0341	-0.0139	0.0819	0.0177	-0.0084	0.0008	0.0916	-0.033	-0.0021	-0.0125	-0.004	0.0312	0.2172	-0.0042	-0.0168	0.0663	0.0012	0.0164	0.034	-0.0346	-0.0063	0.0011	0.0839	-0.0383	-0.0226	-0.0144	-0.0094	-0.0126	0.0062	0.0423	-0.0143	-0.0077	-0.0211	-0.0022	-0.019	-0.0193	-0.0194	-0.0152	-0.0239	0.0106	0.0035	-0.0304	-0.0188	-0.0123	-0.0058	-0.026	0.0553	0.0004	-0.0223	-0.0173	0.0158	-0.0082	0.0378	-0.0069	0.0288	-0.0066	-0.0103	-0.0184	0.0415	-0.0149	-0.002	-0.0009	-0.008	0.0989	0.0084	0.0178	0.0315	0.0523	0.0023	0.0355	-0.0404	-0.0146	-0.0093	0.0339	-0.0089	0.0065	-0.0152	-0.0007	-0.0277	-0.0247	-0.0178	0.0146
sad_vc_estimate_se	0.0336	0.0145	0.0052	0.0058	0.0054	0.0143	0.0062	0.0119	0.0078	0.1264	0.0043	0.009	0.0091	0.0057	0.0082	0.0152	0.0086	0.0083	0.0134	0.0144	0.0068	0.0099	0.0052	0.0068	0.0123	0.0156	0.0053	0.0109	0.01	0.0073	0.0198	0.0057	0.0066	0.013	0.0092	0.0071	0.0106	0.0148	0.006	0.015	0.0061	0.0154	0.0087	0.0064	0.0082	0.0057	0.007	0.0064	0.0065	0.0046	0.009	0.0041	0.0079	0.0109	0.0075	0.0061	0.01	0.0048	0.0052	0.0118	0.0124	0.0053	0.0114	0.0101	0.0049	0.0046	0.0096	0.0076	0.0051	0.0134	0.0046	0.004	0.006	0.0061	0.0072	0.0078	0.0065	0.0058	0.0055	0.0056	0.0049	0.0095	0.0056	0.005	0.0063	0.0109	0.0116	0.0052	0.0157	0.0061	0.0084	0.0075	0.0044	0.0062	0.006	0.0091	0.0114	0.0097	0.0077	0.0077
sad_vc_pvals	0.738	0.273	0.131	0.951	0.404	0.938	0.165	0.245	0.768	0.954	0.143	0.648	0.666	0.112	0.385	0.964	0.124	0.601	0.898	0.359	0.031	0.203	0.641	0.33	0.045	0.656	0.452	0.492	0.328	0.137	0.003	0.5	0.909	0.032	0.373	0.218	0.172	0.689	0.539	0.3	0.03	0.752	0.987	0.764	0.537	0.734	0.291	0.079	0.761	0.678	0.766	0.509	0.803	0.563	0.998	0.831	0.817	0.249	0.368	0.962	0.516	0.787	0.412	0.931	0.055	0.434	0.777	0.738	0.191	0.298	0.083	0.653	0.199	0.463	0.527	0.771	0.112	0.958	0.428	0.401	0.611	0.05	0.253	0.153	0.096	0.101	0.297	0.137	0.965	0.829	0.518	0.093	0.712	0.312	0.901	0.32	0.759	0.91	0.767	0.173
upper95_perm_sad	0.2886	0.1479	0.0936	0.091	0.1133	0.1464	0.0866	0.0872	0.1201	-0.3272	0.0771	0.092	0.0925	0.0874	0.1074	0.0416	0.1457	0.0904	0.0818	0.0876	0.0793	0.0984	0.0894	0.0768	0.1142	0.0976	0.0684	0.1154	0.0671	0.0755	0.0827	0.0918	0.0999	0.0667	0.1286	0.0792	0.1133	0.0732	0.1021	0.0848	0.0842	0.0303	0.063	0.0941	0.104	0.0825	0.0775	0.0708	0.099	0.085	0.0843	0.0852	0.0836	0.0866	0.09	0.0677	0.1257	0.0768	0.0772	0.1162	0.0727	0.0583	0.131	0.0929	0.0735	0.0898	0.1226	0.0921	0.062	0.0707	0.0675	0.0826	0.1009	0.0552	0.0881	0.0701	0.1026	0.0616	0.0907	0.0803	0.0758	0.124	0.0678	0.0587	0.0668	0.1118	0.093	0.0932	0.0741	0.0753	0.1108	0.0677	0.0598	0.0846	0.0588	0.072	0.0716	0.097	0.0558	0.0652
lower0_perm_sad	-0.1366	-0.0586	-0.0208	-0.023	-0.0207	-0.0575	-0.0251	-0.0478	-0.0307	-0.5183	-0.0168	-0.0372	-0.0373	-0.0227	-0.033	-0.0625	-0.0351	-0.032	-0.0516	-0.0579	-0.027	-0.0396	-0.0201	-0.0262	-0.05	-0.0626	-0.0204	-0.0436	-0.0393	-0.0303	-0.081	-0.0228	-0.027	-0.0543	-0.0373	-0.0288	-0.0417	-0.0619	-0.0238	-0.0589	-0.025	-0.0625	-0.0353	-0.0271	-0.0335	-0.0232	-0.0281	-0.0251	-0.0272	-0.0189	-0.0357	-0.0168	-0.0313	-0.0446	-0.0305	-0.0256	-0.0383	-0.0191	-0.0214	-0.0451	-0.0499	-0.0205	-0.0441	-0.0403	-0.0199	-0.0186	-0.0385	-0.0302	-0.0213	-0.054	-0.0187	-0.0166	-0.0233	-0.0246	-0.0273	-0.033	-0.0251	-0.0229	-0.0221	-0.0224	-0.0193	-0.0391	-0.0227	-0.0199	-0.0256	-0.0419	-0.0466	-0.0202	-0.0626	-0.0229	-0.034	-0.0298	-0.0182	-0.0245	-0.0233	-0.037	-0.0472	-0.0407	-0.0307	-0.0312
