	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.0259	0.0103	-0.0043	-0.002	-0.0007	-0.0021	0.0233	-0.0024	0.0502	-0.0014	0.0135	-0.0038	-0.0042	-0.0055	-0.0006	-0.0003	-0.0034	0.0549	0.0213	0.0007	0.01	-0.0003	-0.0051	-0.0052	-0.0046	0.0014	0.0127	-0.0047	0.0865	-0.0043	-0.005	0.0307	0.0083	0.0001	0.0118	0.0246	0.0465	0.0168	-0.0048	0.0213	-0.0047	0.0194	0.0033	0.0231	0.0198	-0.0048	-0.0004	0.0055	-0.0044	-0.0037	0.0485	0.0038	0.0301	-0.0034	-0.0034	-0.0047	-0.0039	0.0092	0.0013	-0.0006	0.0338	-0.0042	0.0014	-0.0022	-0.0029	-0.001	0.0281	-0.0046	-0.0048	0.0148	-0.0039	-0.0042	0.0036	-0.0047	-0.0005	0.0056	-0.0046	0.0116	-0.0041	-0.0015	-0.0039	0.0008	-0.0049	0.0329	-0.0029	-0.004	0.0009	-0.0041	0.0085	-0.0008	-0.0046	-0.0045	0.0039	0.0054	-0.0045	-0.0025	-0.0011	0.0267	-0.0028	-0.0047
direct_vc_estimate_se	0.1755	0.0748	0.0564	0.0589	0.0568	0.0578	0.0516	0.0576	0.0594	0.052	0.054	0.0516	0.0573	0.0577	0.0476	0.0502	0.0547	0.0492	0.0513	0.0546	0.0526	0.0511	0.0548	0.0583	0.0505	0.0532	0.0545	0.0501	0.0579	0.0491	0.0514	0.0521	0.0545	0.0515	0.052	0.0502	0.0504	0.0522	0.0515	0.0497	0.0498	0.0502	0.0522	0.0485	0.0509	0.0503	0.05	0.0503	0.0479	0.0481	0.0499	0.0487	0.0509	0.0507	0.0511	0.0479	0.0481	0.0508	0.0488	0.0505	0.0466	0.0495	0.0491	0.05	0.0507	0.0502	0.0493	0.0477	0.0505	0.0504	0.0493	0.0537	0.0476	0.0488	0.047	0.0521	0.0477	0.049	0.0492	0.0467	0.0489	0.0503	0.051	0.0491	0.0459	0.0532	0.0505	0.0481	0.0515	0.0502	0.0484	0.0497	0.0473	0.048	0.0518	0.0486	0.046	0.0474	0.0459	0.048
direct_vc_pvals	0.215	0.265	0.693	0.484	0.426	0.561	0.107	0.574	0.031	0.534	0.156	0.705	0.711	0.924	0.491	0.459	0.616	0.009	0.084	0.534	0.198	0.411	0.9	0.824	0.843	0.411	0.118	0.9	0.003	0.836	0.968	0.047	0.212	0.365	0.168	0.104	0.021	0.129	0.88	0.068	0.883	0.08	0.352	0.073	0.06	0.943	0.449	0.238	0.841	0.712	0.013	0.299	0.021	0.731	0.654	0.988	0.737	0.171	0.357	0.502	0.025	0.772	0.382	0.591	0.609	0.503	0.035	0.987	0.897	0.118	0.762	0.722	0.285	0.991	0.451	0.26	0.921	0.165	0.778	0.586	0.718	0.437	0.94	0.071	0.66	0.72	0.41	0.791	0.199	0.496	0.903	0.886	0.272	0.232	0.789	0.593	0.51	0.038	0.628	0.984
upper95_perm_direct	0.1254	0.062	0.0347	0.0328	0.0392	0.0445	0.0483	0.048	0.055	0.0454	0.0434	0.0385	0.0497	0.0491	0.043	0.0352	0.0379	0.041	0.0366	0.0676	0.0384	0.0283	0.0453	0.0438	0.0325	0.0427	0.0284	0.0398	0.0458	0.0442	0.0363	0.0411	0.0352	0.0287	0.0392	0.0505	0.0369	0.036	0.0294	0.0349	0.0424	0.0347	0.0394	0.0392	0.0318	0.0497	0.0327	0.0326	0.0326	0.0389	0.0381	0.0351	0.0297	0.0531	0.0353	0.0351	0.0426	0.0335	0.0297	0.0378	0.037	0.0353	0.0393	0.0444	0.0351	0.0391	0.0303	0.0307	0.0266	0.0341	0.0437	0.0283	0.0324	0.0359	0.0322	0.0344	0.0293	0.0391	0.0372	0.0426	0.0305	0.0412	0.0413	0.0544	0.0335	0.038	0.037	0.0373	0.0332	0.0407	0.0379	0.0571	0.0314	0.0291	0.0408	0.0363	0.0363	0.0327	0.0266	0.0337
lower0_perm_direct	-0.0297	-0.0121	-0.0097	-0.0099	-0.0099	-0.01	-0.0087	-0.0093	-0.0107	-0.0094	-0.0093	-0.0087	-0.0097	-0.0099	-0.0079	-0.0087	-0.0091	-0.0081	-0.0089	-0.0096	-0.0094	-0.009	-0.0092	-0.0094	-0.0088	-0.0092	-0.0091	-0.0087	-0.0098	-0.0083	-0.0088	-0.0086	-0.0093	-0.0085	-0.0086	-0.0081	-0.0088	-0.0089	-0.0089	-0.0084	-0.0084	-0.0088	-0.0091	-0.0084	-0.0082	-0.0088	-0.0086	-0.0085	-0.0081	-0.008	-0.0087	-0.0084	-0.0085	-0.0083	-0.0088	-0.0083	-0.0084	-0.0087	-0.0084	-0.0087	-0.0082	-0.0085	-0.0083	-0.0083	-0.0087	-0.0087	-0.0085	-0.0081	-0.0088	-0.0085	-0.0079	-0.0094	-0.0085	-0.0078	-0.0081	-0.0089	-0.0082	-0.0085	-0.0088	-0.0076	-0.0084	-0.0086	-0.0089	-0.0083	-0.0073	-0.009	-0.0086	-0.0083	-0.0089	-0.0086	-0.0083	-0.0081	-0.0078	-0.0083	-0.0084	-0.0083	-0.0078	-0.0078	-0.0079	-0.0079
sad_vc_estimate	0.0375	0.0188	-0.0027	0.0113	-0.0055	0.0114	0.037	0.0177	0.086	-0.0027	0.0521	-0.0032	0.0333	-0.0055	-0.001	0.0058	-0.0033	0.0799	0.0396	0.0026	0.0417	-0.0033	0.0	-0.0057	-0.0038	0.0106	0.0153	0.0122	0.175	-0.0031	-0.0031	0.0264	0.0031	0.0163	0.0417	0.0495	0.0612	0.0336	-0.0029	0.03	0.0135	0.0395	0.0202	0.0717	0.0349	0.0001	-0.0026	0.0088	-0.0046	-0.0037	0.0354	0.0315	0.0808	-0.0047	-0.0033	-0.0047	-0.0018	0.0006	-0.0048	0.0029	0.0495	-0.0045	0.012	0.0136	0.0022	-0.0019	0.0501	-0.0047	-0.0049	0.0124	-0.0011	-0.0006	0.027	-0.0045	0.0023	0.0101	-0.0045	0.0163	-0.0022	-0.0007	-0.0048	0.0318	-0.005	0.0415	-0.0025	-0.0017	0.0218	-0.0044	0.0198	0.0091	-0.0047	-0.0047	0.0171	-0.0012	-0.0025	-0.0045	-0.0038	0.0485	-0.0037	-0.0031
sad_vc_estimate_se	0.1769	0.0754	0.0569	0.0594	0.0573	0.0582	0.052	0.0581	0.0599	0.0524	0.0544	0.0521	0.0577	0.0581	0.048	0.0506	0.0552	0.0496	0.0517	0.055	0.0531	0.0515	0.0552	0.0587	0.0509	0.0536	0.055	0.0505	0.0584	0.0495	0.0518	0.0525	0.0549	0.0519	0.0524	0.0507	0.0508	0.0526	0.0519	0.0501	0.0502	0.0506	0.0526	0.0489	0.0513	0.0507	0.0504	0.0507	0.0483	0.0485	0.0503	0.0491	0.0513	0.0511	0.0515	0.0483	0.0486	0.0512	0.0492	0.0509	0.0469	0.0499	0.0495	0.0504	0.0512	0.0506	0.0497	0.0481	0.0509	0.0508	0.0497	0.0541	0.048	0.0492	0.0473	0.0525	0.048	0.0494	0.0496	0.0471	0.0492	0.0507	0.0514	0.0495	0.0462	0.0536	0.0509	0.0485	0.052	0.0506	0.0488	0.0501	0.0477	0.0484	0.0522	0.049	0.0464	0.0478	0.0463	0.0484
sad_vc_pvals	0.272	0.275	0.648	0.33	0.947	0.404	0.127	0.303	0.082	0.667	0.027	0.654	0.159	0.937	0.635	0.307	0.722	0.012	0.066	0.557	0.064	0.716	0.572	0.97	0.778	0.293	0.175	0.271	0.0	0.718	0.692	0.119	0.421	0.143	0.05	0.067	0.028	0.11	0.637	0.065	0.276	0.042	0.194	0.023	0.066	0.582	0.636	0.3	0.935	0.788	0.061	0.075	0.005	0.879	0.693	0.977	0.655	0.45	0.973	0.464	0.025	0.862	0.256	0.302	0.445	0.66	0.014	0.992	0.956	0.21	0.58	0.512	0.103	0.87	0.383	0.268	0.922	0.218	0.644	0.625	0.962	0.099	0.967	0.083	0.664	0.66	0.152	0.909	0.166	0.311	0.981	0.932	0.142	0.515	0.661	0.87	0.828	0.038	0.785	0.726
upper95_perm_sad	0.213	0.1007	0.0547	0.0688	0.0533	0.0996	0.0775	0.1009	0.1457	0.0679	0.0548	0.054	0.0966	0.0701	0.0678	0.0456	0.0796	0.06	0.0666	0.0987	0.0689	0.049	0.0815	0.0723	0.0535	0.0682	0.0544	0.0661	0.0872	0.0639	0.0616	0.0593	0.0642	0.045	0.0609	0.083	0.063	0.0709	0.0383	0.0465	0.0792	0.0479	0.064	0.0727	0.0564	0.0898	0.0565	0.0525	0.0494	0.0551	0.0525	0.0541	0.0516	0.0914	0.0541	0.0613	0.0717	0.0489	0.0381	0.066	0.0508	0.0501	0.0634	0.0796	0.0605	0.0828	0.038	0.0533	0.0479	0.0557	0.0562	0.0554	0.0554	0.0499	0.0469	0.0603	0.0468	0.0649	0.0645	0.0746	0.0447	0.0645	0.0773	0.0796	0.0511	0.0865	0.0608	0.051	0.0588	0.0614	0.0564	0.0921	0.0495	0.0382	0.0658	0.0418	0.0565	0.0609	0.0468	0.0522
lower0_perm_sad	-0.0305	-0.0136	-0.0102	-0.0098	-0.0096	-0.0098	-0.0092	-0.0094	-0.0096	-0.0089	-0.0089	-0.0094	-0.0095	-0.0093	-0.0077	-0.0088	-0.0092	-0.0084	-0.0089	-0.0088	-0.009	-0.0085	-0.0098	-0.01	-0.0088	-0.009	-0.0096	-0.0086	-0.0098	-0.0082	-0.0091	-0.009	-0.0095	-0.0089	-0.0089	-0.0086	-0.0088	-0.0088	-0.0085	-0.0084	-0.0085	-0.0085	-0.0086	-0.008	-0.0087	-0.0084	-0.0091	-0.0083	-0.0082	-0.0085	-0.0083	-0.0082	-0.0088	-0.0092	-0.0086	-0.0075	-0.0082	-0.0087	-0.0083	-0.0089	-0.0076	-0.0083	-0.0079	-0.0089	-0.0084	-0.0087	-0.0086	-0.0075	-0.0086	-0.0087	-0.0088	-0.0089	-0.0087	-0.0082	-0.0078	-0.0088	-0.0083	-0.0082	-0.0083	-0.0076	-0.008	-0.0088	-0.0083	-0.0082	-0.0082	-0.0091	-0.0089	-0.0082	-0.009	-0.0083	-0.0085	-0.0083	-0.0083	-0.0079	-0.0085	-0.0084	-0.0074	-0.008	-0.008	-0.0081
