	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.0021	0.0099	0.0046	0.0215	-0.001	-0.0021	-0.0008	-0.0016	-0.0007	-0.0008	0.0174	0.0011	-0.0012	0.0076	0.0171	0.0024	0.0005	0.0151	0.0055	0.0163	-0.0006	0.005	0.0029	0.0031	0.0002	-0.0002	0.0025	0.0146	0.0287	0.0002	0.0014	-0.0003	-0.0009	0.0068	0.0084	0.0031	0.0019	-0.001	-0.001	0.0019	0.0036	0.0021	0.0081	0.0072	0.0113	0.0	0.0002	0.0017	0.0	0.0003	0.0081	0.0028	0.0017	-0.0006	-0.0005	-0.0008	-0.0009	0.0012	0.0022	-0.0	-0.001	0.0003	-0.0008	0.0197	0.0023	0.0092	0.0133	0.0072	-0.0009	-0.0006	0.0006	0.0054	0.0068	0.001	0.0052	-0.0008	-0.0002	-0.0005	0.0024	0.0008	0.0003	0.0004	0.0015	0.0049	0.0004	0.0034	-0.0001	0.0001	-0.0005	0.0013	0.0004	0.0034	0.0226	-0.0002	-0.0008	0.0011	-0.0005	0.0036	0.0068	0.0056
direct_vc_estimate_se	0.0165	0.0079	0.0043	0.0056	0.005	0.0136	0.0053	0.0119	0.0176	0.0045	0.0075	0.006	0.0097	0.0078	0.0048	0.0062	0.0093	0.005	0.0052	0.007	0.0059	0.0055	0.0077	0.006	0.0053	0.0056	0.004	0.0054	0.0066	0.0052	0.0048	0.0049	0.0049	0.005	0.0056	0.005	0.0063	0.0056	0.0054	0.0056	0.0049	0.0054	0.0068	0.0046	0.0046	0.0055	0.0041	0.005	0.0059	0.005	0.0044	0.0048	0.0048	0.0043	0.0041	0.0045	0.0048	0.0043	0.0044	0.0046	0.0051	0.0057	0.0055	0.0057	0.0055	0.0051	0.0044	0.0037	0.0052	0.005	0.0045	0.0044	0.0044	0.0055	0.0038	0.0044	0.0038	0.004	0.0057	0.0049	0.0055	0.0046	0.0042	0.0061	0.0044	0.0043	0.0048	0.0044	0.0054	0.0041	0.0046	0.0045	0.0045	0.0046	0.0045	0.0037	0.0044	0.0041	0.004	0.0039
direct_vc_pvals	0.766	0.159	0.173	0.066	0.996	0.649	0.883	0.774	0.404	0.898	0.059	0.408	0.656	0.246	0.066	0.355	0.344	0.078	0.166	0.263	0.651	0.067	0.194	0.189	0.575	0.699	0.185	0.069	0.051	0.695	0.548	0.73	0.845	0.101	0.041	0.583	0.334	0.897	0.932	0.402	0.455	0.177	0.324	0.158	0.155	0.618	0.593	0.388	0.539	0.555	0.119	0.247	0.404	0.781	0.672	0.907	0.925	0.469	0.236	0.638	0.973	0.539	0.853	0.044	0.415	0.163	0.054	0.076	0.859	0.726	0.598	0.07	0.181	0.436	0.249	0.956	0.588	0.849	0.318	0.621	0.572	0.452	0.336	0.537	0.591	0.422	0.622	0.808	0.829	0.395	0.54	0.466	0.006	0.567	0.933	0.333	0.768	0.168	0.126	0.14
upper95_perm_direct	0.0472	0.0246	0.0123	0.0327	0.014	0.0096	0.0329	0.0256	0.0128	0.0187	0.0251	0.0135	0.0151	0.0251	0.0274	0.0212	0.0113	0.0248	0.0141	0.0505	0.0115	0.0076	0.0109	0.0107	0.0168	0.0248	0.008	0.0215	0.0369	0.0271	0.0196	0.021	0.0152	0.0126	0.0101	0.045	0.0138	0.0137	0.009	0.0168	0.0343	0.0067	0.0304	0.0163	0.0256	0.0144	0.0147	0.0165	0.0119	0.0149	0.0181	0.0114	0.0127	0.011	0.008	0.0255	0.0172	0.0148	0.0099	0.0172	0.0124	0.0159	0.0304	0.0243	0.0219	0.0214	0.0177	0.0113	0.0109	0.0109	0.0239	0.0086	0.0181	0.0143	0.0188	0.0181	0.0087	0.0232	0.0172	0.0296	0.0161	0.01	0.0096	0.0488	0.0195	0.0269	0.0142	0.0327	0.0173	0.0122	0.0147	0.03	0.0178	0.0096	0.0133	0.0077	0.0163	0.0113	0.0145	0.0115
lower0_perm_direct	-0.0057	-0.0027	-0.0016	-0.0018	-0.0018	-0.005	-0.002	-0.0043	-0.0059	-0.0016	-0.0027	-0.0019	-0.0033	-0.003	-0.0016	-0.0023	-0.003	-0.0018	-0.0017	-0.0023	-0.0023	-0.0019	-0.0026	-0.002	-0.0018	-0.002	-0.0013	-0.0019	-0.0023	-0.0019	-0.0017	-0.0016	-0.0017	-0.0017	-0.0021	-0.0018	-0.0023	-0.002	-0.0018	-0.0019	-0.0016	-0.002	-0.0022	-0.0016	-0.0017	-0.0019	-0.0015	-0.0018	-0.0021	-0.0018	-0.0017	-0.0018	-0.0017	-0.0017	-0.0015	-0.0017	-0.0018	-0.0015	-0.0015	-0.0016	-0.0019	-0.0021	-0.002	-0.0019	-0.002	-0.0018	-0.0016	-0.0013	-0.0019	-0.0017	-0.0014	-0.0016	-0.0016	-0.0019	-0.0013	-0.0015	-0.0015	-0.0014	-0.002	-0.0017	-0.002	-0.0017	-0.0014	-0.002	-0.0015	-0.0015	-0.0018	-0.0014	-0.0017	-0.0014	-0.0017	-0.0015	-0.0014	-0.0017	-0.0017	-0.0013	-0.0015	-0.0015	-0.0014	-0.0013
sad_vc_estimate	-0.0018	0.0088	0.0045	0.0378	0.001	0.0049	-0.0008	0.0121	0.0295	0.0025	0.0353	-0.0011	0.0097	0.0176	0.0301	0.0085	0.0045	0.0389	0.0105	0.044	0.0025	-0.0004	0.0001	0.0094	0.0095	0.0003	0.0088	0.0644	0.0965	0.0078	0.0109	0.0004	-0.0008	0.0174	0.037	0.0116	-0.0002	-0.0011	0.0046	0.0026	0.0188	0.0084	0.0602	0.0474	0.0199	-0.0011	-0.0007	0.0012	-0.0001	0.0204	0.0235	0.0108	0.0071	-0.0007	-0.0008	-0.0007	-0.0006	0.0012	0.0012	0.001	-0.001	0.0082	-0.0007	0.0531	0.0023	0.0232	0.0222	0.0172	-0.0	-0.0007	0.0001	0.0049	0.0162	-0.0009	0.0205	-0.0007	-0.0006	-0.0001	0.005	0.0022	0.0008	-0.0003	0.0035	0.0096	0.0058	0.0126	0.0125	0.0037	0.0068	0.0146	0.0	0.0043	0.0654	-0.0008	0.0017	0.007	-0.0001	0.0042	0.0067	0.0218
sad_vc_estimate_se	0.0166	0.0079	0.0044	0.0056	0.005	0.0137	0.0054	0.012	0.0178	0.0045	0.0076	0.006	0.0098	0.0079	0.0049	0.0063	0.0094	0.005	0.0052	0.0071	0.006	0.0055	0.0078	0.006	0.0054	0.0057	0.004	0.0054	0.0067	0.0053	0.0049	0.005	0.005	0.005	0.0057	0.005	0.0063	0.0057	0.0054	0.0057	0.0049	0.0055	0.0068	0.0047	0.0047	0.0056	0.0042	0.0051	0.006	0.0051	0.0044	0.0048	0.0048	0.0044	0.0041	0.0045	0.0048	0.0043	0.0045	0.0047	0.0051	0.0058	0.0055	0.0057	0.0056	0.0051	0.0044	0.0037	0.0053	0.0051	0.0045	0.0045	0.0044	0.0055	0.0038	0.0045	0.0039	0.0041	0.0057	0.005	0.0056	0.0047	0.0042	0.0062	0.0045	0.0043	0.0048	0.0044	0.0054	0.0041	0.0047	0.0045	0.0045	0.0047	0.0046	0.0038	0.0044	0.0041	0.0041	0.004
sad_vc_pvals	0.812	0.43	0.414	0.1	0.584	0.605	0.922	0.477	0.329	0.56	0.1	0.952	0.37	0.298	0.144	0.303	0.469	0.074	0.222	0.231	0.545	0.739	0.664	0.224	0.308	0.754	0.095	0.022	0.009	0.424	0.356	0.739	0.92	0.104	0.009	0.486	0.704	0.962	0.31	0.511	0.309	0.087	0.054	0.029	0.224	0.991	0.92	0.618	0.683	0.111	0.061	0.168	0.292	0.871	0.938	0.917	0.853	0.614	0.504	0.638	0.976	0.342	0.869	0.032	0.584	0.239	0.072	0.059	0.718	0.825	0.727	0.259	0.209	0.881	0.152	0.877	0.859	0.818	0.398	0.665	0.671	0.741	0.393	0.565	0.406	0.338	0.181	0.679	0.467	0.135	0.745	0.615	0.001	0.893	0.512	0.139	0.778	0.389	0.348	0.056
upper95_perm_sad	0.1079	0.0728	0.0322	0.0676	0.0287	0.0774	0.073	0.1217	0.1101	0.0441	0.0632	0.0329	0.0595	0.0785	0.0664	0.0387	0.0493	0.0593	0.0371	0.1253	0.0362	0.0249	0.0422	0.0307	0.0472	0.0686	0.0169	0.0582	0.0876	0.0613	0.0475	0.0442	0.0443	0.0312	0.0295	0.0867	0.0282	0.0354	0.0272	0.0363	0.0781	0.0142	0.08	0.0495	0.0598	0.0424	0.0318	0.0387	0.0335	0.0378	0.0326	0.0283	0.0327	0.0276	0.0226	0.0591	0.0346	0.0326	0.0209	0.0412	0.0301	0.0523	0.0576	0.0595	0.0567	0.0642	0.0337	0.0249	0.0346	0.0281	0.0448	0.0225	0.0482	0.0334	0.0503	0.0405	0.0221	0.0597	0.0401	0.0687	0.0428	0.0238	0.0222	0.0971	0.0422	0.0588	0.0342	0.0682	0.0471	0.0289	0.0381	0.0741	0.0364	0.0276	0.0266	0.0158	0.0442	0.0323	0.0352	0.0289
lower0_perm_sad	-0.0058	-0.0031	-0.0014	-0.0019	-0.0018	-0.0045	-0.0018	-0.0043	-0.0059	-0.0015	-0.0025	-0.002	-0.0034	-0.0027	-0.0017	-0.0022	-0.003	-0.0016	-0.0018	-0.0026	-0.002	-0.0019	-0.0027	-0.002	-0.0018	-0.002	-0.0014	-0.002	-0.0023	-0.0017	-0.0017	-0.0017	-0.0017	-0.0019	-0.002	-0.0017	-0.0021	-0.0021	-0.0018	-0.002	-0.0017	-0.0021	-0.0024	-0.0018	-0.0015	-0.002	-0.0014	-0.0017	-0.0022	-0.0017	-0.0015	-0.0018	-0.0017	-0.0015	-0.0014	-0.0015	-0.0018	-0.0014	-0.0015	-0.0015	-0.002	-0.002	-0.002	-0.0022	-0.002	-0.0018	-0.0015	-0.0013	-0.0018	-0.0018	-0.0016	-0.0016	-0.0015	-0.0021	-0.0013	-0.0017	-0.0013	-0.0014	-0.0019	-0.0018	-0.0018	-0.0018	-0.0014	-0.0019	-0.0015	-0.0015	-0.0017	-0.0015	-0.0018	-0.0015	-0.0016	-0.0015	-0.0016	-0.0018	-0.0016	-0.0012	-0.0014	-0.0015	-0.0014	-0.0013
covar_vc_estimate	0.0039	-0.0187	-0.0091	-0.0571	0.0019	0.0094	0.0025	-0.0017	-0.0119	0.0008	-0.0497	0.0028	0.0094	-0.0233	-0.0455	-0.0094	0.0112	-0.0487	-0.0153	-0.0539	0.0052	-0.0018	0.0083	-0.0111	-0.005	-0.0	-0.0097	-0.062	-0.1058	-0.0046	-0.0086	0.0001	0.0021	-0.0219	-0.0358	-0.0123	-0.0011	0.0022	0.0015	-0.0045	-0.017	-0.0088	-0.0456	-0.0377	-0.0301	0.0022	0.001	-0.0029	0.0	-0.0085	-0.0279	-0.0114	-0.0073	0.002	0.0018	0.0019	0.0016	-0.0024	-0.0033	-0.0008	0.002	-0.0051	0.0015	-0.065	-0.0046	-0.0293	-0.0344	-0.0223	0.0015	0.0013	-0.0007	-0.0104	-0.0211	0.001	-0.0209	0.0018	0.002	0.0007	-0.007	-0.0028	-0.0011	0.0	-0.0047	-0.0139	-0.0041	-0.0135	-0.0048	-0.0025	-0.002	-0.0098	-0.0004	-0.0077	-0.0772	0.0012	0.0023	-0.0061	0.0027	-0.0078	-0.0134	-0.0225
covar_vc_estimate_se	0.1182	0.08	0.0589	0.0669	0.0631	0.1067	0.0653	0.0995	0.1224	0.06	0.078	0.0693	0.0891	0.0798	0.0623	0.0709	0.0873	0.0632	0.0644	0.0753	0.0692	0.0664	0.0793	0.0695	0.0656	0.0673	0.0564	0.0657	0.0731	0.0648	0.0624	0.0629	0.0628	0.0632	0.0673	0.0633	0.0712	0.0674	0.0658	0.0671	0.0627	0.0661	0.074	0.061	0.0609	0.0668	0.0574	0.0636	0.0692	0.0634	0.0593	0.0619	0.0619	0.0589	0.0571	0.0599	0.0617	0.0586	0.0596	0.061	0.0638	0.0678	0.0664	0.0675	0.0668	0.0639	0.0592	0.0544	0.0649	0.0636	0.0598	0.0595	0.0591	0.0664	0.0548	0.0595	0.0554	0.0568	0.0676	0.0627	0.0668	0.0609	0.0578	0.0701	0.0595	0.0584	0.0619	0.059	0.0656	0.0569	0.061	0.0598	0.0599	0.0607	0.0601	0.0545	0.0592	0.0572	0.0568	0.0562
covar_vc_pvals	0.164	0.289	0.306	0.058	0.167	0.264	0.072	0.411	0.357	0.176	0.056	0.167	0.191	0.265	0.088	0.341	0.13	0.054	0.169	0.231	0.076	0.419	0.128	0.167	0.486	0.217	0.106	0.025	0.012	0.357	0.49	0.24	0.121	0.08	0.011	0.349	0.459	0.179	0.236	0.476	0.422	0.093	0.123	0.066	0.165	0.18	0.135	0.432	0.362	0.337	0.053	0.176	0.369	0.092	0.118	0.079	0.08	0.371	0.392	0.288	0.136	0.484	0.107	0.023	0.451	0.181	0.034	0.036	0.202	0.219	0.24	0.15	0.178	0.227	0.185	0.089	0.133	0.144	0.384	0.264	0.352	0.347	0.394	0.371	0.421	0.443	0.457	0.15	0.264	0.265	0.269	0.358	0.001	0.227	0.109	0.207	0.069	0.291	0.203	0.071
