	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.0639	0.06	0.0072	0.0216	-0.0001	0.0016	0.0004	0.0001	0.001	0.0088	0.0016	0.0005	0.0065	0.0108	0.0015	0.0038	-0.0001	0.0	0.006	0.0006	0.001	0.001	0.0011	0.0036	0.0011	0.0006	0.0003	0.005	0.0018	0.0066	0.0006	0.0	-0.0	0.0018	0.0018	0.0023	0.0023	-0.0001	-0.0001	-0.0	0.0019	0.0002	0.0003	0.003	-0.0	-0.0001	-0.0001	0.0112	0.0027	0.0015	0.0045	0.0002	0.0006	0.0006	0.0076	0.002	0.0016	-0.0	0.0042	0.0002	0.0006	0.0056	0.0061	0.0	0.0001	0.0026	0.0	0.0002	0.0002	0.0001	0.0045	0.0025	0.0039	0.0008	0.0012	0.0067	0.0016	0.0025	0.0006	0.0264	0.0048	0.004	0.0012	0.0007	0.0071	0.0016	0.0	0.0011	0.0008	0.0018	0.0007	0.01	0.0013	0.0001	0.0037	-0.0001	0.0065	0.0014	0.0089	-0.0
direct_vc_estimate_se	0.0005	0.0006	0.0001	0.0002	0.0001	0.0001	0.0002	0.0002	0.0001	0.0002	0.0001	0.0002	0.0001	0.0002	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0002	0.0002	0.0001	0.0002	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0002	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0002	0.0001	0.0001	0.0001	0.0002	0.0002	0.0002	0.0002	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
direct_vc_pvals	0.201	0.011	0.527	0.011	0.908	0.514	0.733	0.803	0.414	0.005	0.201	0.652	0.092	0.004	0.061	0.178	0.79	0.747	0.045	0.38	0.398	0.257	0.443	0.215	0.459	0.618	0.725	0.23	0.581	0.121	0.801	0.661	0.873	0.173	0.024	0.327	0.26	0.958	0.796	0.773	0.465	0.543	0.503	0.153	0.959	0.858	0.998	0.011	0.006	0.173	0.035	0.585	0.722	0.461	0.145	0.174	0.19	0.868	0.302	0.521	0.459	0.015	0.245	0.807	0.814	0.924	0.779	0.59	0.901	0.756	0.034	0.106	0.046	0.377	0.245	0.266	0.208	0.216	0.4	0.021	0.048	0.143	0.265	0.251	0.137	0.293	0.783	0.375	0.38	0.433	0.661	0.043	0.25	0.59	0.434	0.884	0.269	0.08	0.11	0.765
upper95_perm_direct	0.2068	0.0734	0.062	0.0301	0.0073	0.018	0.0145	0.0128	0.0101	0.0073	0.0057	0.0188	0.0131	0.0105	0.0028	0.012	0.0049	0.0051	0.0101	0.0049	0.0071	0.0044	0.01	0.0107	0.0103	0.013	0.0172	0.0147	0.0108	0.0182	0.0163	0.006	0.01	0.0055	0.0025	0.0116	0.011	0.0183	0.004	0.0032	0.0094	0.0048	0.0051	0.0078	0.018	0.0064	0.0083	0.0136	0.0034	0.0043	0.0074	0.0058	0.0091	0.0053	0.0195	0.0068	0.0061	0.0114	0.0165	0.0041	0.007	0.0065	0.0205	0.0135	0.0173	0.0265	0.0049	0.0065	0.0257	0.0186	0.0067	0.0059	0.0066	0.006	0.0048	0.0214	0.0073	0.0094	0.0041	0.0371	0.0081	0.0113	0.0051	0.0033	0.0187	0.008	0.0079	0.0071	0.0052	0.0177	0.0156	0.0167	0.0064	0.0041	0.0244	0.0009	0.0255	0.0029	0.0198	0.0036
lower0_perm_direct	-0.001	-0.001	-0.0003	-0.0003	-0.0002	-0.0002	-0.0003	-0.0003	-0.0002	-0.0003	-0.0002	-0.0004	-0.0001	-0.0003	-0.0002	-0.0002	-0.0005	-0.0002	-0.0002	-0.0002	-0.0002	-0.0004	-0.0003	-0.0002	-0.0003	-0.0002	-0.0002	-0.0005	-0.0002	-0.0002	-0.0002	-0.0004	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0004	-0.0002	-0.0002	-0.0004	-0.0002	-0.0002	-0.0002	-0.0003	-0.0002	-0.0002	-0.0002	-0.0002	-0.0004	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0003	-0.0002	-0.0002	-0.0002	-0.0003	-0.0003	0.0006	-0.0002	-0.0002	-0.0002	-0.0003	-0.0003	-0.0004	-0.0002	-0.0002	-0.0002	-0.0004	-0.0004	-0.0004	-0.0003	-0.0002	-0.0002	-0.0003	-0.0003	-0.0003	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0003	-0.0002	-0.0003	-0.0002	-0.0003	-0.0002	-0.0002
sad_vc_estimate	0.196	0.2938	0.0296	0.0976	0.0017	0.0059	0.0012	0.0021	0.0057	0.0381	0.0055	-0.0001	0.0488	0.0448	0.0118	0.0135	-0.0001	-0.0	0.0225	0.0017	0.0054	0.0073	0.0027	0.0075	0.0009	0.0021	0.0003	0.0141	0.0092	0.0333	0.0004	-0.0001	0.0016	0.0036	0.0095	0.0077	0.0273	0.0003	0.0047	-0.0001	0.0162	0.0006	0.0019	0.016	0.0005	0.0001	-0.0001	0.0549	0.0042	0.0074	0.0034	0.0001	0.0009	0.0022	0.0494	0.0143	0.0084	0.0012	0.0115	0.0021	0.0009	0.0109	0.0195	0.0012	0.0013	0.0139	0.0004	0.0013	-0.0001	0.0004	0.0028	0.0241	0.013	0.0034	0.0007	0.0203	0.0022	0.0045	0.0034	0.096	0.0148	0.0088	0.0023	0.0113	0.0297	0.004	0.0058	0.0065	0.0037	0.003	0.0045	0.029	0.0055	0.0028	0.0037	-0.0001	0.0216	0.0046	0.0199	-0.0001
sad_vc_estimate_se	0.0006	0.0006	0.0001	0.0002	0.0001	0.0001	0.0002	0.0002	0.0001	0.0002	0.0001	0.0002	0.0001	0.0002	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0002	0.0002	0.0001	0.0002	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0002	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0002	0.0001	0.0001	0.0001	0.0002	0.0002	0.0002	0.0002	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
sad_vc_pvals	0.205	0.001	0.448	0.001	0.595	0.426	0.804	0.613	0.275	0.004	0.092	0.942	0.028	0.005	0.067	0.067	0.789	0.926	0.028	0.404	0.188	0.103	0.439	0.319	0.677	0.629	0.873	0.104	0.504	0.052	0.931	0.907	0.436	0.239	0.016	0.245	0.067	0.867	0.185	0.974	0.214	0.679	0.411	0.081	0.905	0.831	0.985	0.006	0.172	0.013	0.463	0.85	0.879	0.34	0.031	0.057	0.241	0.77	0.199	0.254	0.62	0.035	0.325	0.76	0.702	0.721	0.754	0.504	0.979	0.798	0.486	0.003	0.09	0.381	0.593	0.316	0.344	0.391	0.361	0.007	0.092	0.223	0.451	0.016	0.064	0.332	0.264	0.317	0.394	0.595	0.616	0.048	0.177	0.257	0.697	0.778	0.261	0.049	0.283	0.994
upper95_perm_sad	0.5723	0.2588	0.1681	0.1237	0.0252	0.0373	0.0466	0.0452	0.0275	0.0339	0.0125	0.042	0.0743	0.0484	0.0229	0.0262	0.0105	0.0355	0.0339	0.016	0.0159	0.0168	0.0258	0.0292	0.0189	0.0351	0.0649	0.0293	0.0409	0.0578	0.0657	0.0382	0.017	0.0161	0.0113	0.0283	0.0545	0.0677	0.015	0.0067	0.0448	0.0202	0.018	0.0323	0.0592	0.0213	0.0373	0.0558	0.0135	0.0088	0.0306	0.0286	0.037	0.0108	0.0739	0.026	0.0308	0.0359	0.033	0.0094	0.0199	0.0167	0.0821	0.0369	0.0475	0.0834	0.0205	0.0163	0.0699	0.0462	0.0338	0.0211	0.0261	0.0239	0.012	0.0706	0.0147	0.0269	0.0159	0.1108	0.0314	0.0287	0.0256	0.0152	0.0591	0.0242	0.0249	0.0274	0.0203	0.0473	0.0489	0.049	0.017	0.0127	0.0665	0.0029	0.0739	0.0078	0.0737	0.0086
lower0_perm_sad	-0.0011	-0.0011	-0.0003	-0.0003	-0.0002	-0.0002	-0.0004	-0.0003	-0.0002	-0.0003	-0.0002	-0.0004	-0.0002	-0.0003	-0.0002	-0.0002	-0.0005	-0.0002	-0.0003	-0.0002	-0.0002	-0.0004	-0.0003	-0.0002	-0.0003	-0.0002	-0.0003	-0.0004	0.0	-0.0002	-0.0003	-0.0004	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0004	-0.0002	-0.0002	-0.0003	-0.0002	-0.0002	-0.0002	-0.0003	-0.0002	-0.0002	-0.0002	-0.0002	-0.0003	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0003	-0.0002	-0.0002	-0.0002	-0.0004	-0.0003	0.0018	-0.0002	-0.0002	-0.0002	-0.0003	-0.0003	-0.0004	-0.0002	-0.0002	-0.0002	-0.0003	-0.0004	-0.0003	-0.0004	-0.0002	-0.0002	-0.0002	-0.0003	-0.0003	-0.0001	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0003	-0.0002	-0.0003	-0.0002	-0.0003	-0.0002	-0.0002
covar_vc_estimate	-0.2239	-0.2659	-0.0292	-0.0919	0.0005	-0.0062	-0.0015	0.0016	-0.0048	-0.0367	-0.0059	-0.0	-0.0357	-0.0442	-0.0086	-0.0144	0.0001	0.0	-0.0232	-0.002	-0.0046	-0.0054	-0.0035	-0.0104	-0.002	-0.0023	-0.0006	-0.0168	-0.0082	-0.0296	-0.0009	0.0006	-0.0004	-0.0051	-0.0082	-0.0085	-0.0161	0.0001	-0.0006	0.0001	-0.0114	-0.0006	-0.0017	-0.014	-0.0002	0.0	0.0002	-0.0496	-0.0068	-0.0066	-0.0078	0.0006	-0.0016	-0.0024	-0.0388	-0.0108	-0.0075	-0.0004	-0.0139	-0.0014	-0.0015	-0.0157	-0.0219	-0.0007	0.0014	-0.012	0.0006	-0.0011	0.0004	-0.0005	-0.0071	-0.0157	-0.0143	-0.0032	-0.0018	-0.0234	-0.0038	-0.0067	-0.003	-0.1008	-0.0168	-0.0119	-0.0033	-0.0057	-0.0291	-0.0051	-0.0013	-0.0053	-0.0034	-0.0046	-0.0037	-0.0342	-0.0054	-0.0013	-0.0074	0.0002	-0.0238	-0.005	-0.0267	0.0002
covar_vc_estimate_se	0.0411	0.0422	0.0212	0.0247	0.0173	0.0194	0.0239	0.0237	0.0172	0.0216	0.0183	0.0256	0.0181	0.0224	0.0179	0.0188	0.027	0.0191	0.0204	0.0183	0.0182	0.0245	0.022	0.0202	0.0221	0.0186	0.02	0.0273	0.0183	0.0183	0.0206	0.0249	0.018	0.0177	0.0187	0.0199	0.0196	0.0188	0.0244	0.0159	0.0202	0.024	0.019	0.0174	0.0197	0.02	0.0197	0.0183	0.0175	0.0172	0.0233	0.0169	0.0188	0.0184	0.0195	0.0188	0.0194	0.0193	0.0192	0.021	0.0177	0.0174	0.0195	0.0241	0.0216	0.0191	0.0176	0.0193	0.0193	0.0233	0.0204	0.0238	0.0197	0.0197	0.0179	0.0273	0.0244	0.025	0.0242	0.02	0.0198	0.0211	0.0211	0.0234	0.0169	0.0185	0.0184	0.0194	0.0173	0.0182	0.0191	0.019	0.0172	0.0231	0.0188	0.0204	0.0188	0.0207	0.0179	0.0178
covar_vc_pvals	0.185	0.003	0.458	0.01	0.136	0.453	0.197	0.098	0.396	0.004	0.115	0.14	0.086	0.006	0.099	0.075	0.138	0.283	0.031	0.437	0.277	0.161	0.485	0.244	0.37	0.308	0.212	0.113	0.437	0.073	0.16	0.245	0.185	0.199	0.022	0.287	0.15	0.208	0.484	0.115	0.358	0.372	0.488	0.108	0.072	0.255	0.175	0.01	0.074	0.025	0.239	0.207	0.213	0.428	0.07	0.109	0.244	0.174	0.205	0.435	0.387	0.005	0.301	0.188	0.083	0.161	0.141	0.361	0.05	0.149	0.238	0.027	0.059	0.401	0.469	0.307	0.289	0.295	0.422	0.007	0.073	0.164	0.359	0.146	0.08	0.314	0.395	0.365	0.401	0.403	0.311	0.023	0.224	0.454	0.35	0.301	0.263	0.038	0.2	0.102
upper975_perm_covar	0.0686	0.0404	0.0089	0.0066	0.0042	0.002	0.0063	0.0085	0.002	0.0081	0.0012	0.0071	0.0168	0.0095	0.0086	0.0023	0.0011	0.0092	0.0032	0.0026	0.0021	0.0043	0.0028	0.002	0.0039	0.0027	0.0106	0.0004	0.0015	0.0087	0.0102	0.0111	0.0009	0.0012	0.0042	0.0026	0.0183	0.0119	0.0065	0.0013	0.0068	0.0047	0.0028	0.0037	0.0026	0.0065	0.0072	0.01	0.0037	0.0022	0.0084	0.0079	0.0054	0.0007	0.0104	0.0048	0.0081	0.0036	0.001	0.0019	0.0023	0.0017	0.0123	0.0053	0.0069	-0.0049	0.0046	0.0021	0.0024	0.0031	0.0105	0.0077	0.0043	0.0071	0.0012	0.0013	0.0021	0.0035	0.0023	0.0073	0.005	0.0027	0.0067	0.006	0.0059	0.0045	0.0045	0.006	0.0034	0.004	0.0069	0.0064	0.002	0.003	0.0059	0.0016	0.0077	0.0022	0.0086	0.001
lower025_perm_covar	-0.7525	-0.3414	-0.2124	-0.1589	-0.0299	-0.0533	-0.0599	-0.0563	-0.0385	-0.0441	-0.0183	-0.0572	-0.0856	-0.058	-0.0285	-0.0375	-0.0154	-0.0406	-0.0429	-0.0218	-0.0205	-0.0232	-0.0347	-0.0365	-0.0266	-0.0447	-0.0874	-0.0422	-0.0478	-0.076	-0.0797	-0.0444	-0.0245	-0.0206	-0.0138	-0.0415	-0.0668	-0.0792	-0.0193	-0.0096	-0.0502	-0.0252	-0.0221	-0.0381	-0.0768	-0.027	-0.0451	-0.0747	-0.0167	-0.0124	-0.038	-0.0326	-0.0458	-0.0155	-0.1009	-0.0325	-0.0338	-0.0435	-0.0496	-0.0123	-0.0273	-0.022	-0.0997	-0.046	-0.0592	-0.1054	-0.0241	-0.0218	-0.0933	-0.062	-0.0409	-0.0277	-0.0303	-0.0291	-0.0159	-0.093	-0.0205	-0.0358	-0.0185	-0.1416	-0.0408	-0.0364	-0.0314	-0.0179	-0.0759	-0.031	-0.0308	-0.0345	-0.0234	-0.0647	-0.0613	-0.0624	-0.024	-0.0173	-0.0834	-0.0035	-0.0939	-0.0103	-0.094	-0.0119
