	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.0029	0.0271	-0.0061	0.0057	0.0132	0.0013	-0.0031	-0.0014	-0.0027	-0.006	-0.0078	-0.0051	-0.0057	0.0063	0.0239	0.0075	-0.0092	-0.0036	-0.0003	0.0072	-0.0048	-0.0031	0.0244	-0.0068	0.0083	-0.0042	0.0395	-0.007	0.0124	-0.0056	0.0112	-0.0038	-0.0072	-0.0105	-0.0057	0.002	-0.004	-0.0079	-0.0028	-0.0008	-0.0012	0.0006	-0.0021	0.0144	-0.0011	-0.0035	0.0054	-0.0008	-0.0052	0.007	0.0156	0.0425	0.0023	-0.0064	-0.0038	-0.0018	-0.0076	-0.0052	-0.0099	0.0356	-0.0075	0.0015	0.0075	0.0047	-0.0002	0.0044	-0.0048	0.0077	0.0105	0.0003	-0.0025	0.0084	-0.0018	-0.004	-0.0026	0.05	-0.0055	-0.0036	0.0018	0.0048	-0.0052	-0.005	-0.0046	-0.0031	-0.0031	0.0073	0.0137	-0.0028	-0.0031	-0.0046	-0.0036	-0.0029	-0.0004	-0.0042	0.0005	-0.0045	-0.0046	-0.0043	0.0129	-0.0053
direct_vc_estimate_se	0.0062	0.0034	0.0022	0.0016	0.0026	0.0027	0.0016	0.0015	0.0021	0.0023	0.0032	0.0023	0.0027	0.0023	0.0024	0.0013	0.0034	0.0025	0.0025	0.0022	0.0018	0.0025	0.003	0.0026	0.0037	0.0019	0.0018	0.0025	0.0028	0.003	0.0019	0.0015	0.0036	0.0043	0.002	0.0033	0.002	0.0028	0.0017	0.0021	0.0022	0.0022	0.0017	0.0021	0.002	0.0014	0.0023	0.0017	0.0018	0.0018	0.0015	0.0014	0.0015	0.0031	0.0017	0.0015	0.0028	0.0023	0.0035	0.0024	0.0026	0.0018	0.0016	0.0023	0.0023	0.0018	0.0021	0.0017	0.002	0.0029	0.0009	0.0019	0.002	0.0021	0.0031	0.0016	0.0023	0.0012	0.0027	0.0015	0.0018	0.0024	0.0016	0.0017	0.0021	0.0022	0.0018	0.0014	0.0021	0.0017	0.0015	0.0015	0.0021	0.0015	0.0014	0.0026	0.002	0.0022	0.0022	0.0019
direct_vc_pvals	0.518	0.041	0.87	0.29	0.125	0.529	0.663	0.554	0.575	0.837	0.621	0.72	0.715	0.166	0.267	0.183	0.891	0.679	0.397	0.516	0.871	0.572	0.224	0.792	0.453	0.643	0.085	0.953	0.186	0.691	0.21	0.781	0.623	0.658	0.955	0.426	0.738	0.985	0.645	0.399	0.402	0.472	0.506	0.259	0.618	0.829	0.257	0.566	0.971	0.307	0.129	0.001	0.294	0.7	0.752	0.594	0.796	0.724	0.925	0.068	0.947	0.414	0.179	0.368	0.554	0.392	0.711	0.141	0.247	0.556	0.866	0.491	0.595	0.644	0.406	0.042	0.746	0.988	0.528	0.174	0.948	0.694	0.984	0.73	0.506	0.278	0.26	0.723	0.65	0.876	0.84	0.505	0.676	0.841	0.215	0.456	0.77	0.602	0.138	0.916
upper95_perm_direct	0.1171	0.0318	0.0242	0.0264	0.0287	0.0509	0.0291	0.0244	0.0297	0.0473	0.0123	0.0259	0.0522	0.0221	0.0573	0.0231	0.0609	0.064	0.0287	0.0524	0.0368	0.0339	0.073	0.0287	0.1081	0.0189	0.0574	0.0443	0.0358	0.0254	0.0367	0.0182	0.0388	0.0198	0.0506	0.0524	0.0489	0.0315	0.0312	0.028	0.0226	0.0411	0.013	0.0512	0.0358	0.036	0.0288	0.0323	0.0242	0.0411	0.0292	0.0181	0.0191	0.0538	0.046	0.0245	0.0135	0.0296	0.0677	0.0483	0.0144	0.0356	0.0222	0.0546	0.0437	0.0474	0.0385	0.0212	0.0387	0.0644	0.0047	0.0799	0.0531	0.0282	0.0205	0.0557	0.0365	0.0265	0.0789	0.0164	0.0399	0.0438	0.006	0.0467	0.0225	0.0386	0.0463	0.0259	0.044	0.0263	0.0221	0.0065	0.0628	0.0151	0.0081	0.011	0.0523	0.0227	0.0308	0.0561
lower0_perm_direct	-0.0276	-0.0156	-0.0099	-0.0071	-0.0116	-0.0117	-0.0072	-0.0068	-0.009	-0.0109	-0.0146	-0.0106	-0.0122	-0.0104	-0.01	-0.006	-0.0152	-0.0112	-0.0116	-0.0097	-0.0083	-0.0112	-0.0137	-0.0115	-0.0168	-0.0091	-0.0082	-0.0116	-0.0127	-0.0135	-0.0081	-0.0066	-0.0165	-0.0198	-0.0089	-0.0147	-0.0091	-0.0123	-0.0078	-0.0101	-0.0105	-0.0096	-0.0076	-0.0091	-0.0087	-0.0063	-0.0105	-0.0077	-0.0081	-0.0081	-0.0065	-0.0065	-0.0064	-0.0137	-0.0075	-0.007	-0.0125	-0.0106	-0.0161	-0.0102	-0.0122	-0.0081	-0.0072	-0.0104	-0.0107	-0.008	-0.0096	-0.0079	-0.0092	-0.0127	-0.004	-0.0086	-0.0096	-0.0094	-0.0138	-0.0071	-0.0103	-0.0055	-0.0119	-0.0071	-0.0081	-0.0108	-0.0072	-0.0074	-0.0096	-0.0102	-0.0083	-0.0061	-0.0098	-0.0074	-0.0065	-0.0068	-0.009	-0.0071	-0.0068	-0.0121	-0.009	-0.0102	-0.0095	-0.0086
sad_vc_estimate	-0.0175	-0.0009	-0.006	0.0166	0.0487	0.0089	-0.0045	-0.0039	0.0189	-0.005	0.0159	0.0031	0.0	-0.0008	0.0853	0.0105	0.0206	-0.0071	0.015	-0.0038	-0.0045	0.0134	0.025	-0.0069	0.0327	-0.0028	0.0845	-0.0063	0.0376	0.0319	0.0002	-0.0018	-0.0028	-0.0058	0.0022	0.028	0.0142	-0.0072	0.0031	-0.0019	0.0119	0.0044	-0.0048	0.0316	0.0029	-0.0021	0.0158	-0.001	-0.0052	0.0209	0.0152	0.0521	-0.0002	-0.0065	-0.0039	0.0026	0.0047	0.013	-0.0087	0.0517	0.0023	0.0124	0.0249	0.0212	-0.006	0.0134	-0.0017	0.0261	0.0248	0.0273	-0.0002	0.027	0.0193	-0.0055	-0.0009	0.059	-0.005	-0.0032	-0.0048	0.0128	-0.0043	-0.0001	-0.0041	-0.0016	0.0031	0.0162	0.0172	-0.0036	0.0021	0.0006	-0.0039	0.0013	-0.0007	0.0063	0.0001	0.0141	-0.0038	-0.0059	0.02	-0.0052
sad_vc_estimate_se	0.0062	0.0034	0.0022	0.0016	0.0026	0.0027	0.0016	0.0015	0.0021	0.0023	0.0032	0.0023	0.0028	0.0023	0.0024	0.0013	0.0034	0.0025	0.0025	0.0022	0.0018	0.0025	0.003	0.0026	0.0037	0.002	0.0018	0.0025	0.0029	0.003	0.0019	0.0015	0.0036	0.0043	0.002	0.0033	0.002	0.0028	0.0017	0.0021	0.0022	0.0022	0.0017	0.0021	0.002	0.0014	0.0023	0.0017	0.0018	0.0018	0.0015	0.0014	0.0015	0.0031	0.0017	0.0015	0.0028	0.0023	0.0036	0.0024	0.0026	0.0018	0.0016	0.0023	0.0023	0.0018	0.0021	0.0017	0.002	0.0029	0.0009	0.002	0.002	0.0021	0.0031	0.0016	0.0023	0.0012	0.0027	0.0015	0.0018	0.0024	0.0016	0.0017	0.0021	0.0022	0.0018	0.0014	0.0021	0.0017	0.0015	0.0015	0.0021	0.0015	0.0014	0.0026	0.002	0.0022	0.0022	0.0019
sad_vc_pvals	0.948	0.534	0.904	0.225	0.118	0.473	0.971	0.862	0.25	0.787	0.272	0.463	0.594	0.461	0.075	0.244	0.318	0.978	0.259	0.858	0.861	0.346	0.348	0.888	0.404	0.6	0.034	0.816	0.157	0.222	0.594	0.664	0.615	0.667	0.57	0.283	0.351	0.869	0.466	0.549	0.27	0.463	0.961	0.217	0.592	0.739	0.269	0.662	0.995	0.249	0.259	0.002	0.512	0.769	0.823	0.422	0.471	0.385	0.844	0.098	0.608	0.273	0.162	0.251	0.889	0.313	0.657	0.044	0.17	0.346	0.306	0.388	0.274	0.87	0.537	0.088	0.808	0.848	0.761	0.093	0.807	0.551	0.71	0.66	0.45	0.306	0.315	0.883	0.591	0.56	0.877	0.362	0.748	0.324	0.43	0.194	0.743	0.898	0.193	0.908
upper95_perm_sad	0.2301	0.0726	0.0631	0.0481	0.0881	0.0868	0.0487	0.0421	0.075	0.0643	0.069	0.07	0.0696	0.0325	0.1176	0.0412	0.1023	0.1105	0.0614	0.1024	0.0705	0.0949	0.1209	0.077	0.1678	0.0329	0.0926	0.0536	0.0876	0.0829	0.0602	0.0434	0.1333	0.1022	0.0724	0.1209	0.0863	0.1056	0.0571	0.0405	0.0525	0.0594	0.0411	0.0885	0.0695	0.0646	0.0737	0.0572	0.0402	0.076	0.0431	0.0261	0.0307	0.0914	0.0851	0.0358	0.0614	0.0815	0.1362	0.0835	0.0668	0.0508	0.0545	0.0741	0.0874	0.0694	0.0731	0.0294	0.0618	0.138	0.0071	0.1176	0.0746	0.0498	0.0769	0.0862	0.0813	0.0398	0.1309	0.021	0.0745	0.0767	0.0116	0.06	0.0565	0.0858	0.0844	0.0387	0.0967	0.0621	0.0486	0.0223	0.1046	0.0444	0.0207	0.0457	0.0774	0.0747	0.057	0.0863
lower0_perm_sad	-0.0282	-0.0155	-0.01	-0.0073	-0.0115	-0.012	-0.0073	-0.0066	-0.0093	-0.0103	-0.0146	-0.0105	-0.0126	-0.0103	-0.0105	-0.006	-0.0149	-0.0112	-0.0111	-0.0094	-0.0081	-0.0112	-0.0135	-0.0112	-0.0162	-0.0091	-0.0077	-0.0109	-0.0133	-0.0136	-0.008	-0.0067	-0.0157	-0.0191	-0.0088	-0.0151	-0.0091	-0.0125	-0.0078	-0.0099	-0.0101	-0.0097	-0.0075	-0.009	-0.009	-0.0066	-0.0105	-0.0076	-0.008	-0.0081	-0.007	-0.0063	-0.0066	-0.0136	-0.0076	-0.0068	-0.0125	-0.0106	-0.0157	-0.0112	-0.0117	-0.0079	-0.0074	-0.0107	-0.0103	-0.0079	-0.0096	-0.008	-0.009	-0.0128	-0.004	-0.0086	-0.0092	-0.0093	-0.0141	-0.0069	-0.01	-0.0057	-0.0117	-0.0069	-0.0082	-0.011	-0.0073	-0.0077	-0.0092	-0.0098	-0.0082	-0.0062	-0.0098	-0.0077	-0.0067	-0.0065	-0.0095	-0.0069	-0.0064	-0.0114	-0.0094	-0.0098	-0.0102	-0.0082
covar_vc_estimate	0.0306	-0.0168	0.0121	-0.0204	-0.0532	-0.0091	0.0093	0.0066	-0.006	0.0112	0.0066	0.0057	0.0075	-0.0041	-0.0927	-0.0179	0.012	0.0148	-0.0103	0.0011	0.0112	-0.0039	-0.0494	0.0156	-0.036	0.0072	-0.1163	0.0137	-0.0451	-0.005	-0.0084	0.0065	0.0298	0.0177	0.0104	-0.0225	-0.0002	0.0159	0.0016	0.0028	-0.0067	-0.0046	0.009	-0.0433	-0.0012	0.0061	-0.0196	0.0018	0.0104	-0.0253	-0.0308	-0.0941	-0.0019	0.0128	0.0077	0.0003	0.0115	0.0029	0.0191	-0.086	0.0162	-0.0114	-0.0286	-0.0222	0.009	-0.0164	0.0075	-0.0297	-0.0331	-0.0183	0.0059	-0.0316	-0.0084	0.0101	0.0036	-0.1087	0.0106	0.0071	0.0049	-0.0163	0.0109	0.0066	0.0092	0.0049	0.0017	-0.0224	-0.0307	0.0067	0.0023	0.0073	0.0075	0.0031	0.0011	0.0061	-0.0005	-0.0008	0.0085	0.0107	-0.0323	0.0115
covar_vc_estimate_se	0.2674	0.1986	0.1581	0.1359	0.1733	0.1751	0.1348	0.1307	0.1536	0.1622	0.1913	0.1628	0.1777	0.1626	0.1652	0.1235	0.1973	0.1694	0.1704	0.1583	0.1436	0.1692	0.1843	0.1715	0.2053	0.1495	0.1433	0.1681	0.1809	0.1863	0.146	0.1305	0.2025	0.223	0.1521	0.195	0.1517	0.1783	0.1393	0.1567	0.16	0.1582	0.1387	0.1545	0.1502	0.1283	0.1638	0.1408	0.1442	0.1448	0.13	0.128	0.1298	0.1876	0.1408	0.1317	0.1797	0.1621	0.202	0.1646	0.1742	0.1441	0.1363	0.1631	0.1635	0.1437	0.1563	0.141	0.1517	0.1819	0.102	0.1497	0.1526	0.1539	0.1883	0.1352	0.162	0.1196	0.1748	0.1322	0.1449	0.1654	0.1354	0.1396	0.1552	0.1588	0.1445	0.1255	0.1559	0.1394	0.1302	0.1298	0.1559	0.1325	0.1287	0.1721	0.1523	0.1597	0.1572	0.1489
covar_vc_pvals	0.084	0.251	0.122	0.24	0.101	0.432	0.059	0.142	0.464	0.084	0.462	0.337	0.221	0.326	0.1	0.197	0.215	0.027	0.34	0.16	0.026	0.495	0.268	0.153	0.488	0.266	0.016	0.062	0.133	0.422	0.458	0.162	0.062	0.359	0.079	0.37	0.355	0.178	0.36	0.427	0.352	0.443	0.151	0.207	0.283	0.104	0.226	0.264	0.07	0.302	0.123	0.0	0.461	0.166	0.109	0.395	0.339	0.367	0.09	0.042	0.139	0.364	0.146	0.34	0.147	0.39	0.208	0.047	0.187	0.486	0.057	0.488	0.476	0.166	0.493	0.02	0.176	0.045	0.215	0.077	0.098	0.281	0.104	0.144	0.461	0.309	0.287	0.108	0.287	0.177	0.073	0.469	0.182	0.275	0.334	0.32	0.127	0.186	0.148	0.027
upper975_perm_covar	0.0498	0.0344	0.0194	0.0141	0.0297	0.0201	0.0126	0.0134	0.0197	0.0174	0.0346	0.0243	0.0228	0.0192	0.0183	0.0113	0.0302	0.0191	0.023	0.0167	0.0136	0.026	0.0277	0.0277	0.0304	0.0165	0.0128	0.0206	0.0281	0.0333	0.0223	0.0126	0.0448	0.0508	0.0166	0.0303	0.0194	0.0305	0.0163	0.0182	0.0238	0.0172	0.0165	0.0182	0.0154	0.0115	0.0255	0.0137	0.0148	0.0146	0.0107	0.0116	0.0136	0.0274	0.014	0.0122	0.0331	0.023	0.0313	0.0191	0.0322	0.0149	0.0174	0.0184	0.018	0.0139	0.019	0.0138	0.0151	0.0243	0.0076	0.0129	0.0167	0.0193	0.0354	0.0108	0.0229	0.0097	0.0198	0.0153	0.0175	0.022	0.0145	0.0126	0.0243	0.0204	0.0157	0.0116	0.0199	0.015	0.0123	0.0144	0.0179	0.0155	0.0122	0.0243	0.0154	0.0228	0.0185	0.0149
lower025_perm_covar	-0.319	-0.0966	-0.0809	-0.0729	-0.1257	-0.1156	-0.0689	-0.057	-0.1007	-0.1031	-0.0708	-0.0877	-0.1044	-0.0431	-0.156	-0.0631	-0.1537	-0.1599	-0.0791	-0.1322	-0.1056	-0.1129	-0.1885	-0.1026	-0.2505	-0.0449	-0.1298	-0.0866	-0.1226	-0.0912	-0.0886	-0.0598	-0.157	-0.1078	-0.1122	-0.1553	-0.1263	-0.1292	-0.0781	-0.0607	-0.0616	-0.0893	-0.0557	-0.1232	-0.0983	-0.0875	-0.0942	-0.0851	-0.0555	-0.1045	-0.0669	-0.0408	-0.0452	-0.1297	-0.123	-0.0552	-0.0708	-0.0967	-0.1763	-0.1254	-0.0743	-0.0735	-0.0704	-0.1111	-0.1172	-0.1023	-0.1057	-0.0432	-0.085	-0.1927	-0.0098	-0.1785	-0.1134	-0.0766	-0.0837	-0.1279	-0.1039	-0.0598	-0.1731	-0.0321	-0.1026	-0.1041	-0.0186	-0.0987	-0.0723	-0.1204	-0.1224	-0.0589	-0.1208	-0.085	-0.0618	-0.0271	-0.1538	-0.0543	-0.0253	-0.0576	-0.121	-0.0857	-0.0813	-0.126
