	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.3019	0.0721	0.0069	-0.0011	-0.0017	-0.0002	0.0027	-0.0004	-0.0	0.0052	-0.0008	-0.0007	0.0032	0.0012	0.002	-0.0008	0.0007	0.0002	-0.0006	-0.0006	0.0002	-0.0001	0.0026	0.0042	-0.0006	0.0002	0.0092	0.0026	0.0029	0.0016	0.0071	0.0119	0.0004	0.0052	0.001	-0.0007	0.0003	0.0018	0.0025	0.0025	0.0008	0.0011	-0.0003	-0.0006	0.0045	-0.0005	0.0015	-0.0002	0.0005	-0.0004	-0.0007	-0.0	-0.0001	0.0021	0.0013	0.0032	0.0003	-0.0003	0.002	0.0015	0.0041	-0.0006	-0.0005	0.0033	0.0019	0.0009	0.002	-0.0004	0.0028	0.0013	0.001	0.0001	0.003	-0.0003	0.0014	0.0018	-0.0005	0.0104	0.0024	-0.0006	-0.0006	0.0062	0.0012	0.0014	0.0071	-0.0001	0.002	0.0001	-0.0005	-0.0006	0.0009	-0.0004	0.0071	-0.0005	0.0012	0.0065	-0.0002	0.003	-0.0002	0.002
direct_vc_estimate_se	0.0933	0.0435	0.0188	0.0134	0.0028	0.0031	0.0017	0.0012	0.0014	0.0013	0.0013	0.0011	0.0012	0.0012	0.0011	0.0013	0.001	0.001	0.001	0.001	0.001	0.0008	0.0011	0.0012	0.001	0.0011	0.0009	0.001	0.0012	0.0014	0.0018	0.0011	0.0011	0.0009	0.0012	0.0011	0.0011	0.0015	0.0009	0.0011	0.001	0.001	0.0011	0.0009	0.0013	0.001	0.0012	0.0009	0.0012	0.001	0.0011	0.001	0.0011	0.0011	0.0011	0.0009	0.001	0.0009	0.0009	0.001	0.0011	0.0011	0.0009	0.0009	0.0009	0.001	0.001	0.0009	0.001	0.001	0.001	0.0009	0.001	0.001	0.0009	0.0011	0.001	0.0011	0.0009	0.001	0.0009	0.0009	0.0009	0.0009	0.0011	0.001	0.0011	0.0011	0.0009	0.001	0.001	0.001	0.0008	0.0009	0.0009	0.001	0.0009	0.001	0.001	0.0009
direct_vc_pvals	0.09	0.319	0.481	0.571	0.871	0.589	0.238	0.723	0.651	0.185	0.941	0.892	0.161	0.334	0.246	0.993	0.426	0.599	0.982	0.861	0.537	0.578	0.193	0.159	0.985	0.535	0.059	0.152	0.271	0.378	0.157	0.007	0.461	0.066	0.616	0.896	0.513	0.397	0.236	0.194	0.438	0.347	0.645	0.888	0.088	0.857	0.322	0.759	0.558	0.655	0.962	0.55	0.687	0.269	0.382	0.285	0.54	0.697	0.276	0.374	0.175	0.883	0.81	0.15	0.199	0.483	0.22	0.787	0.143	0.379	0.373	0.565	0.269	0.659	0.242	0.362	0.858	0.059	0.178	0.951	0.92	0.132	0.219	0.376	0.094	0.706	0.25	0.6	0.956	0.897	0.305	0.757	0.101	0.88	0.324	0.06	0.626	0.344	0.595	0.156
upper95_perm_direct	0.4564	0.4577	0.1317	0.0816	0.0189	0.0231	0.0093	0.0123	0.0159	0.0127	0.0162	0.0112	0.0076	0.0084	0.0079	0.0088	0.0076	0.0124	0.0105	0.0101	0.0091	0.005	0.0076	0.0086	0.0059	0.0092	0.0109	0.0054	0.0114	0.0118	0.0157	0.0067	0.0083	0.006	0.0237	0.0098	0.0093	0.0147	0.0092	0.0066	0.0091	0.0075	0.0092	0.0056	0.0068	0.0103	0.0086	0.0123	0.0147	0.0053	0.0115	0.0078	0.0124	0.0086	0.0093	0.0104	0.0085	0.0058	0.0093	0.0106	0.0097	0.0078	0.0074	0.0076	0.0055	0.011	0.0074	0.0093	0.0063	0.0099	0.0082	0.0076	0.0111	0.0068	0.0057	0.0126	0.0077	0.0121	0.0064	0.0066	0.0061	0.0106	0.0041	0.0091	0.0106	0.0144	0.0073	0.0112	0.0063	0.0136	0.005	0.0094	0.0113	0.0044	0.0074	0.0076	0.0055	0.0127	0.006	0.0049
lower0_perm_direct	-0.0784	-0.0355	-0.0158	-0.0116	-0.0023	-0.0026	-0.0015	-0.001	-0.0012	-0.0011	-0.0011	-0.0009	-0.001	-0.0011	-0.0009	-0.0011	-0.0008	-0.0009	-0.0008	-0.0009	-0.0008	-0.0007	-0.0009	-0.0011	-0.0008	-0.0009	-0.0008	-0.0009	-0.001	-0.0011	-0.0015	-0.001	-0.0009	-0.0007	-0.001	-0.0009	-0.0009	-0.0012	-0.0008	-0.0009	-0.0008	-0.0008	-0.0009	-0.0008	-0.0011	-0.0008	-0.001	-0.0007	-0.001	-0.0009	-0.0009	-0.0009	-0.001	-0.001	-0.0009	-0.0007	-0.0008	-0.0007	-0.0007	-0.0009	-0.0009	-0.0009	-0.0008	-0.0007	-0.0008	-0.0009	-0.0009	-0.0007	-0.0008	-0.0008	-0.0009	-0.0008	-0.0008	-0.0008	-0.0008	-0.0009	-0.0008	-0.001	-0.0008	-0.0008	-0.0007	-0.0008	-0.0008	-0.0008	-0.0009	-0.0008	-0.0009	-0.001	-0.0007	-0.0008	-0.0008	-0.0008	-0.0007	-0.0007	-0.0008	-0.0009	-0.0008	-0.0009	-0.0008	-0.0007
sad_vc_estimate	0.5991	-0.0155	0.0539	-0.0069	-0.0014	0.0066	0.0058	0.0014	-0.0003	0.0085	-0.0007	0.0001	0.0082	0.0069	0.0048	-0.0007	0.001	0.0006	-0.0005	0.0003	0.0019	0.0021	0.0015	0.0059	0.0008	0.007	0.0088	0.0077	0.0032	0.0064	-0.0006	0.0116	-0.0002	0.0135	0.0071	0.0025	-0.0007	-0.0006	0.001	-0.0001	0.0003	0.0075	-0.0003	-0.0003	0.0078	0.0018	0.0229	0.0011	0.0005	0.0041	-0.0007	-0.0007	0.0004	0.0041	0.0027	0.0084	0.0023	-0.0003	-0.0001	0.0076	0.0017	0.0009	0.0012	0.0062	0.0018	-0.0001	0.0024	-0.0006	0.0053	0.0108	0.006	-0.0004	0.0135	0.0007	0.0002	0.004	-0.0006	0.0089	0.0116	0.0002	-0.0006	0.0089	0.0077	0.0043	0.0071	0.0048	0.0127	-0.0001	-0.0005	-0.0006	0.0053	-0.0002	0.0103	0.0006	-0.0005	0.0136	-0.0006	0.0097	0.0003	0.0007
sad_vc_estimate_se	0.0942	0.0439	0.019	0.0135	0.0028	0.0032	0.0017	0.0012	0.0014	0.0013	0.0013	0.0011	0.0012	0.0012	0.0011	0.0013	0.001	0.0011	0.001	0.001	0.001	0.0008	0.0011	0.0012	0.001	0.0012	0.001	0.001	0.0012	0.0014	0.0019	0.0011	0.0011	0.0009	0.0012	0.0011	0.0011	0.0015	0.0009	0.0011	0.001	0.001	0.0011	0.0009	0.0013	0.001	0.0012	0.0009	0.0012	0.001	0.0011	0.0011	0.0012	0.0012	0.0011	0.0009	0.001	0.0009	0.0009	0.0011	0.0011	0.0011	0.0009	0.0009	0.0009	0.0011	0.0011	0.0009	0.001	0.001	0.0011	0.001	0.001	0.001	0.001	0.0011	0.001	0.0011	0.0009	0.001	0.0009	0.0009	0.0009	0.0009	0.0011	0.001	0.0011	0.0011	0.0009	0.001	0.001	0.001	0.0008	0.0009	0.001	0.0011	0.0009	0.001	0.001	0.0009
sad_vc_pvals	0.076	0.778	0.382	0.854	0.81	0.435	0.218	0.55	0.773	0.174	0.912	0.711	0.13	0.145	0.19	0.869	0.505	0.672	0.902	0.634	0.483	0.278	0.506	0.263	0.519	0.241	0.18	0.093	0.457	0.281	0.739	0.056	0.728	0.032	0.431	0.407	0.988	0.764	0.576	0.729	0.684	0.155	0.809	0.752	0.083	0.528	0.029	0.585	0.686	0.278	0.959	0.971	0.697	0.264	0.481	0.226	0.44	0.772	0.745	0.223	0.509	0.595	0.488	0.151	0.308	0.718	0.342	0.982	0.201	0.149	0.214	0.802	0.115	0.528	0.641	0.383	0.958	0.234	0.052	0.672	0.936	0.201	0.051	0.266	0.241	0.365	0.029	0.694	0.946	0.986	0.167	0.73	0.182	0.501	0.871	0.057	0.925	0.259	0.626	0.486
upper95_perm_sad	0.7916	0.6431	0.326	0.2202	0.0341	0.0493	0.0189	0.0215	0.0299	0.0203	0.0333	0.0224	0.0153	0.0134	0.0135	0.0168	0.0142	0.0273	0.02	0.0171	0.0208	0.0092	0.0159	0.0197	0.0132	0.0209	0.0196	0.0121	0.0254	0.0239	0.0219	0.0141	0.0148	0.0123	0.0436	0.0176	0.021	0.0192	0.0181	0.0148	0.0221	0.0167	0.0238	0.0109	0.01	0.0214	0.02	0.0204	0.0336	0.0152	0.0208	0.0156	0.0294	0.0148	0.0234	0.0233	0.0172	0.0126	0.0165	0.022	0.0188	0.0219	0.0146	0.0129	0.0076	0.0174	0.0153	0.019	0.0152	0.0217	0.02	0.0164	0.0222	0.0142	0.0144	0.0255	0.0158	0.0274	0.0127	0.0155	0.0127	0.0227	0.0085	0.0142	0.0248	0.0234	0.0116	0.0183	0.0164	0.0274	0.012	0.0149	0.0218	0.0099	0.0139	0.0162	0.011	0.0275	0.0135	0.0104
lower0_perm_sad	-0.0789	-0.0373	-0.0162	-0.0114	-0.0024	-0.0026	-0.0014	-0.001	-0.0012	-0.0011	-0.0011	-0.0009	-0.001	-0.0011	-0.0009	-0.0011	-0.0008	-0.0009	-0.0009	-0.0009	-0.0008	-0.0007	-0.0009	-0.001	-0.0008	-0.0009	-0.0008	-0.0008	-0.001	-0.0012	-0.0015	-0.001	-0.0009	-0.0007	-0.001	-0.001	-0.0009	-0.0012	-0.0008	-0.0009	-0.0008	-0.0008	-0.0009	-0.0008	-0.0011	-0.0008	-0.001	-0.0007	-0.001	-0.0009	-0.0009	-0.0009	-0.001	-0.001	-0.0009	-0.0007	-0.0009	-0.0007	-0.0007	-0.0009	-0.0009	-0.0009	-0.0008	-0.0008	-0.0008	-0.0009	-0.0009	-0.0007	-0.0009	-0.0008	-0.0008	-0.0008	-0.0008	-0.0008	-0.0008	-0.0009	-0.0008	-0.001	-0.0008	-0.0008	-0.0007	-0.0008	-0.0008	-0.0007	-0.0009	-0.0008	-0.0009	-0.0009	-0.0007	-0.0008	-0.0008	-0.0009	-0.0007	-0.0007	-0.0008	-0.0009	-0.0007	-0.0009	-0.0009	-0.0007
