	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.1509	0.0112	-0.0261	-0.0185	-0.0056	0.0024	-0.003	-0.0011	-0.0024	-0.0017	0.0048	0.0015	-0.0013	0.0239	-0.0019	-0.0011	0.2116	0.811	0.003	0.0484	-0.0008	0.0016	0.0071	0.0024	0.0342	0.0115	0.0705	-0.0016	-0.0009	-0.0015	0.0025	0.0015	0.0119	-0.0003	-0.0013	-0.0015	-0.0014	0.0094	-0.0012	0.0014	-0.0011	0.001	-0.0014	0.0022	0.023	0.0006	0.0002	0.0191	0.0011	0.0078	-0.0002	0.006	-0.0015	0.0152	0.0216	0.0	-0.0015	0.0	0.001	-0.0008	-0.0018	0.0089	0.0078	-0.0009	-0.0012	0.0066	0.0038	0.0006	-0.0011	-0.0005	-0.0008	-0.0008	-0.0016	-0.0008	0.0013	0.0093	0.0045	0.012	-0.0012	-0.0015	-0.0002	-0.0006	-0.0016	-0.0004	0.0026	-0.0004	0.0027	-0.0015	0.0032	0.0	-0.0015	-0.0015	-0.0015	0.0101	-0.0008	-0.0016	-0.0013	0.0061	-0.0013	0.0101
direct_vc_estimate_se	1.2489	0.7158	0.2399	0.1989	0.0459	0.0337	0.024	0.0192	0.0187	0.0197	0.0172	0.0179	0.0186	0.0177	0.0152	0.014	0.0302	0.0598	0.0146	0.0154	0.0139	0.0148	0.0142	0.0144	0.0175	0.0138	0.0157	0.0127	0.0137	0.0128	0.0131	0.0141	0.0141	0.0134	0.0136	0.0135	0.013	0.0128	0.0133	0.0131	0.0128	0.0137	0.013	0.0131	0.0128	0.013	0.0128	0.0133	0.0142	0.0131	0.0126	0.0136	0.0125	0.0128	0.0134	0.0128	0.0134	0.0128	0.0127	0.0128	0.0138	0.0134	0.0131	0.0127	0.0126	0.0128	0.0123	0.0134	0.0125	0.0126	0.0124	0.0124	0.0131	0.0128	0.012	0.0132	0.0126	0.0123	0.0125	0.0125	0.0125	0.0127	0.0133	0.0122	0.0125	0.014	0.0125	0.0125	0.0128	0.0119	0.0124	0.0123	0.0119	0.0124	0.012	0.013	0.0122	0.0118	0.0122	0.0125
direct_vc_pvals	0.86	0.418	0.743	0.683	0.895	0.315	0.896	0.554	0.926	0.775	0.294	0.331	0.776	0.183	0.932	0.636	0.103	0.01	0.274	0.018	0.592	0.332	0.264	0.244	0.231	0.107	0.01	0.943	0.626	0.818	0.273	0.321	0.236	0.556	0.784	0.766	0.749	0.099	0.709	0.311	0.664	0.421	0.76	0.358	0.013	0.392	0.365	0.017	0.42	0.103	0.502	0.128	0.853	0.02	0.015	0.444	0.747	0.431	0.291	0.625	0.918	0.054	0.085	0.733	0.754	0.125	0.222	0.381	0.694	0.587	0.599	0.582	0.889	0.567	0.301	0.088	0.151	0.038	0.716	0.81	0.453	0.578	0.863	0.48	0.181	0.523	0.291	0.888	0.195	0.463	0.875	0.86	0.91	0.072	0.677	0.866	0.774	0.088	0.778	0.05
upper95_perm_direct	0.9829	0.723	0.1721	0.1691	0.0934	0.0283	0.0284	0.0192	0.0139	0.037	0.0285	0.0167	0.0636	0.0603	0.0134	0.0118	0.3114	0.8802	0.0183	0.0444	0.0145	0.0148	0.0304	0.0137	0.0838	0.0203	0.0595	0.0118	0.0144	0.0113	0.0137	0.0137	0.0366	0.0168	0.0224	0.0143	0.0121	0.0174	0.015	0.0119	0.0105	0.0163	0.0134	0.02	0.0153	0.0117	0.0089	0.0161	0.0185	0.0155	0.0135	0.0145	0.0145	0.0131	0.0177	0.0129	0.0132	0.01	0.01	0.0142	0.013	0.0119	0.0128	0.0184	0.0144	0.0149	0.014	0.0128	0.0135	0.0185	0.0105	0.0111	0.0186	0.0109	0.0108	0.016	0.0128	0.0136	0.0119	0.0109	0.0101	0.0132	0.0147	0.01	0.0097	0.0147	0.0143	0.0132	0.0132	0.011	0.0115	0.0134	0.0103	0.0159	0.0142	0.0117	0.0136	0.0113	0.0104	0.0128
lower0_perm_direct	-0.2443	-0.1349	-0.0457	-0.0374	-0.0088	-0.0067	-0.0046	-0.0038	-0.0036	-0.0037	-0.0032	-0.0034	-0.0035	-0.0035	-0.003	-0.0027	-0.0057	-0.011	-0.0029	-0.003	-0.0026	-0.0029	-0.0027	-0.0028	-0.0033	-0.0026	-0.0031	-0.0024	-0.0027	-0.0025	-0.0026	-0.0028	-0.0027	-0.0026	-0.0026	-0.0027	-0.0025	-0.0025	-0.0026	-0.0026	-0.0024	-0.0026	-0.0025	-0.0025	-0.0025	-0.0025	-0.0025	-0.0026	-0.0027	-0.0025	-0.0025	-0.0027	-0.0024	-0.0024	-0.0025	-0.0025	-0.0025	-0.0026	-0.0025	-0.0024	-0.0027	-0.0026	-0.0026	-0.0024	-0.0024	-0.0025	-0.0024	-0.0025	-0.0024	-0.0024	-0.0023	-0.0024	-0.0025	-0.0024	-0.0023	-0.0025	-0.0024	-0.0024	-0.0024	-0.0024	-0.0025	-0.0024	-0.0026	-0.0024	-0.0024	-0.0027	-0.0024	-0.0023	-0.0025	-0.0023	-0.0025	-0.0023	-0.0023	-0.0024	-0.0023	-0.0025	-0.0023	-0.0022	-0.0023	-0.0024
sad_vc_estimate	-0.0382	0.0373	-0.0253	0.0208	-0.0036	0.009	-0.0028	-0.0022	-0.0024	0.0012	0.0061	0.003	0.008	0.0332	-0.0019	0.0	0.4554	1.5636	0.0095	0.0726	-0.0009	0.0023	0.0111	0.0079	0.0797	0.0215	0.1072	-0.0015	-0.0011	-0.0012	0.0108	0.0059	0.0142	0.0003	0.001	-0.0017	0.0001	0.0223	-0.0017	-0.0	0.0016	0.0055	-0.0016	0.007	0.0376	0.0127	-0.0011	0.0246	-0.001	0.0144	-0.001	0.0259	0.0001	0.028	0.0334	-0.0003	-0.0011	0.0027	0.0026	0.0013	-0.0017	0.0184	0.0073	0.0042	-0.0009	0.0144	0.0041	0.0017	-0.001	-0.0012	0.0012	-0.0007	-0.0017	-0.0005	0.0004	0.0195	0.01	0.0104	-0.0015	-0.0013	-0.0001	-0.0003	-0.0009	-0.0009	0.0002	0.0044	0.0	-0.001	0.0042	0.0003	-0.0011	-0.0012	-0.0015	0.0152	0.0039	-0.0004	-0.0008	0.0117	-0.0016	0.0189
sad_vc_estimate_se	1.2595	0.7219	0.2422	0.2007	0.0464	0.034	0.0242	0.0193	0.0189	0.0199	0.0174	0.0181	0.0187	0.0179	0.0153	0.0141	0.0305	0.0604	0.0148	0.0155	0.014	0.0149	0.0143	0.0145	0.0177	0.014	0.0159	0.0128	0.0139	0.0129	0.0133	0.0142	0.0142	0.0136	0.0138	0.0136	0.0131	0.013	0.0134	0.0133	0.013	0.0138	0.0131	0.0132	0.0129	0.0132	0.013	0.0134	0.0144	0.0133	0.0127	0.0137	0.0126	0.0129	0.0135	0.0129	0.0135	0.013	0.0129	0.0129	0.0139	0.0136	0.0133	0.0128	0.0128	0.013	0.0125	0.0135	0.0126	0.0127	0.0125	0.0125	0.0132	0.0129	0.0121	0.0133	0.0127	0.0125	0.0126	0.0126	0.0126	0.0128	0.0134	0.0123	0.0126	0.0141	0.0127	0.0126	0.0129	0.012	0.0125	0.0124	0.012	0.0126	0.0121	0.0131	0.0123	0.0119	0.0123	0.0126
sad_vc_pvals	0.521	0.443	0.781	0.383	0.814	0.249	0.865	0.849	0.931	0.624	0.344	0.368	0.521	0.223	0.922	0.521	0.053	0.0	0.196	0.031	0.707	0.389	0.32	0.197	0.133	0.082	0.017	0.877	0.725	0.713	0.114	0.215	0.279	0.563	0.631	0.908	0.52	0.069	0.977	0.514	0.381	0.289	0.919	0.322	0.019	0.093	0.686	0.034	0.702	0.076	0.716	0.032	0.566	0.018	0.02	0.56	0.711	0.301	0.311	0.46	0.902	0.035	0.166	0.382	0.73	0.114	0.267	0.378	0.72	0.777	0.418	0.658	1.0	0.636	0.552	0.062	0.12	0.131	0.837	0.801	0.499	0.58	0.718	0.659	0.494	0.269	0.585	0.745	0.247	0.505	0.738	0.776	0.931	0.075	0.297	0.593	0.688	0.082	0.95	0.03
upper95_perm_sad	1.332	0.9454	0.2504	0.2522	0.1561	0.0452	0.0501	0.0264	0.0282	0.0633	0.0414	0.0274	0.1116	0.0981	0.0215	0.0159	0.5876	1.6591	0.0297	0.0798	0.0232	0.0245	0.0546	0.0247	0.1449	0.0342	0.0904	0.0204	0.0221	0.0175	0.0226	0.0228	0.0534	0.0279	0.0396	0.0225	0.018	0.0348	0.0245	0.0173	0.0215	0.0262	0.0189	0.0336	0.033	0.0219	0.014	0.0263	0.0289	0.0237	0.0228	0.0256	0.024	0.0266	0.0304	0.0196	0.0206	0.0177	0.0183	0.0239	0.0203	0.0212	0.0214	0.0287	0.026	0.0286	0.0208	0.0198	0.0213	0.0273	0.0165	0.0218	0.0378	0.0197	0.0224	0.0264	0.0202	0.0237	0.0166	0.0188	0.0128	0.0208	0.0222	0.015	0.0164	0.0219	0.0231	0.0206	0.021	0.0163	0.0175	0.0226	0.0187	0.025	0.0226	0.0202	0.0174	0.0204	0.017	0.02
lower0_perm_sad	-0.246	-0.1343	-0.0483	-0.0401	-0.0088	-0.0066	-0.0048	-0.0037	-0.0035	-0.0039	-0.0032	-0.0036	-0.0035	-0.0034	-0.0029	-0.0027	-0.0056	-0.0114	-0.0028	-0.0029	-0.0027	-0.003	-0.0027	-0.0028	-0.0034	-0.0027	-0.003	-0.0025	-0.0028	-0.0025	-0.0026	-0.0028	-0.0028	-0.0027	-0.0026	-0.0026	-0.0025	-0.0024	-0.0025	-0.0025	-0.0025	-0.0026	-0.0025	-0.0025	-0.0025	-0.0025	-0.0025	-0.0026	-0.0028	-0.0025	-0.0024	-0.0026	-0.0024	-0.0025	-0.0025	-0.0025	-0.0026	-0.0026	-0.0024	-0.0025	-0.0027	-0.0026	-0.0025	-0.0024	-0.0024	-0.0024	-0.0024	-0.0025	-0.0025	-0.0024	-0.0024	-0.0024	-0.0025	-0.0024	-0.0023	-0.0025	-0.0025	-0.0023	-0.0025	-0.0025	-0.0025	-0.0024	-0.0026	-0.0024	-0.0024	-0.0027	-0.0024	-0.0024	-0.0024	-0.0023	-0.0024	-0.0024	-0.0023	-0.0024	-0.0023	-0.0025	-0.0025	-0.0023	-0.0023	-0.0024
