	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.0315	-0.016	0.0574	-0.002	0.0191	-0.0015	0.0021	-0.0005	0.0028	-0.0008	0.0117	-0.0011	0.0003	-0.0002	0.0059	0.0036	-0.0004	-0.0009	-0.0004	0.0022	0.0014	0.0015	0.0065	0.0006	0.0008	-0.0002	-0.0009	-0.0001	-0.0006	-0.0003	0.0006	0.0063	0.0001	-0.0024	0.0021	0.009	-0.0001	0.0066	-0.0004	0.0016	0.0017	0.0047	0.001	0.0051	0.001	0.0111	0.0094	0.0049	0.0034	0.0024	0.0014	0.0018	0.0002	0.0053	0.0061	-0.0002	-0.0007	0.0005	0.0004	0.001	-0.0004	0.0081	-0.0007	-0.0004	-0.0004	-0.0	0.0047	-0.0008	0.0015	0.0032	-0.0003	0.0007	0.002	0.0015	-0.0003	0.0006	0.0008	0.0114	-0.0003	-0.0016	-0.0004	-0.0004	-0.0003	0.0	0.0078	0.0021	-0.002	-0.0004	0.0042	-0.0005	-0.0001	0.0007	0.0026	0.0011	0.0037	-0.0012	0.002	0.0002	-0.0004	0.0053
direct_vc_estimate_se	0.0173	0.0072	0.0023	0.0036	0.0024	0.0005	0.0002	0.0002	0.0002	0.0006	0.0004	0.0005	0.0002	0.0001	0.0002	0.0001	0.0001	0.0003	0.0001	0.0003	0.0002	0.0002	0.0004	0.0001	0.0001	0.0001	0.0003	0.0003	0.0002	0.0001	0.0002	0.0002	0.0001	0.0008	0.0001	0.0002	0.0001	0.0006	0.0004	0.0002	0.0001	0.0002	0.0001	0.0003	0.0002	0.0001	0.0007	0.0002	0.0002	0.0001	0.0004	0.0002	0.0001	0.0001	0.0001	0.0002	0.0003	0.0002	0.0001	0.0002	0.0002	0.0002	0.0002	0.0002	0.0003	0.0001	0.0002	0.0003	0.0002	0.0002	0.0002	0.0003	0.0002	0.0002	0.0001	0.0001	0.0002	0.0001	0.0001	0.0005	0.0002	0.0001	0.0001	0.0001	0.0002	0.0002	0.0009	0.0001	0.0001	0.0003	0.0002	0.0001	0.0002	0.0003	0.0002	0.0004	0.0002	0.0001	0.0002	0.0002
direct_vc_pvals	0.432	0.752	0.097	0.517	0.151	0.92	0.176	0.759	0.23	0.464	0.063	0.755	0.38	0.688	0.009	0.035	0.815	0.861	0.881	0.134	0.253	0.35	0.08	0.392	0.456	0.757	0.881	0.622	0.883	0.859	0.577	0.048	0.599	0.981	0.284	0.105	0.609	0.113	0.514	0.289	0.275	0.218	0.336	0.114	0.312	0.017	0.03	0.089	0.197	0.116	0.25	0.234	0.583	0.077	0.012	0.721	0.754	0.409	0.426	0.506	0.798	0.021	0.992	0.863	0.508	0.571	0.068	0.817	0.292	0.3	0.706	0.327	0.173	0.192	0.875	0.409	0.384	0.022	0.981	0.965	0.727	0.883	0.853	0.599	0.019	0.321	0.582	0.797	0.03	0.626	0.588	0.389	0.207	0.395	0.046	0.913	0.308	0.566	0.598	0.07
upper95_perm_direct	0.5279	0.2229	0.0896	0.0595	0.0396	0.0089	0.0051	0.0088	0.009	0.0049	0.0147	0.0114	0.0038	0.0043	0.0034	0.0032	0.0037	0.0093	0.0049	0.0046	0.006	0.0086	0.0083	0.0056	0.0089	0.0059	0.0075	0.0122	0.0057	0.013	0.0096	0.0064	0.007	0.0094	0.0084	0.0137	0.0036	0.0117	0.0057	0.0069	0.0067	0.0126	0.0054	0.009	0.0053	0.0085	0.0072	0.0072	0.0087	0.0043	0.0071	0.0069	0.0095	0.0069	0.0042	0.0074	0.0041	0.0055	0.0048	0.0133	0.0062	0.0061	0.0073	0.0075	0.0048	0.0041	0.006	0.0041	0.006	0.0134	0.0076	0.0065	0.0049	0.0043	0.0069	0.0049	0.0061	0.0089	0.0028	0.0042	0.0035	0.0057	0.0049	0.0053	0.006	0.0101	0.005	0.0027	0.0039	0.005	0.0045	0.006	0.007	0.0104	0.0039	0.0076	0.0084	0.0054	0.0042	0.0068
lower0_perm_direct	-0.0692	-0.0292	-0.0091	-0.0139	-0.0093	-0.0019	-0.0007	-0.0009	-0.0008	-0.0025	-0.0015	-0.0019	-0.001	-0.0005	-0.0008	-0.0006	-0.0006	-0.0013	-0.0005	-0.0012	-0.0008	-0.0006	-0.0015	-0.0005	-0.0006	-0.0004	-0.0012	-0.0012	-0.0008	-0.0006	-0.0008	-0.0007	-0.0005	-0.0032	-0.0005	-0.0006	-0.0005	-0.0022	-0.0015	-0.0008	-0.0005	-0.0008	-0.0005	-0.0012	-0.0007	-0.0005	-0.0026	-0.0009	-0.0006	-0.0005	-0.0016	-0.0008	-0.0005	-0.0005	-0.0006	-0.0006	-0.0011	-0.0009	-0.0005	-0.0007	-0.0006	-0.0008	-0.0009	-0.0007	-0.0014	-0.0005	-0.0007	-0.0011	-0.0007	-0.0008	-0.0008	-0.0012	-0.001	-0.0007	-0.0004	-0.0005	-0.0007	-0.0005	-0.0004	-0.0021	-0.0007	-0.0006	-0.0004	-0.0005	-0.0008	-0.0009	-0.0035	-0.0006	-0.0005	-0.0012	-0.0007	-0.0005	-0.0007	-0.0013	-0.0008	-0.0017	-0.0006	-0.0004	-0.001	-0.0009
sad_vc_estimate	0.1034	0.0956	0.0246	-0.0026	0.0956	-0.0006	0.0074	0.0005	0.0049	0.004	0.0402	-0.0005	0.0006	0.0008	0.0143	0.0071	-0.0003	-0.0009	-0.0002	0.0061	0.0035	0.0017	0.0162	0.0018	0.0018	0.0006	-0.0002	0.0049	-0.0006	0.0007	0.0027	0.0093	0.0012	-0.0017	0.0139	0.0286	0.0003	0.03	-0.0002	0.0081	0.0084	0.0111	0.003	0.0183	0.0024	0.0278	0.0222	0.0209	0.0015	0.0043	0.0078	0.0058	0.003	0.0113	0.0119	0.0052	-0.0007	0.0019	0.0017	0.0012	0.0006	0.0251	-0.0006	-0.0005	-0.0008	0.0012	0.0062	-0.0001	0.004	0.0092	0.001	0.0023	0.0034	0.0076	-0.0003	0.0019	0.002	0.0396	0.0004	-0.0016	-0.0004	-0.0001	0.0	-0.0004	0.011	0.0052	-0.0008	0.0013	0.0109	-0.0003	-0.0003	0.0007	0.0021	0.006	0.0069	-0.0007	0.0046	0.0	-0.0004	0.0116
sad_vc_estimate_se	0.0174	0.0073	0.0023	0.0036	0.0024	0.0005	0.0002	0.0002	0.0002	0.0006	0.0004	0.0005	0.0002	0.0001	0.0002	0.0001	0.0001	0.0003	0.0001	0.0003	0.0002	0.0002	0.0004	0.0001	0.0001	0.0001	0.0003	0.0003	0.0002	0.0001	0.0002	0.0002	0.0001	0.0008	0.0001	0.0002	0.0001	0.0006	0.0004	0.0002	0.0001	0.0002	0.0001	0.0003	0.0002	0.0001	0.0007	0.0002	0.0002	0.0001	0.0004	0.0002	0.0001	0.0001	0.0002	0.0002	0.0003	0.0002	0.0001	0.0002	0.0002	0.0002	0.0002	0.0002	0.0003	0.0001	0.0002	0.0003	0.0002	0.0002	0.0002	0.0003	0.0002	0.0002	0.0001	0.0001	0.0002	0.0001	0.0001	0.0005	0.0002	0.0001	0.0001	0.0001	0.0002	0.0002	0.0009	0.0001	0.0001	0.0003	0.0002	0.0001	0.0002	0.0003	0.0002	0.0004	0.0002	0.0001	0.0002	0.0002
sad_vc_pvals	0.483	0.42	0.475	0.656	0.062	0.711	0.101	0.651	0.316	0.169	0.058	0.699	0.513	0.481	0.013	0.067	0.779	0.954	0.786	0.109	0.263	0.509	0.088	0.436	0.519	0.674	0.73	0.361	0.983	0.724	0.589	0.163	0.546	0.76	0.085	0.077	0.604	0.041	0.622	0.166	0.181	0.266	0.356	0.077	0.343	0.025	0.058	0.047	0.571	0.206	0.175	0.22	0.462	0.128	0.024	0.334	0.834	0.44	0.403	0.692	0.637	0.015	0.885	0.923	0.748	0.458	0.221	0.625	0.334	0.331	0.569	0.361	0.271	0.086	0.999	0.419	0.53	0.011	0.524	0.916	0.853	0.788	0.745	0.969	0.073	0.35	0.506	0.405	0.027	0.698	0.848	0.6	0.514	0.352	0.112	0.773	0.4	0.759	0.803	0.09
upper95_perm_sad	1.2243	0.5731	0.2297	0.1824	0.1101	0.0255	0.0114	0.0243	0.0232	0.0105	0.0477	0.0276	0.0096	0.009	0.0099	0.009	0.0075	0.0272	0.014	0.0093	0.0127	0.0211	0.023	0.0142	0.022	0.0172	0.0239	0.0273	0.0167	0.0402	0.0264	0.0189	0.017	0.0266	0.0204	0.0373	0.0107	0.0314	0.0157	0.0168	0.0187	0.0397	0.0134	0.0251	0.0135	0.0222	0.0264	0.0229	0.0233	0.0114	0.0203	0.0152	0.0245	0.0197	0.0102	0.021	0.0123	0.0153	0.0098	0.0365	0.0152	0.0181	0.0198	0.0171	0.0126	0.012	0.0162	0.0121	0.0189	0.0341	0.0208	0.0158	0.014	0.0111	0.0149	0.0139	0.0205	0.0249	0.0079	0.011	0.0108	0.0122	0.0141	0.0146	0.0138	0.0274	0.0123	0.0088	0.0094	0.013	0.0134	0.0149	0.0221	0.0324	0.0118	0.023	0.024	0.0131	0.0132	0.0163
lower0_perm_sad	-0.0724	-0.029	-0.0087	-0.0148	-0.0092	-0.0019	-0.0007	-0.0009	-0.0008	-0.0024	-0.0014	-0.0019	-0.0009	-0.0005	-0.0008	-0.0005	-0.0006	-0.0012	-0.0005	-0.0013	-0.0009	-0.0006	-0.0015	-0.0005	-0.0006	-0.0004	-0.0012	-0.0012	-0.0008	-0.0006	-0.0008	-0.0007	-0.0005	-0.0033	-0.0005	-0.0006	-0.0006	-0.0021	-0.0015	-0.0008	-0.0005	-0.0008	-0.0005	-0.0011	-0.0007	-0.0005	-0.0026	-0.0009	-0.0006	-0.0005	-0.0016	-0.0007	-0.0005	-0.0005	-0.0006	-0.0006	-0.0011	-0.0009	-0.0005	-0.0007	-0.0007	-0.0008	-0.0009	-0.0007	-0.0014	-0.0005	-0.0007	-0.0011	-0.0007	-0.0008	-0.0008	-0.0013	-0.001	-0.0007	-0.0004	-0.0005	-0.0007	-0.0005	-0.0004	-0.0021	-0.0007	-0.0005	-0.0005	-0.0005	-0.0008	-0.001	-0.0036	-0.0006	-0.0005	-0.0012	-0.0007	-0.0005	-0.0007	-0.0013	-0.0008	-0.0016	-0.0006	-0.0004	-0.001	-0.0009
