	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.0438	0.3334	0.2349	0.4592	0.5108	-0.0001	-0.0015	0.0202	0.008	0.0035	0.0008	-0.0005	0.0036	0.0164	-0.0	0.0004	-0.0008	0.0014	0.0001	0.0394	0.0314	0.0009	-0.0003	0.0533	0.0036	0.0074	0.0031	0.0	0.0003	0.0075	-0.0004	0.0206	0.0058	-0.0019	0.0048	-0.0015	0.0004	0.0034	0.0026	0.0061	0.0011	0.0026	0.0005	0.0268	-0.0002	-0.0003	0.004	0.0003	0.0175	0.0051	-0.0	0.0069	0.0045	0.0274	0.0128	0.0037	-0.0	0.0033	0.0037	0.0012	0.0056	-0.0002	0.0036	-0.0001	-0.0002	0.0048	0.0103	0.0008	-0.0003	-0.0001	0.0011	-0.0001	0.0116	0.0068	-0.0001	0.0221	0.0009	0.0046	0.0012	0.003	0.0039	0.0001	0.004	0.0076	-0.0012	0.01	0.0155	0.0046	0.0001	0.0017	0.0058	-0.0007	0.0004	0.017	0.01	0.0027	0.0004	0.0029	0.0	-0.0012
direct_vc_estimate_se	0.0203	0.0139	0.0131	0.0039	0.0009	0.0012	0.0011	0.0003	0.0004	0.0004	0.0002	0.0007	0.0002	0.0005	0.0002	0.0008	0.0007	0.0003	0.0003	0.0002	0.0006	0.0006	0.0003	0.0002	0.0003	0.0003	0.0008	0.0002	0.0003	0.0003	0.0004	0.0004	0.0003	0.0016	0.0002	0.0013	0.0001	0.0005	0.0004	0.0006	0.0004	0.0002	0.0001	0.0002	0.0002	0.0009	0.0002	0.0002	0.0004	0.0002	0.0002	0.0004	0.0002	0.0002	0.0003	0.0007	0.0002	0.0002	0.0004	0.0007	0.0002	0.0002	0.0002	0.0001	0.0002	0.0002	0.0003	0.0002	0.0002	0.0002	0.0001	0.0003	0.0008	0.0007	0.0002	0.0003	0.0002	0.0005	0.0005	0.0003	0.0002	0.0005	0.0003	0.0006	0.0009	0.0004	0.0005	0.0008	0.0002	0.0001	0.0002	0.0005	0.0005	0.0002	0.0003	0.0002	0.0002	0.0002	0.0002	0.0009
direct_vc_pvals	0.599	0.121	0.083	0.0	0.003	0.742	0.988	0.161	0.114	0.212	0.735	0.766	0.284	0.262	0.648	0.559	0.833	0.342	0.703	0.006	0.01	0.55	0.807	0.0	0.297	0.079	0.211	0.746	0.698	0.128	0.834	0.061	0.292	0.857	0.403	0.758	0.591	0.336	0.486	0.348	0.4	0.282	0.529	0.252	0.842	0.647	0.057	0.719	0.061	0.046	0.847	0.059	0.347	0.001	0.041	0.386	0.59	0.36	0.286	0.498	0.417	0.75	0.382	0.887	0.866	0.308	0.47	0.514	0.967	0.815	0.48	0.756	0.068	0.07	0.812	0.005	0.671	0.084	0.444	0.353	0.385	0.69	0.706	0.26	0.977	0.099	0.007	0.321	0.792	0.575	0.098	1.0	0.716	0.012	0.113	0.507	0.49	0.017	0.836	0.998
upper95_perm_direct	1.1695	0.842	0.4593	0.3335	0.5308	0.0718	0.026	0.0522	0.0191	0.0134	0.0484	0.0256	0.0164	0.0494	0.0084	0.0184	0.0115	0.0104	0.0167	0.0382	0.0309	0.0235	0.011	0.0422	0.0189	0.0148	0.0131	0.0204	0.025	0.0201	0.0159	0.0352	0.0308	0.0338	0.0403	0.0102	0.0124	0.0225	0.0197	0.0444	0.0113	0.0144	0.0108	0.0945	0.0069	0.0156	0.0067	0.0254	0.0306	0.0081	0.0188	0.0123	0.0265	0.0193	0.0196	0.0248	0.0047	0.0238	0.0169	0.0248	0.0357	0.0044	0.0231	0.0143	0.0117	0.021	0.0618	0.0141	0.0198	0.0211	0.0153	0.0161	0.0208	0.0123	0.0082	0.0182	0.0347	0.0089	0.0162	0.0187	0.0253	0.0206	0.0258	0.0286	0.0173	0.0209	0.015	0.0245	0.0243	0.0333	0.0132	0.0078	0.0184	0.0165	0.0223	0.0325	0.0081	0.0032	0.0253	0.0187
lower0_perm_direct	-0.0526	-0.0369	-0.0338	-0.01	-0.0023	-0.0033	-0.003	-0.0009	-0.001	-0.001	-0.0006	-0.0019	-0.0006	-0.0014	-0.0006	-0.002	-0.0018	-0.0007	-0.0009	-0.0005	-0.0016	-0.0015	-0.0009	-0.0005	-0.0008	-0.0007	-0.0022	-0.0006	-0.0009	-0.0008	-0.0011	-0.0008	-0.0009	-0.0041	-0.0004	-0.0035	-0.0004	-0.0014	-0.001	-0.0017	-0.001	-0.0004	-0.0004	-0.0004	-0.0004	-0.0024	-0.0004	-0.0005	-0.0009	-0.0004	-0.0004	-0.001	-0.0005	-0.0005	-0.0006	-0.0019	-0.0006	-0.0004	-0.001	-0.0019	-0.0004	-0.0006	-0.0006	-0.0004	-0.0006	-0.0006	-0.0007	-0.0005	-0.0005	-0.0006	-0.0004	-0.0007	-0.002	-0.002	-0.0004	-0.0008	-0.0005	-0.0015	-0.0013	-0.0009	-0.0004	-0.0012	-0.0006	-0.0015	-0.0025	-0.001	-0.0013	-0.0021	-0.0004	-0.0004	-0.0005	-0.0014	-0.0011	-0.0005	-0.0007	-0.0006	-0.0005	-0.0005	-0.0006	-0.0024
sad_vc_estimate	0.3206	0.6926	0.471	0.7821	0.9801	0.0108	-0.0012	0.072	0.031	0.0115	0.0068	-0.0006	0.0087	0.0347	-0.0001	-0.0005	-0.0009	0.0023	0.0011	0.06	0.0582	0.0032	0.0007	0.0881	0.0038	0.0111	0.0086	0.0015	0.0	0.0149	-0.0003	0.0259	0.0131	-0.0021	0.004	-0.0017	-0.0002	0.0106	0.0098	0.0173	0.0034	0.0066	0.0049	0.0448	-0.0002	-0.0005	0.0053	0.0047	0.0318	0.0142	-0.0001	0.013	0.008	0.0378	0.029	0.0173	-0.0003	0.0037	0.0083	-0.0004	0.0123	-0.0003	0.0093	0.0021	-0.0002	0.0059	0.0137	0.0037	-0.0003	0.0014	0.0088	0.0003	0.0163	0.0078	0.0003	0.0251	0.0065	0.0117	0.0093	0.0064	0.0037	-0.0004	0.017	0.0057	-0.0012	0.0232	0.0294	0.0117	0.0012	0.0029	0.0126	-0.0007	-0.0006	0.0293	0.0355	0.003	0.0062	0.0024	0.0011	-0.0012
sad_vc_estimate_se	0.0204	0.0139	0.0131	0.0039	0.0009	0.0012	0.0011	0.0003	0.0004	0.0004	0.0002	0.0007	0.0002	0.0005	0.0002	0.0008	0.0007	0.0003	0.0003	0.0002	0.0006	0.0006	0.0003	0.0002	0.0003	0.0003	0.0008	0.0002	0.0003	0.0003	0.0004	0.0004	0.0003	0.0016	0.0002	0.0013	0.0001	0.0005	0.0004	0.0006	0.0004	0.0002	0.0001	0.0002	0.0002	0.0009	0.0002	0.0002	0.0004	0.0002	0.0002	0.0004	0.0002	0.0002	0.0003	0.0007	0.0002	0.0002	0.0004	0.0007	0.0002	0.0002	0.0002	0.0001	0.0002	0.0002	0.0003	0.0002	0.0002	0.0002	0.0001	0.0003	0.0008	0.0007	0.0002	0.0003	0.0002	0.0005	0.0005	0.0003	0.0002	0.0005	0.0003	0.0006	0.0009	0.0004	0.0005	0.0008	0.0002	0.0001	0.0002	0.0005	0.0005	0.0002	0.0003	0.0002	0.0002	0.0002	0.0002	0.0009
sad_vc_pvals	0.415	0.04	0.046	0.0	0.003	0.447	0.839	0.043	0.019	0.129	0.485	0.815	0.117	0.166	0.756	0.735	0.986	0.322	0.651	0.011	0.002	0.54	0.64	0.001	0.411	0.065	0.152	0.546	0.807	0.106	0.852	0.189	0.212	1.0	0.593	0.984	0.976	0.212	0.316	0.278	0.332	0.193	0.246	0.259	0.944	0.706	0.135	0.445	0.053	0.007	0.896	0.076	0.302	0.004	0.026	0.265	0.919	0.399	0.379	0.815	0.343	0.999	0.246	0.438	0.838	0.382	0.64	0.358	0.98	0.607	0.113	0.676	0.133	0.125	0.643	0.024	0.412	0.056	0.183	0.331	0.47	0.844	0.302	0.414	0.99	0.059	0.006	0.337	0.657	0.573	0.081	0.944	0.933	0.007	0.014	0.567	0.203	0.064	0.714	0.902
upper95_perm_sad	2.4118	1.008	0.7482	0.4782	1.0702	0.0997	0.0346	0.1166	0.04	0.0293	0.0714	0.0406	0.0203	0.0909	0.0132	0.0267	0.0146	0.0142	0.0297	0.0686	0.0522	0.0522	0.0257	0.0761	0.0352	0.0201	0.025	0.0282	0.0409	0.0342	0.0226	0.0607	0.056	0.0553	0.0834	0.0151	0.0174	0.0445	0.0436	0.0844	0.0236	0.0226	0.0211	0.1672	0.0101	0.0234	0.0133	0.0487	0.0533	0.0142	0.0369	0.024	0.0422	0.0357	0.037	0.0639	0.0103	0.0301	0.0389	0.0505	0.0629	0.0054	0.0379	0.0192	0.0176	0.0384	0.1171	0.0253	0.0328	0.0335	0.022	0.0254	0.0411	0.0203	0.0117	0.0339	0.05	0.0198	0.0335	0.0332	0.0344	0.0301	0.05	0.052	0.0293	0.0395	0.028	0.0487	0.0358	0.0572	0.0242	0.0111	0.0173	0.0269	0.041	0.0532	0.0221	0.0042	0.0326	0.0235
lower0_perm_sad	-0.0531	-0.039	-0.0338	-0.0101	-0.0022	-0.0032	-0.0031	-0.0008	-0.0009	-0.001	-0.0006	-0.002	-0.0006	-0.0014	-0.0006	-0.0021	-0.0018	-0.0007	-0.0009	-0.0005	-0.0015	-0.0015	-0.0009	-0.0006	-0.0007	-0.0007	-0.0022	-0.0006	-0.0008	-0.0008	-0.001	-0.0009	-0.0008	-0.0042	-0.0004	-0.0034	-0.0004	-0.0014	-0.001	-0.0016	-0.001	-0.0004	-0.0004	-0.0005	-0.0004	-0.0023	-0.0004	-0.0005	-0.0009	-0.0004	-0.0004	-0.0009	-0.0005	-0.0004	-0.0007	-0.0019	-0.0006	-0.0005	-0.001	-0.0018	-0.0004	-0.0006	-0.0006	-0.0004	-0.0006	-0.0006	-0.0007	-0.0005	-0.0005	-0.0006	-0.0004	-0.0007	-0.0021	-0.002	-0.0004	-0.0008	-0.0005	-0.0014	-0.0013	-0.0009	-0.0004	-0.0012	0.0	-0.0015	-0.0024	-0.001	-0.0013	-0.002	-0.0004	-0.0004	-0.0004	-0.0014	-0.0012	-0.0005	-0.0007	-0.0006	-0.0005	-0.0005	-0.0006	-0.0025
