	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.0314	0.2525	-0.0962	-0.081	-0.0116	-0.0036	-0.0207	-0.0097	-0.0029	-0.0062	0.0393	-0.0019	0.0043	-0.0002	0.0047	-0.0082	-0.0057	0.0269	-0.0011	0.0006	0.0043	-0.006	0.0567	0.0112	-0.0047	-0.003	-0.0031	-0.0032	-0.002	-0.0025	0.0322	-0.0016	-0.0033	-0.0063	0.0054	-0.0018	-0.0078	-0.0017	-0.0006	-0.0046	0.0111	0.0106	0.0352	-0.0063	0.0614	-0.004	0.028	-0.0095	-0.006	-0.0018	-0.0057	-0.0028	-0.004	-0.0074	-0.0035	0.0245	-0.0018	-0.0051	-0.005	0.0087	-0.0057	0.0546	0.0039	-0.0052	0.0131	0.0009	-0.002	0.0497	-0.0061	0.04	0.0144	0.0125	0.071	0.0101	0.0191	-0.0063	0.0347	0.001	-0.0056	0.0042	-0.0012	-0.0049	0.0026	-0.0055	-0.0057	0.0131	-0.0051	0.0029	-0.0056	0.0014	-0.0044	-0.0021	0.0009	0.0191	-0.0058	0.0398	-0.0041	-0.0064	-0.0072	-0.0068
direct_vc_estimate_se	9.3709	6.188	2.2416	1.8195	0.6008	0.4481	0.5231	0.2265	0.2483	0.2946	0.2029	0.2516	0.1629	0.1717	0.1745	0.1805	0.1743	0.1356	0.1575	0.1392	0.1473	0.1344	0.1505	0.143	0.1595	0.1388	0.1486	0.1362	0.1624	0.1338	0.1619	0.1858	0.1873	0.1388	0.1475	0.1494	0.1747	0.1686	0.1443	0.1895	0.1489	0.1315	0.159	0.1426	0.142	0.1559	0.1461	0.2135	0.1337	0.1388	0.1389	0.1556	0.1391	0.1646	0.1453	0.1595	0.1494	0.1363	0.1372	0.182	0.1418	0.1544	0.1338	0.1419	0.1455	0.1495	0.1496	0.1473	0.1347	0.1441	0.1299	0.1406	0.1478	0.1467	0.1545	0.1385	0.1761	0.1378	0.1541	0.1413	0.1411	0.1543	0.1499	0.143	0.1745	0.1322	0.1406	0.1364	0.129	0.1305	0.1468	0.1415	0.155	0.1325	0.1304	0.1309	0.1454	0.1408	0.1917	0.1651
direct_vc_pvals	0.298	0.191	0.818	0.913	0.545	0.414	0.752	0.843	0.455	0.494	0.05	0.441	0.297	0.393	0.239	0.983	0.66	0.051	0.436	0.352	0.31	0.905	0.01	0.165	0.626	0.587	0.553	0.573	0.476	0.512	0.044	0.443	0.507	0.953	0.278	0.497	0.927	0.476	0.437	0.548	0.198	0.19	0.051	0.891	0.018	0.564	0.06	0.904	0.938	0.444	0.8	0.551	0.621	0.978	0.577	0.098	0.457	0.752	0.739	0.239	0.764	0.014	0.272	0.718	0.16	0.377	0.507	0.013	0.996	0.036	0.151	0.156	0.002	0.193	0.114	0.981	0.054	0.357	0.672	0.28	0.473	0.655	0.333	0.756	0.684	0.156	0.681	0.327	0.893	0.372	0.607	0.535	0.38	0.104	0.94	0.034	0.603	0.99	0.75	0.786
upper95_perm_direct	1.3409	1.1331	0.4403	0.4324	0.1972	0.0749	0.0717	0.0598	0.06	0.048	0.0496	0.0487	0.0362	0.0405	0.0355	0.0326	0.0354	0.0327	0.0374	0.0344	0.0398	0.0292	0.0408	0.0343	0.0475	0.036	0.0411	0.0383	0.0457	0.0358	0.0373	0.0363	0.0472	0.0317	0.0393	0.0379	0.0356	0.0471	0.0421	0.0512	0.046	0.038	0.0439	0.038	0.0415	0.0399	0.0391	0.0464	0.0377	0.035	0.0386	0.0406	0.0354	0.0371	0.0387	0.047	0.0333	0.0347	0.0378	0.041	0.0366	0.0419	0.0303	0.0398	0.0404	0.0385	0.0439	0.0374	0.036	0.0417	0.042	0.0379	0.0303	0.0369	0.0414	0.0373	0.043	0.0329	0.0343	0.0318	0.0352	0.0356	0.0377	0.0379	0.0472	0.0379	0.0302	0.036	0.0319	0.0294	0.0281	0.0412	0.0447	0.0382	0.0344	0.0402	0.0352	0.0403	0.0485	0.038
lower0_perm_direct	-0.5842	-0.3852	-0.1388	-0.1156	-0.0378	-0.0278	-0.0322	-0.0139	-0.0151	-0.0183	-0.0124	-0.0158	-0.0101	-0.0107	-0.0107	-0.0113	-0.0108	-0.0084	-0.0097	-0.0086	-0.0094	-0.0082	-0.0093	-0.0089	-0.01	-0.0087	-0.0092	-0.0083	-0.0104	-0.0082	-0.0102	-0.0114	-0.0116	-0.0089	-0.0093	-0.0093	-0.0108	-0.0104	-0.009	-0.0117	-0.0094	-0.0083	-0.0097	-0.009	-0.0089	-0.0096	-0.009	-0.0133	-0.0085	-0.0087	-0.0086	-0.0096	-0.0087	-0.0105	-0.0092	-0.0099	-0.0095	-0.0087	-0.0086	-0.0116	-0.0091	-0.0099	-0.0084	-0.0089	-0.0092	-0.0092	-0.0093	-0.0093	-0.0083	-0.0091	-0.0082	-0.0088	-0.0092	-0.0093	-0.0096	-0.0089	-0.0108	-0.0086	-0.0097	-0.0087	-0.0088	-0.0096	-0.0096	-0.0088	-0.0107	-0.0081	-0.0089	-0.0086	-0.0079	-0.0081	-0.0094	-0.009	-0.0095	-0.0083	-0.0081	-0.0081	-0.009	-0.009	-0.0119	-0.0104
sad_vc_estimate	0.3996	0.2678	-0.1031	-0.0749	0.0593	0.0088	-0.0234	-0.01	0.0004	-0.0118	0.0524	0.0139	0.0077	-0.001	0.0041	-0.0073	-0.0019	0.0118	-0.0065	0.001	0.0145	-0.0062	0.0556	0.0168	0.0012	-0.0046	-0.0056	-0.0054	0.0033	-0.0057	0.0398	0.001	-0.0072	-0.0059	0.0184	-0.0059	-0.0039	0.0013	-0.0002	-0.0046	0.0033	0.0262	0.0318	-0.0039	0.069	0.004	0.0289	-0.009	-0.0007	0.0034	-0.0052	0.0013	0.0001	-0.0066	-0.0005	0.0332	-0.0027	-0.0039	-0.006	0.004	-0.0041	0.0467	-0.0018	-0.0024	0.0256	-0.0006	-0.0032	0.057	-0.0009	0.052	0.0169	0.0018	0.0732	0.0023	0.0117	-0.0062	0.0295	0.0067	-0.0018	0.0094	-0.006	-0.007	-0.0012	-0.0023	-0.004	0.0042	-0.0047	0.009	-0.0059	-0.0013	-0.0055	-0.0055	-0.0051	0.0032	-0.006	0.0611	-0.0065	-0.0065	-0.0075	-0.0061
sad_vc_estimate_se	9.5695	6.3186	2.2842	1.8523	0.6118	0.4535	0.5275	0.2315	0.2523	0.2982	0.2067	0.2552	0.1662	0.1747	0.1774	0.183	0.1772	0.1386	0.1606	0.1419	0.1504	0.1371	0.1534	0.1456	0.1623	0.1415	0.1513	0.1389	0.1652	0.1365	0.1645	0.1885	0.19	0.1416	0.1501	0.1521	0.1773	0.1712	0.1471	0.1921	0.1516	0.1342	0.1617	0.1453	0.1448	0.1586	0.1487	0.2162	0.1364	0.1416	0.1415	0.1583	0.1417	0.1673	0.148	0.1621	0.152	0.1389	0.1398	0.1847	0.1444	0.157	0.1363	0.1446	0.1482	0.1522	0.1521	0.1499	0.1373	0.1468	0.1325	0.1432	0.1503	0.1495	0.157	0.1412	0.1788	0.1403	0.1567	0.1439	0.1437	0.157	0.1525	0.1457	0.1771	0.1348	0.1432	0.139	0.1317	0.1332	0.1493	0.1441	0.1575	0.135	0.133	0.1335	0.148	0.1438	0.1944	0.1677
sad_vc_pvals	0.188	0.195	0.978	0.784	0.187	0.256	0.922	0.868	0.38	0.762	0.047	0.198	0.237	0.418	0.282	0.785	0.48	0.182	0.774	0.395	0.172	0.986	0.008	0.137	0.395	0.699	0.749	0.778	0.379	0.835	0.044	0.379	0.754	0.815	0.127	0.762	0.564	0.395	0.434	0.574	0.374	0.091	0.08	0.642	0.009	0.274	0.083	0.802	0.44	0.339	0.746	0.349	0.416	0.769	0.419	0.071	0.528	0.642	0.871	0.333	0.659	0.035	0.494	0.519	0.08	0.471	0.547	0.02	0.463	0.024	0.128	0.373	0.006	0.374	0.232	0.895	0.086	0.257	0.475	0.224	0.844	0.944	0.463	0.543	0.548	0.326	0.656	0.218	0.927	0.487	0.721	0.753	0.655	0.337	0.933	0.016	0.889	0.97	0.75	0.706
upper95_perm_sad	1.7762	1.0502	0.4923	0.4729	0.192	0.074	0.0775	0.0699	0.0586	0.0516	0.0621	0.051	0.0406	0.05	0.0388	0.042	0.0403	0.0402	0.0414	0.0363	0.047	0.0356	0.0419	0.0426	0.0472	0.038	0.049	0.0391	0.052	0.0327	0.0448	0.0469	0.0532	0.0454	0.047	0.0483	0.0474	0.0487	0.0448	0.0432	0.0434	0.0446	0.0486	0.043	0.0441	0.0433	0.046	0.0495	0.0362	0.0421	0.0444	0.041	0.0381	0.0484	0.042	0.0493	0.0379	0.0366	0.044	0.0538	0.0364	0.0458	0.0366	0.0398	0.0421	0.0444	0.0502	0.0484	0.0411	0.0438	0.0356	0.0386	0.0441	0.0476	0.049	0.0411	0.0501	0.0376	0.0418	0.0446	0.0421	0.0437	0.0385	0.0451	0.0441	0.0369	0.036	0.0387	0.0358	0.0355	0.036	0.0441	0.0413	0.0388	0.038	0.0464	0.0411	0.0438	0.0535	0.0458
lower0_perm_sad	-0.5962	-0.4011	-0.1415	-0.1164	-0.0381	-0.0278	-0.033	-0.0147	-0.0157	-0.0184	-0.0126	-0.016	-0.0102	-0.011	-0.0113	-0.0115	-0.0111	-0.0087	-0.0101	-0.0089	-0.0095	-0.0086	-0.0098	-0.0092	-0.0101	-0.0088	-0.0097	-0.0086	-0.0104	-0.0085	-0.0103	-0.0116	-0.0117	-0.0087	-0.0093	-0.0097	-0.0111	-0.0106	-0.0091	-0.012	-0.0094	-0.0083	-0.01	-0.0089	-0.0092	-0.0098	-0.0093	-0.0133	-0.0086	-0.009	-0.0091	-0.0096	-0.0087	-0.0102	-0.0092	-0.01	-0.0095	-0.0086	-0.0088	-0.0114	-0.0092	-0.01	-0.0083	-0.009	-0.0091	-0.0095	-0.0095	-0.0096	-0.0085	-0.0094	-0.0083	-0.0088	-0.0093	-0.0094	-0.0097	-0.009	-0.0109	-0.0089	-0.0098	-0.0089	-0.0092	-0.0099	-0.0093	-0.009	-0.0111	-0.0084	-0.0088	-0.0086	-0.0083	-0.0083	-0.0092	-0.0091	-0.01	-0.0084	-0.0082	-0.0083	-0.0093	-0.0089	-0.012	-0.0105
