	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.0937	-0.0678	0.0144	0.0043	-0.0007	-0.0032	-0.0025	-0.0013	-0.0014	-0.0009	0.0159	-0.0017	-0.0001	0.003	0.0042	-0.0016	-0.0014	-0.0005	0.0033	0.0093	0.0061	-0.0	-0.0001	0.0081	0.0031	0.0029	0.0065	-0.0017	0.0036	-0.0006	-0.0014	0.0003	-0.0008	-0.0016	0.0104	0.0009	0.0095	-0.0004	0.0006	-0.0009	0.0078	-0.0014	0.0005	-0.0005	-0.0009	-0.0013	-0.0002	-0.001	0.0016	-0.0002	-0.0015	0.0066	-0.0015	-0.0013	0.0108	0.0001	0.0014	0.0037	-0.0003	0.0006	0.0078	-0.0003	-0.0016	-0.0016	0.0009	-0.0016	0.022	-0.0015	-0.0015	0.0039	0.0008	0.0077	-0.0015	0.0021	-0.0002	-0.0011	-0.0011	-0.0014	0.0097	0.0062	-0.0016	0.0037	-0.0006	-0.0014	-0.0009	-0.0014	-0.0002	-0.0009	0.0075	0.0015	-0.0009	-0.0009	-0.0013	0.0008	-0.0009	-0.0004	0.0015	0.0094	0.0036	0.0017
direct_vc_estimate_se	0.2612	0.1274	0.0603	0.041	0.0098	0.0081	0.005	0.0042	0.0042	0.0044	0.0036	0.0035	0.0039	0.0037	0.0034	0.0035	0.0032	0.0033	0.0028	0.0032	0.003	0.0029	0.0032	0.0031	0.0029	0.0028	0.0033	0.0033	0.0038	0.0029	0.0029	0.0029	0.0032	0.003	0.003	0.0032	0.0029	0.0035	0.0034	0.0029	0.0032	0.0032	0.0031	0.003	0.003	0.003	0.0032	0.003	0.003	0.0033	0.0029	0.0026	0.0029	0.0026	0.0029	0.0029	0.0028	0.003	0.0032	0.0034	0.0031	0.0031	0.0029	0.003	0.0029	0.0031	0.0032	0.0028	0.0029	0.0027	0.0026	0.0031	0.0032	0.003	0.0028	0.0028	0.003	0.0031	0.0027	0.0027	0.003	0.0031	0.0029	0.0029	0.0032	0.0026	0.0027	0.0028	0.0032	0.0024	0.0028	0.0026	0.0025	0.0026	0.0029	0.0026	0.0033	0.0025	0.0025	0.0025
direct_vc_pvals	0.695	0.959	0.413	0.46	0.578	0.705	0.869	0.701	0.585	0.525	0.088	0.808	0.51	0.215	0.309	0.771	0.768	0.563	0.198	0.052	0.146	0.468	0.435	0.054	0.274	0.17	0.14	0.841	0.255	0.628	0.842	0.439	0.657	0.959	0.074	0.425	0.122	0.646	0.648	0.659	0.144	0.699	0.427	0.566	0.667	0.779	0.452	0.679	0.432	0.568	0.917	0.118	0.942	0.82	0.038	0.45	0.404	0.209	0.522	0.399	0.155	0.472	0.933	0.882	0.399	0.879	0.01	0.992	0.837	0.23	0.475	0.082	0.828	0.294	0.589	0.733	0.709	0.752	0.083	0.155	0.954	0.204	0.588	0.843	0.703	0.898	0.418	0.681	0.137	0.234	0.696	0.679	0.931	0.375	0.608	0.572	0.386	0.059	0.165	0.294
upper95_perm_direct	0.8982	0.4807	0.198	0.1432	0.047	0.0201	0.012	0.0143	0.0098	0.0096	0.0189	0.0106	0.0138	0.0092	0.0186	0.0091	0.0096	0.0124	0.0085	0.0084	0.011	0.0081	0.0073	0.0078	0.011	0.0065	0.0118	0.0079	0.013	0.0121	0.0061	0.0082	0.0137	0.0144	0.0115	0.0105	0.0136	0.0204	0.0285	0.0092	0.0138	0.0062	0.0094	0.0103	0.0098	0.011	0.0071	0.0091	0.0131	0.0124	0.0101	0.0093	0.0097	0.0076	0.0082	0.0076	0.0108	0.0118	0.0106	0.0119	0.0141	0.0079	0.0069	0.0093	0.0099	0.0101	0.0127	0.0085	0.006	0.0115	0.0143	0.009	0.0126	0.0096	0.0137	0.0101	0.0103	0.0083	0.0121	0.0115	0.0118	0.0096	0.0079	0.013	0.0134	0.0054	0.0064	0.0118	0.0128	0.0056	0.011	0.0073	0.007	0.0086	0.0083	0.0075	0.0132	0.0098	0.0074	0.0087
lower0_perm_direct	-0.1481	-0.0712	-0.0338	-0.0235	-0.0055	-0.0046	-0.0028	-0.0025	-0.0023	-0.0025	-0.002	-0.002	-0.0022	-0.0021	-0.0019	-0.0019	-0.0019	-0.0019	-0.0016	-0.0018	-0.0018	-0.0017	-0.0018	-0.0018	-0.0016	-0.0016	-0.0018	-0.002	-0.0021	-0.0017	-0.0016	-0.0016	-0.0018	-0.0017	-0.0017	-0.0018	-0.0017	-0.002	-0.0019	-0.0017	-0.0018	-0.0018	-0.0017	-0.0017	-0.0017	-0.0017	-0.0019	-0.0017	-0.0017	-0.0018	-0.0016	-0.0015	-0.0016	-0.0015	-0.0016	-0.0016	-0.0016	-0.0017	-0.0018	-0.002	-0.0018	-0.0019	-0.0016	-0.0017	-0.0016	-0.0018	-0.0018	-0.0015	-0.0017	-0.0015	-0.0016	-0.0018	-0.0018	-0.0017	-0.0016	-0.0015	-0.0017	-0.0017	-0.0015	-0.0016	-0.0017	-0.0018	-0.0016	-0.0017	-0.0018	-0.0015	-0.0015	-0.0016	-0.0018	-0.0014	-0.0015	-0.0015	-0.0014	-0.0015	-0.0018	-0.0015	-0.0019	-0.0014	-0.0014	-0.0015
sad_vc_estimate	-0.0509	-0.0628	0.0569	0.0052	0.0182	0.0037	-0.0013	-0.0021	0.0002	-0.0001	0.0376	0.0037	0.0058	0.0149	0.0036	-0.0015	-0.0013	0.0055	0.0007	0.0139	0.0198	-0.0014	0.0086	0.0103	0.0018	0.0025	0.0071	0.002	0.0173	-0.0008	-0.0015	-0.0016	0.0038	-0.0016	0.0224	0.0081	0.0206	-0.0017	0.0039	-0.0016	0.0276	0.0006	0.0086	-0.0016	-0.0005	-0.0001	0.0028	-0.0008	0.0091	0.0047	-0.0015	0.0071	-0.0014	-0.001	0.0176	0.0007	0.0104	0.0117	-0.0002	0.0003	0.022	-0.0009	0.0003	0.0018	0.0049	-0.0016	0.0204	-0.0012	-0.0015	0.0064	-0.0006	0.0359	0.0014	0.0056	-0.0005	0.0006	0.0018	-0.0011	0.0157	0.0088	-0.0009	0.01	-0.0005	0.0012	0.0079	-0.0014	-0.0004	-0.0004	0.0024	0.0032	-0.0005	-0.0012	-0.0012	0.0062	0.0011	0.001	0.0098	0.0246	0.0047	0.0052
sad_vc_estimate_se	0.2635	0.1285	0.0609	0.0413	0.0099	0.0082	0.005	0.0042	0.0042	0.0044	0.0036	0.0035	0.0039	0.0037	0.0035	0.0035	0.0032	0.0033	0.0029	0.0032	0.003	0.003	0.0033	0.0032	0.003	0.0028	0.0034	0.0034	0.0038	0.0029	0.0029	0.0029	0.0033	0.003	0.003	0.0032	0.003	0.0035	0.0034	0.0029	0.0032	0.0032	0.0031	0.003	0.0031	0.0031	0.0032	0.003	0.003	0.0033	0.0029	0.0026	0.0029	0.0027	0.0029	0.0029	0.0028	0.0031	0.0032	0.0034	0.0031	0.0031	0.003	0.0031	0.0029	0.0031	0.0032	0.0028	0.003	0.0028	0.0027	0.0031	0.0032	0.003	0.0028	0.0028	0.003	0.0031	0.0027	0.0027	0.003	0.0031	0.0029	0.0029	0.0033	0.0027	0.0027	0.0028	0.0032	0.0024	0.0028	0.0026	0.0025	0.0026	0.003	0.0026	0.0033	0.0026	0.0025	0.0026
sad_vc_pvals	0.623	0.855	0.371	0.511	0.361	0.388	0.662	0.892	0.529	0.491	0.032	0.373	0.296	0.073	0.386	0.739	0.753	0.338	0.476	0.064	0.063	0.855	0.2	0.108	0.481	0.391	0.28	0.455	0.149	0.761	0.893	0.993	0.445	0.987	0.042	0.238	0.116	0.914	0.577	0.979	0.055	0.447	0.181	0.927	0.662	0.643	0.342	0.714	0.256	0.373	0.963	0.214	0.889	0.794	0.04	0.462	0.223	0.147	0.595	0.586	0.115	0.687	0.538	0.42	0.26	0.965	0.081	0.828	0.846	0.299	0.764	0.004	0.511	0.266	0.711	0.551	0.502	0.757	0.095	0.192	0.748	0.188	0.651	0.562	0.339	0.98	0.615	0.703	0.445	0.261	0.686	0.844	0.847	0.216	0.52	0.476	0.234	0.036	0.186	0.281
upper95_perm_sad	1.2399	0.8399	0.4052	0.2184	0.086	0.0351	0.0193	0.0319	0.0189	0.0149	0.0307	0.021	0.0249	0.0153	0.0266	0.0138	0.0136	0.0255	0.0147	0.014	0.021	0.0162	0.0185	0.014	0.019	0.0186	0.0255	0.0192	0.0272	0.0224	0.0139	0.0191	0.026	0.0263	0.0183	0.0232	0.028	0.0427	0.0467	0.0215	0.0262	0.0139	0.0182	0.0159	0.0176	0.022	0.0163	0.0191	0.0245	0.0268	0.021	0.0186	0.0186	0.0143	0.0141	0.0158	0.0207	0.0221	0.0183	0.0226	0.0323	0.017	0.0162	0.0173	0.016	0.018	0.0236	0.0181	0.0114	0.0247	0.025	0.0173	0.0224	0.0164	0.0258	0.0175	0.0217	0.0186	0.019	0.0193	0.0204	0.0223	0.0198	0.0247	0.0279	0.0106	0.0124	0.0225	0.0264	0.0111	0.0202	0.0137	0.0116	0.0175	0.0213	0.0154	0.0261	0.0202	0.0109	0.0162
lower0_perm_sad	-0.1501	-0.0767	-0.0342	-0.0229	-0.0055	-0.005	-0.0029	-0.0024	-0.0024	-0.0025	-0.002	-0.002	-0.0023	-0.0021	-0.002	-0.002	-0.0018	-0.0019	-0.0016	-0.0018	-0.0017	-0.0017	-0.0019	-0.0019	-0.0016	-0.0016	-0.0019	-0.0019	-0.0021	-0.0017	-0.0016	-0.0017	-0.0018	-0.0017	-0.0017	-0.0018	-0.0017	-0.002	-0.0019	-0.0016	-0.0018	-0.0018	-0.0017	-0.0017	-0.0017	-0.0018	-0.0018	-0.0018	-0.0017	-0.0018	-0.0017	-0.0014	-0.0017	-0.0015	-0.0016	-0.0016	-0.0016	-0.0018	-0.0018	-0.002	-0.0017	-0.0017	-0.0017	-0.0017	-0.0016	-0.0017	-0.0018	-0.0016	-0.0017	-0.0015	-0.0015	-0.0018	-0.0018	-0.0016	-0.0016	-0.0016	-0.0017	-0.0019	-0.0015	-0.0016	-0.0017	-0.0017	-0.0016	-0.0017	-0.0019	-0.0015	-0.0015	-0.0016	-0.0018	-0.0013	-0.0016	-0.0015	-0.0014	-0.0015	-0.0016	-0.0015	-0.0019	-0.0014	-0.0014	-0.0014
