	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.3195	-0.1713	-0.0555	0.0346	0.1446	0.0103	-0.0064	0.0825	0.2117	0.0328	0.0238	0.0318	0.0179	0.0114	-0.0046	0.0135	0.0005	-0.0036	-0.0049	0.0002	0.0074	-0.0033	0.0013	0.1627	0.0254	-0.0031	0.0168	0.0104	-0.0007	0.0824	0.0309	0.0265	-0.0038	0.0011	-0.0041	-0.0018	-0.0041	0.0371	-0.0042	0.0145	-0.0014	-0.0031	0.0818	-0.0039	-0.0041	-0.0015	-0.0011	0.0021	0.0082	-0.0038	-0.0026	0.0029	0.0089	0.0134	0.0255	0.009	-0.0045	0.0072	-0.0015	-0.0024	0.0475	0.0274	0.0073	0.002	0.0027	0.0434	-0.0037	-0.0046	-0.003	0.032	0.0057	0.0307	0.0972	-0.004	-0.0022	0.0009	-0.0022	-0.0052	-0.0041	-0.001	0.0202	-0.004	-0.0012	-0.0038	0.0207	-0.0019	0.0001	-0.0009	-0.0035	0.0113	0.0001	0.0055	-0.0036	0.0341	0.0038	-0.0014	-0.0004	0.0177	-0.0001	0.0577
direct_vc_estimate_se	1.2992	0.6899	0.2524	0.2368	0.0632	0.0438	0.0266	0.0247	0.0231	0.022	0.0193	0.0189	0.0207	0.018	0.019	0.0159	0.0208	0.0192	0.0196	0.0226	0.0284	0.0182	0.0252	0.0151	0.0234	0.0166	0.0186	0.0189	0.0172	0.016	0.0149	0.0169	0.0174	0.0157	0.0167	0.0159	0.0171	0.0169	0.017	0.0171	0.0158	0.0154	0.0215	0.0165	0.0175	0.0202	0.0194	0.0208	0.0197	0.0169	0.0176	0.0198	0.014	0.016	0.0162	0.017	0.0197	0.0147	0.0167	0.0154	0.0185	0.0145	0.021	0.0179	0.0151	0.0168	0.0161	0.0187	0.0154	0.0181	0.0137	0.0256	0.0194	0.0164	0.0144	0.0157	0.0159	0.0214	0.0164	0.0157	0.0202	0.0173	0.0159	0.0178	0.0154	0.0162	0.0158	0.014	0.0151	0.0167	0.0161	0.016	0.0225	0.0159	0.013	0.0162	0.0174	0.0139	0.0183	0.0166
direct_vc_pvals	0.95	0.988	0.812	0.379	0.057	0.346	0.905	0.018	0.0	0.063	0.142	0.102	0.151	0.23	0.924	0.148	0.456	0.755	0.968	0.459	0.4	0.759	0.495	0.0	0.153	0.773	0.151	0.263	0.573	0.007	0.09	0.126	0.812	0.496	0.939	0.656	0.905	0.077	0.979	0.166	0.636	0.784	0.011	0.9	0.893	0.567	0.58	0.518	0.325	0.85	0.664	0.424	0.317	0.255	0.116	0.288	0.853	0.336	0.647	0.706	0.061	0.135	0.292	0.476	0.424	0.059	0.859	0.964	0.789	0.078	0.391	0.133	0.007	0.942	0.706	0.498	0.637	0.913	0.983	0.606	0.172	0.867	0.64	0.806	0.151	0.661	0.553	0.662	0.89	0.191	0.514	0.312	0.69	0.06	0.395	0.614	0.557	0.127	0.544	0.014
upper95_perm_direct	2.7891	1.4809	0.5241	0.4653	0.1958	0.1024	0.0418	0.0664	0.0585	0.0496	0.0522	0.0634	0.046	0.0452	0.0368	0.0309	0.0467	0.0461	0.0496	0.0427	0.0856	0.0448	0.072	0.041	0.0712	0.0588	0.0467	0.0508	0.0489	0.0544	0.0524	0.0556	0.045	0.0478	0.0537	0.0464	0.045	0.0589	0.0476	0.0398	0.0432	0.0474	0.0522	0.0622	0.0499	0.0459	0.0558	0.0696	0.0604	0.0476	0.0401	0.0557	0.0529	0.0566	0.0524	0.0486	0.0516	0.0478	0.0583	0.0484	0.0629	0.061	0.0512	0.0483	0.0424	0.0569	0.0499	0.0642	0.0507	0.0496	0.0499	0.0679	0.0608	0.0574	0.0404	0.0482	0.0383	0.0478	0.0495	0.05	0.0487	0.052	0.0638	0.053	0.0495	0.0509	0.0453	0.0603	0.0589	0.0392	0.0385	0.0422	0.0498	0.0449	0.0416	0.04	0.0432	0.0382	0.0398	0.0404
lower0_perm_direct	-0.4736	-0.2424	-0.0883	-0.0834	-0.0223	-0.015	-0.0092	-0.0088	-0.008	-0.0075	-0.0066	-0.0067	-0.0075	-0.0062	-0.0065	-0.0055	-0.0071	-0.0065	-0.0068	-0.0078	-0.01	-0.0066	-0.0088	-0.0053	-0.008	-0.0058	-0.0064	-0.0064	-0.006	-0.0058	-0.0052	-0.0059	-0.006	-0.0057	-0.0059	-0.0056	-0.0058	-0.0062	-0.006	-0.0059	-0.0053	-0.0053	-0.0073	-0.0057	-0.0062	-0.0069	-0.0067	-0.0073	-0.0068	-0.0059	-0.0061	-0.0069	-0.005	-0.0057	-0.0056	-0.0059	-0.0069	-0.0051	-0.0058	-0.0055	-0.0064	-0.0052	-0.0073	-0.0063	-0.0053	-0.006	-0.0056	-0.0065	-0.0054	-0.0065	-0.0049	-0.009	-0.0068	-0.0058	-0.0049	-0.0054	-0.0054	-0.0075	-0.0056	-0.0055	-0.0068	-0.0063	-0.0056	-0.0063	-0.0053	-0.0056	-0.0055	-0.0051	-0.0053	-0.0058	-0.0056	-0.0055	-0.0079	-0.0054	-0.0044	-0.0056	-0.0059	-0.0049	-0.0066	-0.0058
sad_vc_estimate	-0.3209	-0.1358	-0.0515	0.0287	0.3607	0.0183	-0.0058	0.1571	0.3196	0.0571	0.033	0.0604	0.0504	0.0114	-0.0019	0.0307	-0.0031	-0.0043	-0.0016	-0.0012	0.0377	-0.0039	0.0301	0.223	0.0274	-0.0033	0.022	0.0177	-0.0015	0.101	0.0512	0.059	-0.0043	0.0092	-0.0034	-0.002	-0.0038	0.0528	-0.0041	0.0413	0.0013	-0.0021	0.1379	-0.0035	-0.0041	0.0011	0.0023	-0.0037	0.0017	-0.0042	0.0017	0.0096	0.0128	0.0257	0.0439	0.0216	-0.0049	0.0011	-0.0035	-0.0025	0.0891	0.047	0.0059	0.0139	0.0031	0.0405	-0.0035	-0.0037	-0.0037	0.0401	0.0127	0.0487	0.1269	-0.0032	-0.0014	0.0	-0.0025	-0.0053	-0.0041	0.0001	0.0205	-0.0043	0.0043	-0.0029	0.0231	0.0064	-0.0038	-0.0013	-0.0024	0.0221	0.0017	0.0193	-0.0004	0.0634	0.0042	-0.0035	0.0017	0.0199	-0.0015	0.0659
sad_vc_estimate_se	1.3018	0.6914	0.253	0.2373	0.0633	0.0439	0.0266	0.0248	0.0231	0.022	0.0194	0.019	0.0207	0.018	0.019	0.0159	0.0208	0.0192	0.0197	0.0227	0.0284	0.0183	0.0253	0.0151	0.0234	0.0167	0.0186	0.019	0.0172	0.016	0.0149	0.0169	0.0175	0.0157	0.0167	0.0159	0.0171	0.017	0.017	0.0171	0.0158	0.0154	0.0215	0.0165	0.0176	0.0202	0.0195	0.0208	0.0197	0.017	0.0176	0.0198	0.014	0.016	0.0163	0.017	0.0198	0.0147	0.0167	0.0154	0.0186	0.0145	0.021	0.0179	0.0151	0.0169	0.0162	0.0188	0.0154	0.0181	0.0138	0.0256	0.0194	0.0164	0.0144	0.0158	0.0159	0.0214	0.0164	0.0158	0.0202	0.0173	0.0159	0.0179	0.0154	0.0163	0.0159	0.014	0.0151	0.0167	0.0162	0.016	0.0225	0.0159	0.013	0.0163	0.0175	0.0139	0.0184	0.0166
sad_vc_pvals	0.95	0.789	0.806	0.46	0.012	0.342	0.813	0.006	0.0	0.057	0.152	0.05	0.052	0.323	0.625	0.086	0.723	0.861	0.645	0.555	0.28	0.844	0.288	0.0	0.23	0.839	0.147	0.26	0.669	0.025	0.072	0.084	0.966	0.387	0.851	0.753	0.857	0.07	0.927	0.085	0.548	0.759	0.004	0.864	0.89	0.554	0.521	0.804	0.545	0.986	0.519	0.386	0.293	0.172	0.086	0.213	0.997	0.601	0.85	0.761	0.026	0.082	0.386	0.275	0.495	0.121	0.858	0.817	0.915	0.141	0.329	0.093	0.008	0.838	0.687	0.626	0.705	0.955	0.994	0.618	0.213	0.979	0.518	0.742	0.203	0.458	0.914	0.765	0.801	0.174	0.495	0.216	0.582	0.038	0.423	0.84	0.51	0.191	0.64	0.035
upper95_perm_sad	4.0981	2.0127	0.7993	0.6462	0.2569	0.1532	0.0448	0.0981	0.0804	0.073	0.0917	0.0724	0.0636	0.072	0.0528	0.0523	0.0557	0.066	0.0683	0.0572	0.154	0.0602	0.1274	0.059	0.1002	0.074	0.0551	0.0753	0.0701	0.097	0.0748	0.0884	0.0617	0.0667	0.0692	0.0678	0.0664	0.0764	0.0853	0.0641	0.0687	0.076	0.0694	0.0853	0.0656	0.0695	0.0807	0.0963	0.0713	0.0695	0.0607	0.0834	0.0685	0.0689	0.0709	0.081	0.0744	0.0667	0.0716	0.0645	0.0827	0.0773	0.0659	0.064	0.0591	0.0768	0.0841	0.0787	0.0751	0.0823	0.0779	0.0853	0.0844	0.075	0.0572	0.061	0.0557	0.0634	0.0721	0.0745	0.0671	0.0679	0.0872	0.0661	0.0784	0.0705	0.0708	0.0993	0.078	0.0635	0.0544	0.0632	0.0761	0.069	0.056	0.0522	0.073	0.0568	0.0579	0.0672
lower0_perm_sad	-0.4507	-0.2439	-0.0871	-0.0825	-0.0221	-0.0155	-0.0093	-0.0087	-0.0078	-0.0076	-0.0067	-0.0067	-0.0071	-0.0063	-0.0066	-0.0057	-0.0072	-0.0069	-0.0068	-0.0079	-0.0098	-0.0063	-0.0088	-0.0052	-0.008	-0.006	-0.0064	-0.0066	-0.0059	-0.0056	-0.0052	-0.0058	-0.006	-0.0055	-0.0057	-0.0055	-0.006	-0.0058	-0.006	-0.0061	-0.0057	-0.0054	-0.0075	-0.0057	-0.006	-0.007	-0.0067	-0.0071	-0.0069	-0.0058	-0.006	-0.0068	-0.0049	-0.0056	-0.0056	-0.006	-0.0068	-0.0051	-0.0058	-0.0053	-0.0064	-0.0053	-0.0072	-0.0062	-0.0052	-0.0058	-0.0056	-0.0065	-0.0053	-0.0063	-0.0048	-0.009	-0.007	-0.0057	-0.005	-0.0057	-0.0055	-0.0072	-0.0057	-0.0054	-0.0069	-0.006	-0.0054	-0.0063	-0.0053	-0.0056	-0.0055	-0.005	-0.0052	-0.0058	-0.0058	-0.0054	-0.0079	-0.0054	-0.0045	-0.0058	-0.0061	-0.0048	-0.0065	-0.0059
covar_vc_estimate	0.6518	0.3382	0.1073	-0.0633	-0.4599	-0.0279	0.0125	-0.2283	-0.5205	-0.0869	-0.0562	-0.0881	-0.0612	-0.0229	0.0083	-0.0413	0.0034	0.008	0.0092	0.0011	-0.0368	0.0073	-0.0207	-0.381	-0.0527	0.0064	-0.0385	-0.0274	0.0022	-0.1825	-0.0797	-0.0797	0.0089	-0.0084	0.0078	0.0038	0.009	-0.0886	0.0085	-0.05	0.0006	0.0054	-0.2127	0.0075	0.0093	0.0007	-0.0007	0.0038	-0.0089	0.0083	0.0022	-0.0115	-0.0214	-0.0375	-0.0672	-0.0285	0.0098	-0.007	0.0056	0.0049	-0.1305	-0.072	-0.0132	-0.0128	-0.0058	-0.0838	0.0072	0.0096	0.0069	-0.0718	-0.0174	-0.0776	-0.2221	0.0087	0.0037	-0.0009	0.0046	0.0105	0.0082	0.0009	-0.0407	0.0085	-0.0017	0.0109	-0.0437	-0.0013	0.0063	0.0022	0.0064	-0.032	-0.0017	-0.0217	0.0047	-0.0934	-0.008	0.0058	-0.001	-0.0375	0.0017	-0.1234
