	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.0401	0.0519	-0.0032	0.0298	0.004	0.0006	-0.0003	0.0096	0.0071	0.0127	-0.0008	0.0092	0.0053	0.0003	-0.0006	-0.0004	0.0002	-0.0005	-0.0008	-0.0011	-0.0011	0.0084	0.0017	0.0137	0.005	-0.0006	-0.0003	0.0024	-0.0001	0.0191	0.0197	0.0009	-0.0	0.0	-0.0	-0.0004	0.001	0.0073	0.0002	0.0082	0.0133	0.0001	0.0173	0.0001	-0.0009	0.0018	0.0037	0.0001	0.0007	-0.0006	0.002	-0.0003	0.0076	-0.0007	0.0025	0.0134	0.0009	0.0001	-0.0005	0.0011	0.0247	0.0024	0.0025	-0.0006	0.0051	0.0067	-0.0006	-0.0006	-0.0003	0.0057	0.0001	0.0034	0.0104	0.0034	0.0011	0.0021	-0.0001	0.0026	0.0005	-0.0005	0.0047	0.0008	-0.0005	0.004	0.0016	-0.0003	0.0067	0.003	-0.0004	0.0189	-0.0003	0.0009	0.0008	0.0086	0.0074	-0.0005	0.0003	0.0088	-0.0009	0.0146
direct_vc_estimate_se	0.2639	0.1364	0.0529	0.0531	0.0091	0.0063	0.0039	0.0053	0.0044	0.0049	0.0034	0.0033	0.0034	0.0029	0.0031	0.0036	0.0023	0.0025	0.0034	0.0075	0.0066	0.0057	0.0047	0.0024	0.0028	0.0027	0.0041	0.0028	0.0032	0.0024	0.0024	0.0026	0.0022	0.0037	0.0024	0.0028	0.0024	0.0038	0.0027	0.0031	0.0022	0.0026	0.0036	0.003	0.0048	0.003	0.0046	0.0032	0.0028	0.0028	0.0026	0.0031	0.0024	0.0032	0.0025	0.0029	0.0039	0.0024	0.0024	0.0023	0.0037	0.0022	0.0026	0.0036	0.0031	0.0036	0.0027	0.0028	0.0023	0.0027	0.0024	0.0047	0.0026	0.0037	0.0025	0.0031	0.003	0.0041	0.0029	0.0029	0.0031	0.0027	0.0032	0.0041	0.0023	0.0025	0.0042	0.0027	0.0022	0.0025	0.0027	0.0036	0.0025	0.0022	0.0023	0.003	0.0023	0.0024	0.0046	0.0037
direct_vc_pvals	0.771	0.374	0.65	0.298	0.48	0.641	0.663	0.215	0.13	0.098	0.991	0.117	0.231	0.623	0.794	0.698	0.614	0.869	0.943	0.662	0.8	0.108	0.494	0.025	0.306	0.985	0.679	0.416	0.673	0.056	0.032	0.559	0.695	0.652	0.751	0.762	0.471	0.209	0.653	0.089	0.068	0.604	0.022	0.702	0.785	0.406	0.349	0.69	0.567	0.994	0.385	0.763	0.2	0.961	0.435	0.088	0.571	0.707	0.881	0.509	0.054	0.394	0.366	0.821	0.158	0.197	0.905	0.983	0.841	0.24	0.674	0.277	0.108	0.365	0.503	0.397	0.618	0.409	0.592	0.861	0.31	0.538	0.817	0.286	0.46	0.817	0.197	0.501	0.846	0.016	0.741	0.522	0.543	0.091	0.143	0.832	0.639	0.101	0.794	0.027
upper95_perm_direct	0.8158	0.4382	0.2007	0.1504	0.0457	0.038	0.0109	0.0296	0.0149	0.0193	0.0225	0.0174	0.0158	0.0158	0.0106	0.0109	0.0123	0.014	0.0137	0.014	0.0186	0.0146	0.0198	0.0125	0.0225	0.0196	0.0139	0.0181	0.0144	0.0229	0.0191	0.018	0.0123	0.0158	0.0203	0.0127	0.0118	0.0215	0.0166	0.0116	0.017	0.0124	0.0131	0.0205	0.0123	0.013	0.0225	0.0235	0.0165	0.0156	0.0144	0.0215	0.02	0.0144	0.0212	0.0207	0.0213	0.0201	0.0162	0.013	0.0298	0.0164	0.0151	0.0139	0.0119	0.0196	0.0213	0.0202	0.0169	0.0199	0.0188	0.0158	0.0171	0.0199	0.0147	0.0165	0.0118	0.0195	0.0172	0.0197	0.0182	0.0181	0.021	0.0172	0.0156	0.0203	0.0166	0.0324	0.0202	0.0127	0.0123	0.0177	0.0156	0.0143	0.0161	0.0135	0.0134	0.0152	0.0114	0.0129
lower0_perm_direct	-0.0781	-0.0417	-0.0162	-0.0159	-0.0026	-0.0018	-0.0012	-0.0017	-0.0013	-0.0015	-0.001	-0.001	-0.001	-0.0009	-0.001	-0.0011	-0.0007	-0.0008	-0.001	-0.0023	-0.002	-0.0018	-0.0014	-0.0007	-0.0008	-0.0008	-0.0013	-0.0008	-0.001	-0.0008	-0.0007	-0.0008	-0.0007	-0.0012	-0.0007	-0.0009	-0.0007	-0.0011	-0.0008	-0.0009	-0.0007	-0.0008	-0.0011	-0.0009	-0.0014	-0.0009	-0.0014	-0.0009	-0.0009	-0.0008	-0.0008	-0.0009	-0.0007	-0.001	-0.0007	-0.0009	-0.0012	-0.0007	-0.0007	-0.0007	-0.0011	-0.0007	-0.0008	-0.0011	-0.0009	-0.0011	-0.0008	-0.0009	-0.0007	-0.0008	-0.0007	-0.0015	-0.0008	-0.0011	-0.0007	-0.0009	-0.0009	-0.0012	-0.0009	-0.0009	-0.0009	-0.0008	-0.001	-0.0012	-0.0007	-0.0008	-0.0013	-0.0008	-0.0007	-0.0008	-0.0008	-0.0011	-0.0008	-0.0007	-0.0007	-0.0009	-0.0007	-0.0007	-0.0014	-0.0011
sad_vc_estimate	-0.0148	-0.0286	-0.0074	0.0337	0.0302	-0.0004	0.0008	0.03	0.0154	0.0248	-0.0005	0.0287	0.0209	-0.0002	0.0011	-0.0006	0.0018	-0.0005	0.0002	-0.0011	-0.0015	0.0201	0.0211	0.0194	0.0024	-0.0006	-0.0004	0.0037	-0.0006	0.0283	0.035	0.0135	-0.0003	0.0051	-0.0002	0.0017	0.006	0.0128	0.0022	0.0317	0.0226	-0.0	0.0511	-0.0	0.0	0.0093	0.0118	0.006	0.0004	0.0	0.0052	0.0002	0.0147	0.0006	0.0058	0.0258	0.0012	-0.0006	0.0	0.0006	0.0522	0.0062	0.0021	0.0024	0.0085	0.0126	-0.0005	0.0012	-0.0005	0.0054	-0.0002	0.0096	0.0239	-0.0003	0.0042	0.0022	-0.0004	0.0017	0.0021	-0.0004	0.0026	0.0014	-0.0006	0.0248	0.0049	0.0002	0.0181	0.0017	-0.0003	0.0331	-0.0005	0.0085	0.0001	0.0224	0.0136	0.0017	0.0014	0.0106	-0.0009	0.016
sad_vc_estimate_se	0.265	0.137	0.0532	0.0533	0.0092	0.0063	0.0039	0.0053	0.0044	0.0049	0.0034	0.0033	0.0035	0.0029	0.0032	0.0036	0.0023	0.0025	0.0035	0.0075	0.0067	0.0057	0.0047	0.0024	0.0028	0.0027	0.0041	0.0028	0.0033	0.0024	0.0024	0.0026	0.0022	0.0037	0.0024	0.0029	0.0024	0.0038	0.0027	0.0031	0.0023	0.0026	0.0037	0.003	0.0048	0.003	0.0046	0.0032	0.0028	0.0028	0.0026	0.0031	0.0024	0.0033	0.0025	0.0029	0.0039	0.0024	0.0024	0.0023	0.0037	0.0022	0.0026	0.0037	0.0031	0.0036	0.0027	0.0028	0.0023	0.0027	0.0024	0.0047	0.0026	0.0037	0.0025	0.0031	0.0031	0.0041	0.0029	0.0029	0.0031	0.0027	0.0032	0.0042	0.0023	0.0025	0.0042	0.0027	0.0022	0.0025	0.0027	0.0037	0.0025	0.0022	0.0023	0.003	0.0023	0.0024	0.0046	0.0037
sad_vc_pvals	0.733	0.895	0.847	0.431	0.212	0.78	0.543	0.106	0.142	0.074	0.863	0.04	0.079	0.81	0.548	0.829	0.471	0.914	0.678	0.737	0.958	0.082	0.231	0.071	0.555	0.956	0.757	0.477	0.88	0.135	0.036	0.236	0.855	0.372	0.823	0.539	0.309	0.218	0.566	0.023	0.084	0.74	0.008	0.79	0.669	0.174	0.237	0.482	0.698	0.762	0.342	0.762	0.187	0.682	0.427	0.059	0.615	0.998	0.785	0.645	0.028	0.356	0.519	0.48	0.22	0.238	0.924	0.659	0.935	0.381	0.826	0.227	0.075	0.78	0.389	0.529	0.788	0.551	0.543	0.855	0.55	0.613	0.882	0.087	0.373	0.764	0.118	0.734	0.887	0.006	0.872	0.276	0.759	0.051	0.16	0.534	0.529	0.217	0.857	0.113
upper95_perm_sad	1.4898	0.6317	0.3732	0.2925	0.0805	0.065	0.0187	0.0479	0.0311	0.0337	0.0389	0.0306	0.0288	0.0308	0.0211	0.0206	0.0174	0.0285	0.0251	0.0211	0.0524	0.0324	0.0602	0.0264	0.0372	0.0425	0.0239	0.032	0.0305	0.0547	0.0353	0.0401	0.0265	0.0351	0.0368	0.0275	0.0261	0.0388	0.0343	0.0299	0.0336	0.025	0.0291	0.0406	0.0229	0.0248	0.0349	0.0492	0.0323	0.0272	0.0279	0.0445	0.0352	0.0271	0.0372	0.0318	0.0335	0.042	0.0314	0.0238	0.0487	0.0304	0.0316	0.0249	0.0247	0.0405	0.0488	0.0384	0.0349	0.0396	0.0309	0.03	0.033	0.038	0.0264	0.03	0.0196	0.0347	0.0298	0.0373	0.0354	0.0319	0.0404	0.0358	0.0314	0.0347	0.0324	0.0713	0.0364	0.0213	0.0243	0.0334	0.0262	0.0257	0.0283	0.027	0.0242	0.0306	0.0232	0.0271
lower0_perm_sad	-0.0783	-0.0409	-0.0157	-0.0158	-0.0027	-0.0019	-0.0012	-0.0016	-0.0013	-0.0015	-0.001	-0.001	-0.001	-0.0009	-0.001	-0.0011	-0.0007	-0.0008	-0.0011	-0.0022	-0.002	-0.0017	-0.0014	-0.0007	-0.0009	-0.0008	-0.0012	-0.0008	-0.001	-0.0008	-0.0007	-0.0008	-0.0006	-0.0011	-0.0007	-0.0008	-0.0007	-0.0011	-0.0008	-0.001	-0.0007	-0.0008	-0.0011	-0.0009	-0.0014	-0.0009	-0.0014	-0.001	-0.0008	-0.0009	-0.0008	-0.0009	-0.0007	-0.001	-0.0007	-0.0009	-0.0012	-0.0007	-0.0007	-0.0007	-0.0012	-0.0007	-0.0008	-0.0011	-0.0009	-0.0011	-0.0008	-0.0008	-0.0007	-0.0008	-0.0007	-0.0014	-0.0008	-0.0011	-0.0008	-0.0009	-0.0009	-0.0012	-0.0009	-0.0008	-0.0009	-0.0008	-0.001	-0.0012	-0.0007	-0.0007	-0.0013	-0.0008	-0.0007	-0.0008	-0.0008	-0.0011	-0.0008	-0.0007	-0.0007	-0.0009	-0.0007	-0.0007	-0.0014	-0.0011
