	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.0078	-0.111	-0.0475	-0.043	-0.0112	-0.0043	-0.0046	-0.0034	0.0067	-0.0027	0.0199	-0.0016	-0.0011	0.0049	-0.0004	-0.0028	-0.0027	-0.0027	0.0053	-0.0025	0.0141	-0.0001	0.0117	0.0112	0.0106	-0.0028	0.0121	0.0011	-0.002	-0.0006	-0.0012	0.0004	-0.0001	-0.0026	-0.0022	-0.0014	0.0071	-0.0007	0.0088	-0.0026	0.0031	0.0086	0.0008	-0.0023	-0.0025	0.0063	-0.0016	-0.0016	0.001	-0.0012	-0.0026	-0.0026	-0.0018	0.0064	-0.0025	0.0133	-0.0026	0.0084	0.0002	0.0011	-0.0023	-0.0025	0.0212	-0.0025	-0.0028	-0.0026	-0.0015	0.0044	-0.0001	-0.0028	-0.0029	-0.0005	0.0036	0.0048	0.0186	-0.0027	-0.0014	0.015	-0.0016	0.0039	-0.002	-0.0018	-0.0021	0.0058	0.0135	-0.0016	-0.0026	0.0006	-0.0026	0.0081	0.0084	0.0032	0.0058	-0.0018	0.0062	-0.0013	-0.0006	-0.0027	-0.0017	-0.0026
direct_vc_estimate_se	6.0848	4.4737	2.2812	1.672	0.4402	0.2589	0.1855	0.2126	0.1802	0.1302	0.1574	0.1447	0.1199	0.1211	0.1239	0.1097	0.1181	0.1174	0.1543	0.0986	0.1174	0.1163	0.1022	0.1162	0.1274	0.1084	0.1068	0.1097	0.1171	0.1165	0.1011	0.1139	0.1174	0.1057	0.1036	0.1058	0.1149	0.1082	0.1132	0.1086	0.108	0.1041	0.0969	0.1165	0.1073	0.1171	0.1083	0.0991	0.1122	0.1114	0.1041	0.1015	0.1109	0.1063	0.1	0.1004	0.1012	0.1084	0.1133	0.0986	0.1159	0.1047	0.1342	0.106	0.1112	0.1066	0.1076	0.1051	0.1007	0.1086	0.1139	0.1096	0.1063	0.1078	0.1042	0.1073	0.105	0.1019	0.1026	0.1122	0.1054	0.1008	0.135	0.1014	0.0989	0.1033	0.1031	0.1098	0.1035	0.0991	0.1064	0.0999	0.0988	0.1087	0.0967	0.1067	0.1127	0.1067	0.1024	0.1025
direct_vc_pvals	0.344	0.872	0.699	0.981	0.948	0.583	0.854	0.622	0.211	0.664	0.051	0.56	0.486	0.144	0.421	0.886	0.782	0.778	0.212	0.898	0.037	0.433	0.065	0.078	0.09	0.934	0.067	0.357	0.627	0.427	0.554	0.407	0.447	0.854	0.723	0.58	0.143	0.478	0.089	0.824	0.248	0.096	0.361	0.701	0.788	0.165	0.604	0.642	0.336	0.573	0.888	0.953	0.624	0.148	0.884	0.054	0.96	0.118	0.407	0.318	0.721	0.839	0.029	0.809	0.936	0.896	0.598	0.174	0.454	0.97	0.92	0.48	0.187	0.19	0.025	0.864	0.599	0.046	0.616	0.223	0.644	0.622	0.627	0.144	0.047	0.629	0.946	0.366	0.919	0.114	0.101	0.226	0.131	0.618	0.126	0.542	0.478	0.904	0.632	0.996
upper95_perm_direct	0.522	0.4545	0.2406	0.1676	0.0636	0.0278	0.0189	0.0306	0.026	0.0137	0.0232	0.0233	0.0149	0.0128	0.0155	0.0102	0.016	0.0122	0.0207	0.0138	0.0131	0.0158	0.0158	0.0161	0.0177	0.016	0.0166	0.0179	0.0155	0.0188	0.0142	0.0173	0.0184	0.0124	0.0148	0.0158	0.017	0.0158	0.015	0.0172	0.0159	0.0143	0.0135	0.0142	0.0146	0.0172	0.0167	0.0138	0.0162	0.0167	0.0127	0.0139	0.0138	0.0162	0.0154	0.0153	0.0133	0.0176	0.0167	0.0128	0.0164	0.0152	0.0192	0.0143	0.015	0.0162	0.0173	0.0135	0.0163	0.016	0.0136	0.017	0.0145	0.0166	0.0145	0.015	0.0138	0.0162	0.014	0.0172	0.0142	0.0118	0.0169	0.0148	0.0149	0.013	0.0122	0.014	0.0149	0.0164	0.0146	0.0135	0.0129	0.0148	0.013	0.0144	0.0145	0.0144	0.0136	0.0131
lower0_perm_direct	-0.2063	-0.1448	-0.0746	-0.0537	-0.0145	-0.0084	-0.0059	-0.0068	-0.0058	-0.0042	-0.0051	-0.0048	-0.004	-0.0039	-0.004	-0.0036	-0.0039	-0.0038	-0.0051	-0.0032	-0.0039	-0.0037	-0.0035	-0.0037	-0.0041	-0.0035	-0.0035	-0.0035	-0.0039	-0.0037	-0.0033	-0.0037	-0.004	-0.0035	-0.0034	-0.0035	-0.0038	-0.0035	-0.0037	-0.0036	-0.0035	-0.0033	-0.0032	-0.0038	-0.0034	-0.0038	-0.0035	-0.0032	-0.0037	-0.0036	-0.0033	-0.0033	-0.0038	-0.0034	-0.0033	-0.0032	-0.0033	-0.0035	-0.0038	-0.0033	-0.0038	-0.0034	-0.0044	-0.0035	-0.0036	-0.0035	-0.0035	-0.0036	-0.0033	-0.0035	-0.0038	-0.0035	-0.0035	-0.0036	-0.0033	-0.0036	-0.0034	-0.0033	-0.0033	-0.0037	-0.0035	-0.0033	-0.0044	-0.0033	-0.0033	-0.0034	-0.0034	-0.0036	-0.0033	-0.0032	-0.0035	-0.0032	-0.0032	-0.0036	-0.0031	-0.0035	-0.0037	-0.0035	-0.0033	-0.0033
sad_vc_estimate	-0.1066	-0.1144	-0.0602	-0.0388	-0.0099	0.0115	-0.0039	0.0095	0.0349	-0.0034	0.0039	-0.0008	-0.0005	0.0244	0.0019	-0.0029	-0.0016	-0.003	-0.0003	-0.0026	0.0143	-0.0012	0.0058	0.0088	0.0104	-0.0024	0.0136	0.0016	-0.0031	-0.0011	0.0004	-0.0029	0.0028	-0.0005	-0.0011	-0.0028	0.0027	-0.0028	0.0123	0.0028	-0.0009	0.0007	0.0049	-0.0021	-0.0027	0.0249	0.0014	0.0011	0.0011	0.0091	-0.0019	-0.0027	-0.0019	0.0016	-0.0026	0.0147	-0.0019	0.019	0.0045	-0.002	-0.0029	-0.0008	0.0438	-0.0024	-0.0002	-0.0028	-0.0001	0.0093	-0.0011	-0.0025	-0.0029	0.0121	-0.0028	-0.0015	0.0323	-0.0023	-0.0027	0.012	0.0031	0.0125	-0.0012	0.0045	-0.0032	0.0123	0.018	-0.0018	-0.0026	0.01	-0.0025	0.004	-0.001	0.0013	0.0093	-0.0025	0.0056	0.0024	0.0001	-0.0028	0.0009	-0.0027
sad_vc_estimate_se	6.3959	4.6835	2.3536	1.7253	0.4586	0.268	0.1935	0.2209	0.1876	0.1367	0.1636	0.1507	0.1251	0.1259	0.1285	0.1139	0.1227	0.1226	0.1596	0.1028	0.122	0.1212	0.1067	0.121	0.1323	0.1129	0.1113	0.1145	0.1215	0.1209	0.106	0.1183	0.1219	0.1102	0.108	0.1103	0.1192	0.1125	0.1176	0.1131	0.1124	0.1085	0.1013	0.1211	0.1116	0.1215	0.1127	0.1035	0.1167	0.1159	0.1084	0.106	0.1154	0.1108	0.1045	0.1048	0.1056	0.1129	0.1177	0.1029	0.1202	0.1091	0.1386	0.1103	0.1156	0.111	0.112	0.1094	0.105	0.113	0.1184	0.1139	0.1107	0.1121	0.1086	0.1117	0.1094	0.1062	0.107	0.1166	0.1099	0.1055	0.1393	0.1061	0.1032	0.1075	0.1076	0.1143	0.1078	0.1035	0.1106	0.1041	0.1032	0.113	0.101	0.111	0.1171	0.111	0.1067	0.1068
sad_vc_pvals	0.597	0.832	0.955	0.778	0.782	0.169	0.658	0.206	0.025	0.84	0.323	0.505	0.476	0.012	0.299	0.899	0.579	0.846	0.437	0.898	0.068	0.576	0.214	0.135	0.117	0.766	0.095	0.391	0.927	0.559	0.457	0.898	0.329	0.482	0.565	0.935	0.327	0.909	0.094	0.299	0.565	0.429	0.226	0.68	0.883	0.033	0.373	0.39	0.359	0.141	0.686	0.989	0.654	0.37	0.918	0.059	0.646	0.049	0.239	0.735	0.88	0.522	0.004	0.754	0.496	0.928	0.488	0.132	0.594	0.816	0.876	0.104	0.961	0.618	0.012	0.762	0.877	0.083	0.261	0.11	0.579	0.242	0.808	0.077	0.053	0.671	0.872	0.12	0.807	0.259	0.572	0.39	0.117	0.769	0.181	0.285	0.473	0.964	0.373	0.993
upper95_perm_sad	0.7255	0.5861	0.3136	0.2425	0.0865	0.031	0.0229	0.0328	0.0302	0.0164	0.0287	0.0292	0.0196	0.016	0.018	0.013	0.0205	0.0186	0.0221	0.0176	0.019	0.0217	0.0198	0.0191	0.0203	0.0198	0.0221	0.0225	0.0217	0.0209	0.0188	0.0248	0.025	0.019	0.023	0.0208	0.0219	0.0212	0.019	0.0195	0.0188	0.0237	0.0203	0.0225	0.0226	0.0233	0.0187	0.0199	0.0207	0.0207	0.0206	0.0191	0.0197	0.0185	0.0211	0.0179	0.0187	0.0213	0.0208	0.0201	0.02	0.0199	0.0206	0.0178	0.021	0.0196	0.0232	0.0206	0.021	0.0218	0.0171	0.0226	0.0213	0.0214	0.0181	0.0202	0.0215	0.0179	0.0174	0.0208	0.0206	0.018	0.025	0.0188	0.0205	0.0197	0.0191	0.0181	0.021	0.0219	0.0204	0.0192	0.0182	0.019	0.018	0.0183	0.0228	0.0209	0.0178	0.0209
lower0_perm_sad	-0.2148	-0.1541	-0.0764	-0.0552	-0.0147	-0.0088	-0.0065	-0.0072	-0.006	-0.0044	-0.0053	-0.0049	-0.0041	-0.0043	-0.0042	-0.0036	-0.004	-0.004	-0.0053	-0.0033	-0.0038	-0.0039	-0.0034	-0.0039	-0.0044	-0.0037	-0.0035	-0.0037	-0.0039	-0.004	-0.0035	-0.0039	-0.0041	-0.0037	-0.0035	-0.0035	-0.0041	-0.0037	-0.0038	-0.0036	-0.0038	-0.0037	-0.0033	-0.0041	-0.0037	-0.004	-0.0038	-0.0033	-0.0037	-0.0038	-0.0034	-0.0035	-0.0038	-0.0036	-0.0035	-0.0034	-0.0034	-0.0037	-0.0039	-0.0033	-0.004	-0.0036	-0.0046	-0.0035	-0.0037	-0.0036	-0.0036	-0.0036	-0.0034	-0.0035	-0.0039	-0.0037	-0.0036	-0.0036	-0.0035	-0.0038	-0.0036	-0.0036	-0.0035	-0.0037	-0.0035	-0.0034	-0.0045	-0.0034	-0.0033	-0.0036	-0.0035	-0.0037	-0.0035	-0.0033	-0.0037	-0.0034	-0.0034	-0.0038	-0.0032	-0.0035	-0.0038	-0.0035	-0.0036	-0.0034
