	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.0501	-0.0894	-0.0512	-0.0446	-0.0125	0.0055	-0.004	-0.0061	0.0101	0.0018	0.0034	0.0019	0.0049	-0.0044	0.0013	0.0294	-0.0037	0.0057	-0.004	-0.0006	0.0015	-0.0008	0.0047	-0.0012	0.0135	-0.0013	-0.0016	0.0029	-0.004	-0.0003	-0.0031	-0.0036	0.0123	0.061	-0.0015	-0.0032	-0.0036	-0.0023	-0.0035	0.0063	-0.0034	-0.0034	0.0027	-0.0033	-0.0035	-0.0026	-0.0034	-0.0033	-0.0035	0.0006	-0.0006	0.0094	-0.0035	-0.0036	0.0025	-0.0021	0.0044	-0.0021	-0.0011	-0.0002	-0.0028	0.0004	-0.0031	-0.0037	-0.0003	-0.0033	0.0098	0.0002	-0.0037	-0.0025	-0.005	0.0025	-0.0016	0.0126	0.0017	-0.001	-0.0016	0.0104	0.0036	0.0405	-0.0034	-0.004	-0.0039	-0.0021	0.0044	0.0095	-0.0044	0.0059	-0.0032	-0.0044	0.004	-0.0027	-0.0031	0.0008	-0.0021	0.0212	-0.0002	0.0027	-0.0026	-0.0044
direct_vc_estimate_se	0.7548	0.5152	0.1524	0.1279	0.0464	0.0211	0.019	0.0176	0.0205	0.0129	0.0181	0.0145	0.0139	0.0149	0.0114	0.0114	0.0127	0.0097	0.0117	0.0118	0.0093	0.0117	0.0103	0.0118	0.0116	0.0188	0.0119	0.012	0.0167	0.0109	0.0118	0.0104	0.0133	0.0116	0.0096	0.0104	0.0103	0.0107	0.011	0.0132	0.0112	0.0098	0.0096	0.0095	0.0107	0.0111	0.0101	0.01	0.0112	0.0129	0.0107	0.0116	0.0102	0.0106	0.0105	0.0129	0.0099	0.0118	0.0107	0.0128	0.0101	0.0112	0.0115	0.0109	0.0098	0.0099	0.0099	0.0104	0.0108	0.011	0.0145	0.0105	0.0105	0.0113	0.0137	0.0107	0.0101	0.0108	0.0119	0.011	0.0101	0.0116	0.0147	0.0103	0.0099	0.0097	0.0132	0.012	0.0118	0.0134	0.0125	0.0104	0.0099	0.0108	0.0101	0.0096	0.0095	0.0104	0.0116	0.0157
direct_vc_pvals	0.441	0.43	0.862	0.989	0.701	0.232	0.507	1.0	0.18	0.264	0.302	0.297	0.219	0.714	0.277	0.013	0.698	0.186	0.949	0.449	0.32	0.455	0.166	0.466	0.085	0.453	0.527	0.274	0.584	0.444	0.711	0.958	0.101	0.0	0.531	0.787	0.974	0.625	0.812	0.194	0.75	0.939	0.285	0.976	0.836	0.635	0.899	0.846	0.772	0.367	0.467	0.101	0.934	0.857	0.265	0.49	0.241	0.578	0.488	0.411	0.676	0.361	0.696	0.908	0.445	0.874	0.1	0.426	0.934	0.612	0.979	0.275	0.524	0.077	0.299	0.48	0.553	0.089	0.285	0.004	0.868	0.901	0.675	0.581	0.227	0.11	0.855	0.17	0.695	0.826	0.223	0.689	0.803	0.354	0.605	0.033	0.436	0.279	0.622	0.714
upper95_perm_direct	0.9837	0.4674	0.2181	0.2509	0.1128	0.0283	0.0194	0.0299	0.0325	0.0147	0.0302	0.0255	0.0244	0.0283	0.0159	0.0151	0.0187	0.0238	0.023	0.0208	0.0175	0.0227	0.0166	0.0214	0.0219	0.0288	0.0215	0.0216	0.0181	0.0243	0.0249	0.0193	0.0221	0.0235	0.0204	0.0217	0.021	0.0235	0.0181	0.0259	0.0213	0.0205	0.0188	0.0217	0.0193	0.0199	0.021	0.0194	0.0231	0.027	0.0247	0.0187	0.0204	0.0198	0.0201	0.0212	0.0227	0.0222	0.0196	0.0249	0.0191	0.0198	0.0217	0.0246	0.0222	0.0227	0.0188	0.0218	0.0203	0.0206	0.0267	0.0225	0.0194	0.0204	0.0234	0.0203	0.0213	0.0205	0.0254	0.0211	0.0192	0.0208	0.0246	0.019	0.0189	0.0205	0.0259	0.0194	0.0201	0.0204	0.0204	0.0222	0.0194	0.0183	0.0198	0.021	0.0212	0.02	0.0199	0.0312
lower0_perm_direct	-0.364	-0.2505	-0.0735	-0.0614	-0.0225	-0.0106	-0.0092	-0.0086	-0.0099	-0.0063	-0.0087	-0.007	-0.0068	-0.0073	-0.0055	-0.0055	-0.0063	-0.0048	-0.0058	-0.0057	-0.0045	-0.0057	-0.0051	-0.0057	-0.0057	-0.0092	-0.006	-0.0058	-0.0082	-0.0054	-0.0056	-0.005	-0.0066	-0.0056	-0.0046	-0.0052	-0.005	-0.0052	-0.0053	-0.0065	-0.0054	-0.0048	-0.0046	-0.0046	-0.0053	-0.0055	-0.0051	-0.0048	-0.0053	-0.0062	-0.0051	-0.0057	-0.005	-0.0051	-0.0051	-0.0064	-0.0049	-0.0059	-0.0052	-0.0062	-0.005	-0.0055	-0.0056	-0.0054	-0.0048	-0.0049	-0.0048	-0.005	-0.0052	-0.0053	-0.0071	-0.0051	-0.0052	-0.0055	-0.0066	-0.0053	-0.0048	-0.0052	-0.0058	-0.0054	-0.0049	-0.0056	-0.0071	-0.005	-0.0049	-0.0048	-0.0066	-0.0059	-0.0057	-0.0067	-0.0061	-0.005	-0.0049	-0.0052	-0.0049	-0.0048	-0.0047	-0.0051	-0.0056	-0.0077
sad_vc_estimate	-0.1215	-0.1852	-0.0492	-0.0439	-0.0148	0.0029	-0.0063	-0.0058	0.0144	-0.0024	0.0141	-0.0047	-0.0013	-0.0047	-0.0022	0.0263	-0.0045	0.0288	-0.0026	0.003	0.0044	0.009	0.0018	-0.0037	0.0077	0.0042	-0.004	0.0001	-0.0029	0.0006	0.0015	-0.003	0.0005	0.0612	-0.0024	-0.0035	-0.0036	-0.0019	-0.0039	0.0132	-0.0039	-0.0031	0.0152	-0.0033	-0.001	0.0016	-0.0029	-0.0032	-0.004	0.0073	0.0097	0.0049	-0.0037	-0.0013	0.0099	-0.0026	-0.0006	0.0018	-0.0008	0.0013	-0.0021	0.002	0.0002	-0.0039	-0.0005	-0.0036	0.0174	0.0062	-0.0038	-0.0035	-0.0049	-0.0027	0.0002	0.0224	0.0119	-0.0036	-0.0008	0.0079	0.0137	0.0557	-0.0032	-0.0024	-0.0015	-0.002	0.0057	0.0178	-0.0047	0.0043	-0.0019	0.0019	0.0048	0.0009	0.0041	0.0062	0.0019	0.0143	0.0001	-0.0015	0.002	-0.0014
sad_vc_estimate_se	0.7814	0.5327	0.1584	0.1325	0.048	0.0219	0.0196	0.0182	0.0211	0.0134	0.0186	0.015	0.0143	0.0153	0.0118	0.0118	0.0131	0.0101	0.0121	0.0122	0.0097	0.0121	0.0106	0.0122	0.0119	0.0192	0.0123	0.0124	0.0171	0.0113	0.0121	0.0108	0.0137	0.0119	0.01	0.0108	0.0106	0.011	0.0114	0.0136	0.0115	0.0102	0.0099	0.0099	0.0111	0.0115	0.0105	0.0104	0.0115	0.0133	0.011	0.0119	0.0106	0.011	0.0109	0.0133	0.0102	0.0122	0.0111	0.0132	0.0105	0.0115	0.0119	0.0113	0.0102	0.0102	0.0102	0.0108	0.0112	0.0114	0.0148	0.0109	0.0109	0.0116	0.0141	0.0111	0.0104	0.0111	0.0122	0.0113	0.0106	0.012	0.015	0.0107	0.0102	0.0101	0.0136	0.0124	0.0121	0.0138	0.0129	0.0107	0.0103	0.0112	0.0104	0.01	0.0099	0.0107	0.012	0.016
sad_vc_pvals	0.495	0.951	0.792	0.852	0.802	0.281	0.771	0.812	0.153	0.514	0.141	0.795	0.475	0.752	0.577	0.01	0.901	0.029	0.643	0.321	0.196	0.156	0.306	0.763	0.172	0.276	0.836	0.411	0.497	0.407	0.352	0.717	0.393	0.001	0.693	0.822	0.904	0.598	0.959	0.111	0.9	0.787	0.088	0.866	0.491	0.37	0.724	0.836	0.973	0.192	0.131	0.234	0.969	0.512	0.141	0.601	0.547	0.346	0.474	0.357	0.608	0.319	0.428	0.943	0.467	0.969	0.051	0.191	0.892	0.805	0.866	0.689	0.404	0.054	0.13	0.849	0.483	0.179	0.12	0.001	0.803	0.576	0.461	0.574	0.247	0.063	0.981	0.253	0.541	0.277	0.238	0.38	0.276	0.193	0.312	0.126	0.446	0.549	0.315	0.516
upper95_perm_sad	1.0606	0.6029	0.3007	0.2789	0.1444	0.0312	0.0233	0.0362	0.043	0.0179	0.0388	0.0315	0.0284	0.0259	0.0174	0.0181	0.0217	0.0279	0.0285	0.0299	0.019	0.0289	0.0197	0.0211	0.0286	0.0389	0.0243	0.0291	0.0227	0.0267	0.0265	0.023	0.0304	0.0278	0.024	0.0281	0.0246	0.0288	0.0264	0.0258	0.0246	0.0244	0.0265	0.0264	0.0264	0.0253	0.0222	0.0281	0.0294	0.0296	0.0248	0.0238	0.0266	0.0242	0.025	0.0276	0.028	0.025	0.0264	0.026	0.0237	0.0257	0.0262	0.0259	0.0253	0.0243	0.022	0.0242	0.0258	0.0288	0.0292	0.0241	0.0276	0.0287	0.0293	0.0229	0.0239	0.027	0.0294	0.0241	0.0246	0.0233	0.0282	0.0225	0.0273	0.0235	0.028	0.0286	0.0224	0.0215	0.0261	0.0262	0.0269	0.0243	0.0218	0.0297	0.0249	0.0226	0.0234	0.0362
lower0_perm_sad	-0.3741	-0.2568	-0.0777	-0.0637	-0.0241	-0.0107	-0.0097	-0.009	-0.0102	-0.0066	-0.0091	-0.0072	-0.007	-0.0076	-0.0057	-0.0059	-0.0062	-0.0049	-0.0059	-0.006	-0.0047	-0.006	-0.0052	-0.006	-0.0059	-0.0094	-0.006	-0.006	-0.0083	-0.0055	-0.0059	-0.0052	-0.0068	-0.0059	-0.0049	-0.0053	-0.0051	-0.0054	-0.0055	-0.0067	-0.0056	-0.0049	-0.0048	-0.0048	-0.0054	-0.0058	-0.0051	-0.0049	-0.0056	-0.0063	-0.0054	-0.006	-0.0053	-0.0053	-0.0052	-0.0064	-0.0051	-0.0058	-0.0056	-0.0065	-0.0051	-0.0056	-0.0058	-0.0054	-0.0049	-0.005	-0.005	-0.0052	-0.0053	-0.0056	-0.0071	-0.0052	-0.0052	-0.0055	-0.0067	-0.0053	-0.005	-0.0054	-0.0057	-0.0056	-0.0051	-0.0059	-0.0072	-0.0051	-0.0049	-0.0049	-0.0066	-0.006	-0.0058	-0.0067	-0.0062	-0.0051	-0.0049	-0.0053	-0.0052	-0.0048	-0.0048	-0.0052	-0.0058	-0.008
