	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.0503	-0.0724	0.0207	-0.0451	0.0037	-0.0018	0.0041	0.0083	-0.0023	-0.001	-0.0036	-0.0025	-0.0015	-0.0004	-0.0009	-0.0028	-0.0029	0.0052	-0.0003	-0.0024	-0.0003	0.0228	-0.003	0.0238	-0.0014	-0.001	0.0016	0.0037	-0.0008	-0.0021	-0.005	0.0054	-0.0038	-0.0031	0.0092	-0.0034	0.0059	0.0013	0.0031	-0.0013	-0.0016	0.0022	0.0075	-0.0001	0.0018	0.0064	-0.003	0.0022	0.0021	-0.0019	-0.0026	-0.0032	-0.0017	-0.0028	-0.0015	0.0009	-0.0003	-0.0026	-0.0046	-0.001	-0.0027	-0.005	0.0017	0.0021	0.0031	-0.0031	-0.0048	0.0041	-0.0016	-0.0016	-0.0015	0.006	0.0053	-0.0023	0.0005	-0.0026	0.0024	-0.0036	-0.002	-0.0019	-0.0022	0.0019	0.0032	0.0006	-0.0017	0.0008	-0.0018	-0.0034	-0.0023	0.0025	-0.0018	-0.0016	-0.0017	-0.0027	-0.0028	-0.0016	0.0001	-0.0024	0.0072	-0.0007
direct_vc_estimate_se	0.0058	0.0046	0.0016	0.0018	0.0003	0.0002	0.0003	0.0001	0.0001	0.0002	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0003	0.0001	0.0002	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0003	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0002	0.0002	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
direct_vc_pvals	0.466	0.659	0.44	0.887	0.359	0.599	0.513	0.179	0.809	0.534	0.85	0.695	0.592	0.528	0.577	0.841	0.795	0.256	0.346	0.821	0.514	0.072	0.998	0.053	0.415	0.36	0.235	0.402	0.502	0.785	0.579	0.212	0.693	0.71	0.092	0.71	0.269	0.758	0.236	0.52	0.609	0.414	0.111	0.501	0.297	0.247	0.972	0.245	0.453	0.509	0.695	0.796	0.95	0.692	0.644	0.391	0.403	0.855	0.925	0.477	0.69	0.897	0.268	0.131	0.241	0.82	0.836	0.244	0.654	0.664	0.584	0.31	0.071	0.866	0.455	0.777	0.397	0.963	0.618	0.58	0.783	0.422	0.221	0.444	0.77	0.497	1.0	0.855	0.933	0.314	0.769	0.73	0.622	0.926	0.928	0.718	0.409	0.76	0.208	0.505
upper95_perm_direct	0.6165	0.7827	0.3559	0.2625	0.0453	0.0504	0.0709	0.0267	0.0306	0.0436	0.0412	0.0303	0.0174	0.0282	0.0146	0.0168	0.0152	0.0212	0.0102	0.0228	0.0257	0.034	0.0208	0.0289	0.017	0.0054	0.0096	0.033	0.0179	0.0148	0.0325	0.0194	0.0332	0.0092	0.0162	0.0225	0.0269	0.0369	0.0173	0.0116	0.0178	0.0367	0.0143	0.0231	0.01	0.0266	0.0308	0.0197	0.0207	0.0256	0.0163	0.0486	0.0073	0.0213	0.0324	0.011	0.0059	0.015	0.0186	0.0119	0.0123	0.0155	0.0185	0.0054	0.0161	0.0164	0.0219	0.0192	0.0127	0.0398	0.0248	0.0303	0.0073	0.0194	0.0226	0.0168	0.0197	0.0155	0.0125	0.0171	0.0331	0.026	0.0165	0.0222	0.0265	0.0232	0.0127	0.0079	0.029	0.0185	0.0244	0.0318	0.0155	0.0211	0.0084	0.0202	0.0153	0.0112	0.0181	0.0125
lower0_perm_direct	-0.2095	-0.1702	-0.0572	-0.0636	-0.0103	-0.009	-0.009	-0.0047	-0.004	-0.008	-0.0056	-0.0054	-0.0039	-0.0054	-0.003	-0.0043	-0.0045	-0.0041	-0.005	-0.0038	-0.0044	-0.0049	-0.004	-0.006	-0.0073	-0.0038	-0.0045	-0.004	-0.0039	-0.0033	-0.0105	-0.0033	-0.007	-0.005	-0.0043	-0.0059	-0.0038	-0.0043	-0.0039	-0.0038	-0.004	-0.0056	-0.0031	-0.0046	-0.0032	-0.005	-0.0041	-0.0079	-0.0034	-0.0091	-0.0046	-0.0053	-0.0024	-0.0051	-0.0046	-0.0035	-0.002	-0.0039	-0.0064	-0.0039	-0.0045	-0.0069	-0.0082	-0.0022	-0.0047	-0.0047	-0.0071	-0.0046	-0.0031	-0.0042	-0.0044	-0.0034	-0.0032	-0.0034	-0.0046	-0.004	-0.0036	-0.005	-0.004	-0.0049	-0.0041	-0.0031	-0.0037	-0.0052	-0.0032	-0.0036	-0.0025	-0.0048	-0.0032	-0.0044	-0.0034	-0.0051	-0.0041	-0.0038	-0.004	-0.0031	-0.0036	-0.004	-0.003	-0.0029
sad_vc_estimate	0.3301	-0.0978	0.1593	-0.045	-0.0009	-0.0038	0.016	0.0165	0.0019	0.0143	-0.0021	-0.002	-0.0026	-0.001	0.0044	-0.0013	0.001	0.0076	-0.0034	0.0003	0.0065	0.0424	0.0014	0.0297	-0.0053	-0.0027	0.0052	0.0053	0.002	0.0008	-0.0077	0.0019	-0.0046	-0.0033	0.0222	-0.0038	0.0014	0.0045	0.0069	-0.0027	-0.001	-0.0031	0.013	-0.0034	0.0017	0.0073	0.0043	0.0266	-0.0002	0.022	0.0023	-0.0028	-0.0017	-0.002	-0.0023	0.0037	-0.0004	-0.0024	0.0017	0.0034	-0.0015	-0.0051	-0.0013	0.0019	-0.0034	-0.0032	0.0056	0.0113	-0.0014	-0.0015	0.0036	0.008	0.0186	-0.0023	0.0018	-0.0021	0.0061	-0.0037	0.0056	-0.0035	-0.003	0.0007	-0.0007	-0.0037	0.0006	-0.0015	-0.0018	-0.0004	-0.0013	0.0024	-0.0025	0.0053	-0.0029	-0.0016	0.0018	-0.0022	-0.0004	-0.0015	0.006	-0.0019
sad_vc_estimate_se	0.0059	0.0046	0.0016	0.0018	0.0003	0.0002	0.0003	0.0001	0.0001	0.0002	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0003	0.0001	0.0002	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0003	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0002	0.0002	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
sad_vc_pvals	0.155	0.749	0.184	0.869	0.547	0.71	0.415	0.132	0.488	0.239	0.717	0.631	0.837	0.62	0.229	0.609	0.375	0.242	0.822	0.473	0.242	0.026	0.399	0.055	0.917	0.893	0.136	0.364	0.376	0.442	0.989	0.401	0.842	0.82	0.034	0.838	0.432	0.711	0.174	0.958	0.535	0.782	0.088	0.983	0.422	0.252	0.396	0.056	0.744	0.117	0.379	0.773	0.924	0.641	0.75	0.293	0.486	0.784	0.411	0.234	0.547	0.97	0.486	0.158	0.912	0.87	0.306	0.17	0.705	0.743	0.38	0.234	0.013	0.871	0.404	0.67	0.343	0.989	0.198	0.988	0.943	0.509	0.547	0.887	0.58	0.75	0.951	0.419	0.73	0.348	0.933	0.52	0.992	0.706	0.276	0.995	0.492	0.562	0.182	0.817
upper95_perm_sad	0.8621	0.6873	0.431	0.2603	0.0539	0.0625	0.0884	0.0376	0.0357	0.0515	0.0416	0.0295	0.0181	0.0327	0.0171	0.0277	0.0194	0.0293	0.0203	0.0285	0.0235	0.0422	0.0232	0.0372	0.0252	0.0075	0.0125	0.0349	0.0249	0.0172	0.0538	0.0244	0.0438	0.0128	0.0214	0.0254	0.0257	0.0491	0.0205	0.0159	0.0187	0.0392	0.0202	0.0189	0.0142	0.0304	0.0386	0.0349	0.0265	0.0422	0.0227	0.0522	0.0087	0.0266	0.0431	0.0165	0.0073	0.0196	0.0272	0.0171	0.019	0.0227	0.0325	0.0062	0.0197	0.0254	0.0399	0.0284	0.0193	0.0512	0.0337	0.0322	0.0143	0.0236	0.0292	0.02	0.0276	0.0152	0.0187	0.0279	0.0401	0.0265	0.0182	0.0246	0.0318	0.0262	0.0153	0.0153	0.0403	0.0232	0.0325	0.0541	0.0187	0.0298	0.0155	0.0249	0.0141	0.0161	0.0151	0.0131
lower0_perm_sad	-0.2178	-0.164	-0.0592	-0.0663	-0.0107	-0.009	-0.0091	-0.0046	-0.0039	-0.008	-0.0057	-0.0053	-0.0039	-0.0055	-0.003	-0.0042	-0.0044	-0.0043	-0.0049	-0.0037	-0.0044	-0.005	-0.004	-0.0059	-0.0071	-0.0039	-0.0046	-0.004	-0.0039	-0.0034	-0.0105	-0.0035	-0.0069	-0.0049	-0.0044	-0.0057	-0.0038	-0.0043	-0.004	-0.0038	-0.0039	-0.0057	-0.003	-0.0048	-0.0033	-0.005	-0.0041	-0.0078	-0.0035	-0.0089	-0.0047	-0.0051	-0.0024	-0.0053	-0.0045	-0.0036	-0.002	-0.0038	-0.0063	-0.004	-0.0047	-0.0071	-0.0085	-0.0022	-0.0049	-0.0046	-0.0071	-0.0047	-0.0031	-0.0043	-0.0044	-0.0034	-0.0033	-0.0035	-0.0045	-0.0041	-0.0036	-0.0049	-0.004	-0.0048	-0.0042	-0.0031	-0.0037	-0.0053	-0.0032	-0.0036	-0.0025	-0.0049	-0.0032	-0.0042	-0.0034	-0.0052	-0.0039	-0.0038	-0.004	-0.0031	-0.0035	-0.0038	-0.003	-0.0029
