	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.1375	-0.1172	0.4952	0.2147	0.1235	-0.0059	0.0052	-0.0055	-0.0047	-0.0038	-0.0038	-0.0047	-0.0007	0.0071	0.0002	0.0045	0.0051	0.0013	-0.0021	0.0032	-0.0013	0.0014	0.0225	-0.0023	0.0615	-0.0032	0.0173	0.0003	0.0116	-0.0034	0.0038	0.006	-0.0031	0.003	0.004	0.0228	-0.0034	-0.0035	0.0068	0.0206	0.003	-0.0028	-0.0033	-0.0034	-0.0027	-0.0035	-0.0034	-0.0024	0.001	-0.0034	-0.002	0.0094	-0.0032	0.0015	-0.0012	0.0063	0.0139	0.0105	-0.0028	-0.0012	-0.0003	-0.0024	-0.0028	-0.003	0.0008	0.0124	0.0004	0.0087	0.0114	0.0146	0.0003	-0.0026	0.0001	0.0019	-0.0025	-0.0028	-0.0033	-0.0032	-0.0025	-0.0029	-0.0034	-0.0009	-0.0015	-0.0018	0.011	0.0072	0.005	0.029	-0.0023	0.0042	0.0026	-0.0016	0.0182	0.0244	-0.0034	0.001	-0.0032	0.004	0.0093	0.0003
direct_vc_estimate_se	36.4405	24.7785	10.1765	8.0464	2.7657	1.2075	0.8928	1.0483	0.9977	0.8258	0.9001	0.8932	0.7865	0.7063	0.6435	0.632	0.6397	0.6824	0.671	0.6028	0.7052	0.6793	0.6472	0.6514	0.6796	0.6668	0.6827	0.7029	0.683	0.6473	0.6148	0.6489	0.6393	0.6509	0.6154	0.6469	0.6474	0.6596	0.6434	0.6462	0.6345	0.6339	0.6592	0.6425	0.6456	0.6596	0.633	0.6679	0.6529	0.6444	0.6353	0.6314	0.6381	0.6341	0.6282	0.6442	0.6336	0.6445	0.6724	0.6272	0.6421	0.643	0.6248	0.6343	0.633	0.6173	0.6299	0.6411	0.6326	0.6833	0.6562	0.644	0.6486	0.6507	0.6153	0.6183	0.6331	0.613	0.6319	0.6422	0.648	0.6337	0.6339	0.6314	0.6257	0.6208	0.6206	0.6385	0.6317	0.6548	0.6494	0.6181	0.6113	0.6335	0.6434	0.6511	0.6333	0.6608	0.6205	0.6214
direct_vc_pvals	0.629	0.75	0.003	0.026	0.022	0.805	0.157	0.921	0.786	0.769	0.766	0.977	0.455	0.132	0.351	0.155	0.164	0.336	0.561	0.255	0.554	0.305	0.113	0.642	0.004	0.808	0.059	0.407	0.089	0.959	0.248	0.22	0.791	0.286	0.269	0.039	0.994	0.994	0.166	0.03	0.272	0.715	0.873	0.964	0.736	0.989	1.0	0.646	0.385	0.953	0.642	0.133	0.87	0.305	0.517	0.23	0.072	0.12	0.722	0.53	0.451	0.68	0.761	0.806	0.39	0.067	0.405	0.141	0.123	0.071	0.404	0.677	0.395	0.323	0.72	0.775	0.973	0.963	0.692	0.772	0.906	0.493	0.573	0.583	0.106	0.178	0.2	0.017	0.663	0.231	0.277	0.574	0.043	0.01	0.923	0.377	0.873	0.268	0.126	0.389
upper95_perm_direct	0.6792	0.5024	0.2339	0.1784	0.0927	0.0254	0.0148	0.0289	0.0285	0.0191	0.0287	0.0282	0.0233	0.0162	0.0137	0.0118	0.0145	0.019	0.018	0.0176	0.0249	0.0177	0.0347	0.0206	0.0263	0.0189	0.0205	0.0207	0.0184	0.0183	0.0201	0.0204	0.0186	0.0205	0.0193	0.0194	0.0191	0.0199	0.0192	0.019	0.0197	0.0163	0.0181	0.0194	0.018	0.0197	0.0182	0.0187	0.0175	0.0198	0.0206	0.02	0.0181	0.0169	0.0191	0.0237	0.0185	0.0202	0.0218	0.0195	0.0193	0.0181	0.0168	0.021	0.02	0.0152	0.0185	0.0213	0.0222	0.0193	0.0203	0.0204	0.0189	0.0204	0.0188	0.0163	0.016	0.0188	0.0188	0.0214	0.0203	0.0186	0.0188	0.0208	0.0198	0.0214	0.0175	0.0184	0.0207	0.0172	0.0189	0.0178	0.0181	0.0167	0.0185	0.0202	0.0185	0.023	0.0188	0.0196
lower0_perm_direct	-0.2339	-0.1648	-0.0666	-0.0518	-0.018	-0.0079	-0.0058	-0.0067	-0.0064	-0.0054	-0.0056	-0.0059	-0.005	-0.0045	-0.0042	-0.0041	-0.0042	-0.0044	-0.0043	-0.0038	-0.0046	-0.0045	-0.004	-0.0042	-0.0044	-0.0043	-0.0045	-0.0045	-0.0044	-0.0043	-0.0041	-0.0042	-0.0042	-0.0043	-0.0039	-0.0042	-0.0042	-0.0043	-0.0043	-0.0042	-0.0041	-0.0042	-0.0043	-0.0043	-0.0042	-0.0044	-0.0041	-0.0043	-0.0042	-0.0041	-0.004	-0.004	-0.0042	-0.0041	-0.0039	-0.0041	-0.0041	-0.0041	-0.0044	-0.0042	-0.0041	-0.0042	-0.0041	-0.0041	-0.0042	-0.004	-0.0041	-0.0041	-0.0041	-0.0045	-0.0041	-0.0041	-0.0043	-0.0042	-0.0041	-0.004	-0.0039	-0.0039	-0.0041	-0.0041	-0.0042	-0.004	-0.0042	-0.0041	-0.0041	-0.004	-0.004	-0.0043	-0.0041	-0.0042	-0.0043	-0.004	-0.004	-0.0041	-0.0041	-0.0041	-0.0042	-0.0043	-0.004	-0.0041
sad_vc_estimate	-0.1399	-0.1261	0.2903	0.3858	0.121	-0.0053	0.0019	-0.0046	-0.0055	-0.0046	-0.0049	-0.0042	0.0004	0.0024	0.0014	0.0053	0.0045	-0.0038	-0.0024	0.009	0.0039	0.0077	0.0125	-0.0032	0.0811	-0.0037	0.0226	-0.002	0.008	-0.0027	0.0237	0.0143	-0.0036	0.0075	0.0075	0.0329	-0.0033	-0.003	0.0047	0.0099	0.0042	-0.0005	-0.0029	-0.0035	-0.0032	-0.0034	-0.0025	-0.0033	-0.0019	-0.003	-0.0034	0.0012	-0.0029	0.0006	0.0028	0.0004	0.0396	0.0083	-0.0034	-0.0001	-0.0035	-0.0016	-0.0018	-0.0023	-0.002	0.0069	0.0066	0.0032	0.0079	0.0018	0.011	-0.0011	-0.0036	0.0025	-0.0033	-0.0015	-0.0027	-0.0029	0.0011	-0.0028	-0.0029	-0.0006	0.0013	0.0074	0.0118	0.0153	-0.001	0.0213	-0.0035	-0.0016	0.007	-0.0034	0.0186	0.0295	-0.0022	0.0079	-0.0026	0.0041	0.0138	0.005
sad_vc_estimate_se	38.4293	26.1839	10.7083	8.4506	2.9051	1.272	0.9402	1.1	1.0499	0.8642	0.9469	0.9391	0.8268	0.743	0.6773	0.6637	0.6736	0.7176	0.7059	0.6343	0.7414	0.7145	0.6801	0.6844	0.7136	0.7014	0.7161	0.7363	0.7166	0.6811	0.6474	0.6819	0.6724	0.6845	0.6475	0.6801	0.6805	0.6928	0.6767	0.6794	0.6668	0.667	0.6917	0.6752	0.6786	0.6927	0.6661	0.7009	0.6862	0.677	0.6679	0.6639	0.6709	0.6668	0.6608	0.6769	0.6664	0.6781	0.7054	0.6596	0.6751	0.6761	0.6571	0.667	0.6654	0.6489	0.6629	0.6757	0.6657	0.7156	0.6894	0.6768	0.6822	0.6834	0.6472	0.6515	0.665	0.6454	0.6642	0.6755	0.681	0.6661	0.6665	0.6636	0.6586	0.6531	0.6527	0.6713	0.6644	0.6871	0.6818	0.651	0.6434	0.6668	0.6762	0.6835	0.666	0.6926	0.6523	0.6532
sad_vc_pvals	0.612	0.789	0.048	0.011	0.041	0.695	0.305	0.715	0.932	0.975	0.917	0.777	0.413	0.332	0.321	0.169	0.181	0.998	0.631	0.117	0.284	0.18	0.245	0.796	0.001	0.921	0.048	0.586	0.19	0.71	0.034	0.097	0.982	0.198	0.208	0.018	0.828	0.738	0.261	0.165	0.258	0.491	0.723	0.893	0.815	0.861	0.698	0.819	0.622	0.771	0.893	0.374	0.737	0.376	0.335	0.446	0.006	0.164	0.805	0.461	0.937	0.579	0.547	0.653	0.651	0.206	0.172	0.307	0.179	0.333	0.147	0.496	0.994	0.343	0.873	0.593	0.724	0.777	0.356	0.707	0.751	0.477	0.407	0.207	0.109	0.074	0.516	0.057	0.97	0.576	0.171	0.995	0.052	0.019	0.645	0.184	0.677	0.287	0.094	0.228
upper95_perm_sad	0.8351	0.5142	0.3047	0.2278	0.1234	0.0267	0.0182	0.0275	0.0323	0.0177	0.0305	0.0316	0.0246	0.0218	0.0162	0.0159	0.0148	0.0262	0.019	0.0179	0.0261	0.0228	0.0378	0.0225	0.0358	0.0237	0.0239	0.02	0.0237	0.0259	0.0216	0.0243	0.0204	0.0252	0.0248	0.0236	0.0276	0.022	0.0227	0.0225	0.0238	0.0233	0.0244	0.0237	0.0223	0.0247	0.0249	0.0249	0.0261	0.0278	0.024	0.0221	0.0225	0.0199	0.0252	0.0223	0.0214	0.0224	0.0225	0.0259	0.0242	0.023	0.0197	0.0231	0.0231	0.0208	0.0194	0.0211	0.0225	0.0209	0.0239	0.0199	0.019	0.0219	0.0199	0.023	0.0207	0.0194	0.0175	0.0206	0.0244	0.0205	0.0204	0.0222	0.0193	0.0202	0.0189	0.0247	0.02	0.0211	0.0194	0.0207	0.0204	0.0205	0.0228	0.0207	0.0232	0.0244	0.0238	0.0197
lower0_perm_sad	-0.2474	-0.1735	-0.0697	-0.0534	-0.0185	-0.0082	-0.006	-0.0071	-0.0069	-0.0055	-0.0061	-0.006	-0.0052	-0.0049	-0.0043	-0.0043	-0.0044	-0.0046	-0.0045	-0.0041	-0.0047	-0.0045	-0.0043	-0.0045	-0.0046	-0.0046	-0.0046	-0.0048	-0.0048	-0.0043	-0.0041	-0.0044	-0.0044	-0.0045	-0.0043	-0.0045	-0.0044	-0.0044	-0.0043	-0.0044	-0.0043	-0.0043	-0.0045	-0.0044	-0.0044	-0.0045	-0.0042	-0.0044	-0.0043	-0.0044	-0.0043	-0.0044	-0.0044	-0.0042	-0.0042	-0.0044	-0.0044	-0.0045	-0.0046	-0.0042	-0.0043	-0.0042	-0.0043	-0.0042	-0.0044	-0.0043	-0.0044	-0.0042	-0.0043	-0.0046	-0.0044	-0.0044	-0.0044	-0.0044	-0.0042	-0.0042	-0.0044	-0.0041	-0.0042	-0.0044	-0.0043	-0.0043	-0.0044	-0.0043	-0.0043	-0.0043	-0.0042	-0.0045	-0.0042	-0.0045	-0.0043	-0.0043	-0.0042	-0.0044	-0.0043	-0.0046	-0.0043	-0.0044	-0.0041	-0.0041
