	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.0735	0.0984	0.14	0.0382	0.0022	-0.0048	-0.0036	-0.0013	0.0007	-0.0003	0.0021	-0.0028	0.012	0.0033	0.0098	0.001	0.0102	-0.0019	0.0021	-0.0026	0.0368	0.0109	-0.0023	0.0251	0.0888	0.0086	0.0042	-0.0038	0.021	-0.0036	-0.001	0.0204	-0.0016	0.001	0.0246	-0.0035	0.0003	-0.0026	0.0092	-0.0018	-0.001	0.0053	-0.0018	0.001	0.0033	0.0011	0.0005	0.0001	0.0102	0.0094	-0.0015	0.0012	-0.0015	0.012	0.019	0.0038	0.0064	0.003	0.0257	0.0104	-0.0024	-0.0021	-0.0005	0.004	0.0259	0.0117	0.0005	0.0007	-0.0009	-0.0011	0.0024	-0.0014	-0.0021	-0.0013	0.046	0.0046	0.01	-0.0004	-0.0009	0.0023	0.034	0.002	-0.0019	-0.0012	-0.0013	-0.002	0.0056	0.0008	-0.0008	0.0023	0.0025	-0.0022	0.0158	0.0252	0.0016	0.0127	0.0111	0.0038	-0.0023	0.0159
direct_vc_estimate_se	0.5485	0.3064	0.1196	0.0935	0.0217	0.0186	0.0124	0.0096	0.0101	0.0078	0.0073	0.0079	0.0076	0.0072	0.0072	0.0083	0.0071	0.0073	0.0063	0.0072	0.0069	0.006	0.0061	0.0127	0.037	0.0066	0.0083	0.0101	0.0145	0.0096	0.0078	0.0064	0.0065	0.0062	0.0079	0.0091	0.0057	0.0069	0.0072	0.0076	0.0071	0.0068	0.0071	0.0071	0.0072	0.0063	0.0076	0.008	0.0082	0.0074	0.0066	0.0065	0.0059	0.0067	0.0061	0.0062	0.0061	0.0081	0.006	0.006	0.0068	0.0068	0.006	0.0068	0.0066	0.0064	0.0061	0.0064	0.0058	0.0063	0.0057	0.0057	0.0057	0.0061	0.0074	0.0067	0.006	0.0058	0.0059	0.0064	0.0067	0.0065	0.0059	0.0061	0.0059	0.0066	0.006	0.0062	0.0066	0.006	0.0063	0.0057	0.0065	0.0057	0.0057	0.0075	0.0071	0.0057	0.0064	0.0057
direct_vc_pvals	0.599	0.37	0.126	0.376	0.416	0.697	0.713	0.615	0.562	0.483	0.399	0.867	0.198	0.363	0.142	0.433	0.215	0.622	0.399	0.87	0.027	0.163	0.974	0.117	0.038	0.219	0.307	0.977	0.171	0.978	0.618	0.13	0.711	0.48	0.018	0.972	0.522	0.997	0.176	0.719	0.588	0.251	0.727	0.427	0.368	0.411	0.577	0.522	0.217	0.23	0.738	0.51	0.747	0.162	0.033	0.433	0.221	0.309	0.071	0.154	0.896	0.809	0.543	0.339	0.024	0.124	0.434	0.481	0.687	0.646	0.325	0.682	0.916	0.701	0.011	0.245	0.145	0.644	0.615	0.391	0.019	0.394	0.75	0.68	0.731	0.76	0.336	0.447	0.565	0.407	0.43	0.998	0.108	0.029	0.381	0.197	0.124	0.21	0.885	0.04
upper95_perm_direct	1.6377	1.0023	0.2839	0.3081	0.0537	0.0506	0.023	0.0336	0.0499	0.0218	0.0238	0.0287	0.0334	0.0238	0.0217	0.0298	0.0368	0.0128	0.024	0.0159	0.0324	0.0324	0.0254	0.0433	0.0953	0.0275	0.0282	0.0537	0.0491	0.0571	0.0294	0.0353	0.0229	0.0229	0.0189	0.0373	0.0264	0.0234	0.0274	0.0254	0.0255	0.0232	0.0232	0.0238	0.0283	0.0205	0.0378	0.0306	0.029	0.0323	0.0256	0.034	0.029	0.026	0.0168	0.0425	0.0194	0.0246	0.0349	0.023	0.0408	0.0329	0.0196	0.0277	0.0207	0.0236	0.0168	0.0227	0.0334	0.0287	0.0191	0.0156	0.0226	0.0296	0.0313	0.0189	0.0226	0.0298	0.0222	0.0219	0.0275	0.0254	0.0179	0.0247	0.0287	0.0203	0.0318	0.0213	0.0194	0.0271	0.0278	0.0261	0.0281	0.024	0.0175	0.035	0.0212	0.0144	0.0269	0.0167
lower0_perm_direct	-0.3247	-0.181	-0.0642	-0.05	-0.0121	-0.0107	-0.0071	-0.0056	-0.0057	-0.0043	-0.004	-0.0044	-0.0043	-0.0039	-0.0043	-0.0048	-0.004	-0.0042	-0.0036	-0.0042	-0.0039	-0.0033	-0.0036	-0.007	-0.0209	-0.0038	-0.0049	-0.0058	-0.0081	-0.0053	-0.0041	-0.0034	-0.0036	-0.0034	-0.0046	-0.0053	-0.0032	-0.0041	-0.0041	-0.0041	-0.0039	-0.004	-0.0041	-0.0041	-0.004	-0.0037	-0.0043	-0.0047	-0.0045	-0.004	-0.0037	-0.0035	-0.0034	-0.0038	-0.0034	-0.0034	-0.0035	-0.0049	-0.0034	-0.0035	-0.0041	-0.004	-0.0034	-0.0039	-0.0036	-0.0036	-0.0036	-0.0036	-0.0031	-0.0036	-0.0034	-0.0031	-0.0034	-0.0034	-0.0042	-0.0039	-0.0031	-0.0033	-0.0032	-0.0036	-0.0037	-0.0035	-0.0034	-0.0033	-0.0032	-0.0039	-0.0034	-0.0036	-0.0038	-0.0032	-0.0035	-0.0032	-0.0038	-0.0033	-0.0034	-0.0042	-0.004	-0.0034	-0.0037	-0.0031
sad_vc_estimate	-0.1401	0.4191	0.1933	0.0397	0.004	0.0042	-0.0022	0.0029	-0.0011	0.006	0.0009	-0.003	0.0274	0.0034	0.0073	0.003	0.0067	-0.0007	0.0076	-0.0008	0.0569	0.0221	-0.0013	0.0582	0.2071	0.0126	0.0123	0.0033	0.0642	0.0029	0.0008	0.0301	0.0095	0.0033	0.0228	-0.0	0.0007	-0.0017	0.0079	0.0069	-0.0015	0.0015	-0.0027	0.0046	0.0002	0.0058	-0.0022	-0.0027	0.0221	0.0315	0.0053	-0.0005	-0.002	0.0134	0.0291	0.0174	0.0034	-0.0031	0.0453	0.0243	-0.0023	0.0008	-0.0022	0.0026	0.052	0.0214	0.0065	0.0059	-0.0006	0.0003	0.0089	-0.0015	-0.0021	-0.0022	0.0431	0.0128	0.0063	0.0023	0.0026	-0.0024	0.0261	0.0036	-0.0004	-0.0014	-0.0022	0.0013	0.0044	0.0013	0.0068	0.0037	0.0002	-0.0022	0.0064	0.0281	0.014	0.032	0.0115	0.0007	0.0012	0.0437
sad_vc_estimate_se	0.5501	0.3073	0.12	0.0938	0.0217	0.0187	0.0124	0.0096	0.0101	0.0078	0.0073	0.008	0.0077	0.0072	0.0072	0.0084	0.0072	0.0073	0.0063	0.0072	0.0069	0.006	0.0061	0.0128	0.0371	0.0067	0.0083	0.0102	0.0145	0.0096	0.0078	0.0064	0.0065	0.0062	0.0079	0.0091	0.0057	0.0069	0.0072	0.0076	0.0071	0.0068	0.0071	0.0072	0.0072	0.0063	0.0077	0.008	0.0082	0.0074	0.0066	0.0065	0.0059	0.0067	0.0062	0.0062	0.0061	0.0081	0.006	0.006	0.0068	0.0068	0.0061	0.0068	0.0067	0.0064	0.0061	0.0064	0.0058	0.0063	0.0057	0.0057	0.0057	0.0061	0.0074	0.0067	0.006	0.0058	0.0059	0.0064	0.0067	0.0065	0.0059	0.0061	0.0059	0.0066	0.006	0.0062	0.0066	0.006	0.0063	0.0057	0.0065	0.0057	0.0058	0.0076	0.0071	0.0057	0.0065	0.0057
sad_vc_pvals	0.745	0.209	0.165	0.445	0.461	0.504	0.595	0.48	0.727	0.275	0.534	0.961	0.137	0.414	0.253	0.426	0.405	0.537	0.297	0.655	0.027	0.131	0.723	0.084	0.061	0.274	0.222	0.635	0.108	0.577	0.595	0.132	0.216	0.384	0.033	0.638	0.582	0.772	0.314	0.226	0.701	0.474	0.976	0.378	0.616	0.307	0.803	0.815	0.152	0.096	0.431	0.681	0.897	0.231	0.014	0.248	0.397	0.945	0.054	0.104	0.91	0.632	0.888	0.502	0.008	0.088	0.227	0.365	0.739	0.614	0.221	0.748	0.905	0.932	0.036	0.171	0.289	0.521	0.422	0.933	0.073	0.448	0.609	0.757	0.978	0.502	0.445	0.487	0.276	0.487	0.605	0.971	0.329	0.085	0.146	0.11	0.249	0.502	0.556	0.011
upper95_perm_sad	2.6539	1.3076	0.483	0.4958	0.09	0.079	0.031	0.0613	0.0828	0.0295	0.0325	0.0347	0.0534	0.0328	0.0271	0.0415	0.0506	0.0236	0.0332	0.0298	0.0542	0.0429	0.0359	0.0906	0.256	0.0453	0.0442	0.0954	0.1006	0.0791	0.0492	0.0622	0.0301	0.033	0.0205	0.0614	0.0345	0.0327	0.0472	0.0268	0.0341	0.0303	0.036	0.0347	0.0408	0.0327	0.0502	0.0305	0.0452	0.05	0.0388	0.045	0.0401	0.0447	0.0247	0.0587	0.0296	0.0264	0.0544	0.0403	0.0603	0.051	0.0245	0.047	0.0346	0.0347	0.0238	0.0427	0.0473	0.0423	0.029	0.0208	0.0285	0.047	0.0381	0.0297	0.0311	0.0457	0.0295	0.0307	0.0379	0.0379	0.0279	0.0314	0.0403	0.0304	0.0519	0.0305	0.0305	0.0433	0.0329	0.0395	0.0367	0.0422	0.0275	0.0565	0.0412	0.024	0.0413	0.0302
lower0_perm_sad	-0.3085	-0.1853	-0.0682	-0.0517	-0.0125	-0.0106	-0.0071	-0.0053	-0.0055	-0.0044	-0.004	-0.0044	-0.0044	-0.004	-0.0041	-0.0047	-0.004	-0.0042	-0.0036	-0.004	-0.0039	-0.0033	-0.0033	-0.0076	-0.0194	-0.0037	-0.0049	-0.0058	-0.0079	-0.0053	-0.0042	-0.0035	-0.0037	-0.0037	-0.0045	-0.005	-0.0032	-0.0036	-0.0041	-0.0044	-0.0038	-0.004	-0.0042	-0.0043	-0.0042	-0.0036	-0.0044	-0.0046	-0.0048	-0.0041	-0.0036	-0.0034	-0.0035	-0.0038	-0.0034	-0.0035	-0.0036	-0.0045	-0.0034	-0.0035	-0.0036	-0.0037	-0.0034	-0.0038	-0.0037	-0.0037	-0.0034	-0.0034	-0.0032	-0.0035	-0.0032	-0.0034	-0.0032	-0.0033	-0.0041	-0.0038	-0.0033	-0.0032	-0.0033	-0.0035	-0.0038	-0.0037	-0.0034	-0.0034	-0.0032	-0.0037	-0.0035	-0.0033	-0.0038	-0.0033	-0.0038	-0.0032	-0.0036	-0.0031	-0.0032	-0.0041	-0.0039	-0.0033	-0.0036	-0.0032
