	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.0319	0.0261	0.4656	0.7872	0.4333	0.0644	-0.0046	0.2484	0.0076	0.02	0.0256	-0.0011	-0.0021	0.0305	-0.0012	-0.0016	-0.0012	0.0034	0.0064	0.0051	0.0352	0.0417	0.0426	0.0087	0.0029	0.0303	-0.0009	-0.0012	0.0061	0.0086	0.0074	-0.0014	0.0275	0.0011	-0.002	0.0037	-0.0016	0.0111	0.0006	0.0121	0.0284	0.011	-0.0012	0.061	-0.0012	0.0047	-0.0018	0.0073	-0.0017	-0.0012	0.0006	-0.0012	0.0009	0.0005	0.0027	0.0042	-0.0001	-0.0016	0.0236	0.0064	0.0004	0.0301	0.0055	-0.0015	-0.0013	0.0035	0.0319	-0.0021	-0.0011	-0.0003	-0.0006	0.0011	-0.0016	-0.0013	0.0011	0.0041	0.0057	-0.0016	-0.0012	0.0116	0.0693	-0.001	-0.0005	0.0333	-0.0014	0.0134	0.0004	0.0299	0.0289	0.0111	-0.0004	0.0023	0.0379	0.004	-0.0016	0.0035	0.0075	-0.0001	0.0056	-0.0018
direct_vc_estimate_se	0.0588	0.0255	0.0094	0.0069	0.0024	0.0016	0.0016	0.0013	0.0011	0.0011	0.0007	0.0008	0.0007	0.0006	0.0006	0.0007	0.0006	0.0006	0.0007	0.0005	0.0006	0.0006	0.0006	0.0006	0.0005	0.0006	0.0006	0.0005	0.0006	0.0006	0.0005	0.0005	0.0006	0.0007	0.0006	0.0006	0.0006	0.0005	0.0005	0.0006	0.0006	0.0005	0.0006	0.0006	0.0005	0.0006	0.0006	0.0005	0.0007	0.0006	0.0006	0.0005	0.0005	0.0005	0.0005	0.0005	0.0006	0.0006	0.0006	0.0005	0.0005	0.0005	0.0006	0.0006	0.0006	0.0007	0.0005	0.0007	0.0005	0.0006	0.0006	0.0006	0.0006	0.0005	0.0006	0.0006	0.0005	0.0005	0.0005	0.0005	0.0005	0.0006	0.0006	0.0005	0.0005	0.0005	0.0005	0.0006	0.0005	0.0005	0.0005	0.0005	0.0005	0.0005	0.0005	0.0005	0.0005	0.0005	0.0005	0.0006
direct_vc_pvals	0.386	0.677	0.055	0.021	0.096	0.307	0.875	0.025	0.245	0.306	0.104	0.819	0.91	0.057	0.716	0.818	0.741	0.429	0.299	0.399	0.104	0.006	0.056	0.195	0.362	0.182	0.775	0.831	0.406	0.288	0.276	0.795	0.07	0.438	0.985	0.32	0.872	0.224	0.53	0.283	0.213	0.107	0.81	0.005	0.839	0.311	0.962	0.289	0.735	0.773	0.581	0.776	0.646	0.737	0.596	0.509	0.626	0.854	0.296	0.155	0.43	0.074	0.309	0.907	0.86	0.34	0.135	0.917	0.725	0.746	0.713	0.527	0.845	0.872	0.52	0.472	0.283	0.958	0.848	0.256	0.008	0.586	0.679	0.063	0.785	0.186	0.446	0.081	0.036	0.219	0.682	0.434	0.08	0.43	0.963	0.283	0.188	0.664	0.319	0.983
upper95_perm_direct	1.673	2.0592	0.7396	0.994	0.8591	0.2695	0.0495	0.3168	0.0402	0.0758	0.0598	0.0822	0.0311	0.0487	0.0285	0.0356	0.0297	0.0425	0.0394	0.046	0.0782	0.0418	0.0685	0.0346	0.0266	0.0829	0.053	0.048	0.055	0.0418	0.0389	0.02	0.0523	0.0258	0.0501	0.0249	0.0396	0.0397	0.0284	0.0696	0.0826	0.0251	0.0484	0.0616	0.0631	0.0298	0.0239	0.0434	0.02	0.0528	0.0352	0.0236	0.0581	0.0713	0.0784	0.0583	0.0343	0.0318	0.1078	0.0209	0.017	0.0594	0.0344	0.067	0.0639	0.0348	0.0742	0.0292	0.0244	0.064	0.0407	0.0328	0.0202	0.0506	0.0394	0.0584	0.0322	0.0414	0.0529	0.0532	0.062	0.0143	0.0336	0.0556	0.0188	0.0473	0.0189	0.0553	0.0392	0.0377	0.0397	0.0358	0.0699	0.0347	0.0611	0.0224	0.0266	0.0351	0.0371	0.0724
lower0_perm_direct	-0.3755	-0.1579	-0.0604	-0.0446	-0.0159	-0.0103	-0.0103	-0.0075	-0.007	-0.0069	-0.0047	-0.0046	-0.0045	-0.0039	-0.0042	-0.0044	-0.0038	-0.0034	-0.0042	-0.0033	-0.0042	-0.0039	-0.0038	-0.0037	-0.0035	-0.0035	-0.0036	-0.0034	-0.0036	-0.0036	-0.0032	-0.0035	-0.0039	-0.0043	-0.0038	-0.0037	-0.0034	-0.0033	-0.0033	-0.0038	-0.0037	-0.0034	-0.0038	-0.0036	-0.0035	-0.0038	-0.0038	-0.0035	-0.0046	-0.0039	-0.0035	-0.0034	-0.0032	-0.0034	-0.0032	-0.0032	-0.0038	-0.004	-0.004	-0.0034	-0.0034	-0.0034	-0.0039	-0.0034	-0.0036	-0.0041	-0.0033	-0.0043	-0.0035	-0.0041	-0.0036	-0.0038	-0.0037	-0.0034	-0.0036	-0.004	-0.0034	-0.0034	-0.0034	-0.0033	-0.0035	-0.0036	-0.0034	-0.0033	-0.0033	-0.003	-0.0033	-0.0042	-0.0031	-0.0034	-0.0033	-0.0036	-0.0031	-0.0034	-0.0034	-0.0034	-0.0035	-0.0031	-0.0037	-0.0035
sad_vc_estimate	0.1188	-0.0173	0.9583	1.4747	0.7489	0.1025	-0.0024	0.4953	0.0303	0.0393	0.0388	-0.0009	-0.0021	0.0461	0.0009	-0.002	-0.0003	0.0034	0.0098	0.0139	0.0481	0.073	0.081	0.016	0.0102	0.048	-0.0004	0.0034	0.0131	0.0089	0.0161	-0.0016	0.043	0.0024	-0.0007	0.0107	-0.0015	0.0249	0.001	0.0218	0.0602	0.0181	0.0005	0.1028	-0.0016	0.0104	-0.0014	0.0187	-0.0008	0.0004	-0.0004	0.0025	0.0001	0.0088	0.0018	0.0087	0.0029	-0.0003	0.0394	0.0095	0.0085	0.0275	0.0138	-0.0003	-0.0018	0.0044	0.0594	-0.0007	-0.0003	-0.0001	0.0007	0.0016	-0.0017	-0.0017	0.0047	0.0017	0.0083	-0.0014	-0.0017	0.0256	0.0882	-0.0005	0.0009	0.0653	-0.0014	0.0122	0.0053	0.0358	0.0351	0.018	0.0003	0.0058	0.0578	0.005	-0.0005	0.003	0.0114	0.0053	0.0181	0.0012
sad_vc_estimate_se	0.0589	0.0255	0.0095	0.0069	0.0024	0.0016	0.0016	0.0013	0.0011	0.0011	0.0007	0.0008	0.0007	0.0006	0.0006	0.0007	0.0006	0.0006	0.0007	0.0005	0.0006	0.0006	0.0006	0.0006	0.0005	0.0006	0.0006	0.0005	0.0006	0.0006	0.0005	0.0005	0.0006	0.0007	0.0006	0.0006	0.0006	0.0005	0.0005	0.0006	0.0006	0.0005	0.0006	0.0006	0.0005	0.0006	0.0006	0.0005	0.0007	0.0006	0.0006	0.0005	0.0005	0.0005	0.0005	0.0005	0.0006	0.0006	0.0006	0.0005	0.0005	0.0005	0.0006	0.0006	0.0006	0.0007	0.0005	0.0007	0.0005	0.0006	0.0006	0.0006	0.0006	0.0005	0.0006	0.0006	0.0005	0.0005	0.0005	0.0005	0.0005	0.0006	0.0006	0.0005	0.0005	0.0005	0.0005	0.0006	0.0005	0.0005	0.0005	0.0005	0.0005	0.0005	0.0005	0.0005	0.0005	0.0005	0.0005	0.0006
sad_vc_pvals	0.441	0.82	0.006	0.006	0.086	0.323	0.748	0.005	0.07	0.202	0.078	0.827	0.95	0.041	0.531	0.942	0.685	0.52	0.29	0.276	0.133	0.002	0.04	0.162	0.215	0.126	0.748	0.499	0.346	0.353	0.199	0.944	0.073	0.44	0.791	0.195	0.887	0.116	0.554	0.31	0.179	0.1	0.679	0.002	0.966	0.185	0.797	0.223	0.621	0.73	0.744	0.445	0.735	0.541	0.72	0.463	0.466	0.686	0.313	0.162	0.155	0.163	0.193	0.786	1.0	0.407	0.076	0.656	0.678	0.733	0.617	0.593	0.923	0.998	0.496	0.691	0.258	0.937	0.999	0.196	0.009	0.535	0.581	0.046	0.816	0.286	0.208	0.074	0.053	0.169	0.703	0.409	0.063	0.417	0.846	0.378	0.182	0.378	0.201	0.701
upper95_perm_sad	2.3322	2.7611	0.9817	1.385	1.4222	0.4183	0.0735	0.5152	0.0598	0.1117	0.0713	0.1362	0.0429	0.0684	0.035	0.0553	0.0445	0.058	0.0554	0.0581	0.1184	0.0593	0.1181	0.0501	0.0392	0.1089	0.0717	0.0593	0.0806	0.0558	0.0626	0.0301	0.0757	0.0413	0.0717	0.0435	0.0495	0.0573	0.0339	0.1063	0.149	0.0422	0.0634	0.0909	0.1027	0.0371	0.0312	0.0815	0.0278	0.0883	0.059	0.038	0.0839	0.1212	0.1256	0.0847	0.0516	0.0538	0.1875	0.03	0.0269	0.0757	0.0463	0.0914	0.095	0.0475	0.1094	0.0397	0.0377	0.0842	0.0528	0.0544	0.0258	0.0693	0.0715	0.0886	0.0406	0.0627	0.0648	0.0881	0.0805	0.016	0.0477	0.0964	0.0254	0.0587	0.0209	0.0639	0.059	0.0489	0.0561	0.0586	0.093	0.0438	0.1029	0.0358	0.0347	0.0443	0.0639	0.121
lower0_perm_sad	-0.3743	-0.1676	-0.0634	-0.0452	-0.0152	-0.0099	-0.0102	-0.0073	-0.0071	-0.0066	-0.0045	-0.0049	-0.0044	-0.004	-0.0041	-0.0044	-0.0034	-0.0036	-0.0044	-0.0034	-0.0039	-0.0039	-0.0037	-0.0035	-0.0035	-0.0036	-0.0037	-0.0035	-0.0036	-0.0038	-0.0035	-0.0033	-0.0035	-0.0044	-0.0042	-0.0035	-0.0035	-0.0032	-0.0033	-0.0037	-0.0036	-0.0034	-0.0039	-0.004	-0.0033	-0.0038	-0.004	-0.0037	-0.0048	-0.0038	-0.0036	-0.0032	-0.0033	-0.0035	-0.0034	-0.0031	-0.0037	-0.0035	-0.0036	-0.0034	-0.0035	-0.0032	-0.0034	-0.0034	-0.0037	-0.004	-0.0034	-0.0043	-0.0033	-0.0039	-0.004	-0.0036	-0.0036	-0.0034	-0.0035	-0.0035	-0.0033	-0.0034	-0.0035	-0.003	-0.0032	-0.0037	-0.0036	-0.003	-0.0036	-0.0034	-0.0034	-0.0042	-0.0033	-0.0034	-0.0031	-0.0036	-0.0033	-0.0031	-0.003	-0.0033	-0.0034	-0.0033	-0.0037	-0.0035
