	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.021	0.0199	-0.0082	0.0168	-0.0106	0.0037	-0.0131	-0.0052	-0.0157	-0.0065	-0.0062	-0.0084	0.0402	0.0141	0.0152	0.0013	0.0225	-0.0001	0.003	0.0055	-0.0045	0.0027	-0.0132	0.0233	0.0625	-0.007	-0.0031	0.0039	-0.0061	-0.0063	0.0081	0.0096	-0.0087	-0.0024	-0.0006	-0.0073	-0.0039	0.0001	0.0398	0.0392	-0.0014	0.0226	0.0001	0.009	-0.0123	-0.008	0.001	-0.0034	-0.0161	-0.0051	-0.0009	0.0015	0.0078	0.0169	-0.0055	-0.011	-0.0034	-0.0175	-0.004	-0.0062	0.0063	0.02	0.0005	-0.01	0.0372	0.0845	-0.0066	-0.0084	-0.0052	0.0253	0.0089	0.0266	0.0078	0.0086	0.0019	0.0064	0.0038	0.0706	-0.0063	-0.0068	-0.0069	-0.003	0.0188	-0.0103	-0.006	-0.0069	0.0083	0.0243	0.0183	0.0228	-0.0007	0.0154	0.0389	0.0207	-0.0046	0.0056	0.0617	0.0009	0.0017	0.0326
direct_vc_estimate_se	0.0204	0.0114	0.008	0.0093	0.0145	0.0281	0.013	0.0124	0.0185	0.0062	0.0059	0.0078	0.027	0.0123	0.0205	0.007	0.0058	0.0098	0.0058	0.007	0.0063	0.0057	0.0153	0.0079	0.0071	0.0073	0.0064	0.0071	0.0061	0.0063	0.0067	0.006	0.0081	0.007	0.0067	0.0076	0.0061	0.006	0.0171	0.0079	0.0071	0.0059	0.0055	0.0084	0.0126	0.0096	0.0069	0.0055	0.0164	0.0061	0.0064	0.0057	0.0066	0.0052	0.0061	0.0107	0.0083	0.0163	0.0077	0.0153	0.0074	0.007	0.0071	0.0092	0.0071	0.0159	0.0061	0.0079	0.0052	0.0245	0.0057	0.0054	0.0063	0.0074	0.0066	0.0056	0.0069	0.0101	0.0064	0.0064	0.0133	0.0052	0.0068	0.0136	0.0058	0.0066	0.0054	0.0053	0.006	0.0053	0.0086	0.0081	0.0144	0.0056	0.006	0.0084	0.0225	0.0051	0.006	0.0146
direct_vc_pvals	0.236	0.236	0.865	0.199	0.708	0.698	0.854	0.66	0.887	0.886	0.887	0.982	0.363	0.38	0.528	0.434	0.067	0.541	0.293	0.295	0.654	0.373	0.849	0.12	0.022	0.793	0.498	0.331	0.834	0.838	0.265	0.165	0.963	0.506	0.408	0.802	0.606	0.461	0.211	0.062	0.475	0.083	0.432	0.284	0.895	0.791	0.426	0.56	0.9	0.702	0.469	0.359	0.26	0.088	0.739	0.918	0.589	0.99	0.6	0.687	0.308	0.142	0.405	0.986	0.059	0.049	0.932	0.95	0.859	0.499	0.138	0.061	0.224	0.277	0.337	0.259	0.383	0.056	0.848	0.938	0.749	0.551	0.095	0.792	0.879	0.914	0.243	0.137	0.157	0.103	0.479	0.195	0.17	0.074	0.67	0.388	0.19	0.387	0.335	0.246
upper95_perm_direct	0.1323	0.0871	0.0502	0.0601	0.0904	0.1563	0.0875	0.0948	0.1132	0.0408	0.0353	0.09	0.1584	0.0851	0.1141	0.056	0.0336	0.0795	0.0374	0.0422	0.0457	0.0415	0.1178	0.0538	0.0562	0.0353	0.0321	0.0438	0.0378	0.0407	0.0434	0.0319	0.0602	0.0426	0.0373	0.055	0.0343	0.0503	0.1018	0.0548	0.0463	0.0401	0.0434	0.0667	0.0798	0.0677	0.0499	0.0302	0.1238	0.0388	0.049	0.0334	0.0487	0.0304	0.0359	0.0803	0.0704	0.0995	0.0549	0.1117	0.0516	0.051	0.0394	0.0797	0.0516	0.1066	0.0421	0.0907	0.0423	0.1334	0.0246	0.0391	0.0388	0.0558	0.0465	0.0416	0.0635	0.092	0.0453	0.0404	0.0896	0.0328	0.0362	0.0886	0.0431	0.0499	0.0393	0.0552	0.0532	0.0465	0.0701	0.056	0.0944	0.0329	0.0473	0.0601	0.1441	0.0331	0.0381	0.1118
lower0_perm_direct	-0.0331	-0.019	-0.0129	-0.0156	-0.0231	-0.0448	-0.0205	-0.021	-0.0283	-0.01	-0.0099	-0.0124	-0.0425	-0.0187	-0.0331	-0.0113	-0.0093	-0.0157	-0.0096	-0.0108	-0.0102	-0.0088	-0.0238	-0.0128	-0.0115	-0.0123	-0.0103	-0.012	-0.0097	-0.0103	-0.0113	-0.0097	-0.0135	-0.0118	-0.0108	-0.0122	-0.0104	-0.0096	-0.0265	-0.0126	-0.0111	-0.0093	-0.0089	-0.0134	-0.0199	-0.0154	-0.0112	-0.0091	-0.027	-0.0095	-0.0103	-0.0095	-0.011	-0.0084	-0.0103	-0.0171	-0.0135	-0.0253	-0.0122	-0.0257	-0.0116	-0.0112	-0.0117	-0.0149	-0.0121	-0.0248	-0.0096	-0.0128	-0.0081	-0.0355	-0.0092	-0.009	-0.01	-0.0122	-0.0104	-0.009	-0.011	-0.0159	-0.0105	-0.0104	-0.0208	-0.0082	-0.011	-0.023	-0.0094	-0.0105	-0.0092	-0.0083	-0.0096	-0.0084	-0.0142	-0.0131	-0.022	-0.009	-0.0101	-0.0142	-0.0342	-0.008	-0.0095	-0.0236
sad_vc_estimate	0.0848	0.0862	-0.0084	0.0429	-0.0157	0.0146	-0.008	-0.005	-0.0158	0.0024	-0.0032	-0.0084	0.0274	0.0098	0.0421	0.0136	0.009	-0.0038	0.0101	0.0178	-0.0069	0.0061	-0.0161	0.0236	0.091	-0.0071	0.0144	-0.0026	-0.0059	-0.0062	0.0127	0.0318	-0.0075	-0.0029	0.0281	-0.0082	-0.0064	-0.0011	0.0011	0.0348	0.0	0.0286	0.0005	0.0081	-0.0126	-0.0025	0.0009	-0.0059	-0.0156	-0.0062	-0.0066	0.0013	0.0019	0.056	-0.0046	-0.0058	0.002	-0.0174	-0.0041	-0.0134	0.0037	0.0438	0.01	-0.01	0.0363	0.0959	-0.0052	-0.002	-0.0035	0.0464	0.0222	0.0366	0.0148	-0.0046	-0.0066	0.0026	0.0096	0.1007	-0.0061	-0.0067	-0.0139	0.0008	0.0142	-0.0146	-0.0024	-0.0049	0.0252	0.0948	0.0495	0.0879	-0.0073	0.034	0.0468	0.0703	-0.0062	0.009	0.1116	0.001	0.0141	0.0165
sad_vc_estimate_se	0.0206	0.0115	0.0081	0.0094	0.0145	0.0282	0.0131	0.0125	0.0185	0.0062	0.006	0.0079	0.027	0.0123	0.0206	0.0071	0.0058	0.0099	0.0058	0.0071	0.0064	0.0057	0.0154	0.008	0.0072	0.0074	0.0065	0.0072	0.0062	0.0063	0.0068	0.0061	0.0081	0.0071	0.0067	0.0076	0.0062	0.006	0.0172	0.008	0.0072	0.006	0.0056	0.0084	0.0126	0.0097	0.007	0.0056	0.0165	0.0061	0.0064	0.0058	0.0067	0.0053	0.0061	0.0107	0.0084	0.0164	0.0078	0.0154	0.0075	0.0071	0.0072	0.0093	0.0072	0.016	0.0062	0.0079	0.0053	0.0246	0.0057	0.0054	0.0063	0.0075	0.0066	0.0056	0.007	0.0101	0.0065	0.0064	0.0134	0.0052	0.0069	0.0137	0.0059	0.0066	0.0055	0.0054	0.0061	0.0053	0.0087	0.0082	0.0144	0.0057	0.0061	0.0085	0.0225	0.0051	0.0061	0.0146
sad_vc_pvals	0.173	0.045	0.885	0.103	0.996	0.6	0.696	0.657	0.862	0.418	0.627	0.965	0.504	0.445	0.29	0.291	0.275	0.619	0.294	0.207	0.981	0.396	0.924	0.154	0.021	0.816	0.208	0.607	0.849	0.827	0.244	0.103	0.805	0.607	0.11	0.97	0.889	0.591	0.59	0.107	0.524	0.142	0.488	0.387	0.907	0.6	0.53	0.932	0.881	0.858	0.873	0.448	0.457	0.03	0.732	0.688	0.487	0.965	0.664	0.808	0.39	0.065	0.286	0.957	0.128	0.053	0.774	0.623	0.726	0.349	0.099	0.071	0.195	0.665	0.854	0.453	0.349	0.07	0.84	0.928	0.929	0.443	0.2	0.965	0.612	0.664	0.124	0.014	0.078	0.018	0.762	0.155	0.156	0.014	0.894	0.376	0.081	0.469	0.268	0.431
upper95_perm_sad	0.2332	0.1062	0.0681	0.0837	0.1157	0.1981	0.1288	0.1399	0.1689	0.069	0.0637	0.1422	0.2091	0.1179	0.1402	0.0798	0.0531	0.1022	0.0601	0.0652	0.0783	0.0725	0.1488	0.0647	0.0778	0.0558	0.0595	0.0782	0.0634	0.0599	0.0681	0.0608	0.0753	0.0687	0.0619	0.0863	0.0668	0.0756	0.1224	0.0692	0.0736	0.0688	0.0572	0.0786	0.1037	0.0957	0.0743	0.044	0.1571	0.0618	0.0601	0.0519	0.0645	0.0547	0.0607	0.1064	0.0852	0.1266	0.0816	0.1506	0.0683	0.0657	0.057	0.1232	0.0782	0.1245	0.0641	0.1303	0.0597	0.17	0.0426	0.0567	0.0498	0.0693	0.0592	0.0581	0.0806	0.1483	0.0772	0.063	0.1117	0.0501	0.0534	0.1055	0.0618	0.0695	0.0572	0.0781	0.0834	0.0832	0.0805	0.0838	0.1038	0.0526	0.0704	0.0854	0.1636	0.0557	0.0701	0.1667
lower0_perm_sad	-0.0348	-0.0181	-0.0129	-0.0149	-0.0229	-0.043	-0.022	-0.0198	-0.0296	-0.0097	-0.0095	-0.0126	-0.0425	-0.0208	-0.0318	-0.012	-0.0097	-0.0163	-0.0093	-0.0113	-0.0102	-0.009	-0.0241	-0.0129	-0.0112	-0.0119	-0.0104	-0.0112	-0.0098	-0.0101	-0.0104	-0.0095	-0.0131	-0.0116	-0.0106	-0.0128	-0.0101	-0.0102	-0.0272	-0.0129	-0.0113	-0.0096	-0.0087	-0.0135	-0.0191	-0.016	-0.0109	-0.0089	-0.0259	-0.0098	-0.0108	-0.0097	-0.0103	-0.0088	-0.0102	-0.0173	-0.0136	-0.0257	-0.0125	-0.0254	-0.0115	-0.0112	-0.0118	-0.0146	-0.0116	-0.0252	-0.0102	-0.0134	-0.0084	-0.039	-0.009	-0.0086	-0.0102	-0.0119	-0.0106	-0.0091	-0.0111	-0.0158	-0.0101	-0.0103	-0.0211	-0.0087	-0.011	-0.022	-0.0094	-0.0104	-0.0088	-0.0085	-0.0099	-0.0083	-0.0134	-0.0128	-0.0226	-0.0088	-0.0098	-0.0132	-0.0351	-0.0083	-0.0098	-0.0229
