	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.0211	0.0327	-0.0013	0.0068	0.0392	-0.0079	-0.0029	0.0097	0.0268	0.0279	0.0146	0.014	-0.0008	0.0204	0.0235	0.0236	-0.0067	0.0063	0.0006	0.0054	0.0135	0.0491	-0.0019	0.0484	-0.0083	-0.0076	-0.0079	-0.0082	0.0291	-0.0066	0.0072	-0.0007	0.001	-0.0003	-0.0078	0.0632	0.0067	-0.0067	-0.0071	0.0184	0.0413	-0.0079	-0.0073	-0.0078	-0.0084	-0.0018	-0.0041	0.0008	0.0209	-0.0006	-0.0056	-0.0082	0.0329	0.0078	-0.0078	-0.0002	0.0026	-0.0014	0.076	0.0089	-0.0074	-0.0064	-0.0049	-0.0065	-0.0053	0.0289	-0.0074	-0.0071	-0.0047	-0.0078	-0.0079	0.0137	-0.0071	-0.0042	-0.0079	-0.0069	-0.0078	-0.006	-0.0052	0.0043	0.0054	-0.0032	-0.0038	0.0188	-0.0072	-0.0047	0.077	0.1323	-0.0059	0.0352	-0.0066	-0.0066	-0.0081	0.0448	-0.005	-0.0042	-0.0016	0.012	0.0667	-0.0059
direct_vc_estimate_se	0.1615	0.069	0.0514	0.0491	0.0459	0.0449	0.0445	0.045	0.0409	0.0427	0.0417	0.0428	0.0421	0.0428	0.0402	0.0418	0.0432	0.043	0.0424	0.0435	0.0428	0.0407	0.0421	0.045	0.043	0.0414	0.0409	0.0426	0.042	0.041	0.04	0.0413	0.0413	0.0414	0.0408	0.0429	0.0438	0.0423	0.0414	0.0406	0.0413	0.0418	0.042	0.0405	0.044	0.0409	0.0418	0.0432	0.0397	0.0414	0.0406	0.0428	0.0407	0.0409	0.0412	0.0457	0.0416	0.0395	0.04	0.0414	0.0401	0.0412	0.0407	0.0416	0.043	0.0399	0.0386	0.0401	0.0405	0.0407	0.0411	0.0409	0.0419	0.0394	0.041	0.0405	0.042	0.0403	0.0414	0.0406	0.0403	0.0397	0.0418	0.0424	0.0422	0.0441	0.0425	0.0416	0.0446	0.0428	0.0396	0.0421	0.0424	0.04	0.0404	0.039	0.0419	0.0394	0.0402	0.0409
direct_vc_pvals	0.676	0.175	0.465	0.277	0.063	0.816	0.524	0.282	0.087	0.109	0.213	0.2	0.463	0.123	0.126	0.115	0.73	0.317	0.406	0.333	0.208	0.038	0.52	0.043	0.982	0.86	0.99	0.958	0.089	0.746	0.258	0.461	0.4	0.434	0.945	0.019	0.279	0.744	0.785	0.148	0.042	0.931	0.823	0.958	0.923	0.456	0.586	0.417	0.12	0.468	0.697	0.936	0.085	0.266	0.91	0.408	0.353	0.506	0.007	0.233	0.873	0.733	0.638	0.738	0.613	0.073	0.96	0.811	0.606	0.941	0.955	0.194	0.773	0.612	0.99	0.796	0.871	0.715	0.618	0.329	0.262	0.549	0.523	0.149	0.787	0.569	0.009	0.001	0.649	0.061	0.766	0.724	0.955	0.041	0.668	0.611	0.508	0.197	0.016	0.684
upper95_perm_direct	0.25	0.0975	0.0591	0.0519	0.0544	0.0565	0.0501	0.0671	0.0524	0.0579	0.0577	0.0598	0.0545	0.0532	0.0515	0.0504	0.0566	0.0449	0.0447	0.0627	0.0562	0.0514	0.0518	0.0555	0.0512	0.0429	0.0453	0.0503	0.046	0.0651	0.0494	0.0483	0.0513	0.0463	0.0505	0.0473	0.0569	0.0507	0.0558	0.0511	0.045	0.0568	0.0522	0.0548	0.0516	0.0459	0.053	0.0569	0.0508	0.0537	0.046	0.0524	0.0537	0.0454	0.0519	0.0485	0.0506	0.0548	0.0531	0.0496	0.0486	0.0514	0.0593	0.0507	0.0536	0.0454	0.0492	0.052	0.0456	0.0511	0.0539	0.0508	0.0524	0.0561	0.0482	0.0493	0.0534	0.0532	0.057	0.0455	0.0442	0.0502	0.0459	0.0421	0.0527	0.0467	0.0592	0.0599	0.0507	0.0545	0.0476	0.0482	0.0494	0.0514	0.0493	0.0492	0.0468	0.0528	0.0445	0.0485
lower0_perm_direct	-0.0447	-0.0185	-0.0145	-0.0137	-0.0125	-0.0127	-0.0122	-0.0121	-0.0114	-0.0117	-0.0115	-0.0117	-0.0116	-0.0122	-0.011	-0.012	-0.0118	-0.0117	-0.0117	-0.012	-0.0118	-0.0114	-0.0117	-0.0121	-0.012	-0.0115	-0.0111	-0.0121	-0.0116	-0.0113	-0.0109	-0.0112	-0.0114	-0.0112	-0.0113	-0.0122	-0.0117	-0.0116	-0.0115	-0.0112	-0.0115	-0.0114	-0.0119	-0.0114	-0.0124	-0.0113	-0.0114	-0.0116	-0.011	-0.0118	-0.0112	-0.0117	-0.0115	-0.0114	-0.0114	-0.0125	-0.0114	-0.0105	-0.0111	-0.0115	-0.0113	-0.0115	-0.011	-0.0115	-0.0119	-0.0111	-0.0106	-0.0111	-0.0108	-0.0109	-0.0112	-0.011	-0.0116	-0.0108	-0.0113	-0.011	-0.0116	-0.0115	-0.0115	-0.0114	-0.0111	-0.0109	-0.0115	-0.0116	-0.0116	-0.0122	-0.0118	-0.0112	-0.0123	-0.012	-0.0109	-0.0116	-0.0118	-0.0111	-0.0108	-0.0108	-0.0113	-0.011	-0.011	-0.0112
sad_vc_estimate	0.0011	0.1167	-0.0052	-0.0081	0.0389	-0.0087	-0.0074	0.0014	0.0199	0.052	0.008	0.0157	-0.007	0.0356	0.0217	0.0183	-0.0082	0.0412	0.0055	0.0388	0.0093	0.0297	-0.0006	0.0881	-0.0043	-0.007	-0.0043	-0.0068	0.0446	0.0008	0.0096	-0.004	-0.0013	0.0011	-0.0082	0.066	0.0201	0.0043	-0.0062	0.0227	0.0658	-0.0084	-0.0032	-0.0082	-0.0011	-0.0075	-0.0052	0.0017	0.0026	0.0193	-0.0076	-0.0059	0.0723	0.01	-0.006	-0.0086	0.0024	-0.0008	0.0796	0.0039	-0.0061	-0.0081	-0.0048	-0.0075	-0.004	0.0211	-0.0029	-0.006	-0.007	-0.0082	-0.0077	0.0129	-0.005	-0.0079	-0.0076	0.0038	-0.0085	-0.0064	-0.008	0.0165	-0.0019	-0.0075	-0.0055	0.0189	-0.002	-0.0086	0.1058	0.1388	-0.0065	0.0489	-0.0065	-0.007	-0.0076	0.0433	-0.0071	0.009	-0.0037	0.0061	0.0956	0.0059
sad_vc_estimate_se	0.1707	0.0725	0.0539	0.0515	0.0482	0.0471	0.0467	0.047	0.043	0.0448	0.0438	0.0449	0.0443	0.0448	0.0422	0.0438	0.0452	0.0451	0.0444	0.0456	0.0451	0.0429	0.0447	0.0471	0.045	0.0435	0.043	0.0446	0.044	0.0432	0.0421	0.0433	0.0434	0.0436	0.0429	0.0448	0.046	0.0443	0.0434	0.0425	0.0433	0.0439	0.044	0.0426	0.0461	0.0429	0.0439	0.0452	0.0417	0.0436	0.0427	0.0448	0.0427	0.0429	0.0432	0.0477	0.0435	0.0416	0.0419	0.0434	0.0421	0.0431	0.0427	0.0436	0.0453	0.0419	0.0406	0.0421	0.0425	0.0428	0.0431	0.0429	0.044	0.0414	0.043	0.0425	0.0442	0.0424	0.0436	0.0427	0.0423	0.0417	0.044	0.0443	0.0443	0.0461	0.0445	0.0437	0.0467	0.0448	0.0415	0.0441	0.0444	0.0421	0.0425	0.041	0.0439	0.0414	0.0421	0.0429
sad_vc_pvals	0.511	0.024	0.593	0.744	0.093	0.888	0.767	0.428	0.165	0.05	0.309	0.226	0.763	0.08	0.171	0.186	0.856	0.078	0.323	0.087	0.29	0.121	0.496	0.01	0.595	0.764	0.633	0.74	0.056	0.471	0.273	0.587	0.463	0.443	0.935	0.026	0.178	0.371	0.716	0.149	0.022	0.955	0.558	0.989	0.504	0.804	0.637	0.417	0.41	0.191	0.855	0.678	0.013	0.255	0.72	0.835	0.379	0.492	0.01	0.34	0.729	0.912	0.626	0.81	0.534	0.181	0.577	0.712	0.785	0.946	0.822	0.222	0.64	0.918	0.835	0.34	0.986	0.748	0.891	0.208	0.533	0.852	0.65	0.177	0.516	0.894	0.008	0.002	0.687	0.047	0.732	0.748	0.784	0.058	0.789	0.277	0.562	0.313	0.007	0.311
upper95_perm_sad	0.2778	0.0987	0.0639	0.0797	0.0708	0.0739	0.0657	0.0678	0.0627	0.0627	0.0674	0.0721	0.0644	0.0556	0.0644	0.0627	0.0651	0.0638	0.0597	0.0669	0.061	0.0613	0.0686	0.0637	0.0659	0.0605	0.059	0.0618	0.0593	0.0666	0.063	0.0698	0.061	0.0577	0.0597	0.0618	0.071	0.0642	0.061	0.0592	0.056	0.0575	0.0655	0.0572	0.0644	0.0629	0.0586	0.0652	0.0691	0.0654	0.0588	0.057	0.0501	0.0615	0.0651	0.0635	0.0492	0.0561	0.0522	0.0598	0.0681	0.0619	0.0613	0.0546	0.0591	0.0641	0.0558	0.0678	0.0553	0.0561	0.0554	0.0561	0.0636	0.0625	0.0735	0.0638	0.0573	0.0653	0.0607	0.0658	0.0621	0.055	0.0519	0.067	0.0695	0.0578	0.0623	0.058	0.0624	0.0589	0.0583	0.0616	0.0585	0.0585	0.0557	0.0551	0.0589	0.0597	0.0637	0.0559
lower0_perm_sad	-0.047	-0.02	-0.0149	-0.0142	-0.0138	-0.0129	-0.0129	-0.0128	-0.012	-0.0125	-0.012	-0.0124	-0.0122	-0.0126	-0.0117	-0.0122	-0.0122	-0.0125	-0.0126	-0.0125	-0.0124	-0.0116	-0.0124	-0.0132	-0.0123	-0.0121	-0.012	-0.0124	-0.0122	-0.012	-0.0116	-0.0121	-0.0121	-0.012	-0.012	-0.0123	-0.0127	-0.0122	-0.0116	-0.0118	-0.0119	-0.0122	-0.0123	-0.0116	-0.0129	-0.0118	-0.0125	-0.0126	-0.0114	-0.0117	-0.0117	-0.0122	-0.0118	-0.0118	-0.0118	-0.0126	-0.012	-0.0114	-0.0115	-0.0121	-0.0117	-0.0119	-0.0122	-0.012	-0.0125	-0.0114	-0.0112	-0.0118	-0.012	-0.0117	-0.012	-0.0121	-0.0123	-0.0116	-0.0121	-0.0117	-0.0124	-0.0116	-0.0123	-0.0116	-0.0118	-0.0115	-0.0125	-0.0123	-0.0122	-0.0126	-0.0127	-0.0119	-0.013	-0.0122	-0.0116	-0.0119	-0.012	-0.0118	-0.0117	-0.0114	-0.0122	-0.0112	-0.0116	-0.0119
