	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.0022	-0.0016	0.0004	-0.001	0.019	0.296	0.1936	0.0501	0.0474	0.0086	0.0227	0.0387	0.0119	0.0442	0.0006	-0.0008	0.0017	0.0317	-0.001	0.004	0.0175	0.042	0.0035	0.0004	0.0042	-0.0009	-0.0002	0.0044	-0.0011	0.0108	0.0031	0.0007	0.001	-0.0011	0.0001	-0.0	0.0087	0.0065	0.0203	0.0022	0.0004	-0.0002	-0.0008	0.002	0.0024	0.0065	0.0065	-0.0006	0.0277	0.0118	0.0043	-0.0011	0.0	0.0082	-0.0004	0.0053	0.0025	-0.0009	0.0042	-0.0008	-0.0008	-0.0	0.0042	-0.0008	0.0186	0.0001	0.0065	-0.001	0.0024	-0.0005	0.0048	0.0019	-0.001	0.0057	0.0013	-0.0008	-0.0009	-0.001	0.0002	0.006	-0.0009	0.0031	-0.001	-0.001	-0.001	0.0059	-0.0002	0.012	0.006	-0.0007	-0.0009	0.0004	0.0103	-0.0008	0.0006	0.002	0.0004	0.0003	0.0022	0.0056
direct_vc_estimate_se	0.0406	0.015	0.0114	0.0099	0.0137	0.0243	0.0259	0.0171	0.0107	0.0103	0.0105	0.0127	0.0115	0.0124	0.0098	0.01	0.0097	0.0106	0.0092	0.011	0.0092	0.0131	0.0106	0.0089	0.0114	0.01	0.0099	0.0091	0.0106	0.0101	0.0101	0.0091	0.01	0.0103	0.0088	0.0092	0.0098	0.0101	0.0095	0.0103	0.0093	0.01	0.0104	0.009	0.0091	0.0098	0.0111	0.0096	0.0102	0.0094	0.0092	0.0104	0.0095	0.01	0.0086	0.0083	0.0091	0.0092	0.0099	0.0085	0.009	0.0094	0.0098	0.0096	0.0098	0.0099	0.0097	0.0093	0.0088	0.0092	0.0094	0.0109	0.0098	0.0092	0.0091	0.0085	0.0089	0.0095	0.0089	0.0088	0.0094	0.0098	0.0093	0.0091	0.0094	0.0095	0.0096	0.0095	0.0093	0.0091	0.0097	0.0087	0.0087	0.0078	0.0089	0.0085	0.0094	0.0098	0.0089	0.0084
direct_vc_pvals	0.699	0.96	0.47	0.91	0.164	0.0	0.064	0.189	0.009	0.294	0.086	0.056	0.22	0.045	0.441	0.809	0.393	0.007	0.938	0.419	0.006	0.062	0.253	0.488	0.377	0.848	0.632	0.129	0.933	0.076	0.288	0.49	0.488	0.922	0.639	0.557	0.151	0.09	0.033	0.436	0.559	0.564	0.781	0.171	0.278	0.187	0.163	0.68	0.012	0.025	0.114	0.981	0.567	0.05	0.692	0.06	0.294	0.877	0.184	0.829	0.824	0.584	0.243	0.733	0.034	0.507	0.222	0.979	0.285	0.636	0.254	0.435	0.853	0.238	0.408	0.758	0.801	0.904	0.549	0.072	0.844	0.211	0.929	0.967	0.908	0.097	0.625	0.021	0.111	0.743	0.852	0.396	0.029	0.911	0.423	0.23	0.554	0.486	0.303	0.123
upper95_perm_direct	0.2269	0.0273	0.0178	0.0183	0.0527	0.2654	0.3118	0.1472	0.0455	0.0434	0.0439	0.0596	0.0413	0.0642	0.0135	0.021	0.0215	0.0248	0.0118	0.0413	0.0121	0.0654	0.0162	0.0154	0.0344	0.0181	0.0186	0.0114	0.0221	0.0196	0.0194	0.0172	0.0208	0.0194	0.0189	0.0131	0.0225	0.0139	0.0279	0.025	0.0189	0.012	0.0263	0.0072	0.0134	0.0215	0.0211	0.0148	0.0277	0.0127	0.0101	0.0175	0.0176	0.0118	0.0151	0.0087	0.0149	0.013	0.0152	0.0122	0.0136	0.0163	0.0194	0.0113	0.0234	0.0133	0.0251	0.0261	0.0143	0.0101	0.0214	0.0221	0.0174	0.0233	0.0176	0.0108	0.0087	0.0151	0.0163	0.0107	0.0176	0.0155	0.0107	0.0194	0.0148	0.0132	0.0175	0.0125	0.0134	0.0134	0.0164	0.0094	0.0117	0.0098	0.0113	0.0094	0.0191	0.0139	0.0151	0.0154
lower0_perm_direct	-0.0081	-0.0034	-0.0024	-0.0021	-0.0028	-0.005	-0.005	-0.0034	-0.002	-0.0022	-0.0022	-0.0026	-0.0025	-0.0026	-0.0022	-0.0023	-0.0022	-0.0022	-0.0019	-0.0022	-0.002	-0.0027	-0.0023	-0.0018	-0.0023	-0.0021	-0.0021	-0.0019	-0.0023	-0.002	-0.0021	-0.0019	-0.0021	-0.0022	-0.0019	-0.0019	-0.0021	-0.002	-0.002	-0.0022	-0.002	-0.0021	-0.0023	-0.0019	-0.0019	-0.002	-0.0024	-0.0021	-0.0023	-0.002	-0.002	-0.0022	-0.0019	-0.0021	-0.0018	-0.0017	-0.0019	-0.0018	-0.0021	-0.0019	-0.0021	-0.0019	-0.0021	-0.002	-0.002	-0.002	-0.0021	-0.0019	-0.0018	-0.002	-0.0019	-0.0022	-0.0021	-0.0019	-0.002	-0.0018	-0.0019	-0.0019	-0.002	-0.002	-0.002	-0.0021	-0.002	-0.0018	-0.0019	-0.0021	-0.0019	-0.0021	-0.002	-0.0019	-0.0019	-0.0018	-0.0019	-0.0016	-0.002	-0.0018	-0.0019	-0.002	-0.0018	-0.0019
sad_vc_estimate	0.0052	0.0085	0.0126	0.0028	0.0432	0.5735	0.4973	0.1577	0.0843	0.021	0.047	0.1431	0.0136	0.0818	0.0037	-0.0001	-0.0001	0.0849	0.0035	0.0072	0.0358	0.1613	0.0026	-0.0008	0.0071	0.0015	0.0041	0.0002	0.0017	0.0212	0.0224	0.0016	0.0181	-0.0011	0.0022	0.0056	0.0441	0.0157	0.065	0.0162	-0.0001	0.0004	0.0068	0.0039	0.0242	0.0233	0.0156	0.0007	0.0673	0.0312	0.0077	0.004	0.0065	0.0177	0.0139	0.01	0.0087	0.002	0.0039	-0.0002	0.0033	-0.0009	0.0327	0.0017	0.0502	-0.001	0.0155	0.0038	-0.001	0.0003	0.0205	0.0054	-0.0006	0.0089	0.0059	0.0012	-0.0004	-0.001	-0.0006	0.0433	-0.001	0.0056	0.0006	-0.0006	-0.0009	0.0157	-0.0008	0.0212	0.0274	0.0007	-0.0011	0.0058	0.021	-0.0009	0.0055	0.0062	0.0057	-0.0009	0.0142	0.0168
sad_vc_estimate_se	0.0414	0.0153	0.0117	0.0101	0.0139	0.0248	0.0264	0.0174	0.0109	0.0105	0.0107	0.0129	0.0117	0.0127	0.01	0.0102	0.0099	0.0108	0.0094	0.0112	0.0093	0.0134	0.0108	0.0091	0.0117	0.0102	0.01	0.0093	0.0108	0.0103	0.0103	0.0092	0.0102	0.0105	0.009	0.0093	0.0099	0.0103	0.0096	0.0105	0.0095	0.0102	0.0106	0.0092	0.0093	0.01	0.0113	0.0098	0.0104	0.0096	0.0093	0.0106	0.0097	0.0102	0.0087	0.0085	0.0093	0.0094	0.0101	0.0087	0.0092	0.0096	0.01	0.0098	0.01	0.01	0.0099	0.0095	0.009	0.0093	0.0096	0.0111	0.01	0.0094	0.0093	0.0087	0.0091	0.0097	0.0091	0.009	0.0096	0.01	0.0095	0.0093	0.0095	0.0097	0.0098	0.0097	0.0095	0.0093	0.0099	0.0089	0.0089	0.008	0.0091	0.0087	0.0096	0.0099	0.009	0.0086
sad_vc_pvals	0.763	0.305	0.263	0.482	0.214	0.008	0.045	0.133	0.035	0.221	0.127	0.012	0.462	0.089	0.455	0.775	0.75	0.006	0.41	0.531	0.016	0.012	0.512	0.836	0.517	0.611	0.47	0.636	0.58	0.112	0.108	0.553	0.176	0.987	0.551	0.333	0.038	0.118	0.026	0.24	0.726	0.644	0.441	0.257	0.04	0.108	0.227	0.607	0.018	0.007	0.224	0.521	0.332	0.083	0.188	0.118	0.233	0.501	0.404	0.751	0.419	0.891	0.065	0.514	0.03	0.92	0.286	0.501	0.952	0.604	0.129	0.442	0.831	0.354	0.341	0.512	0.71	0.895	0.838	0.003	0.961	0.317	0.591	0.833	0.856	0.077	0.843	0.044	0.035	0.632	0.959	0.213	0.055	0.957	0.279	0.163	0.371	0.844	0.136	0.108
upper95_perm_sad	0.534	0.0587	0.0511	0.0425	0.1424	0.6585	0.7296	0.3328	0.1064	0.0915	0.1071	0.1616	0.1079	0.1527	0.0399	0.0609	0.0494	0.0625	0.0338	0.1067	0.0343	0.1747	0.0472	0.0347	0.0929	0.0487	0.0468	0.0337	0.0481	0.0451	0.0505	0.0338	0.0574	0.0547	0.0427	0.037	0.0526	0.0343	0.0758	0.0626	0.0444	0.0323	0.0584	0.0197	0.0323	0.0519	0.0544	0.036	0.0641	0.0283	0.03	0.0509	0.0437	0.0343	0.0447	0.0228	0.0361	0.0312	0.0356	0.0347	0.0349	0.0448	0.0536	0.0318	0.0585	0.0339	0.0627	0.0509	0.027	0.0267	0.0487	0.0581	0.0556	0.0596	0.0377	0.0281	0.0223	0.0404	0.0383	0.025	0.0381	0.0353	0.036	0.0438	0.0355	0.0281	0.0453	0.0302	0.0353	0.039	0.04	0.0247	0.0316	0.0242	0.0298	0.0183	0.0438	0.0361	0.0385	0.0363
lower0_perm_sad	-0.0083	-0.0033	-0.0024	-0.0022	-0.0028	-0.005	-0.0053	-0.0035	-0.0023	-0.002	-0.0022	-0.0028	-0.0023	-0.0025	-0.002	-0.0022	-0.0021	-0.0022	-0.0019	-0.0022	-0.0019	-0.0026	-0.0022	-0.0019	-0.0024	-0.0021	-0.0021	-0.0019	-0.0022	-0.0021	-0.0021	-0.0018	-0.002	-0.0022	-0.0018	-0.002	-0.0022	-0.0021	-0.0019	-0.0021	-0.002	-0.0021	-0.0023	-0.0019	-0.002	-0.0022	-0.0025	-0.002	-0.0023	-0.0019	-0.0019	-0.0023	-0.002	-0.002	-0.0017	-0.0018	-0.0019	-0.002	-0.002	-0.0017	-0.0019	-0.0021	-0.0019	-0.002	-0.002	-0.0021	-0.0021	-0.0021	-0.0018	-0.0019	-0.0019	-0.0023	-0.002	-0.002	-0.0019	-0.0019	-0.0019	-0.0022	-0.0019	-0.0021	-0.0019	-0.0021	-0.0019	-0.0019	-0.002	-0.0021	-0.002	-0.002	-0.0021	-0.0019	-0.0019	-0.0018	-0.0018	-0.0017	-0.0019	-0.0019	-0.0021	-0.0021	-0.0018	-0.0018
