	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.1503	0.036	0.0304	0.0169	0.0012	0.0183	0.0505	0.0006	-0.0006	-0.0004	0.0358	-0.0002	0.0016	0.005	0.0064	0.004	0.0001	0.0021	0.0092	0.0017	0.0003	0.0119	0.0043	0.0007	0.0033	0.0132	0.001	0.0045	0.0013	0.0018	0.0	-0.0002	0.0053	0.0043	0.0162	0.0002	-0.0002	0.0005	0.0011	0.0014	0.0054	-0.0001	-0.0002	0.0001	-0.0002	0.0009	0.0029	0.0001	0.01	0.0021	0.0099	0.0201	0.0025	-0.0001	-0.0001	0.0041	0.0006	0.0001	-0.0002	0.0016	0.0001	0.0002	-0.0002	0.0094	-0.0002	-0.0006	-0.0	0.0004	0.007	0.0087	0.0072	0.0028	-0.0001	0.0023	0.0002	0.0068	-0.0001	0.0074	0.006	0.0012	0.0003	-0.0001	0.0056	-0.0002	-0.0003	-0.0004	0.0001	0.0036	0.0023	0.0005	0.0001	0.0102	-0.0	-0.0001	-0.0004	0.0011	-0.0007	0.0014	0.0019	0.002
direct_vc_estimate_se	0.003	0.0011	0.0007	0.0007	0.0006	0.0008	0.0013	0.0007	0.0015	0.0014	0.0017	0.0005	0.0006	0.0005	0.0005	0.0006	0.0012	0.0006	0.0011	0.0005	0.0005	0.001	0.0008	0.0005	0.0006	0.0014	0.0006	0.0006	0.0005	0.0006	0.0006	0.0005	0.0005	0.0009	0.001	0.0004	0.0008	0.0009	0.0006	0.0006	0.0005	0.0006	0.0005	0.0008	0.0005	0.0005	0.0021	0.0005	0.0008	0.0006	0.0011	0.0006	0.0008	0.0004	0.0006	0.0008	0.0006	0.0005	0.0005	0.0006	0.0006	0.0011	0.0006	0.0005	0.0006	0.0014	0.0005	0.0006	0.0005	0.0012	0.001	0.0008	0.0004	0.0004	0.0005	0.0004	0.0008	0.001	0.0005	0.0005	0.0005	0.0005	0.0008	0.0005	0.0008	0.001	0.0006	0.0009	0.0006	0.0006	0.0006	0.0006	0.0005	0.0005	0.0009	0.0015	0.0016	0.0004	0.0005	0.0005
direct_vc_pvals	0.09	0.081	0.006	0.031	0.58	0.043	0.007	0.514	0.914	0.786	0.022	0.987	0.363	0.17	0.239	0.292	0.619	0.251	0.015	0.353	0.434	0.03	0.215	0.422	0.179	0.048	0.52	0.271	0.528	0.243	0.651	0.944	0.263	0.27	0.011	0.631	0.833	0.647	0.691	0.576	0.272	0.864	0.949	0.662	0.839	0.381	0.132	0.726	0.003	0.269	0.005	0.024	0.285	0.92	0.793	0.248	0.501	0.746	0.925	0.335	0.56	0.637	0.847	0.016	0.948	0.994	0.769	0.601	0.21	0.131	0.085	0.088	0.825	0.273	0.503	0.004	0.711	0.089	0.104	0.432	0.651	0.855	0.332	0.984	0.883	0.834	0.733	0.049	0.154	0.394	0.779	0.017	0.6	0.687	0.99	0.385	0.86	0.283	0.224	0.223
upper95_perm_direct	0.3027	0.0707	0.0339	0.0268	0.0231	0.0303	0.046	0.0118	0.0134	0.0107	0.0464	0.0111	0.0144	0.0173	0.0215	0.0176	0.0125	0.0109	0.0098	0.0109	0.0055	0.0162	0.0168	0.0078	0.0111	0.0229	0.0147	0.018	0.0128	0.0082	0.0093	0.0113	0.0243	0.0184	0.0195	0.0078	0.0189	0.0204	0.0378	0.0238	0.0215	0.0205	0.0134	0.0138	0.0083	0.0078	0.0091	0.0169	0.0082	0.0118	0.0095	0.0287	0.0127	0.0283	0.0128	0.0158	0.0102	0.0169	0.008	0.0099	0.0068	0.0167	0.0119	0.0124	0.0141	0.004	0.0109	0.0112	0.0244	0.0231	0.0146	0.0068	0.008	0.0108	0.0055	0.0054	0.0067	0.0169	0.0132	0.0109	0.0097	0.0106	0.0237	0.0093	0.0086	0.0071	0.0132	0.0061	0.0075	0.0063	0.0243	0.0129	0.0044	0.003	0.026	0.0132	0.0078	0.0083	0.0089	0.0088
lower0_perm_direct	-0.0025	-0.0011	-0.0007	-0.0006	-0.0005	-0.0007	-0.0012	-0.0006	-0.0014	-0.0014	-0.0016	-0.0005	-0.0006	-0.0005	-0.0005	-0.0005	-0.0012	-0.0006	-0.001	-0.0005	-0.0005	-0.001	-0.0007	-0.0004	-0.0006	-0.0013	-0.0006	-0.0006	-0.0005	-0.0006	-0.0005	-0.0005	-0.0004	-0.0008	-0.0009	-0.0004	-0.0008	-0.0008	-0.0006	-0.0006	-0.0005	-0.0005	-0.0005	-0.0008	-0.0005	-0.0004	-0.002	-0.0005	-0.0008	-0.0006	-0.0011	-0.0006	-0.0007	-0.0004	-0.0006	-0.0008	-0.0005	-0.0004	-0.0005	-0.0005	-0.0006	-0.0011	-0.0006	-0.0005	-0.0005	-0.0013	-0.0004	-0.0006	-0.0004	-0.0012	-0.001	-0.0007	-0.0004	-0.0004	-0.0005	-0.0004	-0.0008	-0.001	-0.0005	-0.0005	-0.0004	-0.0005	-0.0007	-0.0005	-0.0008	-0.001	-0.0005	-0.0008	-0.0006	-0.0006	-0.0005	-0.0006	-0.0005	-0.0005	-0.0008	-0.0015	-0.0016	-0.0004	-0.0005	-0.0004
sad_vc_estimate	0.6297	0.2093	0.1102	0.0551	0.0069	0.036	0.1032	0.0037	0.0051	0.0008	0.038	0.0017	0.0015	0.0116	0.0113	0.0107	0.0047	0.0138	0.0086	0.0026	0.0081	0.0107	0.0095	0.0083	0.0145	0.0432	0.0055	0.0194	0.0049	0.0026	0.0049	0.0002	0.0245	0.0146	0.0371	0.0032	0.004	0.0036	0.0072	0.0007	0.0157	-0.0002	0.0031	0.002	0.0006	0.0089	0.0264	0.0042	0.023	0.0011	0.0259	0.0713	0.0077	0.0008	0.0001	0.0135	0.0038	0.0007	0.0001	0.0002	0.0005	-0.0001	-0.0	0.0364	0.0025	-0.0005	0.001	-0.0002	0.0328	0.0005	0.0272	0.0084	0.0019	0.0131	0.0006	0.0065	-0.0003	0.0149	0.0267	0.0016	0.0001	0.0004	0.012	-0.0	0.001	-0.0004	0.0004	0.0082	0.018	0.002	0.0062	0.0204	-0.0002	-0.0	0.0022	0.0033	0.0003	0.0012	0.0047	0.0103
sad_vc_estimate_se	0.003	0.0011	0.0007	0.0007	0.0006	0.0008	0.0013	0.0007	0.0015	0.0014	0.0017	0.0005	0.0006	0.0005	0.0005	0.0006	0.0012	0.0006	0.0011	0.0005	0.0005	0.001	0.0008	0.0005	0.0006	0.0014	0.0006	0.0006	0.0005	0.0006	0.0006	0.0005	0.0005	0.0009	0.001	0.0005	0.0008	0.0009	0.0006	0.0007	0.0005	0.0006	0.0005	0.0008	0.0005	0.0005	0.0021	0.0005	0.0008	0.0006	0.0011	0.0006	0.0008	0.0005	0.0006	0.0008	0.0006	0.0005	0.0005	0.0006	0.0006	0.0011	0.0007	0.0005	0.0006	0.0014	0.0005	0.0006	0.0005	0.0012	0.001	0.0008	0.0004	0.0004	0.0005	0.0004	0.0008	0.001	0.0005	0.0005	0.0005	0.0006	0.0008	0.0005	0.0008	0.001	0.0006	0.0009	0.0006	0.0006	0.0006	0.0006	0.0005	0.0005	0.0009	0.0015	0.0016	0.0004	0.0005	0.0005
sad_vc_pvals	0.017	0.006	0.002	0.042	0.462	0.086	0.005	0.404	0.451	0.558	0.021	0.535	0.653	0.181	0.322	0.296	0.312	0.112	0.075	0.441	0.255	0.249	0.271	0.067	0.129	0.051	0.322	0.226	0.567	0.421	0.346	0.734	0.08	0.253	0.049	0.528	0.594	0.514	0.524	0.82	0.348	0.972	0.491	0.501	0.665	0.127	0.032	0.463	0.008	0.606	0.008	0.019	0.212	0.816	0.809	0.209	0.338	0.751	0.791	0.733	0.632	0.815	0.843	0.011	0.529	0.865	0.573	0.927	0.128	0.763	0.014	0.069	0.561	0.144	0.577	0.136	0.973	0.113	0.09	0.623	0.803	0.839	0.352	0.842	0.52	0.874	0.817	0.127	0.077	0.42	0.489	0.011	0.934	0.735	0.886	0.483	0.613	0.593	0.339	0.118
upper95_perm_sad	0.8881	0.2437	0.1202	0.0857	0.0558	0.078	0.1087	0.0294	0.0553	0.0269	0.0498	0.0268	0.0436	0.0412	0.0561	0.0515	0.0288	0.0339	0.018	0.0269	0.0303	0.0428	0.0398	0.0158	0.039	0.0754	0.0299	0.0679	0.0363	0.0204	0.029	0.026	0.0484	0.0645	0.0593	0.027	0.0516	0.0562	0.0879	0.0717	0.0662	0.0563	0.0424	0.0301	0.0261	0.0253	0.035	0.0466	0.0244	0.0268	0.0282	0.098	0.0314	0.0875	0.0328	0.0415	0.024	0.0528	0.0249	0.0199	0.0204	0.0454	0.0322	0.0436	0.0343	0.018	0.0212	0.0395	0.0781	0.0568	0.0319	0.0158	0.0318	0.0377	0.0181	0.0181	0.0296	0.0421	0.0567	0.0268	0.0238	0.0303	0.0641	0.0262	0.0197	0.0188	0.0351	0.0217	0.0356	0.0222	0.0771	0.0264	0.0185	0.0088	0.1024	0.0413	0.024	0.0243	0.0318	0.0241
lower0_perm_sad	-0.0027	-0.0011	-0.0006	-0.0006	-0.0006	-0.0007	-0.0013	-0.0006	-0.0014	-0.0014	-0.0017	-0.0005	-0.0006	-0.0005	-0.0005	-0.0006	-0.0012	-0.0005	-0.0011	-0.0005	-0.0005	-0.001	-0.0008	-0.0005	-0.0006	-0.0013	-0.0006	-0.0006	-0.0005	-0.0005	-0.0006	-0.0005	-0.0004	-0.0008	-0.0009	-0.0004	-0.0007	-0.0008	-0.0007	-0.0006	-0.0005	-0.0006	-0.0005	-0.0008	-0.0005	-0.0005	-0.0021	-0.0005	-0.0007	-0.0006	-0.001	-0.0006	-0.0007	-0.0004	-0.0006	-0.0007	-0.0005	-0.0004	-0.0005	-0.0005	-0.0006	-0.0011	-0.0006	-0.0004	-0.0005	-0.0012	-0.0004	-0.0006	-0.0005	-0.0012	-0.001	-0.0008	-0.0003	-0.0005	-0.0005	-0.0004	-0.0008	-0.001	-0.0005	-0.0005	-0.0005	-0.0005	-0.0008	-0.0005	-0.0008	-0.0009	-0.0005	-0.0008	-0.0006	-0.0006	-0.0005	-0.0006	-0.0005	-0.0005	-0.0008	-0.0015	-0.0016	-0.0004	-0.0004	-0.0005
