	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.0135	0.095	0.0264	-0.0006	0.0195	0.004	0.0004	0.0019	0.0026	-0.0015	0.0024	-0.0001	-0.0011	0.0009	-0.0006	-0.0002	0.0014	0.0022	-0.0011	-0.0014	-0.0003	0.0033	0.0022	0.0117	0.0078	-0.0006	0.0024	-0.0012	-0.0017	0.0244	-0.0	0.0347	0.0006	0.0071	-0.0009	0.0006	0.0088	0.0019	-0.0008	-0.0015	0.0119	-0.0014	0.0125	-0.0002	-0.0015	-0.0003	-0.0002	-0.0017	0.001	-0.0011	0.0033	-0.0004	0.0048	0.0082	-0.0003	0.0022	0.0012	-0.0008	0.0034	-0.0001	0.0011	0.0009	0.0109	-0.0008	-0.001	0.0015	0.0007	0.0042	-0.0011	0.0118	0.0038	-0.0002	0.005	-0.0015	-0.001	-0.0013	-0.0013	0.0112	0.0011	-0.0005	0.0068	0.0036	-0.0005	-0.001	0.001	0.0164	0.0066	0.0029	0.0216	0.0014	-0.0005	0.0025	0.0004	0.0111	-0.0005	-0.0002	-0.001	-0.0008	-0.0006	0.0025
direct_vc_estimate_se	0.0863	0.0304	0.027	0.0235	0.0243	0.0309	0.0251	0.0268	0.0203	0.0237	0.0193	0.0212	0.0196	0.0201	0.0212	0.022	0.0184	0.0218	0.0228	0.0233	0.0224	0.0213	0.0203	0.0219	0.0242	0.0191	0.0203	0.0258	0.0254	0.022	0.0199	0.0232	0.0208	0.0197	0.0235	0.0226	0.0194	0.0226	0.0189	0.0235	0.0231	0.0224	0.0205	0.0199	0.0243	0.0232	0.0174	0.0259	0.0229	0.0187	0.0194	0.0231	0.0253	0.0218	0.0205	0.0228	0.0213	0.0214	0.0183	0.0194	0.0321	0.0242	0.0199	0.0236	0.0234	0.0236	0.0185	0.0239	0.0179	0.019	0.0244	0.0211	0.0212	0.0261	0.0203	0.0203	0.0224	0.0254	0.0189	0.0232	0.0203	0.0201	0.0197	0.0183	0.0195	0.0205	0.0193	0.0212	0.0234	0.0167	0.0179	0.021	0.0169	0.0242	0.0249	0.0201	0.0175	0.0207	0.0169	0.0187
direct_vc_pvals	0.252	0.001	0.014	0.639	0.034	0.235	0.539	0.392	0.277	0.941	0.346	0.548	0.845	0.444	0.657	0.604	0.396	0.36	0.74	0.855	0.585	0.26	0.346	0.083	0.113	0.675	0.346	0.734	0.95	0.009	0.567	0.002	0.452	0.143	0.702	0.461	0.103	0.385	0.71	0.926	0.109	0.943	0.061	0.568	0.845	0.614	0.584	0.932	0.455	0.819	0.306	0.621	0.274	0.083	0.615	0.339	0.405	0.653	0.244	0.608	0.417	0.38	0.052	0.696	0.759	0.294	0.47	0.211	0.863	0.065	0.259	0.625	0.184	0.821	0.754	0.975	0.846	0.066	0.361	0.624	0.126	0.225	0.59	0.808	0.428	0.024	0.141	0.26	0.013	0.392	0.664	0.317	0.512	0.042	0.618	0.557	0.835	0.682	0.671	0.3
upper95_perm_direct	0.0799	0.0374	0.0234	0.0186	0.0244	0.0195	0.0269	0.0258	0.0187	0.0264	0.0208	0.0213	0.0185	0.0204	0.0229	0.0249	0.0192	0.0241	0.0232	0.0192	0.0225	0.0197	0.0195	0.0241	0.0181	0.0149	0.0205	0.0173	0.0294	0.0184	0.0226	0.0205	0.022	0.0186	0.0199	0.0193	0.0211	0.0211	0.0172	0.0178	0.0263	0.0219	0.0194	0.0168	0.0175	0.0237	0.0154	0.0177	0.0236	0.0167	0.0199	0.0256	0.0267	0.0154	0.0214	0.0212	0.0198	0.0181	0.0172	0.0213	0.0231	0.0145	0.0165	0.0234	0.0313	0.0118	0.018	0.0209	0.0184	0.0197	0.0202	0.0244	0.0182	0.0174	0.0176	0.0162	0.0213	0.0194	0.0142	0.0224	0.0155	0.0173	0.013	0.0181	0.0174	0.0164	0.0179	0.0172	0.019	0.0169	0.0179	0.0211	0.0208	0.0156	0.0222	0.0195	0.0203	0.0205	0.0146	0.0177
lower0_perm_direct	-0.0098	-0.0036	-0.0032	-0.0027	-0.0027	-0.0035	-0.003	-0.003	-0.0023	-0.0026	-0.0022	-0.0024	-0.0022	-0.0024	-0.0024	-0.0024	-0.0021	-0.0026	-0.0025	-0.0026	-0.0025	-0.0024	-0.0024	-0.0026	-0.0029	-0.0021	-0.0023	-0.0029	-0.0029	-0.0025	-0.0022	-0.0027	-0.0023	-0.0021	-0.0026	-0.0025	-0.0022	-0.0025	-0.0021	-0.0028	-0.0026	-0.0025	-0.0023	-0.0023	-0.0027	-0.0026	-0.002	-0.0031	-0.0026	-0.0021	-0.0022	-0.0027	-0.0029	-0.0026	-0.0023	-0.0026	-0.0025	-0.0024	-0.0021	-0.0023	-0.0037	-0.0027	-0.0023	-0.0027	-0.0026	-0.0027	-0.0021	-0.0028	-0.002	-0.0021	-0.0029	-0.0023	-0.0024	-0.0032	-0.0022	-0.0023	-0.0025	-0.0029	-0.0023	-0.0027	-0.0023	-0.0023	-0.0024	-0.0021	-0.0022	-0.0024	-0.0022	-0.0023	-0.0026	-0.0018	-0.0021	-0.0024	-0.002	-0.0028	-0.003	-0.0023	-0.0019	-0.0023	-0.002	-0.002
sad_vc_estimate	0.1703	0.2347	0.1226	0.0005	0.0459	0.0011	0.0017	0.0106	-0.0011	-0.0002	0.0075	0.0024	0.0116	0.01	0.0042	0.0005	0.0006	-0.001	0.0019	-0.0003	0.0048	0.0166	0.0138	0.0188	0.0194	0.0018	-0.0002	-0.0009	-0.0004	0.0704	0.0015	0.1002	0.0067	0.021	0.0043	0.0103	0.0244	0.0369	0.0004	0.0025	0.0203	0.0008	0.003	0.0035	-0.0011	0.0001	0.0033	0.0009	-0.0014	-0.0012	-0.001	-0.0006	0.0029	0.0301	-0.0007	0.0173	0.0025	-0.0014	0.0102	0.0025	0.0049	0.002	0.0112	-0.0012	0.0044	0.0091	-0.0004	0.0055	0.0009	0.0288	0.0186	0.0051	0.0093	-0.0011	0.0069	-0.0013	-0.0003	0.0552	0.0152	0.005	0.0145	0.0025	-0.0008	-0.0009	0.0007	0.0249	0.0017	0.001	0.037	0.004	0.0012	0.007	-0.0009	0.023	0.0017	-0.001	0.0005	-0.0005	-0.0009	0.0034
sad_vc_estimate_se	0.0872	0.0308	0.0273	0.0238	0.0246	0.0312	0.0254	0.0271	0.0206	0.024	0.0195	0.0214	0.0199	0.0204	0.0214	0.0223	0.0187	0.022	0.0231	0.0235	0.0227	0.0216	0.0205	0.0221	0.0245	0.0194	0.0206	0.026	0.0257	0.0222	0.0202	0.0235	0.021	0.0199	0.0238	0.0229	0.0197	0.0229	0.0191	0.0238	0.0233	0.0227	0.0208	0.0201	0.0246	0.0234	0.0176	0.0261	0.0232	0.019	0.0196	0.0234	0.0256	0.022	0.0208	0.0231	0.0215	0.0216	0.0186	0.0196	0.0324	0.0244	0.0201	0.0239	0.0237	0.0238	0.0187	0.0241	0.0181	0.0192	0.0246	0.0213	0.0215	0.0263	0.0206	0.0206	0.0227	0.0256	0.0192	0.0235	0.0206	0.0203	0.02	0.0185	0.0197	0.0208	0.0195	0.0215	0.0236	0.0169	0.0182	0.0212	0.0171	0.0245	0.0251	0.0203	0.0178	0.021	0.0172	0.019
sad_vc_pvals	0.015	0.0	0.001	0.65	0.035	0.56	0.633	0.381	0.846	0.734	0.348	0.495	0.269	0.298	0.522	0.662	0.632	0.836	0.589	0.684	0.44	0.179	0.2	0.157	0.111	0.558	0.754	0.786	0.72	0.003	0.608	0.001	0.351	0.096	0.39	0.261	0.088	0.048	0.624	0.462	0.181	0.622	0.488	0.425	0.825	0.702	0.457	0.609	0.923	0.972	0.875	0.75	0.526	0.046	0.812	0.138	0.527	0.945	0.232	0.531	0.388	0.474	0.226	0.865	0.521	0.203	0.721	0.361	0.615	0.035	0.143	0.459	0.297	0.787	0.271	0.969	0.726	0.01	0.11	0.385	0.121	0.495	0.771	0.827	0.643	0.074	0.545	0.606	0.027	0.407	0.609	0.338	0.884	0.087	0.522	0.822	0.679	0.741	0.866	0.467
upper95_perm_sad	0.1518	0.1058	0.0636	0.053	0.0596	0.0444	0.0723	0.0842	0.0411	0.065	0.0513	0.0418	0.0512	0.0597	0.0733	0.061	0.0463	0.0571	0.0556	0.0385	0.0496	0.0528	0.0478	0.0576	0.0472	0.0502	0.0591	0.0508	0.0689	0.0496	0.0555	0.0527	0.0478	0.0462	0.0433	0.0492	0.0494	0.0519	0.0432	0.0364	0.0615	0.0481	0.0509	0.0434	0.0401	0.0581	0.0424	0.0455	0.0504	0.0487	0.0515	0.0679	0.0579	0.0413	0.0579	0.0435	0.0493	0.0438	0.0389	0.0472	0.0464	0.0443	0.0431	0.056	0.0711	0.0334	0.0414	0.0436	0.04	0.0384	0.0505	0.0546	0.0466	0.0456	0.0392	0.035	0.0565	0.0411	0.0326	0.0498	0.0376	0.04	0.0323	0.0416	0.0467	0.0452	0.0385	0.0432	0.0409	0.0399	0.0387	0.0556	0.0481	0.0445	0.0432	0.0398	0.0517	0.0413	0.0402	0.0505
lower0_perm_sad	-0.0098	-0.0034	-0.0033	-0.0027	-0.0027	-0.0036	-0.0029	-0.0031	-0.0022	-0.0026	-0.0022	-0.0024	-0.0023	-0.0023	-0.0023	-0.0027	-0.0023	-0.0025	-0.0025	-0.0026	-0.0026	-0.0024	-0.0023	-0.0025	-0.0028	-0.0022	-0.0023	-0.0028	-0.0029	-0.0025	-0.0022	-0.0026	-0.0024	-0.0022	-0.0026	-0.0025	-0.0023	-0.0027	-0.0022	-0.0025	-0.0028	-0.0026	-0.0024	-0.0022	-0.0028	-0.0025	-0.002	-0.0032	-0.0025	-0.0021	-0.0022	-0.0026	-0.0031	-0.0025	-0.0023	-0.0025	-0.0023	-0.0024	-0.002	-0.0022	-0.0037	-0.0027	-0.0023	-0.0026	-0.0029	-0.0026	-0.0022	-0.0029	-0.0021	-0.0022	-0.0026	-0.0024	-0.0025	-0.003	-0.0022	-0.0023	-0.0025	-0.003	-0.0023	-0.0028	-0.0024	-0.0025	-0.0023	-0.002	-0.0022	-0.0025	-0.0022	-0.0024	-0.0026	-0.002	-0.002	-0.0024	-0.0019	-0.0028	-0.0028	-0.0022	-0.0019	-0.0024	-0.0018	-0.002
