	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.036	0.0681	-0.0111	-0.0055	-0.008	-0.0093	-0.0083	-0.0047	0.0216	-0.0052	-0.0098	0.0173	-0.008	-0.01	-0.0059	-0.0099	-0.0084	-0.0094	0.003	-0.0084	-0.0047	0.012	0.0272	-0.0067	-0.0096	0.0514	0.0211	0.0029	0.0472	0.0128	-0.007	-0.0061	-0.0032	-0.0075	-0.0063	0.0167	-0.0022	0.0475	-0.0084	0.0485	0.0005	-0.0086	-0.0074	-0.0083	0.0311	0.0132	-0.0094	-0.0071	0.0119	-0.0085	0.009	0.0915	0.007	0.1212	-0.0103	0.0003	0.0335	-0.0043	-0.0078	0.0142	-0.0091	-0.0087	-0.0025	0.0159	-0.0083	-0.0069	-0.0071	0.0275	-0.0071	-0.0095	-0.0089	-0.0085	-0.0003	0.0185	-0.0036	0.0232	-0.0086	-0.0079	-0.0034	-0.0011	0.0133	0.0578	0.0001	0.0227	0.0026	0.0115	0.0048	-0.0024	-0.0089	-0.0077	-0.0005	0.0209	-0.0006	-0.0029	-0.0075	-0.0084	0.0078	0.0385	0.0242	-0.0038
direct_vc_estimate_se	0.0204	0.0089	0.0069	0.0071	0.0063	0.0059	0.0058	0.0065	0.0059	0.0057	0.0061	0.0063	0.0067	0.0062	0.0057	0.0061	0.0058	0.0059	0.0059	0.0056	0.0058	0.0064	0.0064	0.0061	0.0059	0.0056	0.006	0.0059	0.0058	0.0072	0.0062	0.0062	0.0056	0.0064	0.006	0.0059	0.0058	0.0056	0.0059	0.0059	0.006	0.0059	0.006	0.0055	0.0054	0.0063	0.0058	0.0058	0.0057	0.0059	0.0056	0.0055	0.0055	0.0064	0.0064	0.0057	0.0063	0.0058	0.0057	0.0057	0.0058	0.0057	0.0058	0.0062	0.0057	0.0055	0.0064	0.0058	0.0056	0.0059	0.0056	0.0055	0.0055	0.0058	0.0057	0.0053	0.0057	0.0055	0.0058	0.0056	0.0056	0.0053	0.0059	0.0059	0.0052	0.0055	0.0057	0.006	0.0055	0.0054	0.0058	0.0058	0.0056	0.0059	0.0057	0.0053	0.0063	0.0059	0.0056	0.0054
direct_vc_pvals	0.192	0.048	0.927	0.538	0.69	0.88	0.775	0.555	0.097	0.574	0.979	0.197	0.749	0.956	0.602	0.961	0.764	0.941	0.343	0.821	0.559	0.214	0.154	0.623	0.966	0.028	0.142	0.384	0.02	0.31	0.633	0.634	0.526	0.697	0.592	0.183	0.494	0.031	0.773	0.035	0.437	0.814	0.655	0.851	0.074	0.196	0.967	0.662	0.187	0.757	0.232	0.003	0.228	0.006	0.989	0.381	0.087	0.553	0.733	0.144	0.867	0.848	0.496	0.207	0.767	0.661	0.656	0.118	0.67	0.949	0.901	0.867	0.42	0.138	0.548	0.102	0.832	0.785	0.479	0.439	0.188	0.022	0.412	0.12	0.312	0.187	0.301	0.508	0.951	0.773	0.44	0.159	0.372	0.514	0.713	0.886	0.263	0.069	0.124	0.545
upper95_perm_direct	0.1437	0.0751	0.0455	0.0504	0.0457	0.0441	0.0388	0.05	0.0383	0.0332	0.0357	0.0533	0.0783	0.045	0.0419	0.0483	0.0422	0.0399	0.0439	0.0342	0.0442	0.0452	0.0605	0.0473	0.039	0.0368	0.0502	0.0484	0.0317	0.0837	0.05	0.0462	0.0451	0.0602	0.0417	0.0508	0.0451	0.0378	0.0413	0.0451	0.0462	0.0478	0.0353	0.0435	0.0408	0.0449	0.0395	0.0439	0.0396	0.0347	0.047	0.0422	0.0355	0.0521	0.0668	0.041	0.0453	0.0394	0.0395	0.0329	0.0378	0.0348	0.0498	0.0486	0.0366	0.0357	0.0567	0.0554	0.0425	0.0368	0.0397	0.0387	0.0443	0.0428	0.0488	0.0415	0.0447	0.0429	0.0507	0.045	0.0426	0.0391	0.0476	0.0435	0.0359	0.037	0.0395	0.049	0.0505	0.0416	0.0509	0.0491	0.0369	0.0543	0.0424	0.0393	0.0455	0.0509	0.047	0.0404
lower0_perm_direct	-0.043	-0.019	-0.0146	-0.0147	-0.0126	-0.0119	-0.0116	-0.0139	-0.012	-0.0112	-0.0118	-0.0129	-0.0142	-0.0127	-0.0117	-0.0125	-0.012	-0.0117	-0.0126	-0.0111	-0.0114	-0.0136	-0.0126	-0.0125	-0.0126	-0.0119	-0.0121	-0.012	-0.0121	-0.0142	-0.0127	-0.0121	-0.0117	-0.0131	-0.012	-0.0123	-0.0118	-0.0114	-0.0121	-0.0117	-0.0127	-0.0126	-0.0123	-0.0114	-0.011	-0.0129	-0.0124	-0.0124	-0.0117	-0.0121	-0.0114	-0.011	-0.011	-0.0136	-0.0132	-0.0114	-0.013	-0.0115	-0.0114	-0.0117	-0.0122	-0.0123	-0.0115	-0.0129	-0.012	-0.0119	-0.0131	-0.0115	-0.0115	-0.0125	-0.0112	-0.0112	-0.0113	-0.0118	-0.0115	-0.0106	-0.0119	-0.0112	-0.0116	-0.0114	-0.0116	-0.011	-0.012	-0.0121	-0.0103	-0.0109	-0.0118	-0.0128	-0.011	-0.0108	-0.0116	-0.012	-0.0113	-0.0117	-0.0117	-0.0109	-0.0125	-0.0117	-0.0112	-0.0111
sad_vc_estimate	0.0046	0.1986	-0.0048	0.0022	-0.0069	-0.0096	-0.0045	-0.0052	0.0273	-0.0032	-0.0088	0.0146	-0.0108	-0.0102	0.0116	-0.0097	-0.0079	-0.0094	0.0226	-0.0091	0.0198	0.0141	0.059	-0.0086	-0.0092	0.0649	0.0467	-0.0072	0.0289	0.0031	-0.0097	-0.0095	-0.0025	-0.0088	-0.0012	0.0211	-0.0031	0.06	-0.0065	0.0243	0.0464	0.0009	-0.006	-0.0075	0.0627	0.0174	-0.0065	-0.0086	0.0155	-0.0083	0.003	0.0811	-0.0016	0.0731	-0.0104	0.004	0.029	-0.0073	-0.0047	0.0153	-0.0092	-0.0088	-0.0083	0.0313	-0.0083	0.0021	-0.0096	0.0088	-0.0067	-0.0084	-0.0081	-0.0088	-0.0083	0.0159	0.0002	0.0096	-0.0008	-0.0087	-0.0091	-0.0042	0.0055	0.0906	0.0296	0.0133	0.0201	0.0124	-0.0	-0.0063	-0.0082	0.0078	-0.0087	0.0343	-0.0052	-0.005	-0.008	-0.0083	0.0013	0.0386	0.0312	-0.0077
sad_vc_estimate_se	0.0206	0.009	0.007	0.0072	0.0063	0.006	0.0058	0.0065	0.0059	0.0058	0.0061	0.0064	0.0067	0.0063	0.0057	0.0062	0.0059	0.0059	0.0059	0.0056	0.0058	0.0064	0.0065	0.0061	0.0059	0.0057	0.006	0.006	0.0058	0.0073	0.0063	0.0062	0.0056	0.0065	0.0061	0.0059	0.0058	0.0057	0.0059	0.006	0.006	0.0059	0.0061	0.0055	0.0054	0.0064	0.0058	0.0058	0.0057	0.0059	0.0056	0.0055	0.0055	0.0064	0.0064	0.0057	0.0064	0.0058	0.0057	0.0058	0.0058	0.0058	0.0059	0.0062	0.0057	0.0056	0.0064	0.0058	0.0057	0.0059	0.0057	0.0055	0.0055	0.0058	0.0057	0.0054	0.0057	0.0055	0.0059	0.0056	0.0057	0.0054	0.0059	0.0059	0.0053	0.0055	0.0057	0.0061	0.0056	0.0055	0.0058	0.0058	0.0057	0.006	0.0058	0.0054	0.0064	0.0059	0.0056	0.0055
sad_vc_pvals	0.403	0.004	0.552	0.387	0.676	0.946	0.565	0.597	0.099	0.546	0.808	0.262	0.952	0.99	0.189	0.921	0.723	0.923	0.146	0.937	0.205	0.245	0.091	0.786	0.84	0.023	0.065	0.726	0.111	0.503	0.881	0.867	0.52	0.79	0.485	0.206	0.553	0.027	0.664	0.153	0.068	0.432	0.617	0.757	0.024	0.207	0.695	0.852	0.197	0.747	0.36	0.02	0.448	0.03	0.989	0.406	0.171	0.698	0.566	0.168	0.895	0.842	0.797	0.147	0.798	0.401	0.853	0.295	0.699	0.765	0.821	0.915	0.844	0.185	0.445	0.275	0.461	0.913	0.866	0.56	0.339	0.004	0.132	0.27	0.164	0.192	0.42	0.706	0.813	0.287	0.849	0.129	0.609	0.609	0.774	0.858	0.416	0.096	0.123	0.793
upper95_perm_sad	0.1843	0.0889	0.063	0.0622	0.0656	0.0543	0.0544	0.0583	0.0484	0.0517	0.0642	0.0612	0.0874	0.0653	0.0411	0.0715	0.0482	0.0725	0.0581	0.048	0.0653	0.0628	0.0876	0.0698	0.0506	0.0422	0.0606	0.0553	0.0488	0.0867	0.0682	0.0575	0.0474	0.0814	0.0543	0.0699	0.0647	0.0549	0.056	0.0603	0.0576	0.0541	0.0498	0.0471	0.0495	0.0627	0.0545	0.0629	0.0533	0.0455	0.0542	0.0575	0.0408	0.0595	0.0942	0.0635	0.0675	0.0526	0.0474	0.0436	0.0477	0.0491	0.0539	0.0637	0.0528	0.0523	0.0747	0.0632	0.0523	0.055	0.0632	0.0528	0.0454	0.0465	0.0539	0.0462	0.0559	0.057	0.0482	0.0535	0.0525	0.0455	0.0602	0.0568	0.046	0.0419	0.0507	0.0739	0.0611	0.052	0.0721	0.0706	0.0446	0.0601	0.0483	0.0487	0.0672	0.0624	0.0575	0.0525
lower0_perm_sad	-0.0403	-0.0184	-0.0136	-0.015	-0.0127	-0.0125	-0.0123	-0.0139	-0.012	-0.0122	-0.0131	-0.0134	-0.0139	-0.013	-0.0121	-0.0129	-0.0119	-0.0117	-0.0121	-0.0111	-0.0117	-0.0131	-0.0135	-0.0127	-0.0119	-0.0121	-0.0118	-0.0125	-0.0123	-0.0147	-0.0135	-0.0121	-0.0115	-0.013	-0.0118	-0.0123	-0.0114	-0.0121	-0.0118	-0.0122	-0.0129	-0.012	-0.0119	-0.0113	-0.011	-0.0129	-0.0114	-0.0115	-0.0117	-0.0115	-0.0119	-0.0117	-0.0112	-0.0128	-0.0127	-0.0116	-0.0127	-0.0126	-0.0117	-0.0118	-0.0119	-0.0113	-0.0115	-0.0124	-0.0119	-0.0116	-0.0135	-0.0115	-0.0118	-0.0117	-0.0114	-0.0109	-0.0111	-0.0125	-0.0114	-0.0115	-0.0113	-0.0116	-0.0117	-0.0116	-0.0116	-0.011	-0.0118	-0.0121	-0.0107	-0.011	-0.0114	-0.0124	-0.011	-0.0111	-0.0116	-0.012	-0.0122	-0.0124	-0.0117	-0.0113	-0.0137	-0.0119	-0.0114	-0.0108
covar_vc_estimate	-0.0363	-0.2364	0.0208	0.0048	0.015	0.0189	0.0142	0.0098	-0.0487	0.0085	0.0199	-0.0319	0.0207	0.0202	0.0017	0.0197	0.0215	0.0188	-0.0211	0.0177	-0.0046	-0.0262	-0.0814	0.0155	0.0189	-0.1157	-0.064	0.0081	-0.0744	-0.0148	0.0176	0.0171	0.0057	0.0164	0.0085	-0.0377	0.0052	-0.107	0.0228	-0.0697	-0.0285	0.0129	0.0135	0.016	-0.0893	-0.0305	0.0182	0.0217	-0.0273	0.0167	-0.0115	-0.1724	-0.0039	-0.189	0.0207	-0.004	-0.0625	0.0121	0.0134	-0.0296	0.0194	0.0174	0.0131	-0.0455	0.0165	0.0084	0.0173	-0.0331	0.0228	0.0185	0.0192	0.0182	0.013	-0.0344	0.0039	-0.0311	0.014	0.0189	0.0224	0.0056	-0.0181	-0.1452	-0.0198	-0.0353	-0.0187	-0.0239	-0.0043	0.0093	0.0175	0.0092	0.024	-0.0541	0.0065	0.008	0.0216	0.0167	-0.0085	-0.0772	-0.0551	0.0128
covar_vc_estimate_se	0.368	0.2421	0.2136	0.2162	0.2035	0.197	0.1948	0.2064	0.1961	0.1942	0.1996	0.2041	0.2095	0.2022	0.1932	0.2005	0.1956	0.1961	0.1966	0.1914	0.1947	0.2049	0.2058	0.1996	0.1969	0.1919	0.1981	0.1972	0.1946	0.2175	0.2025	0.2011	0.1914	0.2054	0.1988	0.1969	0.1947	0.1926	0.1965	0.1976	0.1983	0.1963	0.1992	0.1899	0.1878	0.2039	0.195	0.1951	0.1933	0.1963	0.1913	0.19	0.1899	0.205	0.2047	0.1931	0.2041	0.1952	0.1934	0.1941	0.195	0.1937	0.1954	0.2018	0.1934	0.1909	0.2048	0.1947	0.1925	0.1965	0.1923	0.1895	0.1899	0.1951	0.1932	0.1873	0.1928	0.1899	0.1959	0.1915	0.1926	0.1868	0.1961	0.1964	0.1852	0.1899	0.1934	0.1989	0.1907	0.1887	0.1949	0.1949	0.1923	0.1977	0.1937	0.1871	0.2037	0.1962	0.1915	0.1887
covar_vc_pvals	0.326	0.008	0.11	0.472	0.205	0.064	0.222	0.311	0.06	0.377	0.071	0.221	0.072	0.088	0.45	0.082	0.03	0.089	0.236	0.102	0.439	0.232	0.09	0.195	0.089	0.004	0.066	0.305	0.019	0.487	0.146	0.14	0.374	0.126	0.382	0.179	0.382	0.01	0.026	0.045	0.202	0.223	0.267	0.125	0.018	0.184	0.085	0.029	0.172	0.179	0.333	0.002	0.374	0.002	0.063	0.435	0.075	0.259	0.236	0.105	0.069	0.103	0.221	0.132	0.123	0.364	0.122	0.191	0.021	0.131	0.044	0.06	0.234	0.127	0.43	0.149	0.223	0.031	0.017	0.421	0.251	0.002	0.272	0.162	0.237	0.179	0.386	0.274	0.075	0.308	0.013	0.118	0.428	0.341	0.029	0.078	0.382	0.048	0.071	0.22
