	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.0781	0.0033	0.1064	0.0056	0.0314	-0.006	-0.0166	-0.0088	-0.0074	-0.0077	-0.0075	-0.0039	0.0238	-0.0207	-0.0171	-0.0107	-0.011	-0.0067	-0.0076	0.0174	-0.0204	-0.0274	-0.0065	0.0013	-0.0025	-0.0041	-0.0072	-0.0172	-0.0053	-0.0054	-0.0053	-0.0002	-0.0089	-0.0155	-0.0117	0.0331	-0.0213	0.004	-0.0084	-0.008	-0.0105	0.033	-0.0144	-0.0168	0.0109	-0.0325	-0.0126	0.0479	0.0132	-0.0063	0.0024	-0.0146	0.0317	0.0098	0.0292	-0.0165	0.0018	0.007	-0.0106	-0.0094	-0.0234	-0.009	-0.0121	0.0585	-0.0113	-0.007	0.0278	-0.0267	-0.0073	0.0074	0.0119	-0.0045	0.0098	0.0158	0.0109	-0.0078	-0.0135	-0.0131	-0.0061	-0.0037	-0.0052	-0.0071	0.0166	-0.0119	-0.016	-0.0066	-0.0094	-0.005	-0.0163	-0.0185	-0.0087	-0.0123	-0.0055	0.0038	-0.0085	0.0324	-0.0073	-0.009	0.0468	0.0066
direct_vc_estimate_se	0.0923	0.0149	0.0427	0.0209	0.02	0.0174	0.0192	0.0131	0.0089	0.009	0.0094	0.0131	0.015	0.027	0.0231	0.0128	0.0128	0.0208	0.0097	0.0115	0.0267	0.0316	0.0214	0.0116	0.0096	0.016	0.0086	0.0215	0.0063	0.012	0.0129	0.0268	0.0152	0.022	0.0222	0.0218	0.031	0.0175	0.0106	0.0118	0.0121	0.0241	0.0173	0.0194	0.0113	0.0387	0.0213	0.0206	0.0102	0.0112	0.0262	0.0171	0.0152	0.0235	0.0195	0.0215	0.0063	0.012	0.0144	0.0236	0.0314	0.0104	0.0172	0.0167	0.0187	0.0086	0.0065	0.0354	0.0091	0.0096	0.0146	0.0179	0.0175	0.0275	0.021	0.0092	0.0253	0.0209	0.0129	0.0132	0.011	0.0262	0.018	0.0139	0.0207	0.0097	0.029	0.0096	0.0189	0.0222	0.0203	0.0214	0.0064	0.0188	0.011	0.0143	0.0129	0.012	0.0148	0.0111
direct_vc_pvals	0.68	0.345	0.103	0.313	0.091	0.473	0.97	0.683	0.801	0.871	0.768	0.839	0.092	0.595	0.561	0.929	0.902	0.528	0.739	0.19	0.899	1.0	0.623	0.218	0.219	0.236	0.767	0.968	0.905	0.61	0.44	0.323	0.716	0.492	0.464	0.226	0.339	0.196	0.8	0.624	1.0	0.257	0.717	0.968	0.436	0.811	0.269	0.18	0.195	0.655	0.219	1.0	0.127	0.502	0.233	0.537	0.304	0.301	0.611	0.436	0.874	0.969	0.634	0.032	0.536	0.417	0.128	0.693	0.821	0.318	0.377	0.649	0.427	0.18	0.198	0.903	0.711	0.75	0.352	0.597	0.503	0.376	0.067	0.899	0.548	0.494	0.493	0.661	0.969	0.751	0.319	0.529	0.934	0.314	0.747	0.0	0.466	0.856	0.032	0.032
upper95_perm_direct	-0.0343	0.0224	0.1098	0.0254	0.0325	0.0446	0.0538	0.0207	0.0001	0.0071	0.0056	0.0453	0.026	-0.0019	0.008	0.012	0.019	0.0813	0.0277	0.0322	0.1274	0.0058	0.0561	0.0131	0.0018	0.007	0.034	0.0138	0.0075	0.0181	0.0019	0.0144	0.0197	0.0018	-0.0006	0.1058	-0.0012	0.0145	0.0257	0.0207	0.0388	0.0812	0.0106	0.0282	0.028	0.0027	-0.0053	0.0547	0.0198	0.0149	0.015	0.0394	0.0341	0.068	0.0532	-0.0033	0.017	0.0232	0.0287	0.0628	0.0221	0.0225	0.0099	0.0557	0.0058	-0.0061	0.03	0.0437	0.0178	0.0328	0.0572	0.0379	0.0477	0.0247	0.0255	0.0173	0.0271	0.0232	0.0128	0.0374	0.0225	0.0274	0.0168	0.055	0.0102	0.0016	0.0383	0.0394	0.0112	0.0218	0.0052	0.0401	0.0102	0.0157	0.0194	0.0276	0.0002	0.0226	0.0467	0.0064
lower0_perm_direct	-0.0855	-0.0119	-0.0396	-0.0151	-0.0171	-0.016	-0.0178	-0.0122	-0.0082	-0.0083	-0.0087	-0.0044	-0.0139	-0.025	-0.0214	-0.0118	-0.0118	-0.0166	-0.009	-0.0105	-0.0229	-0.0293	-0.0197	-0.0108	-0.0089	-0.0146	-0.0079	-0.0192	-0.0058	-0.0111	-0.0111	-0.0188	-0.0141	-0.0204	-0.0203	-0.0202	-0.0287	-0.0161	-0.0099	-0.0109	-0.0112	-0.0222	-0.0159	-0.018	-0.0063	-0.0359	-0.0197	-0.0166	-0.0094	-0.0104	-0.0243	-0.0156	-0.0141	-0.0204	-0.0181	-0.0198	-0.0058	-0.011	-0.0132	-0.0196	-0.0285	-0.0097	-0.016	-0.0155	-0.0174	-0.008	-0.0043	-0.0326	-0.0085	-0.0088	-0.0127	-0.0161	-0.0163	-0.0255	-0.0195	-0.0085	-0.0223	-0.0193	-0.0119	-0.0122	-0.0102	-0.0242	-0.0166	-0.0129	-0.0192	-0.009	-0.0269	-0.0089	-0.0175	-0.0206	-0.0188	-0.0198	-0.006	-0.0153	-0.0102	-0.0132	-0.012	-0.0103	-0.0137	-0.0103
sad_vc_estimate	-0.0375	-0.0074	0.0338	-0.0101	0.0063	-0.0136	-0.0161	-0.0112	-0.0073	-0.0078	-0.0072	-0.0004	0.0234	-0.021	-0.0198	-0.01	-0.0067	-0.0159	-0.0082	0.0359	-0.0145	-0.0173	-0.0039	-0.0054	0.0029	-0.0065	-0.0066	-0.0045	-0.0038	-0.0103	-0.0079	-0.0207	-0.0132	0.0024	-0.019	0.0212	0.0034	-0.0091	-0.0048	-0.0044	-0.0084	0.0227	-0.0145	-0.0112	0.0059	-0.0083	-0.0078	0.0601	0.0218	-0.002	-0.0201	-0.0144	0.0608	0.0025	0.011	-0.0185	-0.0006	0.0083	-0.0093	-0.0116	-0.0258	-0.009	-0.0004	0.0365	-0.0118	-0.0072	0.0303	0.0085	-0.0071	0.0088	0.0047	0.0222	0.0246	0.0575	-0.0047	-0.0075	-0.021	-0.0181	-0.004	-0.0092	-0.0054	-0.0196	0.0084	-0.0105	-0.0169	-0.0062	-0.0224	-0.0013	-0.0159	-0.0097	-0.0162	0.0107	-0.0052	-0.007	-0.0096	0.0379	-0.006	-0.0072	0.051	0.0171
sad_vc_estimate_se	0.0923	0.0149	0.0427	0.0209	0.02	0.0175	0.0192	0.0131	0.0089	0.009	0.0094	0.0131	0.015	0.027	0.0231	0.0128	0.0128	0.0208	0.0097	0.0115	0.0267	0.0316	0.0214	0.0116	0.0096	0.016	0.0086	0.0215	0.0063	0.012	0.0129	0.0268	0.0152	0.022	0.0223	0.0218	0.031	0.0175	0.0106	0.0119	0.0121	0.0241	0.0173	0.0195	0.0113	0.0388	0.0213	0.0206	0.0102	0.0112	0.0262	0.0171	0.0153	0.0235	0.0195	0.0215	0.0063	0.012	0.0144	0.0237	0.0314	0.0104	0.0173	0.0167	0.0187	0.0086	0.0066	0.0354	0.0091	0.0096	0.0146	0.0179	0.0176	0.0275	0.021	0.0092	0.0253	0.021	0.0129	0.0132	0.011	0.0262	0.0181	0.014	0.0207	0.0097	0.029	0.0096	0.0189	0.0222	0.0203	0.0215	0.0064	0.0188	0.011	0.0143	0.0129	0.012	0.0148	0.0111
sad_vc_pvals	0.354	0.478	0.081	0.413	0.086	0.68	0.722	0.964	0.389	0.949	0.758	0.938	0.051	0.945	0.851	0.495	0.48	0.665	0.844	0.142	0.716	0.612	0.579	0.426	0.082	0.155	0.481	0.976	0.435	0.921	0.649	0.52	0.975	0.346	0.873	0.231	0.3	0.156	0.49	0.737	0.569	0.379	0.801	0.924	0.532	0.553	0.388	0.183	0.169	0.606	0.661	0.973	0.125	0.68	0.224	0.796	0.424	0.244	0.62	0.626	0.665	0.976	0.492	0.027	0.682	0.524	0.186	0.125	0.891	0.316	0.392	0.396	0.342	0.127	0.174	0.799	0.834	0.918	0.314	0.601	0.472	0.76	0.063	0.921	0.749	0.458	0.858	0.458	0.902	0.521	0.714	0.024	0.719	0.345	1.0	0.027	0.445	0.695	0.082	0.027
upper95_perm_sad	0.0729	0.0057	0.0344	0.003	0.0104	0.026	0.0472	0.0133	-0.0054	0.0095	0.0017	0.0551	0.0224	0.0381	0.0053	-0.0039	0.0029	0.0498	0.04	0.0541	0.0961	0.0405	0.0671	0.0056	0.003	-0.0039	0.0488	0.0471	0.0025	0.0379	0.0134	-0.0139	0.0029	0.025	0.0228	0.0766	0.0472	-0.0037	0.0128	0.0303	0.0321	0.0862	0.0096	0.0788	0.0388	0.0676	0.0096	0.0772	0.0311	0.0268	-0.0037	0.0431	0.0627	0.039	0.0291	-0.0069	0.0188	0.0228	0.041	0.0629	0.0878	0.028	0.0381	0.0344	0.0148	-0.0055	0.0391	0.0206	0.0124	0.0311	0.0747	0.0891	0.0616	0.0619	0.0045	0.0331	0.0693	0.0073	0.0072	0.0238	0.0271	0.0454	0.0084	0.0528	0.0329	-0.0005	0.0448	0.0396	0.0315	0.0597	0.0178	0.0104	0.0086	0.003	0.0067	0.0344	0.0055	0.0438	0.0523	0.0168
lower0_perm_sad	-0.0853	-0.0137	-0.0391	-0.0193	-0.0185	-0.0162	-0.0178	-0.012	-0.0082	-0.0084	-0.0086	-0.0006	-0.0136	-0.0236	-0.0214	-0.0118	-0.0118	-0.0191	-0.009	-0.0106	-0.0247	-0.0292	-0.0193	-0.0108	-0.0089	-0.0148	-0.0079	-0.0057	-0.0058	-0.0111	-0.0119	-0.0249	-0.0141	-0.0199	-0.0206	-0.0201	-0.0259	-0.0162	-0.0097	-0.0093	-0.0112	-0.0223	-0.0158	-0.0162	-0.0058	-0.0359	-0.0195	-0.0173	-0.0094	-0.0101	-0.0243	-0.015	-0.0139	-0.0041	-0.0179	-0.0199	-0.0058	-0.0106	-0.0134	-0.0206	-0.0291	-0.0097	-0.016	-0.0107	-0.0173	-0.008	-0.0043	-0.0324	-0.0081	-0.0089	-0.0129	-0.0164	-0.0162	-0.0224	-0.0192	-0.0085	-0.0235	-0.0194	-0.012	-0.0123	-0.0102	-0.0239	-0.0167	-0.0126	-0.0192	-0.0089	-0.0269	-0.0086	-0.0175	-0.0204	-0.0187	-0.0087	-0.0059	-0.0174	-0.0102	-0.0133	-0.012	-0.0111	-0.013	-0.0103
