	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.0921	0.2584	0.2019	0.0035	0.1009	-0.0247	0.0636	0.0073	0.3369	0.0585	-0.0288	0.3217	0.0838	-0.0169	0.0134	-0.0305	0.2152	-0.0253	-0.0173	0.0093	0.1137	-0.0293	-0.0101	0.2114	-0.0238	-0.034	0.0593	0.2268	-0.0407	0.1318	0.0761	-0.0224	-0.0059	0.0257	-0.0204	-0.0252	0.0857	-0.0185	-0.0125	0.2178	0.0649	0.0516	0.0135	0.0055	0.0924	0.0419	0.1603	0.0454	-0.0324	-0.0211	-0.0195	-0.0309	0.2913	0.0059	-0.0334	0.0704	0.1714	0.0391	0.0346	-0.0283	0.0245	-0.0218	-0.0306	-0.0235	-0.0355	-0.0515	0.0068	0.2606	-0.0281	-0.0319	-0.0313	0.0706	0.0566	-0.0289	-0.0419	-0.0137	0.0503	0.0394	0.0402	0.0419	-0.033	-0.0339	-0.0253	-0.0353	0.0066	-0.0257	0.0347	-0.0314	0.0521	-0.0234	0.0234	-0.0285	0.1042	0.0254	-0.0246	0.0329	0.0021	0.0131	0.1995	0.0657
direct_vc_estimate_se	0.2149	0.0961	0.1099	0.0877	0.0636	0.0639	0.0726	0.0733	0.0622	0.0648	0.0698	0.0788	0.0599	0.0645	0.064	0.065	0.0664	0.0671	0.0674	0.0746	0.0665	0.059	0.1058	0.0754	0.0621	0.0682	0.066	0.0622	0.0959	0.0619	0.0839	0.0631	0.0607	0.0643	0.0653	0.064	0.0822	0.0754	0.0657	0.0617	0.0599	0.0607	0.0584	0.0632	0.0713	0.0824	0.0649	0.0621	0.0654	0.0732	0.0689	0.0969	0.0723	0.0512	0.0684	0.0536	0.0575	0.0587	0.0787	0.0573	0.0718	0.0722	0.0613	0.0641	0.0725	0.1036	0.0709	0.0704	0.0582	0.0794	0.0629	0.1307	0.0739	0.0608	0.0876	0.0615	0.0568	0.0584	0.0604	0.0528	0.067	0.0682	0.0526	0.0747	0.0824	0.053	0.0692	0.0646	0.0741	0.0531	0.0603	0.0618	0.0557	0.0656	0.0568	0.0587	0.0594	0.0698	0.0902	0.0727
direct_vc_pvals	0.799	0.152	0.142	0.455	0.17	0.754	0.267	0.522	0.014	0.275	0.797	0.034	0.172	0.621	0.396	0.893	0.081	0.798	0.717	0.432	0.178	0.959	0.607	0.075	0.788	0.991	0.249	0.054	0.82	0.195	0.298	0.666	0.566	0.358	0.682	0.795	0.272	0.655	0.589	0.086	0.186	0.299	0.507	0.539	0.203	0.376	0.161	0.245	0.947	0.687	0.674	0.699	0.061	0.501	0.936	0.163	0.08	0.398	0.362	0.943	0.391	0.695	0.992	0.737	0.934	0.975	0.492	0.096	0.905	0.75	0.968	0.43	0.303	0.879	0.92	0.613	0.251	0.363	0.299	0.259	0.952	0.967	0.891	0.877	0.506	0.907	0.329	0.903	0.334	0.815	0.446	0.866	0.103	0.402	0.821	0.315	0.508	0.439	0.119	0.239
upper95_perm_direct	0.6684	0.5396	0.4631	0.2843	0.2565	0.2381	0.2914	0.4506	0.2403	0.2983	0.4071	0.3226	0.1894	0.2106	0.2256	0.332	0.3149	0.3852	0.4311	0.2552	0.2938	0.2472	0.5736	0.2982	0.3284	0.2832	0.2922	0.2648	0.5485	0.331	0.4195	0.1972	0.2861	0.2753	0.2908	0.405	0.4142	0.2989	0.2539	0.3574	0.1943	0.3185	0.3919	0.361	0.2983	0.3745	0.4011	0.2126	0.2683	0.289	0.3279	0.3431	0.354	0.2711	0.3193	0.2009	0.2707	0.3653	0.3168	0.2283	0.2796	0.2773	0.2802	0.2487	0.3544	0.4272	0.3063	0.3902	0.2301	0.3049	0.2211	0.5657	0.3588	0.2385	0.4158	0.2413	0.2217	0.2999	0.2419	0.205	0.3331	0.3522	0.2126	0.4062	0.3505	0.1995	0.2686	0.2175	0.4017	0.2321	0.3656	0.332	0.1748	0.3187	0.3648	0.246	0.2828	0.2532	0.3624	0.3045
lower0_perm_direct	-0.1436	-0.0621	-0.0706	-0.0612	-0.0422	-0.0431	-0.0479	-0.0495	-0.0444	-0.0421	-0.0498	-0.0542	-0.0401	-0.0454	-0.0426	-0.0428	-0.0444	-0.0473	-0.0447	-0.0498	-0.0434	-0.0407	-0.0718	-0.0508	-0.0427	-0.046	-0.047	-0.0434	-0.0637	-0.0434	-0.0553	-0.0448	-0.0391	-0.0435	-0.0462	-0.0451	-0.0544	-0.0501	-0.0442	-0.041	-0.0405	-0.0391	-0.0382	-0.0421	-0.0479	-0.0557	-0.0426	-0.041	-0.0437	-0.0487	-0.0476	-0.0673	-0.0488	-0.0336	-0.0481	-0.0356	-0.0383	-0.0395	-0.0512	-0.0406	-0.0459	-0.0477	-0.0412	-0.0441	-0.0489	-0.0682	-0.0475	-0.0466	-0.0412	-0.0566	-0.0433	-0.0879	-0.0495	-0.0396	-0.0573	-0.0439	-0.039	-0.038	-0.039	-0.0349	-0.0448	-0.0461	-0.0376	-0.049	-0.0559	-0.0348	-0.0452	-0.0435	-0.0484	-0.0368	-0.0395	-0.0416	-0.0369	-0.0424	-0.0384	-0.0389	-0.0401	-0.045	-0.0608	-0.0486
sad_vc_estimate	-0.0867	0.3228	0.2297	0.0118	0.1238	-0.0129	0.1593	0.0175	0.4112	0.064	-0.0149	0.3861	0.0927	-0.0255	0.0257	-0.0271	0.173	-0.0277	-0.017	0.0678	0.0452	-0.0295	-0.0012	0.3111	-0.0108	-0.0229	0.0288	0.2928	-0.0445	0.1429	0.1619	-0.0217	-0.0083	-0.0092	-0.0305	-0.0309	0.14	-0.0176	-0.0091	0.2481	0.0692	0.0584	0.0229	0.0073	0.0751	0.0311	0.2578	0.0224	-0.0223	0.0034	-0.0228	-0.0449	0.2945	0.0284	-0.0309	0.0656	0.2493	0.0634	0.0347	-0.0242	0.0485	-0.0301	-0.0303	-0.0175	-0.0339	-0.0514	0.0132	0.2959	-0.0289	-0.0308	-0.0314	0.0341	0.0304	-0.0279	-0.0437	-0.0138	0.0942	0.0378	0.0618	0.0831	-0.0309	-0.0321	-0.0255	-0.0373	0.0026	-0.0261	0.0364	-0.0314	0.0856	-0.0222	0.0356	-0.0304	0.2234	0.0197	-0.028	0.0368	-0.0072	0.0194	0.3415	0.2125
sad_vc_estimate_se	0.2151	0.0962	0.11	0.0878	0.0637	0.0639	0.0727	0.0733	0.0622	0.0649	0.0699	0.0788	0.06	0.0645	0.064	0.0651	0.0664	0.0671	0.0675	0.0747	0.0666	0.0591	0.1059	0.0754	0.0621	0.0682	0.066	0.0623	0.096	0.062	0.084	0.0631	0.0607	0.0643	0.0654	0.0641	0.0822	0.0754	0.0657	0.0617	0.06	0.0608	0.0585	0.0632	0.0714	0.0825	0.065	0.0622	0.0655	0.0732	0.0689	0.097	0.0724	0.0512	0.0685	0.0536	0.0575	0.0587	0.0788	0.0574	0.0718	0.0722	0.0614	0.0641	0.0726	0.1036	0.071	0.0705	0.0582	0.0795	0.063	0.1307	0.074	0.0609	0.0877	0.0615	0.0569	0.0585	0.0604	0.0529	0.067	0.0683	0.0526	0.0748	0.0825	0.0531	0.0692	0.0647	0.0742	0.0532	0.0603	0.0618	0.0557	0.0657	0.0569	0.0588	0.0594	0.0699	0.0903	0.0728
sad_vc_pvals	0.735	0.158	0.154	0.467	0.172	0.67	0.133	0.519	0.008	0.305	0.669	0.05	0.195	0.764	0.379	0.8	0.128	0.827	0.724	0.278	0.351	0.988	0.619	0.062	0.66	0.764	0.369	0.064	0.873	0.223	0.197	0.678	0.64	0.572	0.889	0.909	0.208	0.664	0.618	0.101	0.205	0.378	0.501	0.559	0.278	0.444	0.116	0.426	0.731	0.527	0.76	0.855	0.072	0.426	0.867	0.237	0.071	0.397	0.419	0.809	0.302	0.797	0.956	0.661	0.876	0.97	0.517	0.094	0.969	0.744	0.98	0.54	0.4	0.843	0.972	0.64	0.175	0.371	0.23	0.156	0.885	0.89	0.925	0.981	0.545	0.954	0.359	0.913	0.309	0.797	0.45	0.957	0.05	0.478	0.958	0.309	0.619	0.442	0.046	0.091
upper95_perm_sad	0.8396	0.6992	0.5567	0.3971	0.3716	0.3552	0.3545	0.5294	0.2429	0.378	0.4139	0.4394	0.255	0.251	0.3316	0.4136	0.3529	0.5081	0.4705	0.3231	0.346	0.3159	0.7672	0.4033	0.4135	0.3798	0.3345	0.3677	0.5186	0.3981	0.4719	0.2276	0.382	0.2665	0.3546	0.4395	0.466	0.4484	0.3203	0.4297	0.2342	0.4126	0.436	0.4659	0.3915	0.4636	0.4639	0.283	0.3306	0.3606	0.4321	0.4464	0.3759	0.3386	0.3817	0.2338	0.3432	0.4581	0.4281	0.2949	0.3201	0.3121	0.3197	0.2849	0.4298	0.4958	0.4128	0.4488	0.2786	0.3853	0.2795	0.6867	0.3312	0.3141	0.4463	0.3027	0.275	0.323	0.2736	0.1958	0.4379	0.4742	0.2427	0.4792	0.4107	0.2566	0.357	0.2682	0.4495	0.2291	0.4555	0.4047	0.2586	0.3872	0.4141	0.2569	0.3587	0.3201	0.3849	0.3572
lower0_perm_sad	-0.1459	-0.0632	-0.0712	-0.0593	-0.0426	-0.0426	-0.0491	-0.0481	-0.0413	-0.0436	-0.0444	-0.0554	-0.0404	-0.0424	-0.0421	-0.0435	-0.0443	-0.0445	-0.0455	-0.0495	-0.0431	-0.0384	-0.0675	-0.0507	-0.0423	-0.0445	-0.045	-0.0435	-0.0638	-0.0392	-0.0556	-0.0418	-0.0393	-0.0459	-0.0425	-0.0424	-0.0537	-0.0505	-0.0433	-0.0404	-0.0428	-0.0391	-0.0378	-0.0426	-0.0474	-0.0549	-0.0433	-0.0434	-0.0452	-0.0481	-0.0441	-0.0667	-0.0473	-0.0366	-0.0452	-0.0355	-0.0391	-0.042	-0.0563	-0.0374	-0.0494	-0.0484	-0.0398	-0.0427	-0.0491	-0.0695	-0.0472	-0.0501	-0.0389	-0.0516	-0.0415	-0.0856	-0.05	-0.041	-0.0566	-0.0428	-0.0384	-0.0416	-0.0403	-0.035	-0.0468	-0.0459	-0.035	-0.0503	-0.0538	-0.0357	-0.0486	-0.046	-0.0477	-0.0374	-0.0432	-0.0418	-0.0366	-0.0435	-0.0384	-0.0397	-0.0376	-0.0485	-0.0646	-0.0504
