	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.1222	0.1048	-0.0024	-0.0119	-0.0107	-0.011	-0.0096	-0.0067	-0.013	-0.0038	0.0402	-0.0082	-0.0116	0.037	0.0163	-0.0103	-0.0093	-0.0088	-0.0095	0.0246	0.0027	-0.007	-0.0104	0.0045	-0.0013	0.0173	-0.0089	-0.0089	-0.0035	0.0329	-0.0094	0.036	-0.0098	-0.0045	-0.0097	0.0088	-0.0113	0.002	-0.0087	-0.0068	-0.0033	-0.0095	-0.0095	-0.0071	0.001	-0.0095	0.0192	-0.0048	0.061	-0.0089	0.0387	-0.0017	-0.0071	-0.0085	0.0303	0.034	-0.0079	-0.0035	0.0079	-0.0066	0.0165	-0.0104	-0.0037	-0.0096	-0.0022	0.0053	0.0531	0.0292	0.0173	-0.0028	0.018	-0.0078	-0.0055	0.0082	0.0181	0.0121	-0.0101	-0.0086	0.0123	0.0166	-0.0096	0.0126	-0.0097	-0.0023	-0.009	0.0102	-0.009	-0.0087	-0.0075	-0.0097	-0.0031	0.0199	0.0103	-0.0092	-0.0083	-0.001	0.0353	-0.0058	0.0192	-0.0077
direct_vc_estimate_se	0.0247	0.0102	0.0085	0.0094	0.0083	0.0097	0.0071	0.0069	0.0095	0.0081	0.0076	0.0081	0.0085	0.0085	0.0076	0.0079	0.0072	0.0076	0.0076	0.008	0.0061	0.0077	0.0081	0.0077	0.0068	0.0066	0.0066	0.0076	0.0087	0.0069	0.008	0.007	0.0074	0.0067	0.0074	0.0081	0.0085	0.0081	0.008	0.0069	0.0078	0.007	0.0079	0.007	0.0082	0.0074	0.0061	0.007	0.0073	0.0067	0.006	0.0059	0.0074	0.0072	0.0075	0.0062	0.0081	0.0068	0.006	0.0067	0.0083	0.0081	0.0057	0.0071	0.0072	0.0085	0.0072	0.0075	0.0074	0.0077	0.0072	0.0059	0.0069	0.0074	0.0069	0.0065	0.0074	0.007	0.0072	0.0069	0.007	0.0071	0.007	0.0069	0.0067	0.0065	0.0066	0.0064	0.0066	0.0071	0.007	0.0072	0.0067	0.0069	0.0061	0.0064	0.0064	0.0066	0.0085	0.0059
direct_vc_pvals	0.211	0.008	0.575	0.852	0.869	0.75	0.945	0.652	0.98	0.51	0.081	0.594	0.983	0.121	0.178	0.879	0.866	0.703	0.783	0.165	0.344	0.646	0.862	0.246	0.399	0.176	0.913	0.71	0.497	0.141	0.786	0.059	0.874	0.579	0.871	0.251	0.877	0.305	0.736	0.709	0.52	0.947	0.82	0.63	0.42	0.837	0.093	0.542	0.022	0.88	0.053	0.491	0.638	0.771	0.154	0.065	0.678	0.565	0.24	0.652	0.205	0.836	0.58	0.923	0.432	0.253	0.03	0.169	0.151	0.559	0.247	0.852	0.599	0.343	0.192	0.126	0.99	0.803	0.194	0.253	0.978	0.133	0.964	0.519	0.887	0.246	0.937	0.982	0.697	0.961	0.528	0.142	0.24	0.905	0.927	0.44	0.059	0.632	0.178	0.806
upper95_perm_direct	0.3215	0.0565	0.0964	0.0711	0.0642	0.089	0.0651	0.0457	0.0721	0.0569	0.0565	0.0382	0.0789	0.07	0.0522	0.0748	0.0802	0.0449	0.0442	0.0652	0.0441	0.0551	0.0855	0.0381	0.0375	0.0428	0.0558	0.0365	0.0496	0.0695	0.0491	0.0466	0.0422	0.0508	0.0587	0.061	0.041	0.0472	0.0797	0.0541	0.0612	0.0511	0.0814	0.0342	0.0698	0.0459	0.0343	0.0453	0.0494	0.0643	0.0441	0.0371	0.0448	0.0526	0.072	0.045	0.0672	0.0686	0.0433	0.0478	0.0645	0.0545	0.0472	0.0488	0.042	0.0428	0.0513	0.0765	0.0492	0.0841	0.0727	0.0302	0.0575	0.0765	0.0588	0.0279	0.0709	0.0475	0.0447	0.0744	0.0597	0.0312	0.049	0.0746	0.0412	0.0559	0.0515	0.0453	0.0329	0.0516	0.0656	0.0475	0.0485	0.0508	0.0342	0.0418	0.0444	0.0477	0.057	0.025
lower0_perm_direct	-0.055	-0.0213	-0.0163	-0.0181	-0.0167	-0.0196	-0.0142	-0.0139	-0.0195	-0.0164	-0.0167	-0.0172	-0.0173	-0.0162	-0.0147	-0.0162	-0.0139	-0.0144	-0.0146	-0.0168	-0.013	-0.0151	-0.016	-0.0161	-0.0134	-0.0146	-0.0138	-0.0148	-0.0162	-0.0139	-0.0159	-0.0152	-0.0144	-0.0129	-0.0149	-0.0181	-0.0168	-0.0163	-0.0159	-0.0132	-0.0153	-0.0143	-0.0152	-0.0144	-0.0165	-0.0146	-0.0128	-0.0136	-0.0153	-0.0137	-0.0118	-0.0117	-0.0143	-0.014	-0.0145	-0.0127	-0.0163	-0.0139	-0.0118	-0.0134	-0.0174	-0.0168	-0.0111	-0.0147	-0.0141	-0.0177	-0.015	-0.0159	-0.0154	-0.0155	-0.0142	-0.0117	-0.0144	-0.0144	-0.0143	-0.0126	-0.014	-0.0155	-0.015	-0.0132	-0.0139	-0.0135	-0.0139	-0.013	-0.0134	-0.0127	-0.013	-0.0123	-0.0129	-0.014	-0.0138	-0.0141	-0.0129	-0.0153	-0.0121	-0.0122	-0.0128	-0.0134	-0.0163	-0.0121
sad_vc_estimate	0.1823	0.0412	0.0108	-0.0125	0.0004	-0.0122	-0.0082	-0.0033	0.0086	0.0004	0.0483	-0.0084	-0.0037	0.0391	0.0224	0.0021	-0.0089	-0.0094	0.0086	0.0074	0.0173	-0.0057	-0.0111	0.0248	-0.0029	0.0417	-0.008	0.0055	0.03	0.0722	-0.0109	0.0361	-0.0097	-0.0092	-0.0101	-0.0074	-0.0088	-0.0019	0.0032	-0.0095	0.0393	-0.0095	-0.0091	-0.0075	0.0075	0.0009	0.0149	-0.0062	0.0233	-0.0093	0.0426	-0.0047	-0.0069	-0.0086	0.0352	0.0584	-0.0076	0.0128	-0.0016	-0.0034	0.0538	-0.0105	0.0094	-0.0057	-0.007	0.0061	0.0785	0.0327	0.0756	0.0118	0.036	-0.0075	-0.0064	0.0289	0.0465	0.0112	-0.0102	-0.0051	0.0216	0.0305	-0.0085	0.0047	-0.0095	0.0059	-0.0092	0.0556	-0.0043	-0.0082	-0.0051	-0.0052	-0.0004	0.0603	0.0126	-0.0081	-0.0075	-0.001	0.0363	-0.0089	0.0188	-0.0079
sad_vc_estimate_se	0.0248	0.0103	0.0085	0.0094	0.0084	0.0097	0.0071	0.0069	0.0095	0.0081	0.0076	0.0081	0.0085	0.0085	0.0076	0.0079	0.0072	0.0076	0.0077	0.008	0.0061	0.0078	0.0082	0.0077	0.0069	0.0066	0.0066	0.0076	0.0087	0.0069	0.008	0.007	0.0074	0.0067	0.0074	0.0081	0.0086	0.0081	0.0081	0.0069	0.0078	0.007	0.008	0.007	0.0082	0.0074	0.0062	0.007	0.0074	0.0068	0.006	0.006	0.0074	0.0072	0.0075	0.0062	0.0081	0.0068	0.006	0.0067	0.0084	0.0081	0.0057	0.0071	0.0073	0.0085	0.0072	0.0076	0.0074	0.0078	0.0072	0.0059	0.007	0.0074	0.0069	0.0065	0.0074	0.007	0.0072	0.007	0.007	0.0071	0.0071	0.0069	0.0067	0.0065	0.0066	0.0064	0.0066	0.0071	0.0071	0.0072	0.0068	0.0069	0.0061	0.0064	0.0065	0.0067	0.0085	0.0059
sad_vc_pvals	0.184	0.132	0.428	0.905	0.489	0.83	0.776	0.529	0.35	0.489	0.084	0.644	0.628	0.152	0.246	0.528	0.855	0.785	0.369	0.431	0.211	0.652	0.949	0.138	0.493	0.101	0.848	0.285	0.192	0.055	0.936	0.123	0.88	0.991	0.977	0.693	0.705	0.457	0.499	0.958	0.167	0.955	0.816	0.71	0.376	0.441	0.189	0.634	0.159	0.985	0.08	0.598	0.692	0.791	0.141	0.045	0.704	0.322	0.501	0.6	0.126	0.85	0.28	0.641	0.691	0.275	0.042	0.217	0.023	0.439	0.179	0.817	0.668	0.241	0.075	0.216	0.992	0.652	0.18	0.208	0.82	0.336	0.932	0.378	0.987	0.05	0.614	0.854	0.591	0.623	0.541	0.073	0.279	0.792	0.783	0.518	0.087	0.882	0.218	0.886
upper95_perm_sad	0.4392	0.0864	0.1266	0.1083	0.0969	0.1104	0.07	0.063	0.0882	0.0812	0.0713	0.0439	0.0944	0.0916	0.0807	0.1128	0.0909	0.0575	0.0731	0.0998	0.0593	0.0818	0.1074	0.0557	0.0426	0.0686	0.0775	0.0473	0.0985	0.0863	0.0862	0.0716	0.0748	0.0696	0.0765	0.0891	0.0854	0.065	0.1188	0.0693	0.0959	0.0791	0.1166	0.0426	0.0948	0.0676	0.0477	0.051	0.0583	0.0954	0.0623	0.0437	0.0786	0.0846	0.0845	0.0621	0.0978	0.0854	0.0579	0.0596	0.1011	0.0675	0.0489	0.0624	0.0624	0.0537	0.0801	0.1017	0.065	0.1164	0.0896	0.0439	0.0554	0.0995	0.067	0.041	0.0932	0.0633	0.0577	0.0917	0.0797	0.0587	0.0593	0.0753	0.0541	0.0595	0.0726	0.0643	0.053	0.0631	0.0865	0.0861	0.0599	0.0798	0.0352	0.066	0.0537	0.0669	0.0694	0.029
lower0_perm_sad	-0.0449	-0.0202	-0.0168	-0.0182	-0.0164	-0.0185	-0.0148	-0.0139	-0.0187	-0.0166	-0.0152	-0.0165	-0.0167	-0.0168	-0.016	-0.016	-0.0137	-0.0155	-0.0151	-0.0171	-0.0132	-0.0154	-0.0164	-0.0157	-0.0141	-0.0127	-0.0137	-0.0162	-0.0189	-0.0153	-0.0153	-0.0135	-0.016	-0.0131	-0.015	-0.0158	-0.0161	-0.0158	-0.0158	-0.0135	-0.0152	-0.0145	-0.0161	-0.0139	-0.0162	-0.0164	-0.0122	-0.014	-0.0143	-0.0132	-0.0116	-0.0133	-0.0145	-0.0141	-0.0155	-0.0127	-0.0165	-0.0151	-0.0134	-0.0133	-0.0171	-0.0159	-0.0111	-0.0146	-0.0142	-0.0178	-0.014	-0.0152	-0.0142	-0.0157	-0.0135	-0.0113	-0.0145	-0.0149	-0.0141	-0.0126	-0.0152	-0.0141	-0.0151	-0.013	-0.0135	-0.0155	-0.0138	-0.0142	-0.0131	-0.0133	-0.0138	-0.0126	-0.0128	-0.0138	-0.0139	-0.0146	-0.0128	-0.0135	-0.0123	-0.0125	-0.0144	-0.0135	-0.0189	-0.0125
