	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.5096	0.1013	0.0192	-0.0233	-0.0032	-0.0005	0.0105	0.0058	0.0169	-0.0005	0.0124	-0.0011	-0.0018	-0.0001	0.0052	-0.0021	0.0086	-0.0008	0.0062	-0.0015	-0.0013	0.0008	-0.001	0.0004	-0.0016	0.0021	0.003	0.0013	-0.0014	-0.0018	-0.0022	0.0015	0.001	-0.0019	0.0114	-0.0012	-0.0021	0.0036	-0.0013	0.0006	0.0005	-0.0021	-0.0017	0.0032	-0.0008	-0.0012	0.0016	0.0011	-0.0008	-0.002	-0.0005	0.002	0.0071	-0.0012	-0.0008	-0.0017	-0.0023	-0.0019	0.0102	-0.0001	-0.0005	0.0054	0.0029	0.0101	0.0024	0.0016	0.0059	-0.001	0.005	-0.002	-0.0007	-0.0008	0.0093	0.006	0.0146	0.0042	0.0006	0.0026	0.0026	0.0044	-0.0004	-0.0019	-0.001	-0.0022	-0.0015	0.0001	-0.0018	0.0017	-0.0019	-0.0003	-0.0006	-0.0016	0.0025	-0.0017	-0.0013	0.0001	-0.0011	0.0	0.0021	-0.0015
direct_vc_estimate_se	0.0225	0.0141	0.0057	0.0045	0.001	0.0007	0.0006	0.0005	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0002	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0002	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0002	0.0003	0.0003	0.0003	0.0003	0.0002	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003
direct_vc_pvals	0.116	0.325	0.369	0.734	0.521	0.435	0.111	0.241	0.027	0.555	0.086	0.606	0.606	0.407	0.162	0.842	0.176	0.57	0.145	0.652	0.627	0.423	0.597	0.48	0.719	0.268	0.386	0.411	0.63	0.858	0.927	0.441	0.408	0.874	0.059	0.618	0.894	0.308	0.719	0.455	0.501	0.893	0.728	0.259	0.599	0.608	0.297	0.523	0.582	0.919	0.545	0.4	0.248	0.622	0.596	0.844	0.999	0.977	0.101	0.57	0.534	0.189	0.327	0.051	0.285	0.37	0.109	0.694	0.179	0.873	0.572	0.58	0.081	0.149	0.072	0.241	0.49	0.289	0.277	0.303	0.537	0.934	0.595	0.821	0.674	0.436	0.983	0.462	0.912	0.436	0.51	0.83	0.261	0.741	0.676	0.456	0.587	0.461	0.275	0.724
upper95_perm_direct	0.7751	0.599	0.2281	0.2801	0.0309	0.0216	0.0153	0.0238	0.0109	0.0177	0.0167	0.0179	0.0086	0.0113	0.0114	0.0113	0.0181	0.0137	0.0118	0.012	0.0116	0.0135	0.0107	0.0159	0.0119	0.0109	0.0197	0.0168	0.0105	0.0154	0.0245	0.0194	0.0149	0.0167	0.0119	0.0115	0.0179	0.0168	0.0204	0.0159	0.0178	0.0178	0.0198	0.013	0.0132	0.0101	0.0118	0.028	0.0186	0.0112	0.012	0.017	0.0211	0.017	0.0162	0.0108	0.0211	0.0152	0.0145	0.0177	0.0116	0.0146	0.0175	0.01	0.0127	0.0138	0.01	0.0123	0.0131	0.0135	0.0162	0.0138	0.0111	0.0116	0.0165	0.0135	0.0179	0.0122	0.0101	0.0171	0.0163	0.0147	0.0075	0.0139	0.0091	0.0109	0.0103	0.0212	0.0178	0.0075	0.0096	0.013	0.0119	0.0109	0.0119	0.0112	0.0131	0.012	0.0107	0.0114
lower0_perm_direct	-0.1783	-0.1157	-0.046	-0.0354	-0.0081	-0.0053	-0.0046	-0.0038	-0.0033	-0.0034	-0.0031	-0.0028	-0.0028	-0.003	-0.003	-0.0024	-0.0024	-0.0026	-0.0025	-0.0024	-0.0024	-0.0022	-0.0022	-0.002	-0.0022	-0.0025	-0.0023	-0.0023	-0.0024	-0.0021	-0.0025	-0.0022	-0.0021	-0.0023	-0.002	-0.0024	-0.0024	-0.0025	-0.0023	-0.0026	-0.0026	-0.0024	-0.0026	-0.0025	-0.0022	-0.0023	-0.0021	-0.0027	-0.0024	-0.0023	-0.0023	-0.0024	-0.0023	-0.0026	-0.0025	-0.002	-0.0024	-0.0021	-0.0024	-0.0023	-0.0023	-0.0025	-0.0022	-0.0021	-0.0024	-0.0022	-0.0022	-0.0017	-0.0026	-0.0023	-0.0024	-0.0024	-0.0022	-0.0023	-0.0021	-0.0024	-0.0027	-0.0019	-0.0021	-0.002	-0.0025	-0.0021	-0.002	-0.0026	-0.0021	-0.0022	-0.002	-0.0025	-0.0021	-0.0022	-0.0023	-0.002	-0.0023	-0.0022	-0.0022	-0.002	-0.0026	-0.0023	-0.0022	-0.0022
sad_vc_estimate	0.4545	0.0879	-0.0065	-0.0154	0.0301	-0.001	0.0147	0.0168	0.0442	0.0068	0.0143	0.0059	0.0008	0.0029	0.006	-0.0022	0.0065	-0.001	0.0131	-0.0014	0.0001	0.0011	-0.0004	0.0062	-0.002	0.0076	0.0016	-0.0018	-0.0022	-0.0015	0.0014	0.0002	0.0021	0.0011	0.0149	-0.0017	-0.0012	0.0091	-0.0014	-0.0014	0.0044	-0.002	-0.0021	-0.0016	-0.0012	-0.0012	-0.0006	0.0044	-0.0022	-0.0017	0.0032	0.0042	0.0228	0.0028	0.0008	-0.0004	-0.0022	-0.0019	0.0039	-0.0021	0.0015	0.0017	-0.002	0.0053	0.0005	0.008	0.0107	-0.0005	0.0023	-0.0018	-0.0005	-0.0016	0.0203	0.0003	0.015	0.0041	0.0045	0.0051	0.0097	0.0112	-0.0023	0.0017	-0.0013	-0.0003	-0.002	0.0007	-0.0016	0.0008	-0.002	-0.0019	0.0	-0.0018	-0.001	0.0021	-0.0015	-0.0014	-0.0023	0.0041	-0.0014	-0.0015
sad_vc_estimate_se	0.0227	0.0142	0.0058	0.0045	0.001	0.0007	0.0006	0.0005	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0002	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0002	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0002	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003
sad_vc_pvals	0.151	0.407	0.537	0.626	0.129	0.528	0.063	0.145	0.005	0.278	0.124	0.364	0.351	0.277	0.211	0.935	0.258	0.663	0.1	0.737	0.518	0.461	0.56	0.246	0.896	0.185	0.569	0.805	0.998	0.816	0.561	0.627	0.39	0.588	0.083	0.735	0.659	0.166	0.75	0.704	0.249	0.876	0.843	0.693	0.694	0.673	0.564	0.383	0.961	0.81	0.338	0.239	0.051	0.396	0.478	0.635	0.916	0.972	0.343	0.956	0.439	0.431	0.911	0.184	0.567	0.233	0.143	0.623	0.394	0.815	0.596	0.798	0.044	0.48	0.133	0.316	0.297	0.237	0.15	0.135	0.949	0.408	0.697	0.591	0.997	0.479	0.837	0.571	0.997	0.995	0.517	0.965	0.6	0.344	0.782	0.735	0.938	0.295	0.728	0.748
upper95_perm_sad	0.9673	0.817	0.2754	0.2319	0.0538	0.0274	0.0171	0.0315	0.0197	0.0242	0.0221	0.0299	0.0127	0.0161	0.0192	0.0164	0.024	0.0218	0.0183	0.0184	0.019	0.0166	0.0145	0.0198	0.0114	0.0181	0.0289	0.0207	0.0158	0.0204	0.039	0.0292	0.0187	0.0309	0.0173	0.013	0.0219	0.0183	0.0244	0.0241	0.0161	0.0295	0.0209	0.0129	0.0177	0.0154	0.0128	0.0309	0.0227	0.0184	0.0203	0.0141	0.0232	0.023	0.0186	0.0177	0.0361	0.0188	0.0209	0.0193	0.0185	0.0227	0.0211	0.0153	0.0217	0.0229	0.0179	0.0171	0.0182	0.0187	0.0222	0.025	0.0185	0.0163	0.0255	0.0217	0.0216	0.0176	0.0168	0.0169	0.0247	0.0189	0.0121	0.02	0.0135	0.0149	0.013	0.0279	0.0232	0.0105	0.0155	0.0189	0.0156	0.0127	0.0187	0.0122	0.0177	0.0181	0.0146	0.0165
lower0_perm_sad	-0.1816	-0.115	-0.0467	-0.0358	-0.0086	-0.0054	-0.0048	-0.0038	-0.0034	-0.0034	-0.0032	-0.0029	-0.0028	-0.003	-0.0029	-0.0025	-0.0025	-0.0025	-0.0024	-0.0024	-0.0025	-0.0021	-0.0022	-0.002	-0.0023	-0.0025	-0.0023	-0.0023	-0.0023	-0.0021	-0.0025	-0.0022	-0.0022	-0.0023	-0.0019	-0.0023	-0.0024	-0.0026	-0.0024	-0.0026	-0.0026	-0.0024	-0.0025	-0.0026	-0.0022	-0.0022	-0.0022	-0.0027	-0.0023	-0.0022	-0.0023	-0.0024	-0.0023	-0.0026	-0.0025	-0.0021	-0.0025	-0.0021	-0.0026	-0.0023	-0.0023	-0.0024	-0.0023	-0.0021	-0.0023	-0.0022	-0.0022	-0.0018	-0.0027	-0.0023	-0.0024	-0.0023	-0.0022	-0.0023	-0.0021	-0.0023	-0.0028	-0.0019	-0.0021	-0.002	-0.0026	-0.0021	-0.002	-0.0026	-0.0021	-0.0022	-0.002	-0.0026	-0.0021	-0.0021	-0.0022	-0.0019	-0.0024	-0.0022	-0.0023	-0.002	-0.0026	-0.0023	-0.0022	-0.0022
