	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.0143	0.0536	0.0417	0.0594	0.003	-0.0004	0.0029	-0.0003	0.002	0.0059	0.0017	0.0056	0.007	0.011	-0.0004	0.0021	0.0954	0.5059	0.186	0.0775	0.0001	-0.0004	0.0056	0.0294	0.0099	0.0026	0.0151	0.0386	0.0072	0.0001	0.0003	0.006	0.0189	0.0001	0.0053	0.0005	0.0002	-0.0001	0.0022	-0.0002	0.0039	0.0011	0.0016	0.0021	0.0058	-0.0004	-0.0002	0.0019	0.0025	0.0004	0.0126	0.0093	-0.0002	0.0044	-0.0002	0.0012	0.006	0.0001	-0.0004	-0.0004	0.0021	0.0004	0.002	-0.0004	0.016	0.0	0.0002	-0.0001	-0.0003	0.0021	0.0003	0.0019	-0.0004	0.0015	0.0002	0.002	0.002	0.0041	0.001	-0.0002	-0.0002	0.0065	0.0025	0.0007	-0.0003	0.0003	-0.0004	-0.0003	0.0006	0.001	0.0013	-0.0001	0.0008	-0.0004	0.0014	-0.0004	-0.0004	-0.0002	-0.0003	-0.0004
direct_vc_estimate_se	0.2328	0.1411	0.0488	0.039	0.0112	0.0072	0.0056	0.004	0.0041	0.0046	0.0041	0.0038	0.0045	0.0049	0.0034	0.0034	0.0088	0.0404	0.0134	0.0085	0.0029	0.0031	0.0036	0.004	0.0038	0.0035	0.003	0.0039	0.0031	0.0026	0.0033	0.0037	0.0033	0.0033	0.0032	0.0029	0.0036	0.0028	0.0027	0.0026	0.0028	0.0028	0.0032	0.0031	0.003	0.0031	0.003	0.0032	0.003	0.0028	0.0032	0.0029	0.003	0.0028	0.0031	0.0029	0.0029	0.0029	0.003	0.0028	0.0029	0.0027	0.003	0.0028	0.0028	0.0032	0.0028	0.0031	0.0029	0.0027	0.0028	0.0027	0.0026	0.0031	0.0029	0.0025	0.0031	0.0029	0.0027	0.003	0.0027	0.0027	0.0027	0.0028	0.0026	0.0029	0.0028	0.0026	0.0027	0.003	0.0028	0.0026	0.0028	0.0028	0.0027	0.0027	0.0028	0.0027	0.0026	0.0028
direct_vc_pvals	0.65	0.329	0.119	0.029	0.6	0.58	0.501	0.694	0.192	0.162	0.512	0.117	0.321	0.248	0.79	0.31	0.026	0.078	0.003	0.09	0.525	0.935	0.228	0.021	0.111	0.458	0.012	0.003	0.101	0.597	0.514	0.184	0.003	0.723	0.22	0.392	0.689	0.637	0.167	0.674	0.054	0.237	0.242	0.33	0.184	0.917	0.691	0.235	0.211	0.514	0.02	0.005	0.763	0.055	0.587	0.311	0.038	0.55	0.87	0.909	0.176	0.366	0.272	0.919	0.0	0.619	0.478	0.709	0.725	0.121	0.564	0.151	0.949	0.383	0.488	0.121	0.296	0.133	0.363	0.69	0.765	0.01	0.05	0.279	0.876	0.507	0.836	0.808	0.318	0.323	0.384	0.595	0.293	0.859	0.217	0.942	0.916	0.671	0.873	0.893
upper95_perm_direct	0.3708	0.317	0.0924	0.0698	0.0716	0.0097	0.0183	0.0085	0.0073	0.0164	0.0238	0.0122	0.0362	0.0382	0.0067	0.0115	0.1234	0.7778	0.2155	0.1295	0.0056	0.0101	0.0192	0.0332	0.0214	0.0194	0.0127	0.0342	0.0136	0.008	0.0086	0.0179	0.0153	0.0133	0.0165	0.0058	0.0173	0.0068	0.007	0.0046	0.0057	0.005	0.0075	0.0134	0.0167	0.0085	0.0074	0.0079	0.0083	0.0085	0.0127	0.007	0.0105	0.0066	0.0038	0.0077	0.0075	0.0069	0.0074	0.0077	0.0064	0.0044	0.0087	0.0039	0.0087	0.0112	0.0062	0.0096	0.0041	0.0056	0.0099	0.0052	0.0045	0.0112	0.0063	0.0048	0.0097	0.0099	0.0072	0.0055	0.0062	0.0054	0.0035	0.0042	0.0042	0.0074	0.0039	0.0046	0.0043	0.0067	0.0086	0.0042	0.0045	0.0081	0.0052	0.0083	0.0064	0.0054	0.0058	0.004
lower0_perm_direct	-0.062	-0.0364	-0.0126	-0.0103	-0.0029	-0.0019	-0.0014	-0.0011	-0.0011	-0.0012	-0.001	-0.001	-0.0012	-0.0013	-0.0009	-0.0009	-0.0022	-0.0104	-0.0034	-0.0021	-0.0007	-0.0008	-0.0009	-0.001	-0.001	-0.0009	-0.0008	-0.001	-0.0008	-0.0007	-0.0008	-0.0009	-0.0009	-0.0008	-0.0008	-0.0007	-0.0009	-0.0007	-0.0007	-0.0007	-0.0007	-0.0007	-0.0008	-0.0008	-0.0007	-0.0008	-0.0008	-0.0008	-0.0008	-0.0007	-0.0008	-0.0008	-0.0008	-0.0007	-0.0008	-0.0008	-0.0007	-0.0007	-0.0008	-0.0007	-0.0008	-0.0007	-0.0008	-0.0007	-0.0007	-0.0008	-0.0007	-0.0008	-0.0008	-0.0007	-0.0007	-0.0007	-0.0007	-0.0008	-0.0008	-0.0007	-0.0008	-0.0008	-0.0007	-0.0008	-0.0007	-0.0007	-0.0007	-0.0008	-0.0007	-0.0007	-0.0007	-0.0006	-0.0007	-0.0008	-0.0007	-0.0007	-0.0007	-0.0007	-0.0007	-0.0007	-0.0007	-0.0007	-0.0007	-0.0007
sad_vc_estimate	-0.0245	0.0388	0.0821	0.2129	0.003	-0.0008	0.0133	-0.0004	0.0065	0.0137	0.0116	0.0125	0.0242	0.0241	-0.0005	0.0044	0.2241	1.1614	0.4109	0.1761	0.0002	-0.0	0.0052	0.0496	0.0226	0.0086	0.0208	0.0746	0.0166	0.0015	0.0019	0.007	0.0401	0.0018	0.0123	-0.0001	0.0063	0.0006	0.0055	-0.0003	0.0057	0.0012	0.0088	0.0035	0.0208	0.0027	-0.0003	0.008	0.0096	-0.0003	0.0292	0.0234	-0.0004	0.0135	-0.0003	0.0038	0.0143	-0.0001	-0.0004	-0.0004	0.005	0.0012	0.0075	-0.0004	0.0264	0.0066	0.002	0.0012	-0.0004	0.0031	0.003	0.0141	-0.0003	0.0049	0.0044	0.0019	0.0076	0.0018	0.0033	-0.0004	0.0004	0.0122	0.0053	0.0032	-0.0004	-0.0001	-0.0004	-0.0004	0.0038	0.0022	0.0018	0.0002	0.0001	-0.0004	0.0078	0.0011	-0.0003	-0.0004	-0.0004	-0.0001
sad_vc_estimate_se	0.2369	0.1435	0.0497	0.0397	0.0114	0.0073	0.0057	0.0041	0.0042	0.0046	0.0042	0.0038	0.0046	0.005	0.0035	0.0035	0.009	0.0411	0.0137	0.0086	0.0029	0.0032	0.0037	0.004	0.0039	0.0035	0.0031	0.004	0.0032	0.0027	0.0033	0.0038	0.0034	0.0033	0.0033	0.0029	0.0037	0.0028	0.0028	0.0027	0.0028	0.0029	0.0032	0.0031	0.0031	0.0032	0.003	0.0033	0.0031	0.0028	0.0032	0.003	0.003	0.0029	0.0032	0.0029	0.0029	0.0029	0.0031	0.0029	0.0029	0.0028	0.0031	0.0029	0.0029	0.0032	0.0028	0.0032	0.003	0.0028	0.0029	0.0027	0.0026	0.0031	0.003	0.0026	0.0031	0.003	0.0028	0.003	0.0028	0.0027	0.0027	0.0029	0.0026	0.003	0.0029	0.0026	0.0028	0.003	0.0029	0.0027	0.0028	0.0029	0.0027	0.0027	0.0028	0.0028	0.0027	0.0029
sad_vc_pvals	0.789	0.539	0.121	0.004	0.736	0.801	0.244	0.867	0.124	0.172	0.331	0.123	0.237	0.235	0.953	0.343	0.014	0.063	0.002	0.092	0.657	0.771	0.49	0.058	0.095	0.402	0.027	0.008	0.095	0.468	0.446	0.35	0.004	0.614	0.262	0.739	0.384	0.645	0.173	0.894	0.11	0.404	0.055	0.431	0.089	0.437	0.852	0.143	0.107	0.854	0.009	0.005	0.99	0.033	0.829	0.253	0.022	0.753	0.98	0.892	0.156	0.336	0.148	0.985	0.009	0.181	0.296	0.598	0.877	0.232	0.359	0.009	0.868	0.297	0.206	0.312	0.167	0.498	0.347	0.933	0.642	0.02	0.076	0.143	0.932	0.784	0.973	0.978	0.149	0.346	0.531	0.539	0.603	0.927	0.053	0.514	0.891	0.938	0.936	0.65
upper95_perm_sad	0.6847	0.6841	0.1783	0.1332	0.1654	0.021	0.0405	0.0202	0.0167	0.0382	0.0535	0.0272	0.0889	0.0822	0.0134	0.0289	0.2781	1.7748	0.4747	0.2828	0.0147	0.0245	0.045	0.0737	0.0414	0.0474	0.0259	0.0759	0.0297	0.017	0.0191	0.0369	0.0337	0.0319	0.0393	0.0117	0.0452	0.021	0.0161	0.0113	0.0117	0.0127	0.0142	0.0298	0.041	0.0209	0.0144	0.0209	0.0193	0.0164	0.0254	0.0145	0.0238	0.0166	0.0117	0.0169	0.0157	0.0151	0.0133	0.018	0.013	0.009	0.018	0.0097	0.0234	0.0175	0.0128	0.025	0.0084	0.0144	0.021	0.0121	0.0095	0.0216	0.0159	0.0109	0.0195	0.0233	0.0193	0.0139	0.0167	0.0113	0.0095	0.0098	0.0087	0.0192	0.0084	0.0109	0.011	0.0144	0.0209	0.0092	0.0099	0.0173	0.0114	0.0179	0.0151	0.013	0.0134	0.0085
lower0_perm_sad	-0.0629	-0.0363	-0.0131	-0.0099	-0.0029	-0.0018	-0.0014	-0.001	-0.0011	-0.0012	-0.001	-0.001	-0.0012	-0.0012	-0.0009	-0.0009	-0.0022	-0.0101	-0.0034	-0.0021	-0.0008	-0.0008	-0.0009	-0.001	-0.001	-0.0009	-0.0008	-0.0009	-0.0008	-0.0007	-0.0009	-0.0009	-0.0008	-0.0008	-0.0009	-0.0007	-0.0009	-0.0008	-0.0007	-0.0007	-0.0007	-0.0008	-0.0008	-0.0008	-0.0008	-0.0008	-0.0008	-0.0008	-0.0008	-0.0007	-0.0008	-0.0008	-0.0008	-0.0007	-0.0008	-0.0008	-0.0007	-0.0008	-0.0008	-0.0007	-0.0008	-0.0007	-0.0008	-0.0008	-0.0007	-0.0008	-0.0007	-0.0008	-0.0008	-0.0007	-0.0008	-0.0007	-0.0006	-0.0008	-0.0008	-0.0007	-0.0008	-0.0008	-0.0007	-0.0008	-0.0007	-0.0007	-0.0007	-0.0008	-0.0007	-0.0008	-0.0008	-0.0006	-0.0007	-0.0008	-0.0007	-0.0007	-0.0007	-0.0007	-0.0007	-0.0007	-0.0007	-0.0007	-0.0007	-0.0008
