	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.0252	0.1975	0.0403	0.0124	0.0229	-0.0026	-0.0025	0.0174	0.0148	-0.0011	-0.0024	-0.0028	-0.0003	-0.0002	0.0011	-0.0018	0.0027	-0.0018	-0.0019	-0.0012	0.0012	0.0033	-0.0003	-0.0013	0.0179	-0.0022	0.0014	0.0303	-0.0021	-0.0018	-0.0009	0.0207	0.0049	-0.0008	-0.002	0.0182	-0.0019	0.0215	-0.002	-0.002	-0.0001	-0.0015	-0.0021	-0.0017	-0.0015	0.0088	0.004	-0.0004	-0.0018	0.0003	0.0296	0.0018	-0.0018	-0.0021	-0.0021	-0.0005	-0.0014	0.0023	0.0064	-0.002	-0.0009	-0.0011	-0.0016	-0.0008	-0.0003	0.0057	-0.0023	-0.0019	0.0067	0.0559	0.0111	-0.0015	0.0037	-0.0019	0.0064	-0.0012	-0.0019	0.0003	-0.0009	-0.0019	-0.0015	0.0024	0.0068	0.0014	0.0036	-0.0013	-0.0019	0.0005	0.0019	0.0094	-0.0012	0.0015	0.0069	-0.0016	-0.0021	-0.0014	0.0077	-0.0003	-0.002	-0.0015
direct_vc_estimate_se	0.6888	0.4757	0.1876	0.1342	0.0493	0.0198	0.0175	0.0211	0.0177	0.0137	0.0162	0.0159	0.0135	0.0131	0.0126	0.0105	0.0112	0.0117	0.0125	0.013	0.0115	0.0119	0.0116	0.0126	0.011	0.0132	0.013	0.0121	0.0116	0.0117	0.0113	0.0115	0.0121	0.0115	0.0119	0.0114	0.0117	0.0115	0.0119	0.0113	0.0115	0.0116	0.0122	0.0118	0.0123	0.0117	0.0121	0.0121	0.0121	0.0123	0.0113	0.0119	0.0117	0.0117	0.0118	0.0114	0.0113	0.0114	0.0117	0.0123	0.0116	0.0115	0.0124	0.0115	0.0114	0.0113	0.0125	0.0116	0.0114	0.0116	0.0113	0.0123	0.0119	0.0108	0.0117	0.0112	0.012	0.0119	0.0117	0.0115	0.0116	0.0118	0.0121	0.0125	0.0117	0.0114	0.0116	0.0115	0.0117	0.012	0.0123	0.0115	0.0119	0.0111	0.0122	0.0116	0.011	0.0126	0.0116	0.0118
direct_vc_pvals	0.372	0.076	0.189	0.311	0.204	0.653	0.663	0.074	0.039	0.479	0.743	0.927	0.42	0.405	0.269	0.824	0.171	0.754	0.752	0.573	0.31	0.307	0.566	0.626	0.01	0.848	0.331	0.0	0.912	0.778	0.548	0.016	0.171	0.572	0.825	0.007	0.822	0.016	0.858	0.951	0.45	0.696	0.849	0.726	0.66	0.086	0.21	0.468	0.752	0.384	0.007	0.287	0.771	0.901	0.878	0.518	0.662	0.289	0.114	0.807	0.531	0.595	0.716	0.58	0.449	0.14	0.951	0.801	0.098	0.0	0.046	0.67	0.212	0.894	0.123	0.614	0.788	0.412	0.58	0.803	0.657	0.271	0.114	0.315	0.211	0.61	0.827	0.363	0.234	0.07	0.603	0.31	0.124	0.73	0.894	0.638	0.106	0.448	0.887	0.698
upper95_perm_direct	0.5969	0.4147	0.2287	0.1897	0.0952	0.0202	0.0135	0.0336	0.0212	0.015	0.0254	0.0205	0.0188	0.0156	0.0127	0.0132	0.0122	0.0177	0.0184	0.0187	0.0166	0.0236	0.0297	0.0216	0.0162	0.0221	0.0189	0.0167	0.0195	0.0203	0.0189	0.0202	0.0186	0.0213	0.0191	0.0157	0.0215	0.0204	0.0206	0.0172	0.0174	0.0198	0.0183	0.0218	0.0206	0.0184	0.0178	0.017	0.0172	0.0184	0.0187	0.0193	0.0211	0.0166	0.0186	0.0179	0.0194	0.018	0.0152	0.0192	0.0169	0.0167	0.0212	0.0214	0.0168	0.018	0.0167	0.0191	0.0154	0.0174	0.0166	0.0183	0.0194	0.0156	0.0188	0.0174	0.0183	0.0203	0.0187	0.0198	0.0183	0.018	0.0178	0.0172	0.02	0.0166	0.0209	0.0174	0.0155	0.017	0.02	0.0173	0.0207	0.017	0.0178	0.0153	0.0196	0.0171	0.0185	0.0198
lower0_perm_direct	-0.2217	-0.1579	-0.062	-0.0445	-0.0161	-0.0065	-0.0057	-0.0072	-0.0058	-0.0046	-0.0053	-0.0052	-0.0045	-0.0044	-0.0043	-0.0035	-0.0037	-0.0039	-0.0043	-0.0043	-0.0038	-0.0038	-0.0041	-0.0042	-0.0037	-0.0045	-0.0045	-0.004	-0.0038	-0.0039	-0.0037	-0.0037	-0.004	-0.0039	-0.0039	-0.0038	-0.0039	-0.0037	-0.0039	-0.0038	-0.0039	-0.0038	-0.004	-0.004	-0.0042	-0.004	-0.004	-0.0041	-0.0041	-0.0042	-0.0038	-0.0039	-0.0038	-0.004	-0.0039	-0.0039	-0.0038	-0.0039	-0.0041	-0.0043	-0.0038	-0.0039	-0.0043	-0.0037	-0.0039	-0.0036	-0.0042	-0.0038	-0.0038	-0.0041	-0.0039	-0.004	-0.004	-0.0038	-0.0039	-0.0038	-0.0041	-0.0039	-0.0041	-0.004	-0.0039	-0.004	-0.0041	-0.004	-0.0039	-0.0039	-0.0039	-0.0037	-0.0038	-0.0038	-0.0042	-0.0039	-0.0039	-0.0037	-0.004	-0.0039	-0.0036	-0.0041	-0.004	-0.004
sad_vc_estimate	-0.0884	0.0203	-0.0349	0.1213	0.355	0.0063	-0.0021	0.003	0.0086	-0.0002	-0.0016	-0.003	0.0045	0.0049	0.0047	-0.002	-0.0006	-0.0007	0.003	0.0091	-0.0014	0.0065	-0.0017	0.0003	0.0312	-0.0011	0.0044	0.0348	-0.0018	-0.0002	-0.0007	0.0208	0.0008	0.0016	-0.002	0.0293	-0.0022	0.0233	-0.0019	-0.0021	0.0025	-0.0022	-0.0016	-0.002	-0.0023	0.012	0.0124	0.0019	-0.0021	0.0009	0.0623	0.0032	-0.002	-0.0022	-0.0022	-0.0021	-0.002	0.0039	0.0049	-0.0023	-0.0017	0.0003	-0.0013	-0.0012	-0.0014	0.0086	0.0005	-0.0021	0.0128	0.0303	0.0097	-0.0022	0.0004	0.0005	0.007	-0.002	-0.0021	-0.0022	-0.002	-0.0021	0.0002	0.0137	0.0132	0.0023	0.0007	-0.0009	-0.0013	0.0001	0.0087	0.0136	0.0034	0.0091	0.0026	0.0004	-0.0	-0.0003	0.0032	-0.0013	-0.0021	-0.001
sad_vc_estimate_se	0.718	0.4957	0.1943	0.1392	0.051	0.0206	0.0182	0.0219	0.0183	0.0143	0.0167	0.0165	0.014	0.0135	0.013	0.0109	0.0116	0.0122	0.013	0.0134	0.0119	0.0123	0.0121	0.0131	0.0114	0.0137	0.0135	0.0125	0.012	0.0121	0.0118	0.0119	0.0125	0.0119	0.0123	0.0118	0.0121	0.012	0.0123	0.0118	0.0119	0.012	0.0126	0.0122	0.0127	0.0121	0.0125	0.0125	0.0126	0.0127	0.0117	0.0123	0.0121	0.0121	0.0122	0.0118	0.0117	0.0118	0.0121	0.0127	0.0121	0.0119	0.0129	0.0119	0.0119	0.0117	0.0129	0.012	0.0119	0.012	0.0117	0.0127	0.0123	0.0112	0.0122	0.0117	0.0124	0.0123	0.0121	0.0119	0.012	0.0122	0.0126	0.0129	0.0121	0.0118	0.012	0.0119	0.0121	0.0124	0.0127	0.0119	0.0123	0.0115	0.0126	0.0121	0.0114	0.013	0.012	0.0122
sad_vc_pvals	0.627	0.355	0.942	0.05	0.003	0.198	0.546	0.421	0.128	0.456	0.588	0.936	0.177	0.218	0.132	0.921	0.493	0.538	0.223	0.154	0.673	0.142	0.721	0.474	0.002	0.608	0.232	0.002	0.777	0.485	0.546	0.032	0.417	0.43	0.84	0.004	0.936	0.015	0.8	0.925	0.32	0.999	0.698	0.814	0.997	0.077	0.074	0.335	0.798	0.358	0.0	0.296	0.838	0.974	0.954	0.925	0.862	0.249	0.184	0.908	0.712	0.502	0.67	0.648	0.657	0.143	0.458	0.921	0.052	0.007	0.099	0.909	0.458	0.441	0.127	0.88	0.837	0.871	0.845	0.92	0.475	0.063	0.056	0.314	0.432	0.579	0.673	0.456	0.125	0.041	0.262	0.095	0.361	0.471	0.5	0.477	0.315	0.607	0.887	0.616
upper95_perm_sad	0.8379	0.6083	0.2537	0.1859	0.2091	0.03	0.0155	0.0565	0.0249	0.0186	0.0267	0.0267	0.0203	0.0232	0.0144	0.0148	0.0157	0.0205	0.0181	0.0312	0.0192	0.0238	0.0244	0.0252	0.0243	0.0261	0.0254	0.0233	0.0226	0.0248	0.0232	0.0256	0.0247	0.0363	0.0282	0.0233	0.0271	0.024	0.0256	0.0238	0.0249	0.0227	0.0241	0.0302	0.0245	0.0249	0.0241	0.021	0.0215	0.0209	0.0269	0.0239	0.0224	0.0253	0.0269	0.0204	0.0238	0.026	0.0193	0.021	0.0238	0.0258	0.0341	0.0237	0.0213	0.0252	0.0244	0.0218	0.0204	0.0205	0.0221	0.0276	0.022	0.0225	0.0193	0.0237	0.0205	0.0236	0.0228	0.0209	0.0222	0.0254	0.0225	0.0249	0.0245	0.0202	0.0281	0.0184	0.0215	0.0194	0.0256	0.0198	0.0276	0.0255	0.0246	0.0231	0.0275	0.0223	0.025	0.0215
lower0_perm_sad	-0.2421	-0.1637	-0.0642	-0.0455	-0.0173	-0.0069	-0.0061	-0.007	-0.0063	-0.0048	-0.0056	-0.0056	-0.0046	-0.0044	-0.0043	-0.0037	-0.004	-0.0041	-0.0042	-0.0045	-0.004	-0.0041	-0.0041	-0.0043	-0.0038	-0.0045	-0.0044	-0.0044	-0.0043	-0.0039	-0.0038	-0.0039	-0.0042	-0.004	-0.0041	-0.004	-0.004	-0.0039	-0.0039	-0.004	-0.0041	-0.004	-0.0043	-0.0041	-0.0043	-0.0041	-0.004	-0.0041	-0.0042	-0.004	-0.0037	-0.0041	-0.0041	-0.0041	-0.0041	-0.0037	-0.0039	-0.0039	-0.0041	-0.0042	-0.0042	-0.004	-0.0043	-0.0039	-0.0039	-0.0038	-0.0043	-0.0039	-0.0039	-0.0041	-0.0038	-0.0041	-0.0042	-0.0038	-0.0041	-0.0039	-0.0041	-0.0042	-0.004	-0.0041	-0.004	-0.0043	-0.0041	-0.0044	-0.0042	-0.004	-0.0041	-0.004	-0.0041	-0.0042	-0.0042	-0.004	-0.004	-0.0038	-0.0042	-0.0039	-0.0037	-0.0043	-0.0041	-0.0041
