	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.0911	-0.0081	0.0233	0.1563	0.0128	-0.0019	-0.001	0.0005	-0.0009	-0.0009	0.0083	-0.0002	-0.0003	0.0047	0.0106	-0.0005	-0.0008	-0.0007	0.0	-0.0004	-0.0005	0.0001	0.0001	-0.0006	0.0142	0.0037	0.0026	-0.001	-0.0006	0.0008	-0.0005	0.0021	-0.0004	0.0039	-0.0	0.001	-0.0008	0.0134	0.0034	0.0005	0.0022	0.0071	-0.0001	0.0014	0.0002	-0.0008	0.0005	-0.0011	0.001	0.0052	-0.0005	0.0034	-0.0008	0.0115	-0.0005	-0.0008	0.0119	-0.0006	0.0003	0.0019	0.003	0.0019	-0.0008	0.0028	-0.0006	0.0077	0.0009	-0.0007	0.0017	0.0017	0.0014	0.0025	0.0049	0.0023	-0.0001	0.0018	0.0009	0.0047	0.0023	-0.0002	0.0007	-0.0006	-0.0001	0.0055	0.0009	0.0033	0.0052	0.0006	-0.0006	0.0067	-0.0009	-0.0007	0.003	-0.0004	0.0028	-0.0002	0.0016	-0.0002	0.0042	0.0111
direct_vc_estimate_se	0.0801	0.0449	0.0174	0.0139	0.0034	0.0025	0.0012	0.0012	0.0012	0.0012	0.0013	0.0011	0.001	0.0011	0.0012	0.0008	0.0009	0.001	0.0008	0.0009	0.0013	0.0008	0.0014	0.0007	0.0009	0.0012	0.0007	0.0014	0.001	0.0014	0.0012	0.0008	0.001	0.0014	0.001	0.0014	0.0009	0.0012	0.0008	0.0007	0.0009	0.0008	0.0008	0.0012	0.0012	0.0009	0.0007	0.0016	0.0008	0.0009	0.0007	0.0011	0.001	0.001	0.0008	0.001	0.001	0.0008	0.001	0.0007	0.0012	0.0013	0.001	0.0011	0.0007	0.001	0.001	0.0009	0.0008	0.0011	0.001	0.0008	0.0008	0.001	0.001	0.0009	0.0008	0.0008	0.0009	0.0008	0.0009	0.0008	0.0009	0.0009	0.0011	0.0012	0.001	0.0008	0.0009	0.001	0.0011	0.0008	0.0009	0.0007	0.0011	0.0007	0.0009	0.0009	0.0008	0.0008
direct_vc_pvals	0.203	0.725	0.31	0.054	0.506	0.828	0.919	0.549	0.827	0.868	0.218	0.664	0.649	0.134	0.009	0.774	0.894	0.855	0.501	0.679	0.569	0.424	0.559	0.878	0.017	0.098	0.367	0.876	0.802	0.559	0.653	0.383	0.729	0.41	0.721	0.693	0.96	0.306	0.471	0.47	0.187	0.139	0.547	0.23	0.563	0.946	0.382	0.809	0.471	0.08	0.883	0.168	0.975	0.026	0.75	0.973	0.112	0.911	0.467	0.273	0.362	0.338	0.831	0.167	0.98	0.096	0.482	0.855	0.202	0.554	0.308	0.135	0.189	0.296	0.732	0.249	0.313	0.093	0.438	0.68	0.244	0.878	0.813	0.102	0.367	0.18	0.133	0.405	0.841	0.156	0.917	0.881	0.37	0.772	0.351	0.661	0.231	0.578	0.197	0.048
upper95_perm_direct	0.2994	0.5878	0.1219	0.163	0.0492	0.0108	0.0119	0.0135	0.0074	0.0053	0.0199	0.0098	0.0084	0.0087	0.0057	0.0036	0.0045	0.014	0.0051	0.0068	0.0067	0.0034	0.0111	0.0052	0.0103	0.0058	0.0085	0.0197	0.0117	0.0152	0.0069	0.0102	0.0091	0.0207	0.0224	0.0298	0.0082	0.0272	0.0151	0.0063	0.0056	0.011	0.0045	0.0062	0.0118	0.0094	0.0049	0.0103	0.009	0.0062	0.0054	0.0071	0.0064	0.0097	0.0052	0.005	0.0159	0.0077	0.0063	0.0069	0.0116	0.0096	0.003	0.0066	0.004	0.0101	0.008	0.0044	0.0046	0.0126	0.0068	0.0044	0.009	0.0087	0.0103	0.0055	0.0049	0.0065	0.0139	0.0067	0.0031	0.009	0.0105	0.0078	0.0067	0.0071	0.0078	0.0054	0.0091	0.0116	0.0056	0.0051	0.012	0.0062	0.0116	0.0055	0.0057	0.0055	0.0091	0.0106
lower0_perm_direct	-0.0765	-0.0422	-0.0162	-0.013	-0.003	-0.0024	-0.0012	-0.0011	-0.0012	-0.0011	-0.0012	-0.0011	-0.0009	-0.001	-0.0011	-0.0007	-0.0009	-0.0009	-0.0007	-0.0009	-0.0012	-0.0007	-0.0013	-0.0007	-0.0008	-0.0011	-0.0007	-0.0013	-0.0009	-0.0012	-0.0011	-0.0007	-0.0009	-0.0013	-0.001	-0.0013	-0.0009	-0.0011	-0.0007	-0.0007	-0.0008	-0.0008	-0.0008	-0.0011	-0.0012	-0.0009	-0.0007	-0.0016	-0.0008	-0.0009	-0.0006	-0.001	-0.001	-0.0009	-0.0008	-0.0009	-0.001	-0.0007	-0.001	-0.0007	-0.0011	-0.0012	-0.0009	-0.0011	-0.0006	-0.001	-0.0009	-0.0008	-0.0008	-0.001	-0.001	-0.0007	-0.0008	-0.0009	-0.001	-0.0008	-0.0007	-0.0008	-0.0008	-0.0007	-0.0009	-0.0008	-0.0009	-0.0008	-0.001	-0.0011	-0.0009	-0.0007	-0.0009	-0.0009	-0.001	-0.0008	-0.0008	-0.0006	-0.001	-0.0007	-0.0009	-0.0008	-0.0008	-0.0008
sad_vc_estimate	0.3054	0.0296	0.0627	0.1226	0.0228	-0.0016	0.0006	0.0054	-0.001	-0.0006	0.0224	-0.0009	0.005	0.0127	0.0117	-0.0002	-0.0008	0.001	-0.0006	-0.0008	0.011	-0.0004	0.0004	-0.0005	0.0166	0.0016	0.0146	0.0004	0.0	-0.0011	-0.0007	0.0072	0.0015	0.0166	0.0011	0.0061	-0.0002	0.0333	0.0069	-0.0005	0.0055	0.0179	-0.0006	0.0113	-0.0007	-0.0006	0.0002	0.0012	0.0069	0.0053	-0.0005	0.0015	-0.0007	0.023	-0.0006	-0.0003	0.0188	0.0002	0.0015	0.0051	0.0048	0.0049	-0.0004	-0.0002	-0.0004	0.0259	0.0026	-0.0007	0.0009	0.0025	0.0029	0.0079	0.0162	0.001	0.0016	0.0033	0.0012	0.0121	0.0056	0.0009	0.0007	0.0013	0.0034	0.0045	-0.0006	0.0147	0.0036	0.0012	-0.0008	0.0103	0.0	-0.0004	0.0077	0.0009	0.014	-0.0006	0.0015	-0.0007	0.0108	0.0202
sad_vc_estimate_se	0.081	0.0454	0.0176	0.014	0.0034	0.0025	0.0013	0.0012	0.0013	0.0012	0.0013	0.0011	0.001	0.0011	0.0012	0.0008	0.001	0.001	0.0008	0.0009	0.0013	0.0008	0.0014	0.0007	0.0009	0.0012	0.0007	0.0014	0.001	0.0014	0.0012	0.0008	0.001	0.0014	0.0011	0.0014	0.001	0.0012	0.0008	0.0007	0.0009	0.0008	0.0008	0.0012	0.0013	0.0009	0.0007	0.0017	0.0008	0.0009	0.0007	0.0011	0.001	0.001	0.0008	0.001	0.0011	0.0008	0.001	0.0008	0.0012	0.0013	0.001	0.0011	0.0007	0.0011	0.001	0.0009	0.0008	0.0011	0.001	0.0008	0.0008	0.001	0.0011	0.0009	0.0008	0.0009	0.0009	0.0008	0.0009	0.0008	0.0009	0.0009	0.0011	0.0012	0.001	0.0008	0.001	0.001	0.0011	0.0009	0.0009	0.0007	0.0011	0.0007	0.0009	0.0009	0.0009	0.0008
sad_vc_pvals	0.155	0.692	0.363	0.192	0.64	0.802	0.54	0.363	0.89	0.72	0.17	0.913	0.233	0.033	0.053	0.634	0.956	0.64	0.878	0.996	0.067	0.736	0.562	0.85	0.091	0.35	0.094	0.713	0.756	0.998	0.829	0.252	0.585	0.31	0.699	0.633	0.782	0.255	0.518	0.894	0.217	0.103	0.924	0.031	0.824	0.86	0.602	0.588	0.242	0.221	0.922	0.449	0.827	0.029	0.799	0.694	0.14	0.675	0.506	0.231	0.486	0.304	0.664	0.715	0.731	0.043	0.506	0.858	0.394	0.663	0.338	0.073	0.057	0.596	0.671	0.272	0.369	0.059	0.431	0.572	0.422	0.56	0.625	0.309	0.792	0.084	0.387	0.426	0.976	0.253	0.682	0.766	0.317	0.505	0.165	0.952	0.464	0.937	0.131	0.055
upper95_perm_sad	0.6501	1.147	0.2773	0.2427	0.1086	0.024	0.0143	0.0261	0.015	0.0121	0.0388	0.0202	0.0139	0.0107	0.0115	0.008	0.0119	0.0284	0.0092	0.0144	0.0123	0.0071	0.0138	0.0101	0.0203	0.011	0.0172	0.0432	0.0219	0.0309	0.0181	0.0175	0.0207	0.047	0.0459	0.0632	0.0179	0.0584	0.0287	0.012	0.013	0.0223	0.0098	0.0091	0.0263	0.018	0.0089	0.0203	0.0183	0.0147	0.0106	0.015	0.0149	0.0183	0.0063	0.0117	0.0293	0.0164	0.0139	0.0129	0.0236	0.018	0.0086	0.015	0.0083	0.0229	0.0208	0.0078	0.0073	0.0276	0.0136	0.0099	0.0166	0.0194	0.0245	0.0123	0.0072	0.0122	0.0296	0.0164	0.0076	0.0163	0.0258	0.0149	0.0164	0.0182	0.0181	0.0092	0.0193	0.0242	0.0161	0.0095	0.0249	0.0123	0.0232	0.0097	0.012	0.0081	0.0173	0.0207
lower0_perm_sad	-0.0775	-0.0417	-0.0162	-0.0128	-0.003	-0.0023	-0.0012	-0.0011	-0.0012	-0.0011	-0.0012	-0.0011	-0.0009	-0.001	-0.0011	-0.0007	-0.0009	-0.001	-0.0007	-0.0009	-0.0012	-0.0007	-0.0013	-0.0007	-0.0008	-0.0011	-0.0007	-0.0013	-0.0009	-0.0013	-0.0011	-0.0007	-0.001	-0.0013	-0.001	-0.0013	-0.0009	-0.0011	-0.0007	-0.0007	-0.0009	-0.0008	-0.0007	-0.0011	-0.0012	-0.0009	-0.0007	-0.0015	-0.0008	-0.0009	-0.0006	-0.001	-0.0009	-0.001	-0.0008	-0.0009	-0.001	-0.0007	-0.001	-0.0007	-0.0011	-0.0012	-0.0009	-0.0011	-0.0007	-0.001	-0.001	-0.0008	-0.0008	-0.0011	-0.001	-0.0007	-0.0008	-0.0009	-0.001	-0.0008	-0.0007	-0.0008	-0.0008	-0.0007	-0.0008	-0.0008	-0.0009	-0.0009	-0.001	-0.0011	-0.0009	-0.0007	-0.0009	-0.0009	-0.001	-0.0008	-0.0009	-0.0006	-0.001	-0.0007	-0.0008	-0.0008	-0.0008	-0.0008
