	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.0555	-0.0949	0.005	-0.0301	0.0778	0.0003	0.0163	0.0458	0.0006	-0.0023	0.0039	-0.0031	0.0071	0.0026	-0.0019	0.0062	-0.0022	-0.0025	-0.0019	0.0013	0.0044	-0.0014	-0.0022	0.0023	0.0007	0.0051	-0.0023	0.0028	0.0072	0.0085	0.0056	-0.0	0.004	-0.0018	-0.0005	-0.0025	0.0118	-0.0025	-0.0023	0.0049	0.0005	0.0074	-0.0017	0.0086	0.002	-0.001	-0.0006	0.0126	0.0059	0.0007	0.0205	-0.002	0.0079	-0.0025	0.0001	-0.0012	0.002	-0.0014	0.0079	-0.0024	-0.0023	-0.0024	-0.0024	-0.0025	0.0025	0.008	-0.0019	0.008	-0.0019	0.005	-0.0015	0.0078	0.002	0.0025	-0.0008	-0.002	0.0034	0.0168	-0.002	0.0014	-0.0016	-0.0025	0.0001	-0.0012	-0.0021	-0.0015	0.0033	0.0051	-0.0011	-0.0	0.001	0.005	0.019	0.0149	-0.0023	-0.0026	-0.0016	0.0233	-0.0021	-0.0012
direct_vc_estimate_se	3.3817	2.2966	0.9388	0.7649	0.2521	0.111	0.0773	0.1069	0.0839	0.0681	0.0834	0.0789	0.0729	0.0644	0.0608	0.0624	0.0573	0.0656	0.069	0.0634	0.0683	0.0623	0.061	0.0642	0.059	0.0626	0.0631	0.0676	0.0663	0.0607	0.0638	0.0609	0.0617	0.0604	0.0584	0.0614	0.0601	0.0612	0.0623	0.0611	0.0606	0.0621	0.0638	0.0619	0.0618	0.0597	0.0607	0.0612	0.0617	0.0611	0.0604	0.0581	0.0601	0.0676	0.0618	0.0604	0.0594	0.06	0.0619	0.061	0.0606	0.063	0.0607	0.06	0.0627	0.0592	0.0618	0.0602	0.0614	0.0629	0.0672	0.0603	0.0582	0.0598	0.0653	0.0635	0.0618	0.0629	0.0614	0.0628	0.0607	0.0649	0.0619	0.065	0.0606	0.0592	0.0613	0.0581	0.0619	0.0607	0.0603	0.0636	0.0631	0.057	0.0583	0.0616	0.0609	0.0594	0.059	0.0594
direct_vc_pvals	0.258	0.959	0.367	0.841	0.04	0.347	0.022	0.01	0.371	0.724	0.232	0.875	0.162	0.239	0.654	0.121	0.839	0.799	0.648	0.309	0.219	0.58	0.782	0.318	0.352	0.174	0.777	0.259	0.13	0.134	0.165	0.477	0.237	0.731	0.523	0.961	0.059	0.899	0.775	0.206	0.449	0.122	0.619	0.113	0.305	0.569	0.522	0.091	0.192	0.41	0.022	0.745	0.134	0.775	0.419	0.62	0.309	0.624	0.124	0.865	0.846	0.856	0.861	0.975	0.265	0.113	0.706	0.129	0.7	0.212	0.601	0.135	0.286	0.244	0.477	0.709	0.261	0.029	0.719	0.371	0.656	0.847	0.46	0.565	0.774	0.631	0.252	0.169	0.588	0.45	0.361	0.178	0.025	0.044	0.881	0.989	0.646	0.013	0.798	0.608
upper95_perm_direct	0.5598	0.4638	0.1997	0.2075	0.0865	0.0214	0.0136	0.0314	0.0213	0.0142	0.0207	0.0249	0.0193	0.0145	0.0143	0.0136	0.0123	0.0186	0.0163	0.0142	0.0197	0.0149	0.0173	0.019	0.016	0.0154	0.0195	0.0186	0.016	0.019	0.019	0.0214	0.0222	0.0186	0.0176	0.0164	0.0156	0.0168	0.0173	0.0183	0.0205	0.0165	0.017	0.018	0.0197	0.0164	0.0201	0.0203	0.0194	0.0201	0.0157	0.0159	0.0182	0.0195	0.0145	0.0159	0.0171	0.0187	0.02	0.0167	0.0163	0.0167	0.0193	0.0191	0.0175	0.0169	0.0177	0.0191	0.0212	0.019	0.0219	0.0185	0.0156	0.0154	0.0135	0.0173	0.0178	0.0156	0.016	0.0181	0.0167	0.0184	0.0187	0.0188	0.0199	0.0202	0.0168	0.0155	0.0203	0.0184	0.0167	0.0184	0.0148	0.018	0.0181	0.0174	0.0196	0.0168	0.0189	0.0177
lower0_perm_direct	-0.1982	-0.1329	-0.055	-0.0446	-0.0145	-0.0067	-0.0046	-0.0061	-0.005	-0.0039	-0.0049	-0.0045	-0.0042	-0.0037	-0.0036	-0.0036	-0.0033	-0.0039	-0.0041	-0.0037	-0.0041	-0.0037	-0.0035	-0.0036	-0.0035	-0.0036	-0.0036	-0.0039	-0.0038	-0.0035	-0.0037	-0.0035	-0.0036	-0.0035	-0.0033	-0.0036	-0.0036	-0.0036	-0.0036	-0.0036	-0.0035	-0.0037	-0.0037	-0.0036	-0.0036	-0.0035	-0.0035	-0.0036	-0.0035	-0.0034	-0.0035	-0.0033	-0.0036	-0.0039	-0.0037	-0.0035	-0.0033	-0.0034	-0.0036	-0.0035	-0.0035	-0.0036	-0.0034	-0.0035	-0.0036	-0.0034	-0.0036	-0.0035	-0.0036	-0.0036	-0.0037	-0.0036	-0.0034	-0.0034	-0.0039	-0.0037	-0.0036	-0.0037	-0.0035	-0.0038	-0.0035	-0.0039	-0.0037	-0.0037	-0.0035	-0.0034	-0.0036	-0.0034	-0.0035	-0.0034	-0.0035	-0.0037	-0.0037	-0.0032	-0.0034	-0.0036	-0.0036	-0.0035	-0.0034	-0.0034
sad_vc_estimate	0.1629	-0.0944	0.0293	-0.0324	0.3382	0.0038	0.019	0.1086	0.0098	0.0011	0.0107	0.0036	0.0268	0.0041	-0.0006	0.0197	-0.0024	-0.0018	0.0053	0.002	0.0008	0.0045	0.0092	-0.002	0.0063	0.0043	0.0034	0.0033	0.0111	0.0158	0.0004	0.0082	0.0109	-0.0002	-0.0025	-0.0004	0.0079	-0.0011	-0.0025	0.0017	0.0077	0.0151	-0.0026	0.01	0.0011	0.004	-0.0013	0.0229	0.0004	-0.0014	0.0388	-0.0025	0.0008	-0.0022	0.0005	-0.0005	0.0099	-0.0019	0.0139	-0.0024	-0.0009	0.001	-0.0021	-0.0012	0.0121	0.0093	-0.0012	0.0035	0.0035	0.0094	-0.002	0.0169	0.0237	-0.0006	-0.0022	-0.0004	0.0018	0.0147	-0.0022	0.0057	0.0021	-0.0027	0.0032	0.0026	-0.0005	-0.0025	0.0045	-0.0011	0.0062	-0.0021	0.0065	0.0104	0.0141	0.0254	-0.0024	-0.002	-0.0023	0.023	-0.0025	-0.002
sad_vc_estimate_se	3.4841	2.3687	0.9637	0.7834	0.2588	0.1141	0.0797	0.1099	0.0862	0.0704	0.0855	0.0811	0.0748	0.0663	0.0624	0.0639	0.0589	0.0674	0.0708	0.0649	0.07	0.0639	0.0626	0.0659	0.0606	0.0643	0.0648	0.0694	0.0679	0.0624	0.0655	0.0625	0.0634	0.0621	0.06	0.063	0.0618	0.0628	0.064	0.0628	0.0622	0.0637	0.0654	0.0636	0.0635	0.0614	0.0623	0.0628	0.0633	0.0627	0.062	0.0597	0.0618	0.0692	0.0635	0.0621	0.0611	0.0616	0.0636	0.0626	0.0622	0.0646	0.0623	0.0616	0.0643	0.0608	0.0634	0.0618	0.0632	0.0645	0.0688	0.0619	0.0598	0.0614	0.0669	0.0651	0.0634	0.0644	0.063	0.0644	0.0623	0.0665	0.0635	0.0666	0.0622	0.0608	0.0629	0.0597	0.0635	0.0623	0.0618	0.0652	0.0647	0.0586	0.0599	0.0632	0.0625	0.061	0.0606	0.0609
sad_vc_pvals	0.21	0.877	0.329	0.972	0.001	0.282	0.027	0.002	0.155	0.376	0.154	0.342	0.015	0.234	0.517	0.025	0.876	0.697	0.238	0.364	0.458	0.308	0.208	0.723	0.183	0.316	0.328	0.334	0.149	0.106	0.456	0.224	0.161	0.527	0.988	0.543	0.189	0.625	0.868	0.407	0.222	0.077	0.869	0.143	0.435	0.292	0.651	0.045	0.485	0.668	0.01	0.951	0.476	0.748	0.488	0.561	0.15	0.777	0.105	0.87	0.576	0.45	0.806	0.62	0.114	0.157	0.629	0.347	0.342	0.184	0.718	0.08	0.028	0.572	0.731	0.489	0.374	0.095	0.806	0.255	0.382	0.92	0.334	0.36	0.568	0.954	0.289	0.61	0.26	0.795	0.211	0.145	0.105	0.032	0.915	0.718	0.819	0.025	0.93	0.768
upper95_perm_sad	0.7965	0.5074	0.273	0.2812	0.1312	0.0267	0.0162	0.0418	0.0261	0.0196	0.0294	0.0284	0.022	0.0185	0.0176	0.0165	0.0149	0.0256	0.0228	0.0243	0.0268	0.0323	0.0288	0.0261	0.0201	0.0282	0.0257	0.0297	0.0273	0.0276	0.0259	0.0323	0.0267	0.0258	0.0256	0.0247	0.0236	0.0287	0.0259	0.0257	0.0269	0.0239	0.0288	0.0245	0.0244	0.0248	0.0264	0.0261	0.0312	0.0265	0.0301	0.0209	0.0238	0.0273	0.0262	0.0276	0.0241	0.0286	0.0279	0.0289	0.0252	0.024	0.0257	0.0278	0.0259	0.0251	0.0217	0.0292	0.0271	0.0284	0.0277	0.0261	0.024	0.0259	0.0212	0.0236	0.0239	0.0257	0.0211	0.0238	0.0274	0.0232	0.0249	0.0259	0.0241	0.0279	0.0223	0.0235	0.0281	0.0269	0.0265	0.0271	0.0254	0.0256	0.0249	0.0211	0.0251	0.0218	0.0221	0.0244
lower0_perm_sad	-0.1997	-0.1374	-0.0565	-0.0453	-0.0149	-0.0065	-0.0046	-0.0065	-0.0049	-0.0041	-0.005	-0.0048	-0.0042	-0.0038	-0.0037	-0.0037	-0.0035	-0.004	-0.0041	-0.0037	-0.0041	-0.0037	-0.0038	-0.0038	-0.0035	-0.0038	-0.0038	-0.0041	-0.004	-0.0036	-0.0038	-0.0036	-0.0036	-0.0037	-0.0036	-0.0037	-0.0036	-0.0035	-0.0037	-0.0036	-0.0035	-0.0036	-0.0039	-0.0037	-0.0037	-0.0036	-0.0037	-0.0037	-0.0037	-0.0037	-0.0036	-0.0034	-0.0036	-0.004	-0.0036	-0.0037	-0.0037	-0.0037	-0.0038	-0.0036	-0.0036	-0.0038	-0.0036	-0.0036	-0.0037	-0.0035	-0.0037	-0.0036	-0.0037	-0.0037	-0.0039	-0.0036	-0.0035	-0.0034	-0.004	-0.0038	-0.0037	-0.0038	-0.0038	-0.0037	-0.0035	-0.0038	-0.0037	-0.0038	-0.0036	-0.0036	-0.0037	-0.0036	-0.0037	-0.0036	-0.0037	-0.0038	-0.0037	-0.0033	-0.0036	-0.0035	-0.0036	-0.0035	-0.0035	-0.0036
