	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.305	-0.1527	-0.0443	-0.0616	0.0504	-0.0041	-0.006	0.0398	-0.0044	-0.0022	0.0104	-0.0057	0.0092	-0.0014	0.0069	-0.0049	0.0027	0.0038	-0.0055	0.0102	0.0047	-0.0044	-0.0048	0.0034	0.0082	-0.004	0.008	-0.0044	-0.0052	0.0022	-0.005	-0.0044	0.003	0.0006	-0.0053	-0.0051	0.0067	0.0056	0.0091	-0.0006	0.0209	-0.0035	0.0015	0.0073	0.0043	0.007	0.0357	-0.0051	-0.0043	-0.0018	-0.0038	-0.0055	-0.0013	-0.005	0.0125	-0.0034	0.0066	-0.0029	-0.003	-0.0048	-0.004	0.0011	-0.0025	0.0127	-0.0046	0.0017	0.0129	-0.0049	0.0001	-0.0012	-0.0025	-0.0037	0.0013	-0.0047	0.0138	0.0031	-0.0053	0.007	-0.002	-0.0009	-0.0039	-0.0014	-0.0002	0.003	-0.0052	-0.0049	-0.005	0.0263	-0.0049	-0.0022	-0.0062	0.0083	0.0214	0.0184	-0.0047	-0.001	0.0138	-0.0045	-0.001	0.0003
direct_vc_estimate_se	1.3635	0.946	0.3472	0.2712	0.0986	0.045	0.0327	0.0377	0.0354	0.032	0.0328	0.0302	0.0277	0.0238	0.0239	0.0258	0.0224	0.0259	0.0238	0.0248	0.0217	0.021	0.0208	0.0253	0.0221	0.0242	0.0216	0.0235	0.0231	0.0252	0.0227	0.0247	0.022	0.0222	0.0261	0.0219	0.0223	0.023	0.0218	0.0215	0.0238	0.0217	0.0215	0.0235	0.0233	0.0217	0.0232	0.0218	0.0216	0.024	0.0261	0.0238	0.0247	0.0229	0.0218	0.0241	0.0234	0.0243	0.0224	0.0217	0.0229	0.0249	0.0239	0.0217	0.0214	0.0226	0.0235	0.0211	0.0243	0.0218	0.0225	0.0264	0.0205	0.0224	0.0223	0.0223	0.0239	0.0222	0.0234	0.0248	0.0218	0.0207	0.0216	0.0223	0.0225	0.0209	0.0219	0.0256	0.0226	0.0215	0.0264	0.0222	0.0225	0.0228	0.022	0.0212	0.0234	0.0215	0.0215	0.0225
direct_vc_pvals	0.841	0.584	0.536	0.918	0.176	0.454	0.662	0.068	0.551	0.428	0.178	0.749	0.186	0.445	0.182	0.687	0.261	0.329	0.911	0.213	0.24	0.799	0.918	0.32	0.188	0.686	0.184	0.722	0.89	0.377	0.849	0.691	0.307	0.437	0.761	0.997	0.218	0.287	0.187	0.442	0.071	0.667	0.386	0.213	0.268	0.255	0.015	0.983	0.755	0.525	0.648	0.94	0.499	0.825	0.151	0.601	0.221	0.583	0.623	0.866	0.71	0.379	0.575	0.137	0.83	0.414	0.157	0.94	0.431	0.509	0.564	0.598	0.374	0.809	0.132	0.339	0.851	0.21	0.53	0.463	0.721	0.53	0.438	0.333	0.92	0.994	0.925	0.056	0.837	0.548	0.999	0.21	0.064	0.095	0.789	0.518	0.133	0.799	0.475	0.422
upper95_perm_direct	1.1776	0.8549	0.3836	0.3662	0.169	0.0438	0.0312	0.0587	0.0452	0.0307	0.0351	0.0416	0.0354	0.0283	0.028	0.0253	0.0224	0.0349	0.0305	0.0389	0.0312	0.027	0.0281	0.0405	0.0299	0.0339	0.0276	0.0366	0.0312	0.0415	0.0395	0.0347	0.0329	0.029	0.0291	0.0295	0.0348	0.0409	0.0284	0.0287	0.0331	0.0357	0.036	0.0339	0.0324	0.0388	0.0281	0.033	0.0309	0.0345	0.0454	0.0342	0.0422	0.0323	0.0334	0.0314	0.028	0.0378	0.0378	0.0328	0.0278	0.0369	0.0379	0.03	0.0315	0.0372	0.0375	0.0336	0.0337	0.0337	0.0327	0.0343	0.0323	0.0322	0.0328	0.0333	0.0321	0.036	0.0328	0.0328	0.0274	0.0303	0.028	0.0334	0.033	0.0298	0.0345	0.0352	0.0372	0.0312	0.0356	0.0347	0.0307	0.0321	0.0315	0.0355	0.0335	0.0297	0.0305	0.0316
lower0_perm_direct	-0.4303	-0.3118	-0.1143	-0.0883	-0.0314	-0.0151	-0.0107	-0.0124	-0.0115	-0.0105	-0.0108	-0.0099	-0.009	-0.0076	-0.0079	-0.0085	-0.0071	-0.0082	-0.0077	-0.0079	-0.0069	-0.0068	-0.0068	-0.0082	-0.0071	-0.008	-0.0072	-0.0075	-0.0077	-0.0081	-0.0073	-0.008	-0.007	-0.007	-0.0084	-0.0072	-0.007	-0.0073	-0.0071	-0.0071	-0.0077	-0.0069	-0.0069	-0.0078	-0.0075	-0.0071	-0.0078	-0.007	-0.0069	-0.0077	-0.0084	-0.008	-0.0079	-0.0075	-0.0072	-0.0077	-0.0075	-0.008	-0.0071	-0.0069	-0.0075	-0.0081	-0.0078	-0.007	-0.0069	-0.0072	-0.0075	-0.0069	-0.0079	-0.007	-0.0074	-0.0084	-0.0065	-0.0073	-0.0072	-0.0072	-0.008	-0.0073	-0.0076	-0.0081	-0.0071	-0.0066	-0.007	-0.0073	-0.0073	-0.0068	-0.0073	-0.0084	-0.0073	-0.0069	-0.0084	-0.007	-0.0073	-0.0075	-0.007	-0.0067	-0.0079	-0.0069	-0.0071	-0.0073
sad_vc_estimate	-0.3001	0.1863	-0.003	-0.0319	0.1241	0.0069	-0.0069	0.1003	0.0059	-0.0031	0.0308	-0.0069	0.0164	-0.003	0.0191	-0.0056	0.0034	0.0007	-0.0057	0.0102	0.0036	-0.0048	-0.005	0.0185	0.0028	-0.004	0.0108	-0.0052	-0.003	0.0059	-0.0054	-0.0022	-0.0041	0.003	-0.0056	-0.0052	0.0007	0.016	0.0071	0.0071	0.0147	-0.0052	0.0018	0.0179	-0.0029	0.0126	0.0462	-0.0047	-0.0042	0.0066	-0.0059	-0.0057	-0.0022	-0.0055	0.0205	-0.0051	0.0046	-0.0032	0.0033	-0.0035	-0.005	-0.0048	-0.0045	0.0304	-0.0049	-0.0008	0.0194	-0.0031	0.0056	-0.0033	-0.0045	-0.0047	0.001	-0.0009	0.0093	-0.0017	-0.0056	0.0158	-0.0056	0.002	-0.0027	-0.0025	-0.0015	0.0036	-0.0053	-0.0047	-0.0052	0.0242	-0.0052	0.0006	-0.0062	0.0093	0.0247	0.0124	-0.0049	-0.0047	0.0358	-0.0038	-0.0041	0.0035
sad_vc_estimate_se	1.3983	0.9692	0.3563	0.278	0.101	0.0461	0.0335	0.0387	0.0363	0.0327	0.0336	0.031	0.0283	0.0244	0.0245	0.0263	0.023	0.0265	0.0244	0.0254	0.0223	0.0216	0.0214	0.0259	0.0227	0.0248	0.0222	0.0241	0.0237	0.0258	0.0233	0.0252	0.0225	0.0228	0.0266	0.0225	0.0229	0.0236	0.0224	0.0221	0.0243	0.0222	0.0221	0.024	0.0239	0.0223	0.0238	0.0223	0.0222	0.0245	0.0267	0.0243	0.0252	0.0234	0.0224	0.0246	0.0239	0.0249	0.023	0.0223	0.0235	0.0255	0.0245	0.0223	0.0219	0.0231	0.024	0.0217	0.0248	0.0224	0.023	0.027	0.021	0.023	0.0229	0.0229	0.0245	0.0228	0.0239	0.0254	0.0224	0.0213	0.0222	0.0229	0.0231	0.0214	0.0225	0.0262	0.0231	0.022	0.027	0.0228	0.023	0.0234	0.0225	0.0218	0.024	0.0221	0.022	0.023
sad_vc_pvals	0.774	0.198	0.421	0.538	0.065	0.251	0.746	0.008	0.261	0.461	0.053	0.893	0.15	0.583	0.057	0.81	0.277	0.413	0.993	0.251	0.311	0.894	0.985	0.125	0.342	0.686	0.162	0.845	0.588	0.331	0.977	0.568	0.727	0.348	0.812	0.986	0.442	0.164	0.223	0.24	0.123	0.986	0.391	0.133	0.609	0.177	0.019	0.802	0.755	0.271	0.865	0.994	0.556	0.997	0.093	0.773	0.298	0.624	0.346	0.672	0.845	0.729	0.736	0.042	0.895	0.491	0.111	0.628	0.277	0.653	0.749	0.679	0.421	0.502	0.221	0.54	0.899	0.138	0.99	0.354	0.595	0.613	0.525	0.283	0.932	0.844	0.999	0.072	0.9	0.463	0.893	0.195	0.071	0.181	0.841	0.838	0.039	0.698	0.772	0.37
upper95_perm_sad	1.1341	0.8765	0.4578	0.3283	0.1809	0.046	0.0318	0.0628	0.0486	0.0329	0.0394	0.0464	0.0442	0.0332	0.0261	0.0307	0.0226	0.0386	0.0332	0.051	0.0366	0.0443	0.0225	0.037	0.0318	0.0424	0.032	0.0366	0.0358	0.0481	0.038	0.0444	0.0354	0.0358	0.0407	0.0353	0.0382	0.0414	0.0324	0.0368	0.0372	0.0373	0.037	0.0432	0.0478	0.0398	0.0334	0.0424	0.0326	0.0374	0.0421	0.0439	0.0447	0.0417	0.0355	0.0344	0.0376	0.0415	0.0415	0.0371	0.0377	0.0361	0.0391	0.0339	0.0395	0.0347	0.0405	0.0343	0.0365	0.0364	0.0372	0.0376	0.0341	0.04	0.0412	0.0341	0.0363	0.0383	0.0378	0.0385	0.033	0.0426	0.0354	0.0347	0.0382	0.0398	0.0409	0.0416	0.0389	0.039	0.0353	0.0348	0.0366	0.0397	0.0343	0.0381	0.0403	0.0395	0.0382	0.0369
lower0_perm_sad	-0.4538	-0.3172	-0.1148	-0.0888	-0.0324	-0.0147	-0.0109	-0.0125	-0.0119	-0.0108	-0.0108	-0.0098	-0.0093	-0.0078	-0.0079	-0.0085	-0.0077	-0.0087	-0.0078	-0.0083	-0.0073	-0.0069	-0.0067	-0.0083	-0.0074	-0.0079	-0.0073	-0.0077	-0.0077	-0.0082	-0.0074	-0.0081	-0.0072	-0.0074	-0.0086	-0.0074	-0.0075	-0.0075	-0.0072	-0.0071	-0.008	-0.0072	-0.0071	-0.0078	-0.0078	-0.0072	-0.0076	-0.0072	-0.0074	-0.0081	-0.0085	-0.0078	-0.0079	-0.0075	-0.0074	-0.0079	-0.0078	-0.0081	-0.0074	-0.0071	-0.0078	-0.0081	-0.0078	-0.0072	-0.0069	-0.0074	-0.0077	-0.0069	-0.0082	-0.0072	-0.0075	-0.0089	-0.0067	-0.0075	-0.0073	-0.0072	-0.0079	-0.0073	-0.0078	-0.0081	-0.0072	-0.0068	-0.0071	-0.0073	-0.0073	-0.007	-0.0073	-0.0084	-0.0074	-0.007	-0.0085	-0.0074	-0.0076	-0.0075	-0.0073	-0.007	-0.0076	-0.007	-0.007	-0.0074
