	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.5197	-0.3155	-0.0789	0.6227	0.0529	-0.0242	-0.0123	-0.0058	-0.0006	0.03	-0.0033	-0.0013	0.0529	-0.0097	0.0011	-0.0058	-0.0069	-0.006	0.0107	-0.0086	-0.0045	-0.012	-0.0075	0.003	0.0086	-0.005	-0.0082	-0.0042	-0.0061	-0.007	-0.0055	0.0047	-0.0004	-0.0048	0.0237	-0.0043	-0.0078	-0.0022	-0.0025	-0.0049	-0.0071	0.0225	0.0061	0.0051	0.0152	0.0032	-0.0079	-0.0022	-0.0013	-0.0083	0.0011	0.0019	-0.0005	-0.0084	-0.007	-0.0104	-0.004	-0.0021	-0.0041	-0.0071	-0.0072	0.0044	-0.0046	-0.0044	-0.0015	-0.004	-0.0035	-0.0064	-0.009	-0.0056	0.0499	-0.0068	-0.0154	0.002	-0.0025	-0.0042	-0.0012	-0.0074	0.0015	0.0009	-0.005	0.0004	-0.004	-0.0192	0.0008	-0.0097	-0.0003	-0.0074	-0.0039	-0.0027	0.0016	-0.0056	-0.0034	-0.0035	-0.003	0.0001	-0.0033	-0.0052	-0.0046	-0.0079
direct_vc_estimate_se	0.0562	0.0283	0.0081	0.0104	0.0054	0.0022	0.0013	0.0005	0.0003	0.0011	0.0007	0.0007	0.0007	0.0009	0.0004	0.0005	0.0006	0.0006	0.0003	0.0007	0.0007	0.001	0.0018	0.0007	0.0009	0.0004	0.0007	0.0004	0.0005	0.0006	0.0005	0.0008	0.0002	0.0004	0.0005	0.0004	0.0007	0.0002	0.0014	0.0004	0.0006	0.0008	0.0004	0.0008	0.0011	0.0005	0.0007	0.0002	0.0004	0.0007	0.0003	0.0004	0.0004	0.0007	0.0006	0.0008	0.0006	0.0004	0.0004	0.0006	0.0006	0.0006	0.0004	0.0004	0.0008	0.0013	0.0006	0.0005	0.001	0.0005	0.0008	0.0006	0.0013	0.0006	0.0003	0.0005	0.0003	0.0006	0.0004	0.0013	0.0008	0.0003	0.0003	0.0015	0.0005	0.001	0.0002	0.0007	0.0005	0.0005	0.0003	0.0008	0.0003	0.0003	0.0002	0.0004	0.0003	0.0005	0.0004	0.001
direct_vc_pvals	0.716	0.702	0.61	0.003	0.083	0.698	0.627	0.695	0.244	0.021	0.469	0.44	0.042	0.756	0.121	0.903	0.82	0.547	0.01	0.667	0.343	0.972	0.418	0.14	0.145	0.936	0.82	0.618	0.757	0.926	0.779	0.115	0.587	0.955	0.014	0.813	0.665	0.933	0.103	0.869	0.606	0.099	0.12	0.062	0.199	0.131	0.618	0.796	0.51	0.894	0.098	0.294	0.299	0.918	0.838	0.965	0.349	0.284	0.697	0.658	0.884	0.146	0.705	0.974	0.256	0.188	0.265	0.784	0.732	0.891	0.008	0.682	0.763	0.057	0.574	0.515	0.466	0.786	0.243	0.295	0.765	0.321	0.669	0.985	0.068	0.588	0.538	0.647	0.427	0.52	0.324	0.395	0.752	0.625	0.948	0.374	0.693	0.48	0.767	0.45
upper95_perm_direct	2.7559	0.5083	0.2005	0.4	0.0751	0.0502	0.0255	0.004	0.0045	0.0232	0.0213	0.0239	0.0528	0.0274	0.004	0.0211	0.0089	0.0079	0.0074	0.0044	0.0107	0.0088	0.0598	0.0091	0.017	0.0071	0.0078	0.0056	0.0157	-0.0033	0.0042	0.009	0.0088	0.0169	0.0166	0.0135	0.0086	0.0061	0.0067	0.0035	0.0011	0.0301	0.0113	0.007	0.0328	0.0084	0.008	0.0066	0.0182	0.0004	0.0031	0.0134	0.0074	0.004	0.0125	0.0001	0.0047	0.0049	0.027	0.002	0.0059	0.0084	0.007	0.0039	0.0124	0.0038	0.0041	0.0131	0.0263	0.0046	0.0375	0.0037	-0.0053	0.0023	0.0106	0.0105	0.0098	0.0261	0.0108	0.0351	0.0437	0.0051	0.0003	0.0139	0.0018	0.0088	0.0177	0.0052	0.0045	0.0122	0.0138	0.0129	0.0059	0.0035	0.0061	0.0169	0.0066	0.003	0.0153	0.0143
lower0_perm_direct	-0.8069	-0.4131	-0.1193	-0.1522	-0.0794	-0.0331	-0.0187	-0.0073	-0.0038	-0.0158	-0.0092	-0.0101	-0.0104	-0.0127	-0.0052	-0.0072	-0.0084	-0.009	-0.0038	-0.011	-0.011	-0.0137	-0.0259	-0.0096	-0.0131	-0.006	-0.01	-0.0062	-0.0075	-0.0083	-0.0067	-0.0108	-0.0035	-0.0055	-0.0077	-0.0052	-0.01	-0.0027	-0.0209	-0.0058	-0.0093	-0.0123	-0.0059	-0.0118	-0.016	-0.0079	-0.0108	-0.0028	-0.0052	-0.0099	-0.004	-0.0052	-0.0053	-0.0099	-0.0085	-0.0123	-0.0088	-0.0064	-0.0062	-0.0089	-0.0086	-0.0081	-0.006	-0.005	-0.0119	-0.0185	-0.0094	-0.008	-0.0145	-0.0067	-0.0115	-0.0085	-0.0184	-0.0083	-0.0046	-0.0073	-0.0043	-0.0092	-0.0053	-0.0189	-0.0118	-0.0038	-0.005	-0.0225	-0.007	-0.0142	-0.0035	-0.0096	-0.0068	-0.0075	-0.0037	-0.0122	-0.0043	-0.0048	-0.0035	-0.0059	-0.0044	-0.0077	-0.0058	-0.0148
sad_vc_estimate	-0.1085	-0.2971	-0.0742	0.2946	-0.0359	-0.0189	-0.0066	-0.0063	-0.0009	0.0338	-0.0006	0.0121	0.0614	-0.0106	-0.0013	-0.0024	-0.0049	-0.0078	0.0129	-0.0093	-0.0047	-0.0107	-0.0221	-0.0051	0.0075	-0.005	-0.0085	-0.0017	-0.0059	-0.0057	-0.005	0.0048	0.0003	-0.0047	0.0267	-0.0042	-0.0035	-0.0017	-0.017	-0.0045	-0.0076	0.0238	0.0001	-0.0059	0.0122	0.0053	-0.009	-0.0021	-0.0032	-0.0076	-0.0014	0.0101	0.0059	-0.0069	-0.007	-0.0094	-0.0062	0.0001	-0.004	-0.0076	-0.0058	-0.0019	-0.0052	-0.0044	-0.0057	-0.0138	-0.0004	-0.0068	-0.0042	-0.0044	0.0404	-0.0071	-0.0091	-0.0039	-0.0012	-0.0027	-0.0016	-0.0043	0.0028	-0.0078	-0.0103	-0.0016	-0.0023	-0.0153	-0.0037	-0.0123	-0.0014	-0.0079	-0.0059	-0.0035	0.0018	-0.0047	-0.003	0.0012	-0.0022	0.0055	-0.0023	-0.0064	-0.0046	-0.0124
sad_vc_estimate_se	0.0563	0.0284	0.0081	0.0104	0.0054	0.0023	0.0013	0.0005	0.0003	0.0011	0.0007	0.0007	0.0007	0.0009	0.0004	0.0005	0.0006	0.0006	0.0003	0.0008	0.0007	0.001	0.0018	0.0007	0.0009	0.0004	0.0007	0.0004	0.0005	0.0006	0.0005	0.0008	0.0002	0.0004	0.0005	0.0004	0.0007	0.0002	0.0014	0.0004	0.0006	0.0008	0.0004	0.0008	0.0011	0.0005	0.0007	0.0002	0.0004	0.0007	0.0003	0.0004	0.0004	0.0007	0.0006	0.0008	0.0006	0.0004	0.0004	0.0006	0.0006	0.0006	0.0004	0.0004	0.0008	0.0013	0.0006	0.0005	0.001	0.0005	0.0008	0.0006	0.0013	0.0006	0.0003	0.0005	0.0003	0.0006	0.0004	0.0013	0.0008	0.0003	0.0003	0.0015	0.0005	0.001	0.0002	0.0007	0.0005	0.0005	0.0003	0.0008	0.0003	0.0003	0.0002	0.0004	0.0003	0.0005	0.0004	0.001
sad_vc_pvals	0.483	0.611	0.593	0.035	0.414	0.459	0.446	0.932	0.294	0.001	0.365	0.221	0.008	0.909	0.148	0.485	0.51	0.96	0.003	0.82	0.316	0.606	0.887	0.329	0.046	0.969	0.968	0.441	0.823	0.183	0.547	0.033	0.642	0.905	0.0	0.814	0.22	0.832	0.583	0.698	0.686	0.079	0.367	0.319	0.178	0.072	0.838	0.665	0.769	0.388	0.235	0.099	0.086	0.713	0.858	0.511	0.579	0.162	0.684	0.841	0.524	0.438	0.988	0.969	0.311	0.565	0.094	0.976	0.583	0.473	0.0	0.652	0.022	0.398	0.472	0.297	0.581	0.509	0.169	0.478	0.969	0.632	0.179	0.577	0.237	0.996	0.642	0.801	0.912	0.731	0.281	0.344	0.744	0.132	0.798	0.234	0.577	0.766	0.811	0.898
upper95_perm_sad	2.8374	0.4166	0.1638	0.2995	0.054	0.0285	0.0253	0.0025	0.0044	0.0213	0.0192	0.0316	0.0537	0.019	0.0021	0.0174	0.0065	0.0042	0.0084	-0.0018	0.0057	0.0016	0.0349	0.0037	0.0071	0.0112	0.0088	0.0033	0.0105	-0.0042	0.0001	0.0037	0.0094	0.0199	0.0159	0.0127	0.0039	0.006	-0.0078	0.0036	-0.0023	0.0272	0.0154	0.0052	0.0294	0.0062	0.0093	0.0054	0.0176	-0.0049	0.0013	0.0134	0.0077	0.0047	0.0089	-0.0022	0.0034	0.0035	0.0227	0.0012	0.0027	0.0061	0.0058	0.0004	0.0077	0.0005	0.0019	0.0127	0.023	0.0025	0.0239	-0.0006	-0.0096	0.0007	0.0112	0.0051	0.0086	0.0205	0.0061	0.0408	0.0297	0.0031	-0.0008	0.0018	-0.0012	0.0047	0.0205	0.0031	0.0026	0.0117	0.0118	0.0108	0.0058	0.003	0.0076	0.0157	0.0057	0.0017	0.0161	0.0122
lower0_perm_sad	-0.8077	-0.4106	-0.1197	-0.1483	-0.079	-0.0325	-0.0185	-0.0072	-0.0039	-0.0142	-0.0095	-0.0102	-0.0103	-0.0126	-0.0052	-0.007	-0.0085	-0.0092	-0.0037	-0.0111	-0.0109	-0.0141	-0.0262	-0.0096	-0.0132	-0.0058	-0.0097	-0.0061	-0.0076	-0.0083	-0.0067	-0.0111	-0.0033	-0.0054	-0.0079	-0.0053	-0.0102	-0.0027	-0.0212	-0.0057	-0.0094	-0.0124	-0.0059	-0.0116	-0.0163	-0.0081	-0.0106	-0.0029	-0.0052	-0.0097	-0.004	-0.0053	-0.0054	-0.0097	-0.0086	-0.0123	-0.0089	-0.0064	-0.0061	-0.009	-0.0086	-0.0081	-0.0059	-0.0051	-0.0119	-0.0184	-0.0095	-0.0078	-0.0141	-0.0067	-0.0118	-0.0085	-0.0185	-0.0081	-0.0047	-0.0074	-0.0043	-0.0092	-0.0052	-0.0191	-0.0118	-0.0037	-0.005	-0.0226	-0.0069	-0.0143	-0.0034	-0.0095	-0.0068	-0.0072	-0.0036	-0.0121	-0.0044	-0.0049	-0.0035	-0.0058	-0.0043	-0.0078	-0.0059	-0.0146
covar_vc_estimate	0.7451	0.6139	0.1532	-0.8709	0.0115	0.0441	0.0201	0.0128	0.0015	-0.0637	0.0042	-0.0074	-0.114	0.0226	0.0005	0.0102	0.0126	0.0152	-0.0235	0.0193	0.0092	0.0238	0.0401	0.0046	-0.0161	0.0101	0.0172	0.0065	0.0143	0.0144	0.0123	-0.0095	0.0001	0.0095	-0.0504	0.0085	0.0131	0.0048	0.0279	0.0103	0.0148	-0.0463	-0.0051	0.0043	-0.0274	-0.0084	0.0174	0.0043	0.0049	0.0164	0.0009	-0.0104	-0.004	0.0174	0.014	0.0208	0.0106	0.0023	0.008	0.016	0.0155	-0.0012	0.0105	0.0088	0.0078	0.0218	0.0044	0.0135	0.0142	0.0107	-0.0899	0.0139	0.0286	0.0033	0.0039	0.0072	0.0028	0.013	-0.0043	0.0083	0.02	0.0016	0.0071	0.0377	0.0041	0.0245	0.0018	0.0155	0.0122	0.0062	-0.0034	0.0104	0.0064	0.0044	0.0057	-0.0046	0.0058	0.0121	0.0092	0.0233
