	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.372	-0.1647	-0.0186	-0.0511	-0.0115	0.0037	-0.0027	0.0121	0.0006	0.0071	-0.0053	-0.0043	-0.005	-0.0009	0.0091	0.0097	0.0213	-0.0025	-0.0035	-0.0036	0.0448	0.0079	0.0026	-0.0042	0.0413	0.0183	0.0116	-0.0026	-0.0034	0.0095	-0.004	-0.0023	-0.004	-0.0019	-0.0034	-0.0018	0.0024	-0.0027	-0.0026	-0.003	0.0003	0.0207	0.0063	0.0027	0.0066	0.0038	-0.0028	-0.0037	0.0175	0.0018	0.0021	-0.0035	-0.0015	0.0106	0.0083	-0.0036	0.0019	0.0022	0.0008	0.0024	0.0054	0.0062	-0.0021	0.0055	-0.0029	-0.0032	-0.0037	0.0009	-0.003	0.0052	-0.0021	0.0006	-0.0023	0.0107	-0.003	-0.0032	0.0026	-0.0033	0.0003	0.0026	-0.0001	0.0066	-0.0023	0.0288	-0.0029	-0.0003	0.0072	-0.0034	0.0041	0.0055	0.0131	-0.0033	-0.0022	-0.0022	0.0013	0.0321	-0.003	0.0119	-0.0018	-0.0027
direct_vc_estimate_se	0.0313	0.016	0.0064	0.0054	0.0011	0.001	0.0006	0.0005	0.0004	0.0005	0.0006	0.0004	0.0005	0.0004	0.0004	0.0004	0.0003	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0003	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0005	0.0004	0.0004	0.0004	0.0004	0.0003	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0003	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0003	0.0004	0.0004	0.0004	0.0003	0.0003	0.0004	0.0003	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0003	0.0004	0.0003	0.0003	0.0003	0.0004	0.0004	0.0003	0.0003	0.0004	0.0003	0.0003	0.0003	0.0004	0.0004	0.0004	0.0004	0.0003	0.0003	0.0003	0.0004	0.0003	0.0003	0.0003	0.0004	0.0003	0.0003	0.0004	0.0003	0.0003	0.0003	0.0003	0.0003
direct_vc_pvals	0.208	0.974	0.453	0.813	0.963	0.454	0.63	0.203	0.328	0.211	0.807	0.924	0.84	0.458	0.113	0.242	0.02	0.565	0.858	0.968	0.031	0.267	0.238	0.974	0.006	0.076	0.128	0.757	0.834	0.216	0.977	0.691	0.898	0.531	0.843	0.691	0.304	0.649	0.662	0.735	0.395	0.112	0.57	0.256	0.27	0.173	0.708	0.75	0.104	0.345	0.35	0.759	0.572	0.133	0.167	0.765	0.307	0.279	0.37	0.289	0.346	0.381	0.622	0.201	0.7	0.779	0.972	0.41	0.642	0.32	0.636	0.313	0.618	0.243	0.817	0.868	0.279	0.911	0.476	0.365	0.541	0.293	0.725	0.08	0.948	0.583	0.186	0.814	0.218	0.291	0.113	0.815	0.719	0.675	0.493	0.018	0.718	0.108	0.667	0.796
upper95_perm_direct	1.5432	0.8072	0.2602	0.2189	0.0545	0.0629	0.0535	0.0342	0.0167	0.0251	0.021	0.0321	0.0171	0.0226	0.0151	0.0321	0.015	0.0202	0.0166	0.0346	0.0376	0.0302	0.0132	0.0242	0.0183	0.022	0.0212	0.031	0.0316	0.0294	0.0275	0.0289	0.0234	0.0194	0.0427	0.0522	0.0192	0.0134	0.0138	0.0283	0.0179	0.0343	0.0532	0.0159	0.0302	0.0114	0.0165	0.0265	0.0272	0.0204	0.0231	0.0177	0.0168	0.0206	0.0203	0.0255	0.0154	0.0147	0.0198	0.0174	0.0281	0.0305	0.0232	0.016	0.0175	0.0226	0.0257	0.021	0.0094	0.0312	0.019	0.0109	0.0149	0.0347	0.0251	0.0194	0.0161	0.0226	0.0229	0.0224	0.0344	0.0276	0.0312	0.0388	0.0171	0.0326	0.0194	0.0197	0.0163	0.027	0.0211	0.0206	0.023	0.0214	0.0362	0.0252	0.0135	0.0182	0.0175	0.0191
lower0_perm_direct	-0.3835	-0.1951	-0.082	-0.0667	-0.0141	-0.0124	-0.0074	-0.0064	-0.0055	-0.0065	-0.007	-0.0053	-0.0063	-0.0053	-0.0048	-0.0054	-0.0036	-0.0049	-0.0046	-0.0042	-0.0056	-0.0049	-0.0045	-0.0051	-0.0047	-0.0045	-0.0035	-0.0053	-0.0045	-0.0043	-0.0049	-0.0048	-0.0049	-0.0062	-0.0047	-0.0046	-0.0048	-0.0044	-0.0043	-0.0047	-0.0048	-0.0046	-0.0055	-0.0044	-0.0043	-0.0037	-0.0044	-0.0058	-0.0051	-0.0045	-0.0044	-0.0049	-0.0039	-0.0047	-0.0053	-0.0052	-0.0043	-0.0037	-0.0044	-0.0041	-0.0046	-0.0051	-0.0046	-0.0046	-0.0047	-0.0048	-0.0044	-0.0043	-0.0046	-0.0043	-0.0041	-0.0039	-0.0044	-0.0043	-0.0043	-0.0043	-0.0049	-0.004	-0.0041	-0.0043	-0.005	-0.0047	-0.0045	-0.0047	-0.0035	-0.004	-0.004	-0.0048	-0.0041	-0.0039	-0.0038	-0.0045	-0.0036	-0.0041	-0.0047	-0.0043	-0.0043	-0.0037	-0.0034	-0.0037
sad_vc_estimate	0.3277	-0.1559	0.0109	-0.0177	-0.0051	0.0179	-0.0038	0.0274	-0.0023	0.027	-0.0052	-0.0044	-0.0045	-0.0021	0.0098	0.0131	0.019	-0.0029	-0.0029	-0.0023	0.0867	0.0099	0.0	-0.002	0.0465	0.0244	0.0185	-0.0028	-0.0004	0.0035	-0.0026	-0.0001	-0.0041	-0.004	-0.0034	-0.0007	0.0061	-0.0033	-0.003	-0.0037	0.0094	0.0342	0.0337	0.0053	0.0142	0.0116	-0.0036	0.0047	0.047	-0.0001	0.0114	-0.004	0.0026	0.0145	0.0253	-0.0012	0.0143	0.001	0.0008	0.0004	0.0028	0.0064	-0.0031	0.0147	-0.0017	-0.0004	-0.0033	0.0004	0.0097	0.0028	-0.002	0.009	0.0007	0.0147	-0.0033	-0.0017	0.0007	-0.0033	0.0042	0.0016	0.0037	0.0093	-0.0037	0.0433	-0.003	0.0006	0.0417	0.0021	0.0003	0.0006	0.0278	-0.0015	-0.0005	-0.003	0.008	0.0364	-0.0011	0.0066	-0.0027	0.0007
sad_vc_estimate_se	0.0314	0.0161	0.0064	0.0054	0.0011	0.001	0.0006	0.0005	0.0004	0.0005	0.0006	0.0004	0.0005	0.0004	0.0004	0.0004	0.0003	0.0004	0.0004	0.0004	0.0005	0.0004	0.0004	0.0004	0.0004	0.0004	0.0003	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0005	0.0004	0.0004	0.0004	0.0004	0.0003	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0003	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0003	0.0004	0.0004	0.0004	0.0003	0.0003	0.0004	0.0003	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0003	0.0004	0.0003	0.0003	0.0003	0.0004	0.0004	0.0003	0.0003	0.0004	0.0003	0.0003	0.0003	0.0004	0.0004	0.0004	0.0004	0.0003	0.0003	0.0003	0.0004	0.0003	0.0003	0.0003	0.0004	0.0003	0.0003	0.0004	0.0003	0.0003	0.0003	0.0003	0.0003
sad_vc_pvals	0.366	0.857	0.405	0.545	0.546	0.308	0.731	0.11	0.599	0.077	0.803	0.928	0.783	0.581	0.132	0.257	0.06	0.674	0.734	0.768	0.01	0.277	0.422	0.677	0.013	0.086	0.081	0.806	0.66	0.38	0.729	0.566	0.964	0.779	0.859	0.693	0.309	0.803	0.747	0.864	0.244	0.105	0.229	0.24	0.239	0.08	0.934	0.399	0.028	0.526	0.235	0.922	0.337	0.167	0.087	0.617	0.11	0.388	0.448	0.436	0.479	0.439	0.764	0.127	0.657	0.498	0.852	0.524	0.067	0.437	0.672	0.124	0.467	0.236	0.946	0.634	0.41	0.921	0.37	0.418	0.486	0.216	0.978	0.087	0.978	0.539	0.015	0.44	0.43	0.538	0.052	0.615	0.592	0.845	0.308	0.041	0.564	0.231	0.885	0.51
upper95_perm_sad	2.4093	1.2019	0.3573	0.2651	0.0572	0.0911	0.0707	0.0395	0.0262	0.034	0.0316	0.0413	0.0257	0.0281	0.0192	0.0499	0.0214	0.0263	0.0231	0.0479	0.0456	0.0417	0.0169	0.0398	0.0313	0.0322	0.0241	0.046	0.0434	0.0351	0.0413	0.0417	0.0377	0.0357	0.054	0.0595	0.0301	0.018	0.0198	0.039	0.0281	0.0532	0.0771	0.0193	0.0464	0.0151	0.0231	0.0428	0.0403	0.0349	0.0389	0.0307	0.022	0.0322	0.0331	0.0433	0.0239	0.021	0.0252	0.0208	0.0362	0.0402	0.0294	0.0255	0.0314	0.0271	0.0364	0.0311	0.0122	0.0357	0.0243	0.0172	0.026	0.0421	0.0354	0.0286	0.025	0.0212	0.0324	0.0281	0.049	0.0301	0.0407	0.0564	0.0202	0.0359	0.0267	0.0327	0.0193	0.0324	0.0295	0.0304	0.028	0.0248	0.0381	0.034	0.0206	0.0228	0.0195	0.0246
lower0_perm_sad	-0.4017	-0.199	-0.0775	-0.0686	-0.0142	-0.0131	-0.0077	-0.0063	-0.0055	-0.0065	-0.0072	-0.0053	-0.0063	-0.0055	-0.0048	-0.0055	-0.0038	-0.0052	-0.0047	-0.0043	-0.0057	-0.005	-0.0045	-0.005	-0.0046	-0.0048	-0.0038	-0.0052	-0.0046	-0.0044	-0.0048	-0.0048	-0.0049	-0.0063	-0.0047	-0.0046	-0.0049	-0.0044	-0.0043	-0.005	-0.005	-0.0048	-0.0056	-0.0043	-0.0046	-0.0038	-0.0044	-0.0053	-0.005	-0.0046	-0.0045	-0.0049	-0.0039	-0.0045	-0.0052	-0.0055	-0.0044	-0.0039	-0.0044	-0.0041	-0.0045	-0.0048	-0.0048	-0.0046	-0.0048	-0.0045	-0.0045	-0.0042	-0.0045	-0.0044	-0.0041	-0.0042	-0.0045	-0.0045	-0.004	-0.0042	-0.0047	-0.0042	-0.0045	-0.0042	-0.0048	-0.0048	-0.0044	-0.0047	-0.0038	-0.004	-0.0041	-0.0045	-0.0042	-0.0039	-0.0037	-0.0045	-0.0038	-0.0042	-0.0045	-0.0042	-0.0042	-0.0036	-0.0035	-0.0037
