	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.0062	0.044	0.0064	-0.0011	-0.0008	0.0002	-0.0006	-0.0003	0.0004	0.0	0.0014	-0.0003	0.0011	0.0001	0.0066	0.0017	-0.0002	0.0003	0.0026	0.0003	0.0076	-0.0	0.0001	0.0002	0.0091	0.0006	0.0018	0.0002	0.0002	0.0018	0.0019	-0.0004	-0.0001	0.011	0.0008	0.0003	0.0038	0.0001	0.0005	-0.0004	0.0006	-0.0004	0.0005	-0.0001	0.002	0.0011	0.0004	0.0044	0.0011	0.0014	0.0016	-0.0001	-0.0003	0.0126	0.0009	0.0026	-0.0003	0.0041	0.0061	-0.0003	0.001	0.0019	-0.0001	0.0002	-0.0001	-0.0003	-0.0001	0.0003	-0.0002	-0.0003	0.0011	0.0081	0.0013	-0.0001	0.001	0.0029	0.0037	0.0001	0.0004	-0.0003	-0.0002	0.0014	-0.0003	-0.0004	0.0017	0.0034	0.0001	0.0031	-0.0004	-0.0003	0.0004	-0.0001	0.0024	-0.0002	-0.0004	0.0003	0.0019	0.0001	0.0018	0.0004
direct_vc_estimate_se	0.136	0.0716	0.0252	0.0225	0.0049	0.0045	0.0029	0.0026	0.0021	0.0015	0.0018	0.0016	0.0016	0.0018	0.0018	0.0018	0.0017	0.0017	0.0017	0.0022	0.0019	0.0013	0.0019	0.002	0.016	0.0023	0.0058	0.0023	0.0028	0.0049	0.0016	0.0019	0.0012	0.002	0.0015	0.0029	0.0016	0.0015	0.0016	0.0019	0.0019	0.0018	0.0012	0.0012	0.0019	0.0015	0.0016	0.0017	0.0014	0.0015	0.0024	0.0015	0.0013	0.0019	0.0015	0.0014	0.0014	0.0019	0.0014	0.0012	0.0019	0.0016	0.0018	0.0019	0.0013	0.0013	0.0013	0.0016	0.0011	0.0014	0.0016	0.0014	0.0016	0.0016	0.0013	0.0013	0.0015	0.0009	0.0012	0.0013	0.0011	0.0014	0.0013	0.0019	0.0012	0.0011	0.0014	0.0014	0.0016	0.0012	0.0012	0.0015	0.0016	0.0013	0.0017	0.0014	0.0014	0.0014	0.0012	0.0014
direct_vc_pvals	0.487	0.296	0.369	0.616	0.743	0.444	0.864	0.681	0.542	0.541	0.191	0.784	0.312	0.618	0.008	0.236	0.774	0.269	0.174	0.405	0.077	0.544	0.521	0.474	0.207	0.483	0.428	0.537	0.539	0.393	0.188	0.995	0.711	0.002	0.385	0.426	0.051	0.508	0.474	0.87	0.341	0.969	0.243	0.711	0.104	0.412	0.458	0.294	0.32	0.246	0.148	0.663	0.777	0.008	0.379	0.102	0.863	0.298	0.01	0.948	0.384	0.101	0.597	0.538	0.718	0.914	0.739	0.446	0.835	0.87	0.249	0.065	0.294	0.641	0.331	0.035	0.104	0.494	0.42	0.88	0.916	0.283	0.966	0.924	0.138	0.044	0.577	0.116	0.918	0.968	0.529	0.694	0.15	0.768	0.881	0.502	0.177	0.398	0.178	0.456
upper95_perm_direct	0.3061	0.2	0.0549	0.0645	0.012	0.0084	0.0052	0.0071	0.0103	0.0044	0.0043	0.0038	0.0061	0.0062	0.0042	0.0053	0.0062	0.002	0.0065	0.0042	0.0112	0.0031	0.005	0.0052	0.0168	0.0062	0.0146	0.0081	0.0084	0.0117	0.0053	0.0066	0.0051	0.0048	0.0056	0.0054	0.0044	0.0038	0.0059	0.0055	0.0042	0.0058	0.0024	0.0057	0.0034	0.0064	0.0052	0.0137	0.0046	0.0049	0.0037	0.0067	0.0033	0.0072	0.0069	0.004	0.0031	0.0136	0.0042	0.005	0.0072	0.0032	0.0048	0.0057	0.0068	0.003	0.0072	0.0037	0.0026	0.0055	0.0041	0.0109	0.0058	0.0044	0.0053	0.003	0.0058	0.0024	0.0034	0.0061	0.0035	0.0056	0.0028	0.0079	0.0039	0.0036	0.0041	0.0058	0.0056	0.004	0.006	0.0058	0.0053	0.0034	0.007	0.0055	0.005	0.0023	0.0046	0.0043
lower0_perm_direct	-0.0516	-0.0245	-0.0086	-0.008	-0.0017	-0.0016	-0.001	-0.0009	-0.0008	-0.0005	-0.0006	-0.0005	-0.0005	-0.0006	-0.0006	-0.0006	-0.0006	-0.0006	-0.0006	-0.0008	-0.0006	-0.0005	-0.0007	-0.0007	-0.0049	-0.0008	-0.0021	-0.0008	-0.001	-0.0017	-0.0006	-0.0007	-0.0004	-0.0007	-0.0005	-0.0011	-0.0005	-0.0005	-0.0006	-0.0007	-0.0006	-0.0006	-0.0004	-0.0004	-0.0007	-0.0005	-0.0006	-0.0006	-0.0005	-0.0005	-0.0009	-0.0005	-0.0005	-0.0007	-0.0005	-0.0005	-0.0005	-0.0007	-0.0005	-0.0004	-0.0006	-0.0005	-0.0007	-0.0007	-0.0005	-0.0005	-0.0005	-0.0006	-0.0004	-0.0005	-0.0006	-0.0005	-0.0006	-0.0006	-0.0004	-0.0005	-0.0005	-0.0003	-0.0004	-0.0005	-0.0004	-0.0005	-0.0004	-0.0007	-0.0004	-0.0004	-0.0005	-0.0005	-0.0006	-0.0004	-0.0004	-0.0005	-0.0006	-0.0004	-0.0006	-0.0005	-0.0005	-0.0005	-0.0004	-0.0005
sad_vc_estimate	0.0769	0.1627	0.0102	0.0275	-0.0008	0.0082	0.0003	-0.0004	0.0002	-0.0002	0.0032	0.0021	0.008	-0.0	0.0068	0.0037	-0.0004	-0.0002	0.0059	0.0044	0.0161	0.0004	0.003	0.0045	0.0705	0.0067	0.0209	-0.0003	0.0033	0.0246	0.0037	0.0037	0.0015	0.0367	0.0029	0.0007	0.0021	0.0031	0.0036	0.0025	0.0038	0.0006	0.0007	-0.0	0.008	0.0117	-0.0003	0.0137	0.0109	0.0077	0.0069	0.0042	0.0011	0.0304	0.0011	0.0108	0.001	0.0112	0.0086	-0.0003	0.0003	0.0101	0.005	-0.0003	-0.0001	-0.0003	-0.0001	0.0102	0.0021	-0.0003	0.0058	0.0247	0.0013	-0.0	0.0008	0.003	0.0086	0.0004	0.0004	-0.0003	-0.0	0.0061	0.0004	0.0012	0.0079	0.0032	-0.0003	0.0029	-0.0004	0.0002	0.0009	0.0003	0.0077	0.0002	-0.0002	0.0075	0.0004	0.0014	0.0016	0.0009
sad_vc_estimate_se	0.1377	0.0726	0.0255	0.0228	0.0049	0.0045	0.0029	0.0027	0.0022	0.0015	0.0018	0.0016	0.0016	0.0018	0.0018	0.0018	0.0017	0.0017	0.0017	0.0022	0.0019	0.0013	0.0019	0.002	0.0162	0.0023	0.0058	0.0024	0.0029	0.005	0.0016	0.0019	0.0013	0.002	0.0015	0.0029	0.0016	0.0015	0.0016	0.002	0.0019	0.0018	0.0012	0.0012	0.0019	0.0015	0.0016	0.0017	0.0014	0.0015	0.0025	0.0016	0.0014	0.0019	0.0016	0.0015	0.0014	0.0019	0.0014	0.0012	0.0019	0.0016	0.0019	0.0019	0.0013	0.0013	0.0013	0.0016	0.0011	0.0014	0.0016	0.0014	0.0016	0.0016	0.0013	0.0013	0.0015	0.001	0.0012	0.0014	0.0011	0.0015	0.0013	0.002	0.0012	0.0011	0.0015	0.0014	0.0016	0.0012	0.0013	0.0016	0.0016	0.0013	0.0017	0.0014	0.0014	0.0014	0.0012	0.0014
sad_vc_pvals	0.504	0.26	0.502	0.394	0.84	0.281	0.547	0.828	0.699	0.774	0.19	0.334	0.148	0.747	0.072	0.272	0.94	0.752	0.245	0.268	0.12	0.553	0.286	0.329	0.156	0.282	0.294	0.846	0.477	0.156	0.309	0.321	0.469	0.0	0.356	0.624	0.339	0.25	0.338	0.423	0.257	0.555	0.335	0.8	0.039	0.067	0.889	0.24	0.068	0.115	0.087	0.295	0.43	0.001	0.556	0.042	0.466	0.284	0.061	0.979	0.692	0.022	0.235	0.86	0.827	0.931	0.849	0.053	0.265	0.909	0.096	0.025	0.496	0.763	0.547	0.175	0.109	0.486	0.541	0.951	0.73	0.17	0.561	0.55	0.062	0.225	0.899	0.344	0.978	0.601	0.558	0.629	0.122	0.671	0.868	0.1	0.601	0.344	0.408	0.529
upper95_perm_sad	0.9641	0.5923	0.1704	0.1762	0.0308	0.03	0.0105	0.0218	0.0223	0.0077	0.0079	0.0101	0.015	0.0138	0.0094	0.0131	0.0161	0.0066	0.019	0.0144	0.0288	0.007	0.0129	0.0176	0.1035	0.0208	0.0582	0.0219	0.0318	0.0475	0.0155	0.0187	0.0128	0.0155	0.0153	0.023	0.0102	0.0106	0.016	0.0179	0.0137	0.0119	0.0044	0.0128	0.0081	0.0147	0.0141	0.034	0.0147	0.0133	0.0099	0.0158	0.0094	0.0183	0.0156	0.0116	0.008	0.0331	0.011	0.0111	0.0198	0.0087	0.0143	0.0198	0.0171	0.0074	0.0197	0.0119	0.0086	0.0122	0.0087	0.023	0.0136	0.0139	0.0131	0.0074	0.0143	0.006	0.01	0.0147	0.0086	0.0148	0.0075	0.0207	0.0098	0.0088	0.0107	0.0133	0.0173	0.0067	0.015	0.0125	0.0152	0.0096	0.0194	0.0122	0.0107	0.0075	0.0101	0.0115
lower0_perm_sad	-0.0448	-0.0253	-0.009	-0.0077	-0.0019	-0.0016	-0.001	-0.0009	-0.0008	-0.0005	-0.0006	-0.0006	-0.0005	-0.0006	-0.0007	-0.0006	-0.0006	-0.0006	-0.0006	-0.0008	-0.0007	-0.0005	-0.0007	-0.0007	-0.0048	-0.0008	-0.0019	-0.0008	-0.001	-0.0017	-0.0006	-0.0007	-0.0004	-0.0007	-0.0005	-0.001	-0.0006	-0.0005	-0.0006	-0.0007	-0.0006	-0.0006	-0.0004	-0.0004	-0.0007	-0.0005	-0.0006	-0.0006	-0.0005	-0.0005	-0.0009	-0.0006	-0.0005	-0.0006	-0.0005	-0.0005	-0.0005	-0.0007	-0.0005	-0.0004	-0.0007	-0.0006	-0.0007	-0.0007	-0.0004	-0.0005	-0.0005	-0.0006	-0.0004	-0.0005	-0.0006	-0.0005	-0.0005	-0.0006	-0.0004	-0.0005	-0.0005	-0.0003	-0.0004	-0.0004	-0.0004	-0.0005	-0.0005	-0.0007	-0.0004	-0.0004	-0.0005	-0.0005	-0.0005	-0.0005	-0.0004	-0.0005	-0.0005	-0.0005	-0.0006	-0.0005	-0.0005	-0.0005	-0.0004	-0.0005
