	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.0142	-0.0295	0.1618	0.2885	0.1931	0.0185	-0.0013	0.1421	-0.0003	-0.0004	0.0208	-0.001	-0.0008	0.0173	-0.0008	-0.0008	-0.0006	0.0055	0.0001	0.0493	-0.0005	0.0058	0.0011	0.0036	0.0052	0.0143	0.0007	-0.0007	0.0005	0.0016	0.0003	0.0072	-0.0005	-0.0006	-0.0009	0.0128	0.0032	0.0025	0.0236	-0.0005	-0.0005	0.0046	0.0073	-0.0006	-0.0004	-0.0002	0.003	0.0008	0.0065	0.0025	0.0012	-0.0002	0.0082	0.0029	-0.0005	0.0001	0.0099	0.002	-0.0002	0.0203	-0.0005	0.004	-0.0002	0.0001	0.0004	-0.0007	-0.0007	0.0265	0.0064	0.0009	-0.0007	0.0	-0.0006	0.0025	-0.0005	-0.0005	0.0029	0.0018	0.0073	0.045	0.0004	-0.0003	0.0016	0.0024	0.0056	0.0042	0.0	0.0023	0.0008	0.0059	0.0019	0.0213	-0.0006	0.0039	0.0122	0.0023	0.0002	0.0028	-0.0006	0.0101
direct_vc_estimate_se	0.0376	0.0164	0.0063	0.0045	0.0015	0.0011	0.001	0.0009	0.0006	0.0007	0.0005	0.0005	0.0005	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0003	0.0004	0.0005	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0003	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0003	0.0003	0.0004	0.0003	0.0003	0.0003	0.0004	0.0004	0.0003	0.0003	0.0005	0.0003	0.0003	0.0004	0.0004	0.0004	0.0004	0.0003	0.0004	0.0004	0.0003	0.0005	0.0003	0.0004	0.0004	0.0003	0.0003	0.0004	0.0004	0.0003	0.0004	0.0003	0.0003	0.0003	0.0003	0.0003	0.0004	0.0004	0.0004	0.0004	0.0004	0.0003	0.0004	0.0003	0.0003	0.0004	0.0004	0.0003	0.0004
direct_vc_pvals	0.491	0.917	0.079	0.039	0.15	0.371	0.729	0.009	0.541	0.693	0.039	0.984	0.877	0.034	0.908	0.887	0.757	0.251	0.538	0.001	0.867	0.279	0.48	0.136	0.156	0.231	0.435	0.88	0.553	0.614	0.536	0.09	0.854	0.801	0.928	0.056	0.257	0.234	0.239	0.805	0.793	0.243	0.117	0.926	0.782	0.842	0.383	0.499	0.115	0.302	0.47	0.871	0.178	0.341	0.818	0.445	0.164	0.265	0.706	0.011	0.795	0.249	0.693	0.776	0.712	0.934	0.92	0.04	0.051	0.754	0.882	0.526	0.786	0.163	0.87	0.839	0.306	0.278	0.038	0.013	0.49	0.928	0.293	0.512	0.134	0.314	0.543	0.33	0.526	0.095	0.263	0.042	0.965	0.23	0.129	0.265	0.463	0.289	0.84	0.025
upper95_perm_direct	0.6763	0.8669	0.3029	0.3956	0.4447	0.1134	0.0206	0.1509	0.0119	0.0258	0.0291	0.0328	0.0137	0.0229	0.0118	0.0118	0.0148	0.0264	0.0128	0.038	0.0199	0.0267	0.0181	0.01	0.0171	0.0463	0.0103	0.0139	0.0198	0.0209	0.0145	0.0161	0.0202	0.0113	0.0093	0.0209	0.0179	0.0116	0.0694	0.0135	0.015	0.0217	0.0179	0.0118	0.023	0.0326	0.0242	0.0187	0.016	0.017	0.0169	0.0456	0.025	0.024	0.0151	0.0068	0.0312	0.0137	0.0195	0.0176	0.0121	0.0168	0.0155	0.0312	0.0419	0.0099	0.0183	0.0406	0.0107	0.0324	0.0232	0.0091	0.0258	0.0091	0.0202	0.0206	0.0167	0.0113	0.0105	0.0511	0.0107	0.0355	0.0099	0.0194	0.0155	0.0194	0.0088	0.0171	0.0172	0.0136	0.0106	0.031	0.014	0.0165	0.0285	0.0115	0.0088	0.0157	0.0105	0.0116
lower0_perm_direct	-0.1483	-0.0627	-0.0236	-0.0179	-0.0059	-0.0042	-0.0041	-0.0034	-0.0024	-0.003	-0.0021	-0.0019	-0.0019	-0.0017	-0.0017	-0.0016	-0.0016	-0.0016	-0.0016	-0.0016	-0.0014	-0.0015	-0.0018	-0.0015	-0.0015	-0.0014	-0.0014	-0.0015	-0.0015	-0.0013	-0.0015	-0.0015	-0.0014	-0.0018	-0.0017	-0.0016	-0.0014	-0.0014	-0.0015	-0.0014	-0.0014	-0.0014	-0.0016	-0.0014	-0.0014	-0.0016	-0.0016	-0.0016	-0.0015	-0.0018	-0.0015	-0.0013	-0.0014	-0.0015	-0.0014	-0.0014	-0.0014	-0.0019	-0.0014	-0.0014	-0.0013	-0.0019	-0.0014	-0.0013	-0.0015	-0.0015	-0.0015	-0.0013	-0.0014	-0.0014	-0.0016	-0.0014	-0.0019	-0.0014	-0.0014	-0.0014	-0.0014	-0.0014	-0.0015	-0.0015	-0.0012	-0.0014	-0.0014	-0.0014	-0.0013	-0.0013	-0.0014	-0.0015	-0.0015	-0.0015	-0.0014	-0.0014	-0.0013	-0.0014	-0.0014	-0.0013	-0.0015	-0.0014	-0.0014	-0.0015
sad_vc_estimate	0.0293	-0.0296	0.4567	0.7462	0.4378	0.0365	-0.0019	0.3615	0.0041	0.0012	0.034	-0.001	-0.0008	0.0295	0.0007	-0.0	0.0008	0.0065	0.0014	0.1038	-0.0007	0.0179	0.0043	0.0078	0.0147	0.0277	0.0014	0.0002	0.0069	0.0031	0.003	0.0118	-0.0001	0.0003	-0.0009	0.0296	0.013	0.0036	0.0614	0.0003	0.0005	0.009	0.0139	-0.0007	-0.0007	0.0029	0.0134	0.0027	0.0124	0.0091	0.0073	0.0073	0.0103	0.0041	-0.0003	0.0009	0.026	0.0015	0.0004	0.0327	0.0017	0.0078	-0.0002	0.0075	0.001	-0.0003	0.001	0.0491	0.011	0.0039	0.0002	0.0027	-0.0001	0.0116	-0.0004	-0.0007	0.0038	0.0031	0.0091	0.0756	0.0001	0.0008	0.0046	0.0027	0.0095	0.0093	0.0004	-0.0005	0.0021	0.0129	0.0046	0.0415	-0.0006	0.0096	0.0213	0.0049	0.0008	0.015	0.0043	0.0129
sad_vc_estimate_se	0.0377	0.0165	0.0064	0.0045	0.0015	0.0011	0.001	0.0009	0.0006	0.0007	0.0005	0.0005	0.0005	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0003	0.0004	0.0005	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0003	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0003	0.0004	0.0004	0.0003	0.0003	0.0003	0.0004	0.0004	0.0003	0.0003	0.0005	0.0003	0.0003	0.0004	0.0004	0.0004	0.0004	0.0003	0.0004	0.0004	0.0003	0.0005	0.0003	0.0004	0.0004	0.0003	0.0003	0.0004	0.0004	0.0003	0.0004	0.0003	0.0003	0.0003	0.0003	0.0003	0.0004	0.0004	0.0004	0.0004	0.0004	0.0003	0.0004	0.0003	0.0003	0.0004	0.0004	0.0003	0.0004
sad_vc_pvals	0.499	0.936	0.005	0.006	0.085	0.352	0.966	0.004	0.219	0.65	0.036	0.984	0.872	0.031	0.473	0.702	0.577	0.358	0.455	0.0	0.962	0.141	0.386	0.075	0.108	0.183	0.446	0.654	0.345	0.619	0.41	0.121	0.78	0.518	0.956	0.052	0.12	0.232	0.149	0.652	0.669	0.226	0.089	0.98	0.965	0.759	0.235	0.431	0.082	0.263	0.244	0.603	0.324	0.419	0.845	0.373	0.099	0.506	0.669	0.007	0.413	0.238	0.748	0.511	0.687	0.654	0.543	0.049	0.036	0.64	0.743	0.252	0.74	0.022	0.86	0.997	0.381	0.22	0.061	0.006	0.645	0.926	0.171	0.564	0.129	0.283	0.538	0.815	0.52	0.06	0.209	0.078	0.956	0.128	0.1	0.204	0.544	0.154	0.344	0.032
upper95_perm_sad	1.0883	1.5036	0.3906	0.7487	0.824	0.1857	0.0351	0.3356	0.0165	0.0419	0.0466	0.0675	0.0193	0.0407	0.0151	0.0236	0.0274	0.0479	0.0213	0.0717	0.029	0.0455	0.0316	0.0159	0.0326	0.0736	0.0154	0.023	0.0412	0.0349	0.0284	0.0292	0.0361	0.0156	0.0112	0.0483	0.0361	0.0156	0.1285	0.0217	0.0323	0.035	0.029	0.0179	0.0444	0.0484	0.0523	0.0326	0.0247	0.0449	0.0336	0.0921	0.0415	0.044	0.0269	0.0102	0.0542	0.0279	0.0327	0.0307	0.0191	0.03	0.0257	0.0782	0.0733	0.0146	0.0229	0.0775	0.0163	0.0668	0.0413	0.0127	0.0461	0.0141	0.0388	0.0318	0.0265	0.0138	0.0155	0.0748	0.0213	0.0666	0.0152	0.026	0.0245	0.0318	0.0131	0.0253	0.032	0.0218	0.0184	0.0749	0.0295	0.0242	0.0486	0.0186	0.0172	0.0419	0.0291	0.0159
lower0_perm_sad	-0.157	-0.0659	-0.026	-0.0165	-0.006	-0.004	-0.0043	-0.0033	-0.0024	-0.0029	-0.0022	-0.0021	-0.0018	-0.0016	-0.0017	-0.0017	-0.0015	-0.0016	-0.0017	-0.0015	-0.0015	-0.0015	-0.0018	-0.0014	-0.0014	-0.0014	-0.0015	-0.0016	-0.0016	-0.0013	-0.0014	-0.0015	-0.0014	-0.0018	-0.0019	-0.0016	-0.0014	-0.0014	-0.0016	-0.0014	-0.0014	-0.0014	-0.0015	-0.0013	-0.0014	-0.0015	-0.0016	-0.0015	-0.0014	-0.0018	-0.0015	-0.0012	-0.0014	-0.0014	-0.0014	-0.0014	-0.0015	-0.0018	-0.0014	-0.0014	-0.0015	-0.0019	-0.0013	-0.0013	-0.0016	-0.0016	-0.0015	-0.0011	-0.0013	-0.0013	-0.0016	-0.0014	-0.0019	-0.0013	-0.0014	-0.0014	-0.0013	-0.0013	-0.0015	-0.0015	-0.0013	-0.0013	-0.0013	-0.0013	-0.0012	-0.0013	-0.0014	-0.0015	-0.0016	-0.0014	-0.0015	-0.0014	-0.0013	-0.0015	-0.0013	-0.0013	-0.0015	-0.0015	-0.0013	-0.0015
