	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.1138	-0.0164	0.1207	0.4939	0.3167	0.0393	-0.0015	0.193	0.0011	0.0037	0.012	0.0076	0.0005	0.005	-0.0002	-0.0001	-0.0001	0.0033	-0.0001	0.0316	-0.0003	0.006	0.0024	0.0045	0.0075	0.008	0.0008	0.0001	-0.0003	0.0046	0.0021	0.0068	-0.0002	-0.0004	-0.0002	0.004	0.0066	-0.0003	0.0359	-0.0003	-0.0001	0.0041	0.0038	0.002	0.0022	0.0012	0.0018	0.0021	0.0115	-0.0005	0.0053	0.0059	0.0056	0.0035	0.0008	0.0029	0.0198	0.0004	0.0004	0.0186	-0.0002	0.0063	0.0007	0.0018	0.0019	-0.0003	0.0003	0.0162	0.0027	0.0114	0.0001	0.001	0.0006	0.0044	0.0016	-0.0003	-0.0001	-0.0002	0.0007	0.0559	-0.0002	0.0027	-0.0002	0.0115	0.0093	0.0018	-0.0001	-0.0004	0.0003	0.0075	0.0024	0.0114	-0.0001	0.006	0.0173	0.0026	0.001	0.0065	0.0002	0.0138
direct_vc_estimate_se	0.0238	0.0074	0.0024	0.0017	0.0005	0.0005	0.0007	0.0005	0.0002	0.0004	0.0002	0.0002	0.0002	0.0001	0.0002	0.0002	0.0001	0.0002	0.0002	0.0002	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0003	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001
direct_vc_pvals	0.214	0.965	0.158	0.009	0.055	0.268	0.931	0.006	0.37	0.432	0.147	0.356	0.579	0.304	0.78	0.7	0.73	0.381	0.748	0.012	0.971	0.292	0.359	0.083	0.112	0.465	0.371	0.718	1.0	0.469	0.293	0.086	0.959	0.962	0.787	0.28	0.141	0.926	0.215	0.992	0.817	0.273	0.255	0.34	0.504	0.781	0.501	0.328	0.017	0.963	0.266	0.584	0.367	0.367	0.679	0.098	0.069	0.472	0.599	0.011	0.882	0.156	0.539	0.762	0.581	0.985	0.678	0.253	0.146	0.302	0.797	0.296	0.652	0.084	0.61	0.976	0.866	0.877	0.331	0.005	0.944	0.819	0.949	0.07	0.097	0.65	0.771	0.982	0.693	0.023	0.274	0.175	0.856	0.12	0.118	0.251	0.277	0.138	0.609	0.013
upper95_perm_direct	0.5219	0.927	0.2847	0.5495	0.518	0.1362	0.0266	0.202	0.0104	0.0238	0.0296	0.0313	0.0145	0.025	0.0107	0.0117	0.0106	0.0262	0.0155	0.0416	0.022	0.0282	0.0147	0.0085	0.0161	0.0474	0.0062	0.0154	0.0143	0.0225	0.0126	0.0133	0.0179	0.0115	0.0077	0.0188	0.0165	0.008	0.0889	0.0121	0.0124	0.0193	0.0156	0.0126	0.0229	0.0322	0.0241	0.0159	0.0149	0.0171	0.0204	0.0531	0.0247	0.0244	0.0162	0.0062	0.0353	0.0095	0.0148	0.0192	0.0109	0.0164	0.0133	0.0337	0.0502	0.0116	0.0171	0.0492	0.007	0.0408	0.0275	0.0057	0.0284	0.0087	0.0204	0.0183	0.0145	0.0096	0.0054	0.0584	0.0104	0.0402	0.0096	0.0198	0.0186	0.0188	0.0071	0.0216	0.0193	0.0096	0.011	0.0355	0.019	0.0138	0.0395	0.0101	0.0048	0.0154	0.0081	0.0142
lower0_perm_direct	-0.1154	-0.0357	-0.011	-0.0084	-0.0023	-0.0022	-0.0032	-0.0023	-0.0011	-0.0019	-0.0008	-0.0009	-0.0008	-0.0007	-0.0007	-0.0007	-0.0007	-0.0008	-0.0008	-0.0007	-0.0006	-0.0007	-0.0008	-0.0005	-0.0005	-0.0006	-0.0005	-0.0005	-0.0007	-0.0005	-0.0005	-0.0006	-0.0005	-0.0009	-0.0009	-0.0007	-0.0006	-0.0005	-0.0006	-0.0006	-0.0005	-0.0006	-0.0007	-0.0005	-0.0006	-0.0006	-0.0007	-0.0007	-0.0006	-0.001	-0.0006	-0.0005	-0.0005	-0.0006	-0.0004	-0.0005	-0.0005	-0.001	-0.0005	-0.0005	-0.0006	-0.0012	-0.0005	-0.0005	-0.0008	-0.0007	-0.0006	-0.0005	-0.0005	-0.0006	-0.0008	-0.0005	-0.0014	-0.0005	-0.0005	-0.0005	-0.0005	-0.0006	-0.0006	-0.0006	-0.0005	-0.0005	-0.0005	-0.0004	-0.0005	-0.0005	-0.0005	-0.0008	-0.0006	-0.0007	-0.0006	-0.0005	-0.0005	-0.0007	-0.0005	-0.0004	-0.0007	-0.0006	-0.0006	-0.0005
sad_vc_estimate	0.1833	0.0057	0.3631	1.007	0.5996	0.0671	-0.0012	0.4389	0.0057	0.0079	0.0248	0.0129	0.001	0.0116	0.0015	0.0013	-0.0002	0.0029	0.0009	0.0705	0.0	0.0173	0.0069	0.0075	0.0178	0.0174	0.0015	-0.0001	0.0027	0.0079	0.0063	0.0115	-0.0002	0.0003	-0.0004	0.0159	0.0167	-0.0003	0.0806	-0.0003	0.0016	0.0073	0.0076	0.001	0.0012	0.006	0.0101	0.0024	0.0203	0.002	0.0125	0.0207	0.0052	0.0054	0.0014	0.004	0.0413	-0.0003	0.0007	0.028	0.0011	0.0105	0.0012	0.01	0.0029	-0.0001	0.0056	0.036	0.0066	0.0166	0.0005	0.005	0.0061	0.014	0.0013	-0.0002	0.0002	-0.0001	0.0012	0.0881	-0.0002	0.0058	0.0001	0.0127	0.0145	0.0059	-0.0001	0.0024	0.0022	0.0155	0.0052	0.0327	-0.0001	0.0122	0.0291	0.0063	0.0026	0.024	0.0071	0.0148
sad_vc_estimate_se	0.0238	0.0075	0.0024	0.0017	0.0005	0.0005	0.0007	0.0005	0.0002	0.0004	0.0002	0.0002	0.0002	0.0001	0.0002	0.0002	0.0001	0.0002	0.0002	0.0002	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0003	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0003	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001
sad_vc_pvals	0.285	0.835	0.01	0.002	0.069	0.25	0.86	0.0	0.191	0.368	0.1	0.408	0.534	0.264	0.437	0.552	0.869	0.572	0.596	0.008	0.868	0.194	0.3	0.059	0.091	0.414	0.321	0.876	0.514	0.464	0.234	0.126	0.994	0.629	0.907	0.146	0.093	0.962	0.146	0.933	0.588	0.266	0.189	0.559	0.692	0.733	0.303	0.528	0.015	0.553	0.174	0.43	0.591	0.414	0.78	0.157	0.044	0.83	0.678	0.021	0.561	0.197	0.597	0.506	0.575	0.776	0.245	0.19	0.092	0.414	0.752	0.079	0.426	0.007	0.758	0.943	0.829	0.777	0.363	0.002	0.912	0.86	0.698	0.148	0.097	0.508	0.81	0.504	0.599	0.015	0.232	0.125	0.92	0.09	0.101	0.195	0.386	0.061	0.22	0.017
upper95_perm_sad	1.0367	1.4071	0.4275	0.8993	1.0224	0.2407	0.0374	0.4038	0.0202	0.0403	0.0501	0.0674	0.0177	0.0511	0.0182	0.0209	0.0218	0.0518	0.027	0.0826	0.0363	0.0514	0.0307	0.0127	0.038	0.075	0.0095	0.0243	0.0353	0.0349	0.0249	0.027	0.0414	0.018	0.009	0.0473	0.0371	0.0121	0.1703	0.0167	0.0238	0.0322	0.0255	0.019	0.0408	0.0505	0.0571	0.0349	0.0236	0.0422	0.0378	0.1042	0.0418	0.0481	0.0286	0.0134	0.0645	0.0208	0.0283	0.0346	0.0182	0.0314	0.027	0.0731	0.0863	0.0162	0.0224	0.0906	0.0124	0.0836	0.042	0.0094	0.0541	0.0133	0.0386	0.0334	0.0268	0.0108	0.0099	0.086	0.0222	0.0761	0.0151	0.0281	0.0304	0.0316	0.0093	0.0305	0.0377	0.0181	0.0168	0.0798	0.042	0.0261	0.0607	0.0187	0.013	0.0398	0.0286	0.0182
lower0_perm_sad	-0.1095	-0.033	-0.0105	-0.0083	-0.0025	-0.0023	-0.0033	-0.0021	-0.0011	-0.0021	-0.0008	-0.0008	-0.0007	-0.0006	-0.0007	-0.0007	-0.0007	-0.0007	-0.0008	-0.0006	-0.0005	-0.0007	-0.0008	-0.0005	-0.0005	-0.0005	-0.0005	-0.0005	-0.0006	-0.0005	-0.0005	-0.0006	-0.0005	-0.0008	-0.001	-0.0008	-0.0006	-0.0006	-0.0006	-0.0006	-0.0005	-0.0005	-0.0007	-0.0005	-0.0005	-0.0005	-0.0007	-0.0008	-0.0006	-0.0009	-0.0005	-0.0004	-0.0005	-0.0005	-0.0005	-0.0005	-0.0005	-0.001	-0.0005	-0.0005	-0.0006	-0.0012	-0.0005	-0.0005	-0.0008	-0.0007	-0.0005	-0.0005	-0.0005	-0.0005	-0.0008	-0.0005	-0.0014	-0.0005	-0.0005	-0.0005	-0.0005	-0.0006	-0.0006	-0.0006	-0.0004	-0.0004	-0.0005	-0.0005	-0.0004	-0.0004	-0.0005	-0.0008	-0.0005	-0.0006	-0.0005	-0.0005	-0.0005	-0.0007	-0.0005	-0.0004	-0.0008	-0.0006	-0.0005	-0.0005
