	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.434	0.057	-0.0189	-0.0007	-0.0031	0.0027	-0.0003	-0.0003	0.0059	-0.0013	0.0037	-0.0012	0.0006	0.005	-0.0011	-0.0007	-0.0004	0.0008	0.0004	-0.0003	-0.0009	-0.001	-0.001	0.0005	-0.0007	0.0055	0.003	0.0079	-0.0008	0.0102	-0.0008	0.0052	-0.0008	0.0121	0.0017	-0.0012	-0.0009	0.0054	-0.0006	0.005	0.0012	-0.0014	-0.0009	-0.0004	0.001	0.0073	0.0026	-0.0008	-0.001	-0.0011	0.0015	0.0065	-0.0011	-0.0003	-0.001	0.0006	0.0004	0.0003	-0.0007	0.0002	-0.0008	0.002	0.001	0.0036	-0.0011	-0.0003	-0.0007	0.0101	-0.0015	-0.0004	0.0051	0.0002	-0.0009	0.0006	0.0193	-0.0011	0.0	-0.0008	0.0019	-0.0009	0.0014	-0.0007	-0.0006	-0.0009	-0.0005	-0.0005	-0.0003	-0.001	-0.0005	0.0003	0.0003	-0.0008	-0.0009	0.0106	0.0038	0.0166	0.0066	-0.0012	-0.0006	-0.0009
direct_vc_estimate_se	0.558	0.2647	0.1218	0.0875	0.0186	0.0145	0.0096	0.0088	0.0092	0.0077	0.0073	0.0078	0.0071	0.0067	0.006	0.0063	0.0059	0.0057	0.0065	0.0059	0.007	0.0062	0.0055	0.0053	0.0056	0.0057	0.0057	0.0062	0.0071	0.0071	0.0053	0.0063	0.0063	0.0067	0.0056	0.0068	0.0051	0.0062	0.005	0.0053	0.0057	0.0077	0.0058	0.0056	0.0056	0.0051	0.0055	0.0058	0.0055	0.0068	0.0052	0.0053	0.0058	0.0066	0.0055	0.0055	0.0058	0.0081	0.0051	0.0051	0.0056	0.0068	0.0054	0.0066	0.006	0.005	0.005	0.0053	0.008	0.0054	0.0051	0.0069	0.0051	0.0093	0.0057	0.0068	0.0093	0.0054	0.0046	0.0053	0.0054	0.0052	0.0061	0.005	0.0074	0.0051	0.0063	0.0055	0.0065	0.0056	0.0051	0.0046	0.0048	0.0053	0.0055	0.005	0.005	0.0064	0.0054	0.0051
direct_vc_pvals	0.077	0.355	0.792	0.535	0.843	0.345	0.491	0.582	0.21	0.853	0.237	0.82	0.397	0.132	0.975	0.66	0.637	0.39	0.474	0.558	0.778	0.798	0.911	0.374	0.692	0.104	0.2	0.066	0.762	0.097	0.779	0.167	0.739	0.044	0.243	0.944	0.976	0.179	0.695	0.222	0.358	0.915	0.806	0.594	0.418	0.097	0.267	0.717	0.952	0.864	0.35	0.096	0.985	0.589	0.975	0.427	0.466	0.512	0.772	0.499	0.778	0.289	0.408	0.255	0.898	0.639	0.728	0.035	0.967	0.641	0.078	0.56	0.919	0.522	0.007	0.822	0.564	0.802	0.154	0.862	0.284	0.736	0.703	0.915	0.659	0.681	0.518	0.921	0.664	0.489	0.454	0.857	0.897	0.028	0.166	0.009	0.095	0.953	0.735	0.911
upper95_perm_direct	0.6554	0.4411	0.2294	0.1449	0.0325	0.0254	0.0115	0.0174	0.0202	0.0128	0.0156	0.0193	0.01	0.0105	0.0106	0.0078	0.0113	0.0116	0.0119	0.0102	0.0154	0.0119	0.0087	0.0075	0.0082	0.0093	0.0096	0.0105	0.0202	0.0168	0.0086	0.0129	0.0114	0.0143	0.0082	0.016	0.0117	0.0151	0.0088	0.0153	0.0095	0.0175	0.0115	0.0086	0.012	0.011	0.0118	0.0093	0.0116	0.013	0.0098	0.0108	0.01	0.0115	0.0136	0.0111	0.0107	0.0148	0.0078	0.0091	0.0107	0.011	0.011	0.0149	0.0115	0.011	0.0071	0.0102	0.0145	0.0097	0.0073	0.0145	0.0104	0.0155	0.0104	0.0137	0.0171	0.0089	0.0053	0.0073	0.0079	0.0098	0.0153	0.0079	0.014	0.0105	0.0091	0.0111	0.0126	0.0109	0.0084	0.0071	0.0084	0.0092	0.0093	0.0109	0.0105	0.0117	0.0117	0.0104
lower0_perm_direct	-0.1437	-0.0664	-0.0308	-0.0225	-0.0046	-0.0037	-0.0024	-0.0022	-0.0025	-0.002	-0.0019	-0.002	-0.0018	-0.0017	-0.0015	-0.0017	-0.0015	-0.0014	-0.0017	-0.0015	-0.0018	-0.0016	-0.0014	-0.0014	-0.0014	-0.0014	-0.0015	-0.0016	-0.0019	-0.0018	-0.0013	-0.0016	-0.0016	-0.0017	-0.0014	-0.0017	-0.0012	-0.0016	-0.0013	-0.0014	-0.0015	-0.002	-0.0015	-0.0015	-0.0014	-0.0014	-0.0014	-0.0015	-0.0014	-0.0018	-0.0013	-0.0013	-0.0015	-0.0017	-0.0014	-0.0014	-0.0015	-0.002	-0.0013	-0.0013	-0.0014	-0.0017	-0.0014	-0.0017	-0.0015	-0.0013	-0.0013	-0.0013	-0.002	-0.0013	-0.0013	-0.0018	-0.0013	-0.0024	-0.0015	-0.0017	-0.0024	-0.0014	-0.0012	-0.0013	-0.0014	-0.0013	-0.0016	-0.0012	-0.0019	-0.0013	-0.0016	-0.0014	-0.0016	-0.0014	-0.0013	-0.0012	-0.0012	-0.0013	-0.0014	-0.0013	-0.0013	-0.0016	-0.0014	-0.0013
sad_vc_estimate	1.0859	-0.0053	0.0005	0.0385	-0.0034	0.0053	-0.0001	0.004	0.0025	-0.0014	0.0119	-0.0008	0.0077	0.0003	-0.0006	0.0027	-0.0004	-0.0002	-0.0002	-0.0	-0.0011	0.0051	-0.0006	0.0027	0.0014	0.0078	0.0137	0.0168	-0.0005	0.0037	0.0005	0.0045	0.0048	0.0271	0.0058	0.0048	0.0001	0.0195	0.0054	0.0071	-0.0001	-0.0013	-0.0002	-0.001	0.0001	0.0212	0.0013	-0.0006	-0.0008	-0.0013	0.0003	0.0075	-0.001	-0.0007	0.0007	-0.0009	0.0029	-0.0008	-0.0009	0.0016	-0.0007	0.01	0.0014	0.0052	-0.0006	-0.0008	-0.0006	0.02	-0.0015	0.0027	0.0078	0.0016	-0.0008	0.0049	0.0358	-0.0013	0.0012	-0.0001	0.0024	-0.0002	0.0043	-0.0004	-0.0004	0.0008	0.0054	-0.0009	-0.0007	0.0001	0.0033	0.0056	-0.0009	0.0015	-0.0009	0.0337	0.0067	0.0253	0.0046	-0.001	-0.0007	-0.0002
sad_vc_estimate_se	0.5628	0.2669	0.1228	0.0882	0.0187	0.0146	0.0097	0.0089	0.0093	0.0078	0.0074	0.0078	0.0071	0.0068	0.0061	0.0063	0.006	0.0058	0.0065	0.006	0.0071	0.0063	0.0055	0.0054	0.0056	0.0058	0.0058	0.0062	0.0072	0.0072	0.0053	0.0063	0.0064	0.0068	0.0056	0.0068	0.0051	0.0063	0.0051	0.0054	0.0058	0.0077	0.0059	0.0056	0.0056	0.0052	0.0056	0.0059	0.0056	0.0069	0.0053	0.0053	0.0059	0.0067	0.0055	0.0056	0.0059	0.0082	0.0051	0.0051	0.0057	0.0069	0.0055	0.0067	0.006	0.0051	0.0051	0.0054	0.0081	0.0054	0.0052	0.007	0.0051	0.0093	0.0058	0.0069	0.0093	0.0054	0.0047	0.0053	0.0054	0.0052	0.0061	0.005	0.0074	0.0052	0.0063	0.0055	0.0065	0.0056	0.0051	0.0046	0.0049	0.0053	0.0056	0.0051	0.005	0.0065	0.0055	0.0051
sad_vc_pvals	0.049	0.621	0.617	0.352	0.945	0.411	0.53	0.4	0.515	0.901	0.199	0.75	0.161	0.507	0.733	0.299	0.694	0.709	0.644	0.677	0.885	0.285	0.753	0.331	0.42	0.147	0.073	0.061	0.741	0.431	0.578	0.371	0.289	0.015	0.192	0.349	0.667	0.048	0.232	0.278	0.647	0.895	0.679	0.961	0.64	0.025	0.516	0.729	0.82	0.969	0.594	0.18	0.905	0.745	0.605	0.897	0.369	0.748	0.964	0.467	0.785	0.142	0.498	0.326	0.745	0.894	0.749	0.051	0.957	0.326	0.186	0.476	0.863	0.321	0.003	0.991	0.556	0.656	0.248	0.647	0.225	0.687	0.729	0.576	0.256	0.918	0.72	0.652	0.331	0.268	0.954	0.373	0.939	0.005	0.134	0.007	0.257	0.828	0.832	0.702
upper95_perm_sad	1.1951	0.6808	0.348	0.2754	0.0432	0.0486	0.0167	0.0321	0.0361	0.0191	0.0368	0.0326	0.0172	0.0166	0.02	0.0144	0.0165	0.0208	0.0203	0.0222	0.0342	0.023	0.021	0.0166	0.016	0.0194	0.0197	0.0216	0.0298	0.0302	0.0173	0.0264	0.0198	0.021	0.018	0.0252	0.0211	0.022	0.0179	0.0292	0.0177	0.0275	0.0234	0.019	0.0258	0.0197	0.0218	0.016	0.0219	0.0237	0.0183	0.0201	0.0214	0.0204	0.025	0.0224	0.0211	0.0249	0.0132	0.0201	0.0221	0.0222	0.0209	0.0297	0.0213	0.0199	0.0149	0.0236	0.0286	0.0173	0.0198	0.0269	0.0186	0.0247	0.0184	0.0228	0.0302	0.0178	0.0102	0.0169	0.015	0.0173	0.0289	0.0166	0.0234	0.0223	0.0172	0.0223	0.0195	0.0219	0.017	0.0135	0.0162	0.017	0.0138	0.0177	0.0192	0.0205	0.0284	0.0241
lower0_perm_sad	-0.1444	-0.0667	-0.0304	-0.0226	-0.0048	-0.0037	-0.0025	-0.0024	-0.0023	-0.0021	-0.0019	-0.0019	-0.0018	-0.0017	-0.0016	-0.0017	-0.0015	-0.0015	-0.0017	-0.0014	-0.0018	-0.0017	-0.0014	-0.0014	-0.0014	-0.0015	-0.0015	-0.0016	-0.0018	-0.0018	-0.0014	-0.0016	-0.0015	-0.0017	-0.0014	-0.0018	-0.0014	-0.0017	-0.0013	-0.0013	-0.0015	-0.002	-0.0015	-0.0014	-0.0014	-0.0013	-0.0013	-0.0015	-0.0014	-0.0018	-0.0013	-0.0013	-0.0015	-0.0017	-0.0014	-0.0014	-0.0016	-0.0021	-0.0013	-0.0013	-0.0014	-0.0017	-0.0014	-0.0017	-0.0015	-0.0013	-0.0013	-0.0013	-0.002	-0.0014	-0.0013	-0.0018	-0.0014	-0.0024	-0.0015	-0.0017	-0.0024	-0.0013	-0.0012	-0.0014	-0.0014	-0.0014	-0.0015	-0.0013	-0.0019	-0.0013	-0.0016	-0.0015	-0.0016	-0.0014	-0.0013	-0.0012	-0.0013	-0.0014	-0.0014	-0.0013	-0.0012	-0.0016	-0.0014	-0.0013
