	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.1209	0.1546	-0.0013	0.0492	-0.0108	-0.0052	-0.0026	0.0189	0.0063	0.0078	-0.0004	-0.0034	-0.0004	-0.0028	-0.0027	-0.0026	0.0076	-0.0023	0.0052	0.0062	0.0007	0.0005	0.0015	-0.0026	-0.0024	-0.0015	0.0001	-0.0026	0.0003	-0.0026	0.0281	-0.0009	0.0326	0.0133	-0.0023	0.0068	-0.0023	-0.0025	-0.0004	-0.0024	-0.0021	-0.0003	0.0003	0.0039	-0.0027	0.0023	-0.0	0.0166	0.0094	0.0016	0.0132	-0.0027	0.0198	-0.0025	0.0067	0.0021	0.0026	0.0041	0.0226	-0.0024	-0.0006	0.0091	0.0007	0.0019	0.0055	-0.0028	0.0016	0.0001	0.008	-0.0018	0.0006	-0.0021	-0.0022	0.0082	-0.0025	0.002	-0.0012	0.004	0.0009	-0.0026	0.001	-0.0007	0.0082	-0.0016	0.0116	0.0008	-0.0025	0.0073	-0.0024	-0.0012	-0.0025	0.0146	0.0086	0.0154	0.0008	-0.0011	-0.0026	-0.0014	-0.0002	-0.0005
direct_vc_estimate_se	3.2536	2.4054	0.958	0.7841	0.2825	0.1285	0.0826	0.1131	0.0968	0.0761	0.0878	0.092	0.0785	0.0717	0.0684	0.0766	0.0675	0.0662	0.0732	0.066	0.0724	0.0625	0.0703	0.0652	0.0639	0.0655	0.0684	0.0651	0.0655	0.0678	0.0674	0.066	0.0647	0.0677	0.0628	0.0672	0.0621	0.0635	0.0644	0.0638	0.0641	0.0637	0.0665	0.0642	0.0653	0.0664	0.0629	0.0668	0.0623	0.0652	0.0657	0.0682	0.0661	0.0647	0.0677	0.0638	0.0633	0.0653	0.0636	0.0642	0.0642	0.0659	0.0661	0.0648	0.0662	0.0694	0.0657	0.0627	0.0649	0.0643	0.0641	0.0667	0.0642	0.0659	0.0633	0.0625	0.064	0.0619	0.062	0.065	0.064	0.0632	0.0613	0.0688	0.0619	0.0639	0.0645	0.0648	0.0621	0.0621	0.0622	0.0648	0.0666	0.0636	0.0633	0.0652	0.0627	0.0652	0.0682	0.0631
direct_vc_pvals	0.809	0.16	0.418	0.169	0.859	0.935	0.628	0.09	0.157	0.099	0.448	0.807	0.451	0.843	0.887	0.714	0.086	0.765	0.19	0.145	0.362	0.398	0.352	0.858	0.831	0.608	0.444	0.867	0.415	0.819	0.002	0.55	0.003	0.064	0.818	0.145	0.792	0.888	0.488	0.797	0.735	0.497	0.429	0.216	0.967	0.281	0.475	0.032	0.107	0.35	0.065	0.923	0.037	0.822	0.145	0.286	0.28	0.208	0.02	0.821	0.472	0.118	0.397	0.29	0.188	0.964	0.322	0.399	0.118	0.689	0.381	0.709	0.771	0.102	0.874	0.339	0.562	0.203	0.372	0.89	0.327	0.503	0.117	0.596	0.076	0.376	0.884	0.128	0.869	0.6	0.996	0.051	0.099	0.039	0.386	0.543	0.983	0.593	0.413	0.472
upper95_perm_direct	0.4483	0.3907	0.2079	0.1362	0.0861	0.0224	0.011	0.0304	0.0191	0.0124	0.0185	0.022	0.0184	0.0147	0.0134	0.0142	0.0118	0.0136	0.0178	0.0147	0.0174	0.0163	0.0195	0.0164	0.0158	0.0156	0.0188	0.0175	0.0147	0.0165	0.0151	0.0165	0.0161	0.0172	0.0167	0.0157	0.0152	0.0172	0.0175	0.0147	0.0204	0.0175	0.0181	0.0149	0.0191	0.018	0.0187	0.016	0.0179	0.0169	0.0174	0.0161	0.0188	0.014	0.0178	0.0159	0.0145	0.0171	0.0179	0.0176	0.0148	0.0179	0.0167	0.0173	0.0185	0.0154	0.017	0.0153	0.0146	0.0184	0.0152	0.0149	0.0158	0.0144	0.0148	0.0167	0.0161	0.0159	0.0137	0.015	0.017	0.0147	0.0166	0.0181	0.0167	0.016	0.016	0.016	0.0143	0.0175	0.016	0.0158	0.0167	0.0156	0.0177	0.0168	0.0148	0.0171	0.0143	0.0152
lower0_perm_direct	-0.1697	-0.127	-0.0506	-0.0416	-0.0146	-0.0067	-0.0043	-0.0059	-0.0051	-0.004	-0.0047	-0.0048	-0.0041	-0.0038	-0.0036	-0.004	-0.0035	-0.0035	-0.0039	-0.0035	-0.0038	-0.0033	-0.0039	-0.0034	-0.0035	-0.0034	-0.0035	-0.0034	-0.0034	-0.0036	-0.0036	-0.0035	-0.0036	-0.0036	-0.0032	-0.0035	-0.0033	-0.0033	-0.0033	-0.0034	-0.0034	-0.0034	-0.0035	-0.0034	-0.0035	-0.0035	-0.0034	-0.0035	-0.0032	-0.0034	-0.0035	-0.0035	-0.0035	-0.0034	-0.0035	-0.0034	-0.0034	-0.0035	-0.0033	-0.0034	-0.0034	-0.0034	-0.0035	-0.0034	-0.0035	-0.0036	-0.0034	-0.0033	-0.0034	-0.0033	-0.0034	-0.0035	-0.0033	-0.0035	-0.0033	-0.0033	-0.0033	-0.0032	-0.0033	-0.0034	-0.0034	-0.0033	-0.0033	-0.0037	-0.0033	-0.0034	-0.0034	-0.0035	-0.0033	-0.0033	-0.0032	-0.0034	-0.0035	-0.0034	-0.0034	-0.0034	-0.0033	-0.0034	-0.0035	-0.0034
sad_vc_estimate	-0.1199	0.2968	0.0451	-0.0064	-0.0117	-0.0054	-0.0033	0.0815	0.0331	0.0047	-0.0026	-0.0035	-0.0022	-0.0027	-0.0029	-0.0031	0.0133	-0.0012	0.0075	0.001	0.0074	0.0043	0.0005	-0.0026	-0.0019	0.0052	-0.0016	-0.0028	0.0022	-0.0026	0.0284	0.0035	0.0391	0.0132	-0.0026	0.0045	-0.0015	-0.0021	0.0051	-0.0027	-0.0012	-0.0025	0.0127	-0.0007	0.0001	0.0025	0.001	0.0044	0.0068	0.0011	0.0222	-0.0029	0.0141	-0.0028	0.0084	0.005	0.0011	0.0127	0.0154	-0.0028	-0.0023	0.0072	-0.0019	-0.0019	0.0099	-0.0014	0.0058	0.0068	-0.0001	0.0	-0.0023	-0.0016	-0.0013	0.0025	-0.0024	0.0001	-0.0008	-0.0008	-0.0024	0.0007	-0.0026	0.0023	0.0006	-0.0015	0.0198	0.0086	-0.0023	0.0042	-0.0003	-0.0025	-0.0026	0.0137	0.0091	0.0049	0.0082	-0.0027	-0.0019	0.0042	-0.002	-0.0027
sad_vc_estimate_se	3.4638	2.5624	1.0131	0.8254	0.2975	0.1353	0.0874	0.1191	0.102	0.0801	0.0928	0.0968	0.0828	0.0754	0.072	0.0801	0.0711	0.0699	0.077	0.0697	0.0763	0.0661	0.0742	0.0687	0.0674	0.0692	0.0721	0.0688	0.0692	0.0714	0.0711	0.0697	0.0684	0.0713	0.0664	0.0707	0.0656	0.0672	0.068	0.0674	0.0677	0.0673	0.0702	0.0679	0.069	0.07	0.0665	0.0704	0.066	0.0688	0.0693	0.0718	0.0698	0.0683	0.0713	0.0675	0.0668	0.0689	0.0672	0.0677	0.0678	0.0694	0.0696	0.0683	0.0698	0.0731	0.0693	0.0663	0.0685	0.0678	0.0676	0.0702	0.0677	0.0695	0.0668	0.066	0.0675	0.0654	0.0655	0.0686	0.0675	0.0668	0.0648	0.0722	0.0655	0.0675	0.068	0.0683	0.0657	0.0656	0.0657	0.0683	0.0702	0.0672	0.0668	0.0687	0.0663	0.0687	0.0717	0.0665
sad_vc_pvals	0.745	0.084	0.26	0.475	0.901	0.892	0.797	0.001	0.019	0.191	0.682	0.783	0.637	0.794	0.92	0.853	0.032	0.542	0.164	0.347	0.208	0.215	0.44	0.857	0.674	0.218	0.644	0.96	0.361	0.805	0.024	0.27	0.005	0.091	0.865	0.243	0.605	0.737	0.219	0.912	0.627	0.803	0.09	0.533	0.474	0.312	0.411	0.24	0.168	0.403	0.039	0.941	0.077	0.945	0.157	0.21	0.381	0.089	0.071	0.968	0.757	0.174	0.703	0.665	0.135	0.588	0.192	0.161	0.453	0.491	0.767	0.617	0.578	0.296	0.775	0.455	0.545	0.52	0.817	0.405	0.848	0.327	0.438	0.644	0.043	0.142	0.737	0.239	0.493	0.834	0.911	0.079	0.134	0.253	0.164	0.868	0.695	0.25	0.647	0.978
upper95_perm_sad	0.7506	0.4613	0.2545	0.1791	0.1064	0.0267	0.0145	0.035	0.0243	0.0143	0.0252	0.0258	0.0193	0.0173	0.0161	0.0187	0.0122	0.0189	0.0176	0.0163	0.0266	0.0171	0.0221	0.0204	0.0173	0.0206	0.0235	0.0232	0.0234	0.0214	0.0218	0.0173	0.022	0.0205	0.0215	0.0242	0.0217	0.0192	0.0193	0.0221	0.0225	0.0188	0.0213	0.0212	0.0228	0.0181	0.022	0.0189	0.0195	0.0216	0.0225	0.0244	0.0202	0.0195	0.0208	0.0199	0.0183	0.0203	0.0212	0.019	0.0206	0.0198	0.0222	0.0178	0.0217	0.0226	0.0183	0.0177	0.0191	0.0227	0.0198	0.0199	0.0205	0.0181	0.0185	0.0202	0.0209	0.017	0.0176	0.0202	0.0194	0.0198	0.0188	0.022	0.0211	0.0195	0.0196	0.0187	0.0204	0.0187	0.0187	0.0209	0.02	0.0235	0.021	0.0203	0.0214	0.0204	0.0196	0.0194
lower0_perm_sad	-0.1797	-0.1342	-0.0527	-0.0438	-0.0152	-0.0072	-0.0047	-0.0062	-0.0054	-0.0041	-0.0049	-0.0051	-0.0045	-0.004	-0.0038	-0.0041	-0.0037	-0.0037	-0.004	-0.0037	-0.004	-0.0035	-0.0039	-0.0036	-0.0035	-0.0036	-0.0037	-0.0036	-0.0036	-0.0038	-0.0037	-0.0037	-0.0035	-0.0037	-0.0034	-0.0037	-0.0034	-0.0035	-0.0036	-0.0035	-0.0036	-0.0035	-0.0037	-0.0036	-0.0036	-0.0037	-0.0035	-0.0036	-0.0034	-0.0035	-0.0037	-0.0038	-0.0038	-0.0036	-0.0039	-0.0037	-0.0035	-0.0037	-0.0035	-0.0035	-0.0036	-0.0037	-0.0038	-0.0035	-0.0037	-0.004	-0.0035	-0.0035	-0.0036	-0.0035	-0.0035	-0.0036	-0.0036	-0.0037	-0.0036	-0.0035	-0.0036	-0.0035	-0.0033	-0.0036	-0.0035	-0.0035	-0.0035	-0.0037	-0.0034	-0.0036	-0.0035	-0.0036	-0.0036	-0.0035	-0.0034	-0.0035	-0.0038	-0.0036	-0.0034	-0.0035	-0.0035	-0.0037	-0.0038	-0.0034
