	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.0767	-0.033	0.0367	-0.0182	0.0427	-0.0097	-0.0171	0.0252	-0.0125	-0.0133	-0.0045	0.0127	0.0085	-0.0112	0.0057	0.0737	-0.0155	0.0415	0.0368	-0.008	-0.0186	-0.0154	-0.0182	0.002	-0.0189	0.0194	-0.0109	-0.01	-0.009	-0.0122	-0.0161	-0.0153	-0.0145	-0.0159	0.003	0.0016	-0.0185	-0.0088	0.0337	-0.0053	-0.0059	-0.0176	0.0468	-0.0156	0.0665	-0.0173	0.0183	-0.0136	0.0144	-0.0145	-0.0085	-0.0112	-0.0135	-0.0088	0.0119	0.0234	-0.0108	0.0299	0.0284	-0.0171	-0.0169	0.0046	-0.0087	-0.0051	0.043	0.028	0.0363	-0.0126	-0.0124	0.0528	0.0451	0.0016	-0.0186	-0.0118	0.0451	0.069	0.0283	0.0499	0.0122	-0.0158	-0.0131	-0.0076	-0.0101	-0.0169	0.0442	-0.0153	-0.0168	0.0184	0.0085	0.0404	-0.0084	-0.0157	-0.0088	-0.0169	-0.0159	-0.0078	0.129	-0.0133	0.0126	0.0864
direct_vc_estimate_se	0.0235	0.0099	0.0061	0.0058	0.0058	0.0054	0.0053	0.007	0.0056	0.0056	0.0062	0.0054	0.0057	0.0055	0.0057	0.0056	0.0052	0.0053	0.0055	0.0052	0.0056	0.005	0.0055	0.0051	0.0057	0.0053	0.005	0.0053	0.0051	0.0051	0.0054	0.005	0.0052	0.0055	0.005	0.0052	0.0057	0.0049	0.005	0.0051	0.0052	0.0053	0.0054	0.0057	0.0054	0.0054	0.005	0.005	0.0052	0.0056	0.0051	0.0053	0.0052	0.0053	0.005	0.0053	0.0052	0.0052	0.0052	0.0058	0.0056	0.0051	0.0052	0.0051	0.005	0.0054	0.0051	0.0052	0.0049	0.0052	0.006	0.0049	0.0056	0.005	0.0051	0.0054	0.0051	0.0056	0.0051	0.0051	0.0047	0.0062	0.005	0.0051	0.0047	0.005	0.005	0.0049	0.005	0.0051	0.0047	0.0051	0.0049	0.0051	0.0048	0.0053	0.0051	0.0048	0.0058	0.0051
direct_vc_pvals	0.919	0.995	0.165	0.833	0.134	0.65	0.888	0.205	0.62	0.641	0.487	0.248	0.331	0.606	0.328	0.113	0.782	0.133	0.171	0.556	0.954	0.801	0.982	0.345	0.929	0.206	0.63	0.601	0.532	0.687	0.757	0.785	0.741	0.748	0.334	0.426	0.886	0.578	0.168	0.524	0.5	0.944	0.089	0.725	0.069	0.854	0.22	0.722	0.265	0.712	0.586	0.654	0.677	0.56	0.261	0.216	0.599	0.19	0.172	0.75	0.801	0.338	0.542	0.446	0.111	0.167	0.105	0.699	0.677	0.098	0.136	0.375	0.946	0.663	0.112	0.079	0.176	0.129	0.307	0.819	0.727	0.522	0.58	0.954	0.1	0.783	0.996	0.239	0.267	0.098	0.574	0.835	0.528	0.979	0.981	0.555	0.025	0.74	0.288	0.044
upper95_perm_direct	0.4505	0.1627	0.1283	0.1165	0.1102	0.1213	0.0842	0.1265	0.1062	0.078	0.1453	0.0959	0.1187	0.0914	0.092	0.1433	0.0918	0.1038	0.1087	0.1112	0.1102	0.0789	0.095	0.086	0.1111	0.099	0.0954	0.1228	0.0818	0.1273	0.0798	0.0805	0.0937	0.1063	0.0913	0.1142	0.1116	0.0851	0.0928	0.105	0.0862	0.0942	0.0842	0.0989	0.0982	0.0857	0.0914	0.0896	0.0952	0.1152	0.1228	0.1028	0.0904	0.0848	0.0806	0.1128	0.1082	0.1159	0.1018	0.1029	0.1023	0.0907	0.0837	0.0927	0.0865	0.0837	0.0764	0.1079	0.0759	0.0967	0.1086	0.0863	0.1129	0.1012	0.0897	0.1094	0.0833	0.1168	0.1174	0.1035	0.0946	0.1187	0.0679	0.0897	0.0948	0.072	0.1017	0.0999	0.0689	0.0769	0.0886	0.1141	0.0704	0.1037	0.0851	0.1067	0.1015	0.1069	0.1043	0.0995
lower0_perm_direct	-0.1144	-0.0483	-0.0309	-0.0282	-0.0283	-0.0267	-0.0257	-0.035	-0.0273	-0.0282	-0.0307	-0.0266	-0.0272	-0.0268	-0.028	-0.0274	-0.0241	-0.0258	-0.0271	-0.0248	-0.0269	-0.0243	-0.0285	-0.0248	-0.0286	-0.0263	-0.0248	-0.0262	-0.0255	-0.025	-0.0269	-0.0253	-0.0251	-0.0275	-0.0242	-0.0268	-0.0285	-0.0237	-0.0247	-0.0245	-0.0254	-0.027	-0.0263	-0.0278	-0.0263	-0.0255	-0.0252	-0.0243	-0.0268	-0.0265	-0.0255	-0.0258	-0.026	-0.0265	-0.0233	-0.0262	-0.0261	-0.0255	-0.0262	-0.0288	-0.0271	-0.0254	-0.0261	-0.0254	-0.0246	-0.0269	-0.0252	-0.0259	-0.0238	-0.0257	-0.0294	-0.0247	-0.027	-0.0262	-0.0252	-0.0266	-0.0248	-0.0283	-0.0247	-0.0248	-0.0229	-0.0298	-0.0242	-0.0251	-0.0239	-0.0237	-0.0241	-0.0246	-0.0249	-0.0255	-0.0221	-0.025	-0.0237	-0.0247	-0.0229	-0.0264	-0.0241	-0.0241	-0.0285	-0.0254
sad_vc_estimate	0.0115	-0.0269	0.0108	-0.0131	0.0325	-0.0148	-0.0176	0.0641	-0.0082	0.0004	0.0014	0.0255	-0.0026	-0.0143	0.0151	0.09	-0.0151	0.0592	0.0633	0.0004	-0.0069	-0.0166	-0.0177	-0.0015	-0.019	0.0546	-0.0163	-0.0031	-0.0139	-0.0167	-0.0168	-0.0159	-0.0164	-0.0181	0.0151	-0.0001	-0.0188	-0.0042	0.0491	0.0207	0.0005	-0.0094	0.0508	0.0014	0.1273	-0.018	0.0051	-0.0047	0.0193	-0.0126	-0.0164	-0.003	-0.0172	0.009	0.0224	0.0448	-0.0013	0.0439	0.0166	-0.0136	-0.0094	0.0137	-0.0165	-0.0141	0.0506	0.019	0.0441	-0.0168	0.0012	0.0462	0.0603	-0.0097	-0.0173	-0.0038	0.0573	0.1707	0.0328	0.082	0.0201	-0.0171	-0.0153	-0.0166	-0.0153	-0.014	0.0882	-0.014	-0.0166	0.0114	-0.0102	0.034	-0.0125	-0.0102	-0.0122	-0.0155	-0.0054	-0.0099	0.2157	-0.0065	0.0132	0.1306
sad_vc_estimate_se	0.0235	0.0099	0.0061	0.0058	0.0058	0.0054	0.0053	0.0071	0.0056	0.0056	0.0062	0.0054	0.0057	0.0056	0.0058	0.0056	0.0052	0.0053	0.0055	0.0052	0.0056	0.005	0.0055	0.0051	0.0057	0.0054	0.005	0.0053	0.0052	0.0051	0.0054	0.005	0.0052	0.0056	0.005	0.0052	0.0057	0.0049	0.005	0.0051	0.0052	0.0053	0.0054	0.0057	0.0054	0.0054	0.0051	0.005	0.0052	0.0056	0.0052	0.0053	0.0052	0.0054	0.005	0.0053	0.0052	0.0052	0.0052	0.0058	0.0056	0.0051	0.0052	0.0051	0.005	0.0054	0.0051	0.0052	0.0049	0.0052	0.0061	0.0049	0.0056	0.0051	0.0052	0.0054	0.0051	0.0056	0.0052	0.0051	0.0047	0.0063	0.0051	0.0051	0.0047	0.005	0.0051	0.0049	0.0051	0.0052	0.0047	0.0051	0.0049	0.0051	0.0048	0.0053	0.0051	0.0048	0.0058	0.0052
sad_vc_pvals	0.373	0.758	0.346	0.667	0.19	0.757	0.955	0.133	0.563	0.384	0.421	0.209	0.499	0.73	0.336	0.121	0.794	0.116	0.107	0.458	0.58	0.954	0.903	0.431	0.946	0.101	0.911	0.526	0.737	0.921	0.815	0.862	0.845	0.902	0.252	0.452	0.912	0.508	0.118	0.272	0.386	0.588	0.093	0.412	0.022	0.932	0.405	0.495	0.259	0.666	0.87	0.498	0.955	0.335	0.205	0.15	0.467	0.134	0.285	0.651	0.553	0.298	0.877	0.754	0.149	0.252	0.112	0.896	0.395	0.124	0.118	0.593	0.831	0.504	0.083	0.014	0.153	0.069	0.271	0.995	0.877	0.705	0.817	0.74	0.04	0.722	0.914	0.314	0.608	0.145	0.751	0.645	0.645	0.821	0.5	0.612	0.001	0.555	0.304	0.018
upper95_perm_sad	0.5121	0.2037	0.1424	0.14	0.1237	0.1401	0.1087	0.165	0.1454	0.0978	0.1359	0.1097	0.1459	0.1179	0.1169	0.1887	0.1184	0.1307	0.1281	0.1266	0.1406	0.0932	0.1323	0.1013	0.1095	0.111	0.1313	0.1355	0.093	0.1095	0.0993	0.0883	0.1101	0.1372	0.0941	0.1229	0.1272	0.1105	0.1027	0.117	0.0908	0.1053	0.0947	0.1186	0.1122	0.1039	0.1119	0.0892	0.1212	0.1537	0.1225	0.1327	0.1043	0.1119	0.1002	0.1203	0.1187	0.1057	0.1174	0.1162	0.1307	0.1076	0.1002	0.0854	0.1258	0.1068	0.0981	0.1318	0.0892	0.104	0.1437	0.0912	0.1109	0.1158	0.0958	0.128	0.0987	0.1304	0.1406	0.123	0.1113	0.1423	0.0829	0.105	0.0951	0.0858	0.1165	0.1065	0.1074	0.0851	0.0992	0.1281	0.0925	0.119	0.0964	0.1262	0.1048	0.1149	0.1136	0.1041
lower0_perm_sad	-0.1224	-0.0482	-0.0302	-0.0281	-0.0278	-0.0263	-0.0261	-0.0351	-0.0272	-0.0271	-0.0312	-0.0272	-0.0285	-0.026	-0.0289	-0.0285	-0.0248	-0.0267	-0.0276	-0.0268	-0.0282	-0.0233	-0.0268	-0.0252	-0.0277	-0.0252	-0.0246	-0.0263	-0.025	-0.0247	-0.0267	-0.024	-0.0254	-0.0268	-0.0244	-0.0269	-0.0298	-0.0247	-0.0238	-0.0261	-0.0257	-0.0273	-0.0262	-0.0289	-0.0265	-0.0273	-0.0244	-0.0255	-0.0256	-0.0281	-0.0253	-0.0252	-0.0249	-0.0263	-0.0251	-0.0265	-0.0257	-0.0257	-0.0253	-0.0292	-0.0274	-0.0258	-0.0266	-0.0254	-0.0249	-0.0272	-0.0253	-0.0246	-0.0237	-0.0251	-0.0299	-0.0236	-0.0287	-0.0243	-0.025	-0.0273	-0.0261	-0.027	-0.0257	-0.0252	-0.0245	-0.0314	-0.0253	-0.0249	-0.0236	-0.0257	-0.0245	-0.0238	-0.0246	-0.0255	-0.0229	-0.0249	-0.0234	-0.0244	-0.0232	-0.027	-0.0257	-0.0238	-0.0288	-0.0268
